SONGBOOK name,Status,Description,SUTRA(s),SONGBOOK primary topics,SONGS / LYRICS,song_count,SONGBOOK ID
Play: (Be) The Fool,REVIEW,"The fool is not stupid. The fool is free. 18 songs in praise of cracked things, wiggling things, and the holy comedy of being human.",SHOWsutra,FOOLERY,"A Good Witch,Be The Fool (Embrace The Cracks),Be The Fool (Perfection Is A Lie),Bee the Fool (Not A Lie),Blessed Are The Cracked,Blessed By The Wiggle,F-BOMB DUB,Fool On A Mission (No Name Game),Freedom Fries,Hammy On Clyde,Hope is Do-Do-Dope,Please Pardon My French,Rachel Barks,Real Winners Dance,Some Songs Are More Fun Than Others,The Fool Who Knows,The Great Naked King,They Call Her Wild (But She's Just Free)",18,G-03-FOOL
Dare: DARE (to care),REVIEW,22 songs about the one muscle nobody trains: the courage to actually give a damn. About truth. About others. About yourself.,GROWsutra,WISDOM,"Because the Light,Blessed be Your Voice,""Courage, care, and coconuts"",Do you ever Wonder?,Double Standards,""Hello, Oh No"",""Hereby, I Cry"",""Hold The Mic, Babe"",How Do We Find Meaning?,Let’s Play A Game Where We All Win! (If The Game Is Absurd),""No, I'm Not Being Political (CIRCA 2025)"",""No, I'm Not Being Political (CIRCA 2026)"",One Percent Rising,Possum Scrotum,V.O.I.C.E.S (Blessed Be),V.O.I.C.E.S (What You Want Baby),We Live Not By Lies,We Remember What (We Remember What) We Feel☉,What’s Behind Every Door?,Where Hope Expires,Why We Can't Be Brave?,Zero Sum (Zero Sean)",22,G-04-DARE
Dare: GOD (etc.),REVIEW,"Queer, curious, and chronically unimpressed by official doctrine. 18 songs asking God (etc.) the questions the pew wouldn't permit.",GROWsutra,RELIGION,"El Papito (Es No MAGA Show),Make your Own Bible,No Holy Fool,Ordo Amoris (in Decay),""Pro-life Means What, Honey?"",Queer Almighty,Reason Over Reverence,Seminal Bollocks,Shush (How To Help A Bible Bro Grow Up),Sing Your Own Gospel,The Atheist Tango,The Invisible Man In The Sky,There's No Prayer Like Desire,Untamed,Waldo's Atheist Tango,Waldo's Fascist Tango (Down We Go),Who Needs A Big D?,""Why trust an old, mean religion?""",18,G-04-GOD
Dare: KIND(ness),REVIEW,"Kindness — not the soft kind with a bow on it. The fierce, deliberate, coconut-hard kind. 13 songs for the brave ones.",GROWsutra,BEAUTY,"ABC Of Kindness,Glitter On A Turd,Jealousy (Not For Me),Kids Just Want To Have Hope,Kindness,Kindness,La Force Douce,Nous Sommes Le Feu,Peel Me Kindly,Tune In The Tender,What the Mirror Said (Reste Lucide),Who Knows Where How Happiness Truly Grows,WIN-WIN (dub)",13,G-04-KIND
Trust: FLY (like water),REVIEW,"Bruce Lee, Tao, and a lot of trusting the river. 12 songs about the radical art of letting go — without disappearing.",FLOWsutra,PEACE,"Ain't Doing Bad Doing Nothing,Flow Like Water (My Friend),Fluye (como el mar),""Freee, La Fille"",Just Be,Making Songs Like,Peace Unseen,Sous Terre (Underground),Sutra of Immanence,They Call Her... Out of Step,Thrifting Memories,""Too Hard, My Friend""",12,G-05-FLY
Trust: WET (my friend),REVIEW,"12 songs where the pulse knows what the brain overthinks. Sensual, tender, unapologetically honest. #pleasepardonmyfrench",FLOWsutra,BEAUTY,"Bare Your Soul (Velvet),Clay Maiden,Curious Like A Kiss (Kiss a Pulse),I Think I Need a Good Spank!ng (in Madrid),Kiss A Pulse,Let's Do It,Segggsting,Wet (Prickly) Peaches vol.2,When We Duende (All Night),When We Duende (Encore),Where We Begin (Preakly Peaches),Whispers (Lithium)",12,G-05-WET
Bless: POET(ry),REVIEW,15 songs for the ones who believe words have weight. Poetry isn't decoration. It's the thing holding the walls up.,GLOWsutra,BEAUTY,"Awe Is Like...,Awe Is Mighty,Creo (La Poesia),La Poesia Importa,My Quest,""Poem (I wanted to be, basically)"",Poetry Matters,Poetry Nah Lie,Poetry Slow Burns,Poets Hats,She Wears The Words,The Poem,The Quest,To Dream,Wear The Words",15,G-06-POET
Bless: RAINBOWS (in my clouds),REVIEW,"Nine small benedictions for the good things: toast, poppies, Jacques Brel, and the audacity to be delighted by all of it.",GLOWsutra,BEAUTY,"A Toast To The Good Life,Berries and Beaches,Donkeys Years,French Poppies,Jacques Brel,More Than A Plate (Anthony Bourdain <3),Rainbows in the Clouds,This Is My Quest,Up a San Francisco Hill",9,G-06-CLOU
Bow: (Thank) Dogs,REVIEW,Four love songs for the creatures who never needed instructions on unconditional love. Who's a good philosopher? You are.,BOWsutra,WISDOM,"Blessed Be The Dogs,Dead Dogs Deets,Like A Dog In The Sky,Like A Dog In The Sky (SHOWsutra Edition)",4,G-07-DOGS
Bow: Death (is nothing),REVIEW,"Death is nothing at all. Henry Scott Holland said so. Four songs that agree — gently, without lying, without rushing.",BOWsutra,PEACE,"But Where Do Pigeons Go To Die?,Darling,Easy (Death Is Nothing At All),""Oh, Martine""",,G-07-DEAT
EP: Sidération,LIVE,"A four-part series named for the French word for the freeze — when something is so wrong your soul slips on a banana peel. Volumes 1–4, in ascending disbelief.",BLOWsutra,INJUSTICE,"Sidération,Sidération (The Sky Stood Still),Sidération Blues,Sidération's Calling",,G-02-SIDE
EP: DEFY,LIVE,"A playlist built for the days you'd rather not comply. Loud, principled, and stubbornly here.",BLOWsutra,POOLITICS,"Optics Of Cruelty (DEFY),Shameless (DEFY),Universal Currency",,G-02-DEFY
EP: Best Teacher Award,LIVE,Because sometimes the best teacher isn't in a classroom. Sometimes it's love. Sometimes it's death. Usually both.,BOWsutra,WISDOM,"Dead Dogs Deets,Blessed Be The Dogs,Like A Dog In The Sky,Like A Dog In The Sky (SHOWsutra Edition)",,G-07-PROF
EP: Criminals,LIVE,"When the rules shift, who decides who the criminal is? A bilingual meditation — EN + FR — on the question that keeps getting more relevant.",BLOWsutra,INJUSTICE,"Criminals,Criminels",,G-02-CRIM
EP: Peachy,IDEA,"Psychedelic peaches, jazzy white rabbits, and the kind of intimacy that doesn't need explaining. Prickly is good, actually.",FLOWsutra,BEAUTY,"Wet (Prickly) Peaches vol.2,Where We Begin (Preakly Peaches)",,G-03-KINK
