ep_title,ep_url,sutra,genres,genres_full,track_count,ep_total_tracks,total_plays,total_likes,duration_total,artwork_url,lyrics_id,created_at,playlist_names_clean,TRACKs,Auto ID,EP G-ID
Atheist Tango EP x9 VOL. 1 ☰ Waldo's Burlesque Tales of Truth,https://soundcloud.com/bananasutra/sets/atheist-tango-ep-x9-vol-1-waldos-burlesque-tales-of-truth,KNOWsutra,"BURLESQUE,FOLK,JAZZ","BURLESQUE,FOLK,JAZZ",9,9,1659,23,29:14,https://i1.sndcdn.com/artworks-zGmZBF6E6J0dpCF7-7ObUQQ-t500x500.png,L-235,,,,11,G-11
Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie LoFi Lullaby EPx2,https://soundcloud.com/bananasutra/sets/awe-is-mighty-maybe-even-holy-glowsutra-conscious-indie-lofi-epx2,GLOWsutra,"BLUES,FOLK,INDIE,LOFI,MANTRA","BLUES,FOLK,INDIE,LOFI,MANTRA,PSYCHEDELIC,TRIP HOP",2,2,673,12,6:41,https://i1.sndcdn.com/artworks-OV8ZRGizQyraCB7N-C8HWOQ-t500x500.png,L-21,,"GLOWsutra : POET(ry),GLOWsutra where gratitude feeds,LOFIsutra,MANTRAsutra","[01] Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie trip Hop(e) Blues Lullaby LOFI,[02] Awe Is Mighty (Maybe Even Holy) - GLOWsutra Psychedelic Folk Circus Dreamy Drum Indie MANTRA",12,G-12
BANANA ALLELUIA ♾ EPx5 ♾ KNOWsutra BURLESQUE,https://soundcloud.com/bananasutra/sets/banana-alleluia-epx5-knowsutra-burlesque,KNOWsutra,"BANJO,BURLESQUE,FOLK","BANJO,BURLESQUE,CABARET,FOLK",5,5,1110,18,16:20,https://i1.sndcdn.com/artworks-ygtp0Bp5Ccu1zSfd-ysCUOA-t500x500.png,L-22,,"BURLESQUEsutra,SHOWsutra : B.J. (is for Banana Jesters)","[01] BANANA ALLELUIA — KNOWsutra Folk Waltz Ballad BURLESQUE,[03] BANANA ALLELUIA — KNOWsutra Banjo Waltz Bounce BURLESQUE",13,G-13
Because the Light ☉ EPx4 VOL.01,https://soundcloud.com/bananasutra/sets/because-the-light-epx4-vol01,GROWsutra,MANTRA,MANTRA,4,4,2188,20,13:30,https://i1.sndcdn.com/artworks-ZPfcJ5Xdh8yItO33-t97RIA-t500x500.png,L-28,,"BANJOsutra,BLOWsutra,BLOWsutra : REVOLT (now),LOFIsutra","[01] Because the Light (wontdietonight) ⭐︎ Breathy LOFIsutra,[02] Because the Fight ⭐︎ MellO BANJOsutra",14,G-14
Bee the Fool EP x2 : BANJOsutra,https://soundcloud.com/bananasutra/sets/bee-the-fool-ep-x2-honeysutra,SHOWsutra,"BANJO,BLUES,FOLK","BANJO,BLUES,FOLK",2,2,391,5,7:16,https://i1.sndcdn.com/artworks-1QKzz4xNQaa8y2oX-Ru7mWg-t500x500.jpg,L-26,,,,15,G-15
Best Teacher Award · in Love & Death : Indie Bliss EPx3 VOL. 1 : BOWsutra,https://soundcloud.com/bananasutra/sets/best-teacher-award-in-love-death-indie-lofi-epx3-vol-1-bowsutra,BOWsutra,INDIE,INDIE,3,3,665,3,8:22,https://i1.sndcdn.com/artworks-naxN1Ew2hxBmEiva-OlsMuQ-t500x500.png,,2025-04-09 11:15,,,16,G-16
Blaise's Tale ⭐︎ EPx3 ⭐︎ KNOWsutra Folk Cabaret,https://soundcloud.com/bananasutra/sets/blaises-tale-epx3-knowsutra-folk-cabaret,KNOWsutra,"BANJO,BURLESQUE,FOLK","BANJO,BURLESQUE,CABARET,FOLK",3,3,587,5,8:41,https://i1.sndcdn.com/artworks-nZjm9BvXode0nW5K-5dXY2A-t500x500.png,L-31,,,,17,G-17
Blessed Are the Cracked EP X3,https://soundcloud.com/bananasutra/sets/blessed-are-the-cracked-ep-x3,GLOWsutra,JAZZ,JAZZ,3,3,599,4,9:45,https://i1.sndcdn.com/artworks-d9e5zeXofS20S4AQ-Lb1s5g-t500x500.png,L-30,2024-12-11 23:08,,,18,G-18
Blessed Be the Dogs ☰ SHOWsutra EPx9 ☰ Post-Punk Burlesque ROCK,https://soundcloud.com/bananasutra/sets/blessed-be-the-dogs-showsutra-epx9-post-punk-burlesque-rock,SHOWsutra,"BURLESQUE,ROCK","BURLESQUE,PUNK,ROCK",9,9,1830,27,35:13,https://i1.sndcdn.com/artworks-kAEVcohylwIZch0q-ThHu4Q-t500x500.png,L-33,,"BOWsutra : (Thank) Dogs,ROCKsutra,SHOWsutra where bananas play",[05] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK,19,G-19
Bloom Past Doom - Vol. 2 · 2 songs EPx7 - BLOWsutra (Revolution Ring Series) Fusion Jazz,https://soundcloud.com/bananasutra/sets/bloom-past-doom-vol-2-2-songs-epx7-blowsutra-revolution-ring-series-fusion-jazz,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ","BANJO,BLUES,BURLESQUE,DUB,FOLK,GIPSY,INDIE,JAZZ,PSYCHEDELIC",7,7,5483,67,22:38,https://i1.sndcdn.com/artworks-UsXPQkqEgN2gCzJ6-0lSKCQ-t500x500.png,L-36,,"BLOWsutra,DUBsutra,FOLKsutra,INDIEsutra,JAZZsutra","Side B [05] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Jazzy INDIE,Side A [01] Dare to Care (This Issue is Real) - BLOWsutra Revolt Now Jazzy Gipsy Blues DUB,Side B [07] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Bluesy Psychedelic Americana Banjo FOLK,Side A [02] Dare to Care (This Issue is Real) - BLOWsutra Revolt Now Dubby Bluesy Burlesque JAZZ",20,G-20
Bloom Past Doom (Apes Gone Wrong Series) EPx5 - BLOWsutra (Revolt Now)  Grassroots Hope Song,https://soundcloud.com/bananasutra/sets/bloom-past-doom-apes-gone-wrong-series-epx5-blowsutra-revolt-now-grassroots-hope-song,BLOWsutra,"BURLESQUE,FOLK,INDIE,JAZZ","BURLESQUE,CABARET,COUNTRY,FOLK,INDIE,JAZZ,PSYCHEDELIC,SOUL",5,5,3419,37,15:41,https://i1.sndcdn.com/artworks-NfNdCTLZ9C9HupPU-ETvEcw-t500x500.png,L-36,,"BLOWsutra,BLOWsutra : REVOLT (now),BURLESQUEsutra,QUACKsutra where we sing FU",[03] Bloom Past Doom - BLOWsutra (Revolt Now) Cello Circus Chanson Cabaret BURLESQUE,21,G-21
Bo Burnham Gone Bananas 🍌 COVERsutra Vaudeville Indie JAZZ EPx11,https://soundcloud.com/bananasutra/sets/bo-burnham-gone-bananas-coversutra-epx11,SHOWsutra,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI","BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI",11,11,4197,46,43:15,https://i1.sndcdn.com/artworks-0cRNu3FFXne8uJuk-QwQNJA-t500x500.png,L-37,2026-03-07 23:40,"DUBsutra,JAZZsutra","[10] What's Funny (Bo Burnham Gone Bananas) - COVERsutra Indie Reggae DUB,[05] F*CK (Bo Burnham Gone Bananas) - COVERsutra Candid Piano JAZZ",22,G-22
But(t) How Can You? GROWsutra (Dare to Care) EPx10,https://soundcloud.com/bananasutra/sets/butt-how-can-you-growsutra-epx10,GROWsutra,"DUB,INDIE,LOFI","DUB,GIPSY,HIP HOP,INDIE,LOFI,PSYCHEDELIC,RAGGA",10,10,4254,16,19:15,https://i1.sndcdn.com/artworks-wzNXJ0kKC1UWtYRu-qF7vrw-t500x500.png,L-40,2026-03-06 21:23,"DUBsutra,GROWsutra where we be brave,LOFIsutra","[02] But(t) How Can You GROWsutra Dem Sed Psychedelic Ragga DUB,[05] But(t) How Can You GROWsutra F-Bomb Psychedelic Hip Hop LOFI",23,G-23
But(t) How you Kids Learn Now? EPx9 VOL. 01,https://soundcloud.com/bananasutra/sets/butt-how-you-kids-learn-now-epx9-vol-01,KNOWsutra,"FOLK,INDIE,JAZZ","FOLK,INDIE,JAZZ",9,9,1951,29,30:18,https://i1.sndcdn.com/artworks-s7JwXEm6wQmnuT1J-ySHR0g-t500x500.png,L-106,2025-04-14 18:55,"FOLKsutra,GROWsutra where we be brave,JAZZsutra,KNOWsutra : (naked) TRUTH","[8] How do kids learn • DRUM FOLKsutra,[0] How do kids learn • Destiny JAZZsutra (high)",24,G-24
Carnival FOTUS (ctd) EP X3,https://soundcloud.com/bananasutra/sets/carnival-fotus-ctd-ep-x3,SHOWsutra,BURLESQUE,BURLESQUE,3,3,549,6,9:27,https://i1.sndcdn.com/artworks-MzAkEow42yD4mCMA-FITGfQ-t500x500.png,L-41,,,,25,G-25
Cassandra’s Lullaby • KNOWsutra EPx11 World,https://soundcloud.com/bananasutra/sets/cassandras-lullaby,KNOWsutra,"BLUES,BURLESQUE,FOLK,INDIE,JAZZ,MANTRA","BLUES,BURLESQUE,FOLK,INDIE,JAZZ,MANTRA",11,11,2594,35,44:36,https://i1.sndcdn.com/artworks-8MtzAVxPSN3vdqbc-b7c54g-t500x500.png,L-42,,"FOLKsutra,INDIEsutra,KNOWsutra : PEACE (not War),KNOWsutra where questions matter,MANTRAsutra","[11] Cassandra's Lullaby • Jewish Drum Indie Jazz MANTRA,[06] Cassandra's Lullaby • Jewish World INDIE FOLK,[03] Cassandra's Lullaby • World Reckoning INDIE FOLK",26,G-26
Courage · Care · and Coconuts © GROWsutra EPx4,https://soundcloud.com/bananasutra/sets/courage-care-and-coconuts-growsutra-epx4,GROWsutra,"FOLK,INDIE","FOLK,INDIE",4,4,1014,6,9:22,https://i1.sndcdn.com/artworks-QE4Tkx0EyHytvlYD-6WhWtA-t500x500.png,L-46,2025-05-23 12:12,"FOLKsutra,GROWsutra : KIND(ness),GROWsutra where we be brave","""[02] Courage, Care, and Coconuts (Kindness is Clear more than Nice) - Dreamy Indie FOLKsutra""",27,G-27
Creepy Con Meme EPX2 • Dicky Ducky DUBsutra,https://soundcloud.com/bananasutra/sets/creepy-con-meme-epx2-dicky-ducky-dubsutra,BLOWsutra,DUB,DUB,2,2,549,4,6:26,https://i1.sndcdn.com/artworks-DywO4KaBtyF8CyML-ToVQ2g-t500x500.png,L-48,2025-02-22 21:09,"DUBsutra,QUACKsutra : DUCK (shady),QUACKsutra where we sing FU",Creepy Con Meme • Dicky DUBsutra,28,G-28
CREEPYPASTA (what the hella) ♅ SHOWsutra ♅ EPx23 Side A+B,https://soundcloud.com/bananasutra/sets/creepypasta-what-the-hella-showsutra-epx23-side-ab,SHOWsutra,"BANJO,BURLESQUE,DUB,INDIE,LOFI","BANJO,BURLESQUE,DUB,GIPSY,INDIE,LOFI,PSYCHEDELIC,PUNK,RAGGA",23,27,7010,45,58:50,https://i1.sndcdn.com/artworks-fcCvHghEuNgLNX4y-dpY9Mg-t500x500.png,L-49,,"BANJOsutra,LOFIsutra,SHOWsutra where bananas play","Side B [02] CREEPYPASTA • SHOWsutra Trip Storyteller LOFI,Side B [01] CREEPYPASTA • SHOWsutra Trip Storyteller LOFI,Side A [04] CREEPYPASTA • SHOWsutra Hide Yo Pets Bluegrass BANJO",29,G-29
CREEPYPASTA (what the hella) ♲ LoFi DUB Edition ♲ SoundCloud is broken REDUX,https://soundcloud.com/bananasutra/sets/creepypasta-what-the-hella-lofi-dub-edition-soundcloud-is-broken-redux,SHOWsutra,"DUB,INDIE,LOFI","DUB,INDIE,LOFI,PSYCHEDELIC,RAGGA",4,4,772,5,11:03,https://i1.sndcdn.com/artworks-fcCvHghEuNgLNX4y-dpY9Mg-t500x500.png,L-49,2025-10-21 23:25,,,30,G-30
Creo (La Poesia) ☘ EPx10 VOL.01 ☘ Bananasutra En Español,https://soundcloud.com/bananasutra/sets/creo-la-poesia-epx10-vol01-bananasutra-en-espanol,GLOWsutra,DUB,"DUB,FADO,FLAMENCO,PSYCHEDELIC,RAGGA",10,10,4684,47,36:34,https://i1.sndcdn.com/artworks-HYGREko4IUXdrDm0-LliGgA-t500x500.png,L-51,2025-05-27 13:06,"DUBsutra,GLOWsutra where gratitude feeds,WORLDsutra : SPAN(k)ish","[01] Creo (la poesia) - Arabesk Flamenco,[04] Creo - Cello Accordion Psychedelic Circus 1,[03] Creo (la poesia) - Contrabass Guitar Classico,[06] Creo - Muse DUBsutra,[02] Creo (la poesia) - Arabesk Fado",31,G-31
Crimina/els EP,https://soundcloud.com/bananasutra/sets/crimina-els-ep,BLOWsutra,"BLUES,JAZZ","BLUES,CABARET,GIPSY,JAZZ",3,3,551,6,6:59,https://i1.sndcdn.com/artworks-N2bJW7Tqp3S7Ldn6-PMk8kA-t500x500.jpg,L-48,,,,32,G-32
Curious Like A Kiss • FLOWsutra Cheeky Duende EPx11,https://soundcloud.com/bananasutra/sets/curious-like-a-kiss-flowsutra-epx11,FLOWsutra,"BURLESQUE,DUB,INDIE,LOFI","BURLESQUE,DUB,FLAMENCO,GIPSY,INDIE,LOFI",11,11,7873,63,34:05,https://i1.sndcdn.com/artworks-zbyI4lbDpbvjrsBi-cszDDA-t500x500.png,L-54,2026-03-11 18:25,"BURLESQUEsutra,FLOWsutra where time is space,INDIEsutra,LOFIsutra","[09] Curious Like A Kiss • FLOWsutra Cheeky Duende Arabesk Dub LOFI,[05] Curious Like A Kiss • FLOWsutra La Poesita Flamenco Duende Dub INDIE,[07] Curious Like A Kiss • FLOWsutra Cheeky Duende Gipsy Fusion LOFI,[10] Curious Like A Kiss • FLOWsutra Cheeky Duende Arabesk Dub LOFI,[02] Curious Like A Kiss • FLOWsutra Oh Boy Piano Waltz BURLESQUE",33,G-33
Daddy's a Creep ⚞  P3d0 T-Shirts ON SALE ⚟ BLOWsutra EPx4,https://soundcloud.com/bananasutra/sets/daddys-a-creep-p3d0-t-shirts-on-sale-blowsutra-epx4,BLOWsutra,"BLUES,BURLESQUE,JAZZ,LOFI","BLUES,BURLESQUE,JAZZ,LOFI",4,4,780,5,10:36,https://i1.sndcdn.com/artworks-fryyTDM2WyR2DKBA-QI4BwQ-t500x500.png,L-56,2025-07-06 22:28,,,34,G-34
Darling EP,https://soundcloud.com/bananasutra/sets/arthur-darling,BOWsutra,INDIE,INDIE,4,4,1548,22,13:47,https://i1.sndcdn.com/artworks-sm0RyWK8U9ogWbAR-vvmBLg-t500x500.png,L-57,2024-11-20 21:30,"BOWsutra : DEATH (is nothing),BOWsutra the last of 7 sutras · it's divine <3,JAZZsutra",#2 Darling - JAZZsutra,35,G-35
DEFY (Vol 2) - 3 Songs EPx6 - BLOWsutra Revolution Ring LoFi Jazz Fusion,https://soundcloud.com/bananasutra/sets/defy-vol-2-3-songs-epx6-blowsutra-revolution-ring-lofi-jazz-fusion,BLOWsutra,"BURLESQUE,JAZZ,LOFI","BURLESQUE,JAZZ,LOFI,PSYCHEDELIC,TRIP HOP",7,7,7633,50,19:37,https://i1.sndcdn.com/artworks-ZOzjbG3qBNgMzOWS-9LnxjQ-t500x500.png,L-219,,"BLOWsutra,BURLESQUEsutra,JAZZsutra,LOFIsutra","[BONUS] Shameless - DEFY EP Vol 2 - BLOWsutra Revolution Ring Psychedelic Piano Jazz BURLESQUE,Side B [01] Shameless - DEFY EP Vol 2 - BLOWsutra Revolution Ring Psychedelic Trip Hop(e) LOFI,Side A [03] Universal Currency - DEFY EP Vol 2 - BLOWsutra Revolution Ring Psychedelic Piano Burlesque JAZZ,Side A [02] Optics of Cruelty - DEFY EP Vol 2 - BLOWsutra Revolution Ring Psychedelic Piano Burlesque JAZZ",36,G-36
DEFY ✰ 3 Songs EPx7 ✰ BLOWsutra Jazzy Folk Lo-Fi BLUES,https://soundcloud.com/bananasutra/sets/defy-3-songs-epx7-blowsutra-jazzy-folk-lo-fi-blues,BLOWsutra,"BLUES,FOLK,JAZZ,LOFI","BLUES,FOLK,JAZZ,LOFI,TRIP HOP",7,7,1529,11,21:43,https://i1.sndcdn.com/artworks-YZdPzrWX9SlHjJ6q-GKzInQ-t500x500.png,L-219,,BLOWsutra : REVOLT (now),"[01] DEFY (Song 1) • Shameless • KNOWsutra BLUES,[03] DEFY (Song 2) • Optics of Cruelty • BLOWsutra JAZZ LOFI",37,G-37
Do Panic Now ✝ GROWsutra EPx13,https://soundcloud.com/bananasutra/sets/do-panic-now-growsutra-epx13,GROWsutra,"DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA","DUB,FOLK,GIPSY,INDIE,JAZZ,LOFI,MANTRA,RAGGA",13,13,2550,18,35:43,https://i1.sndcdn.com/artworks-BsO5CMcHbZ0M93kT-isQTpA-t500x500.png,L-61,,"BLOWsutra : REVOLT (now),FOLKsutra",[01] DO PANIC NOW - Murica Galaxy Rule Number 1 - Sweet FOLK,38,G-38
Donkeys Years - SHOWsutra Fanana Club Gratitude EPx20,https://soundcloud.com/bananasutra/sets/donkeys-years-showsutra-fanana-club-gratitude-epx20,SHOWsutra,"BURLESQUE,DUB,INDIE,JAZZ,LOFI,ROCK","BURLESQUE,CABARET,DUB,FLAMENCO,GIPSY,INDIE,JAZZ,LOFI,PSYCHEDELIC,RAGGA,ROCK",20,20,10796,103,59:12,https://i1.sndcdn.com/artworks-09nrbUudNilo3UyQ-Qz1LzA-t500x500.png,L-63,,"BURLESQUEsutra,INDIEsutra,JAZZsutra,LOFIsutra,SHOWsutra : FANANA Club,SHOWsutra where bananas play","Side A [02] Donkeys Years • SHOWsutra Fanana Club Gipsy La Poesita Cabaret Dub INDIE,Side B [18] Donkeys Years • SHOWsutra Fanana Club Gipsy Oh Boy Accordion Circus Waltz BURLESQUE,Side A [06] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Indie LOFI,Side A [09] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Indie Cello LOFI,Side B [17] Donkeys Years • SHOWsutra Fanana Club Psychedelic Gipsy IBYN Cabaret Rock BURLESQUE,Side A [01] Donkeys Years • SHOWsutra Fanana Club Gipsy Flamenco Cabaret Dub INDIE,Side B [13] Donkeys Years • SHOWsutra Fanana Club Gipsy Piano Kitten Cabaret Burlesque JAZZ",39,G-39
Double Standards EPx3 VOL. 1 • BURLESQUEsutra,https://soundcloud.com/bananasutra/sets/double-standards-epx3-burlesquesutra,GROWsutra,BURLESQUE,BURLESQUE,3,3,609,10,9:59,https://i1.sndcdn.com/artworks-EbCkPt5OXsQDVEWJ-qwqVYw-t500x500.jpg,L-64,,"BLOWsutra : APES (gone wrong),DUBsutra,KNOWsutra where questions matter",Double (decking) Standards VOL. 1 • DUBsutra,40,G-40
Double Standards EPx4 VOL. 2 ★ BLOWsutra LOFI,https://soundcloud.com/bananasutra/sets/double-standards-ep-4-vol-2,BLOWsutra,"FOLK,LOFI","FOLK,LOFI",4,4,755,4,12:16,https://i1.sndcdn.com/artworks-CzCzt9mTlZWzjTqp-8FLR4g-t500x500.png,L-64,,,,41,G-41
Dressed in (nothing butt) Wonder ★ Exxxplore and Play (EP) x16 Bananas,https://soundcloud.com/bananasutra/sets/dressed-in-nothing-butt-wonder-exxxplore-and-play-ep-x16-bananas,SHOWsutra,"BURLESQUE,DUB,FOLK","BURLESQUE,DUB,FOLK,RAGGA",16,16,3233,35,48:15,https://i1.sndcdn.com/artworks-1DyhYd51j78cqPch-AJYylQ-t500x500.png,L-65,2025-04-06 22:50,"BANJOsutra,SHOWsutra : FANANA Club,SHOWsutra where bananas play","[15] Oh My Cha Cha Cha • Accordion BURLESQUEsutra,[01] Dressed in Wonder • psyBLUES BANJOsutra",42,G-42
Dump Trump EPx4 🪦 BLOWsutra Burlesque ROCK,https://soundcloud.com/bananasutra/sets/dump-trump-epx4-blowsutra-burlesque-rock,BLOWsutra,"BURLESQUE,LOFI,MANTRA,ROCK","BURLESQUE,LOFI,MANTRA,PUNK,ROCK",4,4,719,5,12:41,https://i1.sndcdn.com/artworks-j9D9XVaWNRVgQ3WS-Ns1zng-t500x500.png,L-66,2025-09-04 20:33,,,43,G-43
