songbook,status,landr_url,sutras,secondary_sutra,topics_primary,description,songbook_id,songs,sutra_id_rollup
Speak: APES (gone wrong),OPEN,https://app.landr.com/library/folder/818c0334-195e-4b77-89ac-3d837bfa64f4,BLOWsutra,SHOWsutra,INJUSTICE,"Grifters, criminals, idiocrats. What happens when the apes take the wheel? Many songs on the subject... none of them wrong.",G-02-APES,"Le Bal Electoral,Le Système,""Le Système, ça voulait dire"",Criminels,Freedom To Lie Is The New Human Right,Serial Blowers,Criminals,Grifters,""Hey, Creeps"",Idiocracy Now,Ironic Moronic Eugenics,Le Bal Des Salauds,Le P'tit Jupiter,Men-Oh-Pause,Okie Dokie (No It's Not),Rhinoceross,Trust No One,""It's Enshittification, Darling""",02-BLOW
Speak: CENSOR(ed),REVIEW,https://app.landr.com/library/folder/d083c5e1-0879-4a7b-a050-c9ef83cd3fa0,BLOWsutra,KNOWsutra,INJUSTICE,"What they banned, deleted, redacted, and rewrote. Songs about the inconvenient truths that survive anyway.",G-02-CENS,"Hiding Secrets in Lies,Delete My Butt,Dear Edward (The Snowden Song),Silent Followers,GROCK,If We Had But(t) The Truth,L’Embobinage,Mass Media Freakshow,Read Me Harder (BB is for Banned Books),Secret De Polichinelle,Supreme Words (Whoop Whoop),The Dystopian Quiz Song,Wonderland of Bias",02-BLOW
Speak: EGO (gone loco),OPEN,https://app.landr.com/library/folder/9b69a27e-7c74-4c63-bb71-f0deeb968db3,BLOWsutra,KNOWsutra,EGO,"Narcissistic Personality Disorder in music. Songs about the people who confuse themselves with the whole universe, and the rest of us paying the tab.",G-02-EGO,"How Deep Is Your Shade?,Pablo's Grandeur,ABC of NPD,Learn The Signs,Liars,D.I.M.M.E.R.s,A Liar’s Prize,""But Who Says """"Say My Name"""""",DARVO-A-GOGO,Nietzsche's Gift (Muddy Waters),The Cabaret Where No One Knows,All the -Isms,Arrogant Hearts (Second hand Smoke),Comme Des Pions,Creeps,Ego Ain't Your Amigo,EGO's Masquerade,""Hey, You (Creepers)"",Jolly Poo,Male Fantasies,Males Fantasies (vol2),Relative Steve,Second Hand Smoke (Arrogant Hearts),The Narcissist's Cabaret",02-BLOW
Speak: REVOLT (now),REVIEW,https://app.landr.com/library/folder/f323efc0-0c2f-4a95-9d28-236633fb0c4e,BLOWsutra,GROWsutra,INJUSTICE,From Robert Burns to Victor Hugo to right now. The long arc of justice has always needed a banjo. So many songs. Don't wait...,G-02-REVO,"Kamala's Roots of Resilience,Weary Blues,Rebellion à L'Unisson,We Must Revolt,A Man's a Man and A' That,Bloom Past Doom,Do Panic Now,Liberty,""No Fear, My Dear"",""Oh, Freedom"",Optics Of Cruelty (DEFY),""Oy, We Care"",Revolution's Lit,""Rise Up, You Naked Peoples (Freedom Rings)"",Shameless (DEFY),Sidération,Sidération (The Sky Stood Still),Sidération Blues,Sidération's Calling,Spit Back the Lies,""Thank you, Mister Paine"",The Echo Song,""They Call It Freedom (Oh Hi, Sweet Honey Bun)"",Time For Rebel Romance,Universal Currency,What Dissent Looks Like Now,What If -Ism,Win-Win In Unity",02-BLOW
Speak: DUCK (shady),REVIEW,https://app.landr.com/library/folder/f4756dd1-ebf9-422c-a75b-8019e962bb54,QUACKsutra,SHOWsutra,POOLITICS,Meet Duck Shady. He's so much dumber and meaner than Slim Shady. And not funny at all.,G-02-DUC,"Ain't No Kid,Chuck Ain't Woke,Jingoism 101,Twatocracy (Encore et Encore),Presidential Joke of The Year,Chuck-A-Dick,Felon Nation,Hitlus With Your Best Shot,""Oh, WELP… The Duck."",""Shame on You Boo (Don-Be-Gone Orchestra, Duck of the Jungle)"",Syndrome Nom Nom,Trump Derangement Syndrome ™,Tweeting from the Throne,Duck OFF my back,Ignoramus Divine,Profane Obscenities,Creepy Con Meme,Daddy's a Creep,Dump Trump,Hide Your Pets,""It's War, My Friend"",Kamala Has A Dream,L'Accordéon De l'Ignorance,Mind the Felon,Pedo Nation (Felon Nation Redux),Project 2025 (Honky tonk dreams in the land of the free),RUN (Now If You Can),Shining Twins,SS Means Sacred Sp3rm,Stymy Stymy Yuck,The Ducktator (Lament),The Grazed Duck Luck,The President’s Above The Law,The Tyranny of Ignorance,The Weave,Who's Your Vladdy?,Why You Lie (To The People's Face)?,Woke 'em Whacks",02-QUACK
Speak: FOTUS Circus,REVIEW,https://app.landr.com/library/folder/5b2eec40-a948-45ef-81c4-77578edf6d53,QUACKsutra,BLOWsutra,POOLITICS,"Step right up. The FOTUS is in the ring, grotesque clowns are running the republic, and the entrance music is ubuesque. Enjoy.",G-02-CIRC,"""FOTUS Circus: Come On In, You Wretched Fools"",""FOTUS Circus: Step Inside, Don’t Mind The Crime"",""FOTUS Circus: Step right up, My Dearest Souls"",""FOTUS Circus: Welcome, You Fools"",Like A Criminal Strong Man,Freakshow King,Radio Static (The Dystopian Cabaret),Carnival FOTUS (ctd),FOTUS Circus: Angels Eyes,FOTUS Circus: Ginsberg Hollow (Horror) Show,The Accordion of Ignorance",02-QUACK
Speak: MAxxxA Saga,REVIEW,https://app.landr.com/library/folder/7378a42d-7956-4d24-9252-cbc6787ac170,QUACKsutra,KNOWsutra,POOLITICS,"MAGA, MAHA, MAKA, MAMA, MAWA. Six acronyms. One burning question: make America what, exactly?",G-02-MAXA,"MAHA (Make America Humane Again),MAKA (Make America Kind Again),Make Amurica Gulag Again (MAGA),MAMA (Make America Mine Achtung),MASA (Make America Safe Again),MAWA (Make America Woke Again)",02-QUACK
Play: (Be) The Fool,REVIEW,https://app.landr.com/library/folder/2faa814c-2b3e-4a57-9408-417ca3a79913,SHOWsutra,GROWsutra,FOOLERY,"The fool is not stupid. The fool is free. Songs in praise of cracked things, wiggling things, and the holy comedy of being human.",G-03-FOOL,"Frogs in the Cogs,Please Pardon My French,Real Winners Dance,Be The Fool (Embrace The Cracks),Be The Fool (Perfection Is A Lie),Fool On A Mission (No Name Game),Freedom Fries,Lolita In Pensacola,A Good Witch,Blessed By The Wiggle,Rachel Barks,Bee the Fool (Not A Lie),Blessed Are The Cracked,F-BOMB DUB,Hammy On Clyde,Hope is Do-Do-Dope,Some Songs Are More Fun Than Others,The Fool Who Knows,The Great Naked King",03-SHOW
Play: B.J. (is for banana jokes),REVIEW,https://app.landr.com/library/folder/86cd4b13-2e96-4f63-a913-f19e0cf63c0e,SHOWsutra,KNOWsutra,FOOLERY,Two songs walk into a bar. One's a banana joke. The other's wearing a mask. Still better than most political discourse.,G-03-BJ,"Lyrics Matter (FOOsutra) EDIT,I Know You Didn’t Ask,Bananasutra Cabaret,Lyrics Matter (FOOsutra),The Seven Sutras of Banana,This Is Not A Banana,Banana joke making us laugh,Who Needs A Big D?",03-SHOW
Play: FANANA (party),REVIEW,https://app.landr.com/library/folder/5371e7c6-75fa-40ab-adbb-0da70af825c9,SHOWsutra,GLOWsutra,FOOLERY,"Many songs, one invitation: come dressed as your most hilarious self. Featuring: dirty words, creepypastas, Bo Burnham covers, and feathers. Lots of feathers.",G-03-FANA,"""Just Be You, Oooh!
(A Birthday Sing-Along)"",Acoustic Attraction,Acousticophilia,""Not Bad, Friendo"",F is for Fabulous,Gunther BBQ,Buuuuurn!,Come Waddle With Me,Enshittification (Word of the Year),Penguins In Shoes,Singing Heavenly In Five Steps,Skanking Pickles,7 Dirty Words,An American in Paris (Public Domain),Bo Burnham Covers,Creepy Pasta (What The Hella),Dressed In (Nothing Butt) Wonder,Gladys in Sonderland,""Hi, My Name Is (Not Celine Dion)"",""I Did The Math (Everything is Stupid, Absurd, and Divine"",Linguistic Weaponry,SynthemaSutra,Zappa's Religion",03-SHOW
Dare: DARE (to care),REVIEW,https://app.landr.com/library/folder/f1f05f7a-043b-4815-87d0-0cd66f201610,GROWsutra,GLOWsutra,WISDOM,Songs about the one muscle nobody trains: the courage to actually give a damn. About truth. About others. About yourself.,G-04-DARE,"Possum Scrotum,Broken Whole,How Do We Find Meaning?,Let’s Play A Game Where We All Win! (If The Game Is Absurd),Blessed be Your Voice,Can You Play Win-Win Or No?,Do you ever Wonder?,Our Best (The Four Commandments),The Courage To Care,Because the Light,""Courage, care, and coconuts"",Double Standards,""Hello, Oh No"",""Hereby, I Cry"",""Hold The Mic, Babe"",""No, I'm Not Being Political (CIRCA 2025)"",""No, I'm Not Being Political (CIRCA 2026)"",One Percent Rising,V.O.I.C.E.S (Blessed Be),V.O.I.C.E.S (What You Want Baby),We Live Not By Lies,We Remember What (We Remember What) We Feel☉,What’s Behind Every Door?,Where Hope Expires,Why We Can't Be Brave?,Zero Sum (Zero Sean)",04-GROW
Dare: GOD (etc.),REVIEW,https://app.landr.com/library/folder/77d1539c-ec9b-4bb6-9c0f-a574a8dd5719,GROWsutra,KNOWsutra,RELIGION,"Honest, curious, and chronically unimpressed by official doctrine. Songs asking God (etc.) and his sheeples the questions the pew wouldn't permit.",G-04-GOD,"El Papito (Es No MAGA Show),Make your Own Bible,No Holy Fool,Ordo Amoris in Decay (All I Want Is To Believe),""Pro-life Means What, Honey?"",Queer Almighty,Reason Over Reverence,Seminal Bollocks,Shush (How To Help A Bible Bro Grow Up),Sing Your Own Gospel,The Atheist Tango,The Invisible Man In The Sky,Untamed,Waldo's Atheist Tango,Waldo's Fascist Tango (Down We Go),""Why trust an old, mean religion?""",04-GROW
Dare: KIND(ness),REVIEW,https://app.landr.com/library/folder/66ebc85f-45e2-4b68-ad63-d8410315420b,GROWsutra,GLOWsutra,BEAUTY,"Kindness: it's not about being nice, the soft kind with a bow on it, it's about being cleatnot . The fierce, deliberate, coconut-hard kind. Songs for the brave loving ones.",G-04-KIND,"Kids Just Want To Have Hope,Love from the Future (The Hesse Song),ABC Of Kindness,Glitter On A Turd,Jealousy (Not For Me),Kindness,Kindness,La Force Douce,Nous Sommes Le Feu,Peel Me Kindly,Tune In The Tender,What the Mirror Said (Reste Lucide),Who Knows Where How Happiness Truly Grows,WIN-WIN (dub)",04-GROW
EP: Peachy,IDEA,,FLOWsutra,GLOWsutra,BEAUTY,"Psychedelic peaches, jazzy white rabbits, and the kind of intimacy that doesn't need explaining. Prickly is good, sometimes.",G-03-KINK,"Wet (Prickly) Peaches vol.2,Where We Begin (Preakly Peaches)",05-FLOW
Trust: FLY (like water),REVIEW,https://app.landr.com/library/folder/452dce76-2d5a-4d6d-9b32-9693e3e6d0bc,FLOWsutra,BOWsutra,PEACE,"Bruce Lee, Tao, and a lot of trusting the river. Songs about the radical art of trust, the flow of letting go, without disappearing.",G-05-FLY,"Peace Unseen,Camus Dit Oui,Feel The Sway,Life's A Song,Self-Remembering,""Out of Step, Out Of Mind"",""Too Hard, My Friend"",Ain't Doing Bad Doing Nothing,Flow Like Water (My Friend),Fluye (como el mar),""Freee, La Fille"",Just Be,Making Songs Like,Sutra of Immanence,They Call Her Wild (But She's Just Free),Thrifting Memories,""Lightly, My Darling""",05-FLOW
Trust: WET (my friend),REVIEW,https://app.landr.com/library/folder/0d50fbc2-a1b6-4c6c-aa7e-fae84bf363ea,FLOWsutra,GLOWsutra,BEAUTY,"Songs where the pulse fasten, slowly but(t) surely. Sensual, tender, unapologetically honest. #pleasepardonmyfrench",G-05-WET,"Bare Your Soul (Velvet),Win-Win After Midnight,Feral Fandango,Open The Meow,Oxytocin,Curious Like A Kiss,I Think I Need a Good Spank!ng (in Madrid),Kiss A Pulse,Let's Do It,Segggsting,Sous Terre (Underground),Wet (Prickly) Peaches vol.2,When We Duende (All Night),When We Duende (Encore),Where We Begin (Preakly Peaches),Whispers (Lithium)",05-FLOW
Bless: POET(ry),REVIEW,https://app.landr.com/library/folder/6e0ccb1a-6fea-45ab-a6c4-50e375a72d9d,GLOWsutra,FLOWsutra,BEAUTY,Songs for the ones who believe words have wonderful meaning. Poetry isn't decoration. It's the thing that makes us human.,G-06-POET,"Poets Hats,Awe Is Like...,Clay Maiden,Wear The Words,Awe Is Mighty,Creo (La Poesia),La Poesia Importa,My Quest,""Poem (I wanted to be, basically)"",Poetry Matters,Poetry Nah Lie,Poetry Slow Burns,She Wears The Words,The Poem,The Quest,To Dream",06-GLOW
Bless: RAINBOWS (in my clouds),REVIEW,https://app.landr.com/library/folder/c06a0d3d-fd9e-40a8-840a-ad6501720903,GLOWsutra,BOWsutra,BEAUTY,"Because gratitude is the best! All the good things: toast, poppies, Jacques Brel, and the audacity to be delighted by all of it.",G-06-CLOU,"More Than A Plate (Anthony Bourdain <3),Berries & Beaches,Dream A Dog,Grateful For The Weird,Maupassant,The World We Knew,A Toast To The Good Life,Donkeys Years,French Poppies,Jacques Brel,Rainbows in the Clouds,This Is My Quest,Up a San Francisco Hill",06-GLOW
Bow: (Thank) Dogs,REVIEW,https://app.landr.com/library/folder/5c9e5bb3-a1fb-4830-b57a-2559061589a6,BOWsutra,GLOWsutra,WISDOM,Love songs for the creatures who never needed instructions on unconditional love. Who's a good soul? You are.,G-07-DOGS,"Blessed Be The Dogs,Dead Dogs Deets,Like A Dog In The Sky,Like A Dog In The Sky (SHOWsutra Edition)",07-BOW
Bow: Cosmic Bananas,REVIEW,https://app.landr.com/library/folder/4aea05c9-ac4d-402f-b74c-9acadaf7b4e2,BOWsutra,KNOWsutra,WISDOM,"Carl Sagan and Simone Weil agree... ultimately, life is all about the cosmic magic of Gravity and Grace.",G-07-WISE,"Who Knows What Goes On?,""We’re Tiny Specks, Right?""",07-BOW
Bow: Death (is nothing),REVIEW,https://app.landr.com/library/folder/fb1be50e-3ed1-4ddd-bde6-91f334d61900,BOWsutra,GLOWsutra,PEACE,"Death is nothing at all. Henry Scott Holland said so... gently, without lying, without rushing.",G-07-DEAT,"But Where Do Pigeons Go To Die?,The Umm Song,Darling,Easy (Death Is Nothing At All),""Oh, Martine""",07-BOW
EP: Best Teacher Award,LIVE,,BOWsutra,GLOWsutra,WISDOM,Because sometimes the best teacher isn't in a classroom. Sometimes it's love. Sometimes it's death. Usually both.,G-07-PROF,"Blessed Be The Dogs,Dead Dogs Deets,Like A Dog In The Sky,Like A Dog In The Sky (SHOWsutra Edition)",07-BOW
