﻿SONGBOOK name,Status,LANDR URL,SUTRA(s),Topics (primary),Description,ID,SUTRA ID Rollup (from SUTRA(s)),SONGs (Lyrics),# of songs
Play: (Be) The Fool,REVIEW,https://app.landr.com/library/folder/2faa814c-2b3e-4a57-9408-417ca3a79913,SHOWsutra,FOOLERY,"The fool is not stupid. The fool is free. Songs in praise of cracked things, wiggling things, and the holy comedy of being human.",G-03-FOOL,03-SHOW,"Bee the Fool (Not A Lie),F-BOMB DUB,Hope is Do-Do-Dope,Hammy On Clyde,Blessed Are The Cracked,Blessed By The Wiggle,Be The Fool (Embrace The Cracks),The Great Naked King,Rachel Barks,The Fool Who Knows,Please Pardon My French,Be The Fool (Perfection Is A Lie),Frogs in the Cogs,Some Songs Are More Fun Than Others,Freedom Fries,A Good Witch,Real Winners Dance,Fool On A Mission (No Name Game),Lolita In Pensacola",19
Play: B.J. (is for banana jokes),REVIEW,https://app.landr.com/library/folder/86cd4b13-2e96-4f63-a913-f19e0cf63c0e,SHOWsutra,FOOLERY,Two songs walk into a bar. One's a banana joke. The other's wearing a mask. Still better than most political discourse.,G-03-BJ,03-SHOW,"I Know You Didn’t Ask,Banana joke making us laugh,This Is Not A Banana,The Seven Sutras of Bananas,Bananasutra Cabaret,Who Needs A Big D?,Lyrics Matter (FOOsutra) EDIT,Lyrics Matter (FOOsutra)",8
Play: FANANA (party),REVIEW,https://app.landr.com/library/folder/5371e7c6-75fa-40ab-adbb-0da70af825c9,SHOWsutra,FOOLERY,"Many songs, one invitation: come dressed as your most hilarious self. Featuring: dirty words, creepypastas, Bo Burnham covers, and feathers. Lots of feathers.",G-03-FANA,03-SHOW,"Creepy Pasta (What The Hella),""Hi, My Name Is (Not Celine Dion)"",Acoustic Attraction,Come Waddle With Me,""Not Bad, Friendo"",Bo Burnham Covers,SynthemaSutra,Gunther BBQ,An American in Paris (Public Domain),Buuuuurn!,Zappa's Religion,Dressed In (Nothing Butt) Wonder,Acousticophilia,7 Dirty Words,F is for Fabulous,Gladys in Sonderland,Enshittification (Word of the Year),""I Did The Math (Everything is Stupid, Absurd, and Divine"",Linguistic Weaponry,Singing Heavenly In Five Steps,Skanking Pickles,Penguins In Shoes,""Just Be You, Oooh! (A Birthday Sing-Along)""",23
Dare: DARE (to care),REVIEW,https://app.landr.com/library/folder/f1f05f7a-043b-4815-87d0-0cd66f201610,GROWsutra,WISDOM,Songs about the one muscle nobody trains: the courage to actually give a damn. About truth. About others. About yourself.,G-04-DARE,04-GROW,"""Hold The Mic, Babe"",The Courage To Care,What’s Behind Every Door?,V.O.I.C.E.S (What You Want Baby),""Courage, care, and coconuts"",Blessed be Your Voice,V.O.I.C.E.S (Blessed Be),Zero Sum (Zero Sean),Can You Play Win-Win Or No?,Broken Whole,Let’s Play A Game Where We All Win! (If The Game Is Absurd),Because the Light,We Live Not By Lies,""No, I'm Not Being Political (CIRCA 2026)"",Why We Can't Be Brave?,Possum Scrotum,One Percent Rising,How Do We Find Meaning?,We Remember What (We Remember What) We Feel☉,""Hereby, I Cry"",Double Standards,Where Hope Expires,""No, I'm Not Being Political (CIRCA 2025)"",""Hello, Oh No"",Do you ever Wonder?,Our Best (The Four Commandments)",26
Dare: GOD (etc.),REVIEW,https://app.landr.com/library/folder/77d1539c-ec9b-4bb6-9c0f-a574a8dd5719,GROWsutra,RELIGION,"Honest, curious, and chronically unimpressed by official doctrine. Songs asking God (etc.) and his sheeples the questions the pew wouldn't permit.",G-04-GOD,04-GROW,"Seminal Bollocks,Waldo's Fascist Tango (Down We Go),The Invisible Man In The Sky,Queer Almighty,Waldo's Atheist Tango,Sing Your Own Gospel,No Holy Fool,Ordo Amoris in Decay (All I Want Is To Believe),""Why trust an old, mean religion?"",Untamed,The Atheist Tango,Make your Own Bible,El Papito (Es No MAGA Show),Reason Over Reverence,Shush (How To Help A Bible Bro Grow Up),""Pro-life Means What, Honey?""",16
Dare: KIND(ness),REVIEW,https://app.landr.com/library/folder/66ebc85f-45e2-4b68-ad63-d8410315420b,GROWsutra,BEAUTY,"Kindness: it's not about being nice, the soft kind with a bow on it, it's about being cleatnot . The fierce, deliberate, coconut-hard kind. Songs for the brave loving ones.",G-04-KIND,04-GROW,"Kids Just Want To Have Hope,Glitter On A Turd,La Force Douce,WIN-WIN (dub),Love from the Future (The Hesse Song),Nous Sommes Le Feu,Kindness,What the Mirror Said (Reste Lucide),Tune In The Tender,Peel Me Kindly,Jealousy (Not For Me),Who Knows Where How Happiness Truly Grows,Kindness,ABC Of Kindness",14
EP: Peachy,IDEA,,FLOWsutra,BEAUTY,"Psychedelic peaches, jazzy white rabbits, and the kind of intimacy that doesn't need explaining. Prickly is good, sometimes.",G-03-KINK,05-FLOW,"Where We Begin (Preakly Peaches),Wet (Prickly) Peaches vol.2",2
Trust: FLY (like water),REVIEW,https://app.landr.com/library/folder/452dce76-2d5a-4d6d-9b32-9693e3e6d0bc,FLOWsutra,PEACE,"Bruce Lee, Tao, and a lot of trusting the river. Songs about the radical art of trust, the flow of letting go, without disappearing.",G-05-FLY,05-FLOW,"""Freee, La Fille"",Peace Unseen,Ain't Doing Bad Doing Nothing,Just Be,Sutra of Immanence,""Too Hard, My Friend"",Self-Remembering,They Call Her... Out of Step,Flow Like Water (My Friend),Making Songs Like,Fluye (como el mar),Thrifting Memories,They Call Her Wild (But She's Just Free),Camus Dit Oui,Feel The Sway,Life's A Song",16
Trust: WET (my friend),REVIEW,https://app.landr.com/library/folder/0d50fbc2-a1b6-4c6c-aa7e-fae84bf363ea,FLOWsutra,BEAUTY,"Songs where the pulse fasten, slowly but(t) surely. Sensual, tender, unapologetically honest. #pleasepardonmyfrench",G-05-WET,05-FLOW,"Segggsting,When We Duende (Encore),Curious Like A Kiss (Kiss a Pulse),When We Duende (All Night),Kiss A Pulse,Bare Your Soul (Velvet),Let's Do It,Whispers (Lithium),Win-Win After Midnight,I Think I Need a Good Spank!ng (in Madrid),Where We Begin (Preakly Peaches),Wet (Prickly) Peaches vol.2,Oxytocin,Sous Terre (Underground),Open The Meow,Feral Fandango",16
Bless: POET(ry),REVIEW,https://app.landr.com/library/folder/6e0ccb1a-6fea-45ab-a6c4-50e375a72d9d,GLOWsutra,BEAUTY,Songs for the ones who believe words have wonderful meaning. Poetry isn't decoration. It's the thing that makes us human.,G-06-POET,06-GLOW,"To Dream,Poetry Matters,Awe Is Like...,Creo (La Poesia),Poetry Slow Burns,The Poem,Awe Is Mighty,Wear The Words,Poets Hats,My Quest,Poetry Nah Lie,La Poesia Importa,She Wears The Words,""Poem (I wanted to be, basically)"",The Quest,Clay Maiden",16
Bless: RAINBOWS (in my clouds),REVIEW,https://app.landr.com/library/folder/c06a0d3d-fd9e-40a8-840a-ad6501720903,GLOWsutra,BEAUTY,"Because gratitude is the best! All the good things: toast, poppies, Jacques Brel, and the audacity to be delighted by all of it.",G-06-CLOU,06-GLOW,"Jacques Brel,A Toast To The Good Life,Berries & Beaches,French Poppies,This Is My Quest,Rainbows in the Clouds,Grateful For The Weird,More Than A Plate (Anthony Bourdain <3),Donkeys Years,Up a San Francisco Hill,Dream A Dog,The World We Knew,Maupassant",13
Bow: (Thank) Dogs,REVIEW,https://app.landr.com/library/folder/5c9e5bb3-a1fb-4830-b57a-2559061589a6,BOWsutra,WISDOM,Love songs for the creatures who never needed instructions on unconditional love. Who's a good soul? You are.,G-07-DOGS,07-BOW,"Like A Dog In The Sky,Blessed Be The Dogs,Like A Dog In The Sky (SHOWsutra Edition),Dead Dogs Deets",4
Bow: Cosmic Bananas,REVIEW,https://app.landr.com/library/folder/4aea05c9-ac4d-402f-b74c-9acadaf7b4e2,BOWsutra,WISDOM,"Carl Sagan and Simone Weil agree... ultimately, life is all about the cosmic magic of Gravity and Grace.",G-07-WISE,07-BOW,"""We’re Tiny Specks, Right?"",Who Knows What Goes On?",2
Bow: Death (is nothing),REVIEW,https://app.landr.com/library/folder/fb1be50e-3ed1-4ddd-bde6-91f334d61900,BOWsutra,PEACE,"Death is nothing at all. Henry Scott Holland said so... gently, without lying, without rushing.",G-07-DEAT,07-BOW,"Darling,Easy (Death Is Nothing At All),But Where Do Pigeons Go To Die?,""Oh, Martine"",The Umm Song",5
EP: Best Teacher Award,LIVE,,BOWsutra,WISDOM,Because sometimes the best teacher isn't in a classroom. Sometimes it's love. Sometimes it's death. Usually both.,G-07-PROF,07-BOW,"Like A Dog In The Sky,Blessed Be The Dogs,Like A Dog In The Sky (SHOWsutra Edition),Dead Dogs Deets",4
