lyrics_id,song_title,sutra,lyrics_status,in_app_count,sc_variants_below_filter,max_plays_across_variants,total_plays_across_variants,best_variant_ep,best_variant_url
L-66,Dump Trump,QUACKsutra,PUBLISHED,0,4,212,719,Dump Trump EPx4 🪦 BLOWsutra Burlesque ROCK,https://soundcloud.com/bananasutra/03-dump-trump-quacksutra-burlesque-punk-rock-3
L-31,Blaise's Tale,KNOWsutra,PUBLISHED,0,3,202,587,Blaise's Tale ⭐︎ EPx3 ⭐︎ KNOWsutra Folk Cabaret,https://soundcloud.com/bananasutra/03-blaises-tale-knowsutra-cheeky-cabaret-burlesque-3
L-236,Sutra of Immanence,FLOWsutra,PUBLISHED,0,3,206,571,Sutra of Immanence - FLOWsutra Dog Poetry - Jazz & Dub EPx3,https://soundcloud.com/bananasutra/01-sutra-of-immanence-pawsutra-flow-dub-1
L-206,Relative Steve,BLOWsutra,PUBLISHED,0,2,193,362,Relative Steve - KNOWsutra Hip de la HoP EPx2 Bass Interlude,https://soundcloud.com/bananasutra/relative-steve-knowsutra-psy-hip-weee-hop-1
L-87,"Genius, You See",KNOWsutra,PUBLISHED,0,2,145,288,Genius EP,https://soundcloud.com/bananasutra/genius-you-see-o
L-314,What Justifies The Pain?,KNOWsutra,LANDR READY,0,1,295,295,,https://soundcloud.com/bananasutra/what-justifies-the-pain-o
L-1,7 Dirty Words,SHOWsutra,PUBLISHED,0,1,154,154,,https://soundcloud.com/bananasutra/7-dirty-words-o-inspired-by
L-223,Sidération,BLOWsutra,PUBLISHED,0,1,204,204,Sidération Blues - A Song of Wrong - EPx7 Vol 3 of 4,https://soundcloud.com/bananasutra/06-sideration-no-velvet-scream-bluessutra-6
L-60,Delete My Butt,BLOWsutra,NEEDS REVIEW,0,1,178,178,Because the Light ☉ EPx4 VOL.01,https://soundcloud.com/bananasutra/03-because-the-fight-cheeky-burlesquesutra-3
L-12,AI Fair Use Manifesto,KNOWsutra,NEEDS REVIEW,0,1,179,179,AI Fair Use Manifesto EPx3 VOL.1 : LOFI BURLESQUE BLUES,https://soundcloud.com/bananasutra/1-ai-fair-use-manifesto-psylofi-1
L-58,Dead Dogs Deets,BOWsutra,PUBLISHED,0,1,218,218,"Best Teacher Award, in Love & Death : Indie Bliss EPx3 VOL. 1 : BOWsutra",https://soundcloud.com/bananasutra/1-dead-dog-deets-emo-indiesutra-1
L-142,Liars,BLOWsutra,NEEDS REVIEW,0,1,288,288,,https://soundcloud.com/bananasutra/liars-o-piano-indiesutra
L-32,Blessed Are The Cracked,SHOWsutra,PUBLISHED,0,1,245,245,Blessed Are the Cracked EP X3,https://soundcloud.com/bananasutra/blessed-are-the-cracked-jazz
L-249,The Grazed Duck Luck,QUACKsutra,PUBLISHED,0,1,134,134,,https://soundcloud.com/bananasutra/grazed-duck-luck-o-sutrablow
L-245,The Ducktator (Lament),QUACKsutra,PUBLISHED,0,1,166,166,,https://soundcloud.com/bananasutra/the-ducktator-lament-o-thats
L-53,Criminels,BLOWsutra,LANDR READY,0,1,158,158,Crimina/els EP,https://soundcloud.com/bananasutra/criminels-o-cest-la-vie-haha-o
L-346,Broken Whole,GROWsutra,NEEDS REVIEW,0,1,161,161,,https://soundcloud.com/bananasutra/broken-whole-o-when-no-drama
L-52,Criminals (Bertrand Edition),KNOWsutra,LANDR,0,1,232,232,Crimina/els EP,https://soundcloud.com/bananasutra/criminals-we-just-cant-escape
L-300,Who Knows Where How Happiness Truly Grows,GROWsutra,PUBLISHED,1,28,253,5234,Who Knows Where How Happiness Truly Grows ☰ GROWsutra EPx29,https://soundcloud.com/bananasutra/19-who-knows-where-how-happiness-truly-grows-duende-folk-19
L-113,Idiocracy Now,BLOWsutra,PUBLISHED,1,10,231,1771,Idiocracy Now ✪ QUACKsutra EPx10,https://soundcloud.com/bananasutra/07-idiocracy-now-quacksutra-post-punk-burlesque-punk-rock-7
L-246,The Dystopian Quiz Song,BLOWsutra,PUBLISHED,1,9,219,1549,The Dystopian Quiz Song ★ EPx15 ★ Acoustic SOULsutra,https://soundcloud.com/bananasutra/the-dystopian-quizz-song-v1-blues-circus-soulsutra-5
L-280,Waldo's Atheist Tango,GROWsutra,PUBLISHED,1,9,239,1659,Atheist Tango EP x9 VOL. 1 ☰ Waldo's Burlesque Tales of Truth,https://soundcloud.com/bananasutra/9-waldos-atheist-tango-pbgal-burlesque-folk-9
L-9,ABC Of Kindness,GROWsutra,PUBLISHED,1,9,210,1574,ABCs of Kindness - KNOWsutra,https://soundcloud.com/bananasutra/abc-of-kindness-a-is-for-3
L-154,Male Fantasies,BLOWsutra,PUBLISHED,1,8,262,1385,Male Fantasies • CheekySUTRA EPx6 VOL. 02,https://soundcloud.com/bananasutra/2-male-fantasies-epx6-vol-02-burlesquesutra-2
L-115,Ironic Moronic Eugenics,BLOWsutra,PUBLISHED,1,7,242,1322,Ironic Moronic Eugenics ☤ What Happens When KNOWsutra & BLOWsutra Make a Baby,https://soundcloud.com/bananasutra/05-ironic-moronic-eugenics-blowsutra-psychedelic-banjo-booya-blues-5
L-230,Some Truths Are Harder to Swallow,KNOWsutra,LANDR,1,7,196,1192,Some Truths (Are Harder to Swallow) EPx7,https://soundcloud.com/bananasutra/some-truths-are-harder-to-1
L-175,One Percent Rising,GROWsutra,PUBLISHED,1,5,247,1088,One Percent Rising • GROWsutra (Dare to Care) Psychedelic Indie EPx6,https://soundcloud.com/bananasutra/05-one-percent-rising-growsutra-dare-to-care-psychedelic-indie-gipsy-hip-hop-fusion-lofi-5
L-152,Make your Own Bible,GROWsutra,PUBLISHED,1,5,202,895,Make your Own Bible EP x6 VOL. 1 ℧ A Jazzy Burlesque Folk Trip Hop LOFI Venture (oui oui),https://soundcloud.com/bananasutra/1-make-your-own-bible-queenofauthentic-growsutra-folk-1
L-196,"Pro-life Means What, Honey?",GROWsutra,PUBLISHED,1,5,216,916,"Pro-life means what, honey?",https://soundcloud.com/bananasutra/pro-life-means-what-honey-o-3
L-301,Who Needs A Big D?,SHOWsutra,PUBLISHED,1,4,257,859,Who Needs a Big D? EP x8 VOL. 1 - JAZZ 'n DUB,https://soundcloud.com/bananasutra/5-who-needs-a-big-d-oh-boy-cello-burlesque-5
L-71,"En Vrai, On Est Tous Frères",KNOWsutra,PUBLISHED,1,4,258,803,"En Vrai, On Est Tous Frères ䷁ FRENCH BLUESsutra EPx5",https://soundcloud.com/bananasutra/en-vrai-on-est-tous-fre-res-2
L-257,The Tyranny of Ignorance,QUACKsutra,PUBLISHED,1,4,201,700,The Accordion of Ignorance EP X4,https://soundcloud.com/bananasutra/the-tyranny-of-ignorance-3
L-170,Nous Sommes Le Feu,GROWsutra,PUBLISHED,1,3,284,666,Nous Sommes Le Feu EPx4 ☲ GROWsutra French Peace Indie,https://soundcloud.com/bananasutra/03-nous-sommes-le-feu-muse-dubsutra-jazz-3
L-69,EGO's Masquerade,BLOWsutra,PUBLISHED,1,3,200,559,EGO's Masquerade • EPx4 • BLOWsutra Tzigane Trip Hop Lo-Fi INDIE,https://soundcloud.com/bananasutra/04-egos-masquerade-tzigane-trip-hop-lo-fi-indie-4
L-124,Kids Are Asking,KNOWsutra,PUBLISHED,1,2,192,374,Kids Are Asking ✪ KNOWsutra But(t) Why EPx3,https://soundcloud.com/bananasutra/01-kids-are-asking-knowsutra-butt-why-sweet-dreams-indie-folk-1
L-217,Shades of Fools (All I Know),KNOWsutra,PUBLISHED,1,2,241,472,All I Know • Shades of Fools (It's the Why) • KNOWsutra EPx5 Vol. 02,https://soundcloud.com/bananasutra/02-all-i-know-shades-of-fools-knowsutra-accordion-chanson-jazz-burlesque-2
L-5,A Man's a Man and A' That,BLOWsutra,PUBLISHED,1,2,181,356,A Man's a Man and A' That (à la bananasutra) EPx3 - VOL. 02 - Revolution Forever,https://soundcloud.com/bananasutra/03-a-mans-a-man-for-a-that-vol-02-a-spin-on-robert-burns-revolutionary-song-drum-mantra-3
L-48,Creepy Con Meme,QUACKsutra,PUBLISHED,1,1,186,186,Creepy Con Meme EPX2 • Dicky Ducky DUBsutra,https://soundcloud.com/bananasutra/creepy-con-meme-o-ducky
L-200,Question The Nation,KNOWsutra,PUBLISHED,2,8,211,1592,Question the Nation • EPx10 • BLOWsutra Psychedelic Dub Revolution,https://soundcloud.com/bananasutra/08-question-the-nation-blowsutra-revolt-now-gipsy-indie-trip-hope-dub-lofi-8
L-33,Blessed Be The Dogs,BOWsutra,PUBLISHED,2,8,284,1601,Blessed Be the Dogs ☰ SHOWsutra EPx9 ☰ Post-Punk Burlesque ROCK,https://soundcloud.com/bananasutra/02-blessed-be-the-dogs-showsutra-post-punk-burlesque-rock-2
L-118,Jacques Brel,GLOWsutra,PUBLISHED,2,7,276,1423,Jacques Brel : French EPx9 : GLOWsutra Burlesque Indie Blues Gratitude POET(ry),https://soundcloud.com/bananasutra/05-jacques-brel-french-glowsutra-psychedelic-circus-cello-chanson-indie-5
L-67,Easy (Death Is Nothing At All),BOWsutra,PUBLISHED,2,7,229,1403,Easy (Death Is Nothing At All) ❣ BOWsutra EPx9,https://soundcloud.com/bananasutra/05-easy-death-is-nothing-at-all-bowsutra-poetry-is-the-bridge-indie-dub-5
L-133,La Poesia Importa,GLOWsutra,PUBLISHED,2,5,294,1261,La Poesia Importa ♕ EPx7 VOL.01 ♕ Bananasutra En Español,https://soundcloud.com/bananasutra/07-la-poesia-importa-oh-boy-accordion-burlesquesutra-7
L-96,"Hereby, I Cry",GROWsutra,PUBLISHED,2,3,214,560,"Hereby, I Cry ☠ BLOWsutra EPx5",https://soundcloud.com/bananasutra/03-hereby-i-cry-we-sing-dub-3
L-234,Stymy Stymy Yuck,QUACKsutra,PUBLISHED,2,2,232,435,Stymy Stymy Yuck : A Story of Old Bastards - EPx5 VOL.1 - DUBsutra,https://soundcloud.com/bananasutra/3-stymy-stymy-yuck-o-hope-jazz
L-259,There's No Prayer Like Desire,KNOWsutra,PUBLISHED,2,1,218,218,There's No Prayer Like Desire • KNOWsutra But(t) Why EPx4,https://soundcloud.com/bananasutra/02-theres-no-prayer-like-desire-knowsutra-butt-why-banjo-destiny-blues-2
L-240,"Thank you, Mister Paine",BLOWsutra,PUBLISHED,2,1,198,198,"Thank you, Mister Paine - American Accountability Revolution Blues EPx3",https://soundcloud.com/bananasutra/01-thank-you-mister-paine-american-accountability-revolution-bluessutra-1
L-233,SS Means Sacred Sp3rm,QUACKsutra,PUBLISHED,3,16,258,2919,SS Means Sacred Sp3rm ☠ BLOWsutra EPx19,https://soundcloud.com/bananasutra/07-ss-means-sacred-sp3rm-jazzy-folk-7
L-90,Grifters,BLOWsutra,PUBLISHED,3,11,284,2575,Grifters • BLOWsutra (Apes Gone Wrong) EPx14,https://soundcloud.com/bananasutra/04-grifters-blowsutra-psychedelic-post-punk-country-burlesque-banjo-blues-4
L-120,Jolly Poo,BLOWsutra,PUBLISHED,3,11,296,2134,Jolly Poo - EPx15 VOL. 01 - Banjo Blues BLOWsutra,https://soundcloud.com/bananasutra/06-jolly-poo-who-knew-bad-dawgs-dont-bark-they-only-growl-in-your-back-weary-bluessutra-6
L-42,Cassandra's Lullaby,KNOWsutra,PUBLISHED,3,8,281,1573,Cassandra’s Lullaby • KNOWsutra EPx11 World,https://soundcloud.com/bananasutra/02-cassandras-lullaby-french-accordion-burlesque-indie-folk-2
L-84,"Freee, La Fille",FLOWsutra,PUBLISHED,3,6,247,1184,"Freee, La Fille • French SHOWsutra Psychedelic EPx10",https://soundcloud.com/bananasutra/10-freee-la-fille-french-showsutra-psychedelic-ragga-dub-10
L-102,"Hold The Mic, Babe",GROWsutra,PUBLISHED,3,5,231,944,"Hold the Mic, Babe  EP X7 | Soul Prayer Lullabies",https://soundcloud.com/bananasutra/5-hold-the-mic-babe
L-229,Some Songs Are More Fun Than Others,SHOWsutra,PUBLISHED,3,4,215,722,some songs are more fun than others EP x8 ∞,https://soundcloud.com/bananasutra/some-songs-are-more-seuss-than
L-268,Trauma Begets Trauma,KNOWsutra,PUBLISHED,3,2,257,479,Trauma Begets Trauma - KNOWsutra Peace (not War) Piano Kitten Truth EPx5,https://soundcloud.com/bananasutra/05-trauma-begets-trauma-knowsutra-whimsical-gipsy-peace-kitten-dream-piano-indie-5
L-140,Let's Do It,FLOWsutra,PUBLISHED,3,1,135,135,Let’s Do It (Let's Fall in Love) EP • Public Domain Lyrics • JAZZsutra,https://soundcloud.com/bananasutra/lets-do-it-o-public-domain
L-161,Mind the Felon,QUACKsutra,PUBLISHED,3,1,153,153,Mind the Felon EP X5 | JAZZ LOFI : Psychedelic Paradox Soul Chanson,https://soundcloud.com/bananasutra/5-mind-the-felon
L-99,"Hi, My Name Is (Not Celine Dion)",SHOWsutra,PUBLISHED,4,19,268,3645,"Hi, My Name Is (Not Celine Dion) - Vol03 EPx11 - SHOWsutra Gipsy Trip Hop World LoFi Edition",https://soundcloud.com/bananasutra/06-hi-my-name-is-not-celine-dion-showsutra-gipsy-fusion-trip-hop-world-lofi-6
L-226,Sidération's Calling,BLOWsutra,PUBLISHED,4,9,248,1818,Sidération's Calling - White House's Burning - EPx13 Vol 4 of 4,https://soundcloud.com/bananasutra/12-siderations-calling-white-houses-burning-f-bomb-2-lofisutra-12
L-214,Seminal Bollocks,GROWsutra,PUBLISHED,4,8,229,1582,Seminal Bollocks EP,https://soundcloud.com/bananasutra/seminal-bollocks
L-288,What It's About,KNOWsutra,PUBLISHED,4,8,231,1586,What It's About - Blues Dub Murica Mantra EPx7,https://soundcloud.com/bananasutra/04-what-its-about-dubsutra-4
L-302,Who's Your Vladdy?,QUACKsutra,PUBLISHED,4,7,248,1422,Who's Your Vladdy? EPx10 ☿ BLOWsutra World Peace Fusion Indie,https://soundcloud.com/bananasutra/01-whos-your-vladdy-blowsutra-psychedelic-gipsy-clarinet-dream-indie-1
L-14,Ain't Doing Bad Doing Nothing,FLOWsutra,PUBLISHED,4,6,283,1140,Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Vol. 02 EPx10 ⭐︎ FLOWsutra Wet JAZZ,https://soundcloud.com/bananasutra/03-aint-doing-bad-doing-public-domain-lyrics-fun-flowsutra-wet-jazz-3
L-157,Mass Media Freakshow,BLOWsutra,PUBLISHED,4,6,209,961,Mass Media Freakshow EPx13 VOL.02 ⭐︎ Terrence MCKenna KNOWs ⭐︎ Burlesque or Snooze?,https://soundcloud.com/bananasutra/07-mass-media-freakshow-mckennas-burlesque-chanson-7
L-296,Where Hope Expires,GROWsutra,PUBLISHED,4,5,198,884,Where Hope Expires ℧ EPx8 VOL.02,https://soundcloud.com/bananasutra/where-hope-expires-dem-sed-indie-dub-1
L-304,Why We Can't Be Brave?,GROWsutra,PUBLISHED,4,4,202,733,Why We Can't Be Brave? ☷ GROWsutra (Censored) Cello EPx8,https://soundcloud.com/bananasutra/01-why-we-cant-be-brave-growsutra-censored-psychedelic-accordion-cello-waltz-burlesque-1
L-227,Sing Your Own Gospel,GROWsutra,PUBLISHED,4,3,268,661,"Sing Your Own Gospel • Vol. 2 EPx7 • GROWsutra (God, Etc) Revolutionary Gipsy JAZZ",https://soundcloud.com/bananasutra/05-sing-your-own-gospel-growsutra-god-etc-gipsy-piano-jazz-5
L-185,Peel Me Kindly,GROWsutra,PUBLISHED,4,3,229,557,Peel Me Kindly 🍌 SHOWsutra Gone Banana à la Gipsy JAZZ EPx7,https://soundcloud.com/bananasutra/03-peel-me-kindly-flowsutra-gone-banana-joke-gipsy-jazz-3
L-132,La Force Douce,GROWsutra,PUBLISHED,4,3,250,438,La Force Douce EPx7 ✪ French GROWsutra World Peace Duende LoFi Indie Fusion,https://soundcloud.com/bananasutra/05-la-force-douce-french-growsutra-tzigane-peace-soul-fusion-lofi-indie-5
L-189,Poetry Matters,GLOWsutra,PUBLISHED,4,3,204,513,Poetry Matters ☰ BANJOsutra EPx2,https://soundcloud.com/bananasutra/poetry-matters-1-banjosutra
L-247,The Echo Song,BLOWsutra,PUBLISHED,4,1,279,279,The Echo Song ☭ Russian EPx3 ☭ Gipsy BLOWsutra LoFi Blues (Vladimir Vysotsky Cover),https://soundcloud.com/bananasutra/01-the-echo-song-vladimir-vysotsky-cover-russian-blowsutra-gipsy-arabesk-world-peace-indie-trip-pop-lofi-1
L-191,Poetry Slow Burns,GLOWsutra,PUBLISHED,4,1,252,252,Poetry Slow Burns ☲ EPx5 Vol.01 ☲ DUBsutra,https://soundcloud.com/bananasutra/04-poetry-slow-burns-dubsutra-4
L-218,Shady Fools,KNOWsutra,PUBLISHED,4,1,148,148,Shades of Fools EPx9,https://soundcloud.com/bananasutra/9-shady-fools-o-all-i-know-is
L-198,Queer Almighty,GROWsutra,PUBLISHED,5,11,214,1886,Queer Almighty (Holy Questions Matter) - EPx16 VOL. 02,https://soundcloud.com/bananasutra/13-queer-almighty-born-to-waltz-banjosutra-14
L-95,"Hello, Oh No",GROWsutra,PUBLISHED,5,10,242,2005,"Hello, Oh No • EPx16 • GROWsutra Psychedelic Logic Harmonics",https://soundcloud.com/bananasutra/15-hello-oh-no-growsutra-post-punk-piano-bar-gal-cabaret-burlesque-15
L-117,"It's War, My Friend",QUACKsutra,PUBLISHED,5,10,228,1927,"It's War, My Friend ☳ QUACKsutra EPx15",https://soundcloud.com/bananasutra/08-its-war-my-friend-quacksutra-psychedelic-blues-8
L-88,Gladys in Sonderland,SHOWsutra,PUBLISHED,5,7,258,1501,Gladys in Sonderland EPx14 • SHOWsutra Psychedelic Gipsy Dream,https://soundcloud.com/bananasutra/01-gladys-in-sonderland-showsutra-psychedelic-gipsy-arabesk-lofi-waltz-fool-moon-indie-1
L-359,"We’re Tiny Specks, Right?",BOWsutra,PUBLISHED,5,6,215,1193,"We're Tiny Specks, Right • BOWsutra",https://soundcloud.com/bananasutra/10-were-tiny-specks-right-bowsutra-cosmic-banana-psychedelick-motorik-indie-10
L-274,"Two Things, Darling",KNOWsutra,PUBLISHED,5,6,225,1109,"Two Things, Darling • EPx11 • KNOWsutra (Bertrand) Conscious Gipsy LoFi Blues INDIE",https://soundcloud.com/bananasutra/01-two-things-darling-knowsutra-bertrand-knows-tzigane-peace-conscious-fusion-indie-lofi-1
L-262,"They Call It Freedom (Oh Hi, Sweet Honey Bun)",BLOWsutra,PUBLISHED,5,6,211,1069,"They Call It Freedom (Oh Hi, Sweet Honey Bun) ✯ BLOWsutra (Revolt Now) EPx11",https://soundcloud.com/bananasutra/04-they-call-it-freedom-oh-hi-sweet-honey-bun-blowsutra-revolt-now-psychedelic-gipsy-doing-doing-indie-hip-hop-lofi-4
L-212,Secret De Polichinelle,BLOWsutra,PUBLISHED,5,5,270,1158,Secret de Polichinelle 🎪 French EPx10 🎪 KNOWsutra Psychedelic Gipsy Circus,https://soundcloud.com/bananasutra/03-secret-de-polichinelle-french-knowsutra-keep-it-real-psychedelic-gipsy-circus-bass-cello-burlesque-3
L-72,Everybody Knows,KNOWsutra,PUBLISHED,5,3,209,401,Everybody Knows ✔ Vol. 03 - EPx7 ✔ KNOWsutra Gipsy Trip Hop Truth Prayer Dream,https://soundcloud.com/bananasutra/03-everybody-knows-knowsutra-psychedelic-trip-hop-cello-piano-waltz-indie-3
L-239,Tell The Truth,KNOWsutra,PUBLISHED,5,3,204,570,Tell The Truth (encore) KNOWsutra EPx9 Vol. 04,https://soundcloud.com/bananasutra/04-tell-the-truth-knowsutra-psychedelic-bass-bluesy-rock-cover-4
L-36,Bloom Past Doom,BLOWsutra,PUBLISHED,5,2,170,326,Bloom Past Doom (Apes Gone Wrong Series) EPx5 - BLOWsutra (Revolt Now)  Grassroots Hope Song,https://soundcloud.com/bananasutra/05-bloom-past-doom-apes-gone-wrong-blowsutra-revolt-now-bass-heartbeat-pluck-cello-jazz-indie-6
L-182,Peace Matters More,KNOWsutra,PUBLISHED,5,2,214,402,Peace Matters More (The Only Wish Worth Making) 🪽 GROWsutra Birthday Wish Song,https://soundcloud.com/bananasutra/06-peace-matters-more-growsutra-gipsy-hop-dub-6
L-190,Poetry Nah Lie,GLOWsutra,PUBLISHED,5,2,222,398,Poetry Nah Lie ☲ EPx6 Vol.01 ☲ DUBsutra,https://soundcloud.com/bananasutra/05-poetry-nah-lie-ragga-dubsutra-5
L-97,"Hey, Creeps",BLOWsutra,PUBLISHED,6,14,289,2839,"Hey, Creeps • EPx20 • BLOWsutra Ego Gone Loco",https://soundcloud.com/bananasutra/03-hey-creeps-blowsutra-ego-gone-a-la-psychedelic-gipsy-grouchy-cosmic-punk-lofi-3
L-80,Foolish Goldfish (Forever),KNOWsutra,PUBLISHED,6,9,272,1970,Foolish Goldfish (Forever) ❃ Vol. 02 EPx15 ❃ KNOWsutra Peace (Not War),https://soundcloud.com/bananasutra/13-foolish-goldfish-forever-knowsutra-peace-not-war-kindness-is-in-the-depth-bluesy-dub-folk-13
L-159,Men-Oh-Pause,BLOWsutra,PUBLISHED,6,8,291,1854,Men-Oh-Pause 🩸 KNOWsutra EPx14,https://soundcloud.com/bananasutra/06-men-oh-pause-growsutra-f-bomb-hip-hop-lofi-6
L-134,Le Bal Des Salauds,BLOWsutra,PUBLISHED,6,3,250,623,Le Bal Des Salauds - French BLOWsutra Indie Gipsy Burlesque EPx9,https://soundcloud.com/bananasutra/06-le-bal-des-salauds-french-blowsutra-gipsy-accordion-indie-folk-burlesque-6
L-286,What Dissent Looks Like Now,BLOWsutra,PUBLISHED,7,7,274,1561,This Is What Dissent Looks Like Now - BLOWsutra (Revolution Ring) Jazz Indie LoFi Dream,https://soundcloud.com/bananasutra/12-what-dissent-looks-like-now-blowsutra-psychedelic-hip-hop-bruh-cabaret-rap-lofi-13
L-282,We Live Not By Lies,GROWsutra,PUBLISHED,7,5,259,1076,We Live Not By Lies ⚬ EPx12 ⚬ GROWsutra Revolution Ring,https://soundcloud.com/bananasutra/05-we-live-not-by-lies-growsutra-tzigane-arabesk-fusion-indie-lofi-5
L-232,Spit Back the Lies,BLOWsutra,PUBLISHED,8,12,198,1937,Spit Back The Lies • BLOWsutra (Revolution Ring) EPx20,https://soundcloud.com/bananasutra/12-spit-back-the-lies-blowsutra-revolution-ring-indie-gipsy-hip-hop-fusion-lofi-12
L-202,Rainbows in the Clouds,GLOWsutra,PUBLISHED,8,7,188,1193,Rainbows in the Clouds • GLOWsutra Dub LoFi Blues,https://soundcloud.com/bananasutra/06-rainbows-in-the-clouds-glowsutra-gipsy-tripsy-conscious-hop-lofi-6
L-243,The Atheist Tango,GROWsutra,PUBLISHED,8,4,199,686,"The Atheist Tango • Vol. 2 EPx12  •  GROWsutra (God, Etc) Conscious Gipsy LoFi Burlesque Jazz",https://soundcloud.com/bananasutra/11-the-atheist-tango-growsutra-god-etc-burlesque-gipsy-tripsy-panther-piano-jazz-11
L-129,Kiss A Pulse,FLOWsutra,PUBLISHED,9,7,232,1308,Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) EPx16,https://soundcloud.com/bananasutra/04-kiss-a-pulse-glowsutra-lucille-clifton-poetry-indie-gipsy-fusion-lofi-4
L-149,MAHA (Make America Humane Again),QUACKsutra,PUBLISHED,9,2,201,390,MAHA (Make America Humane Again) ☆ VOL.2 EPx6 ☆ BLOWsutra (MAxA Series) Psychedelic Trip Hop,https://soundcloud.com/bananasutra/05-maha-make-america-humane-again-vol-2-blowsutra-gipsy-lofi-trip-lo-hop-blues-5
L-263,This Is My Quest,GLOWsutra,PUBLISHED,10,11,255,2247,This Is My Quest • GROWsutra (Dare to Care) Dream EPx19,https://soundcloud.com/bananasutra/08-this-is-my-quest-growsutra-la-poesita-gipsy-fado-flamenco-duende-dub-8
L-250,The Great Naked King,SHOWsutra,PUBLISHED,11,19,230,3652,The Great Naked King • SHOWsutra Psychedelick Fools Cabaret EPx30,https://soundcloud.com/bananasutra/02-the-great-naked-king-showsutra-tribal-psychedelick-gipsy-flamenco-fado-techno-indie-2
L-228,"So, What Is Racism?",KNOWsutra,PUBLISHED,12,5,245,1021,"So, What Is Racism • EPx9 Vol. 2 • KNOWsutra Gipsy Jazz + LoFi",https://soundcloud.com/bananasutra/06-so-what-is-racism-knowsutra-ethically-gipsy-fusion-lofi-6
L-68,Ego Ain't Your Amigo,BLOWsutra,PUBLISHED,14,19,233,3507,Ego Ain't Your Amigo ⭐︎ EPx14 VOL. 01 ⭐︎ True Tales of BLUESsutra,https://soundcloud.com/bananasutra/03-ego-aint-your-amigo-destiny-folk-banjo-blues-3
L-3,A Letter To My Friend (Never Again),KNOWsutra,PUBLISHED,15,29,282,5671,A Letter to My Friend (Never Again) EPx44 ☮ GROWsutra World Peace Mantra,https://soundcloud.com/bananasutra/36-letter-to-my-friend-never-again-growsutra-wueen-of-authenthic-dubby-banjo-folk-36
