MUSE Name,First Name,Last Name,Gender / Pronoun,"Type, Category",Country,Era,Birth Year,Death year,Famous Work(s),Core SUTRA,Secondary SUTRAs,Themes/ Keywords,Bananasutra Notes,Key Quotes,Primary Source,Additional Sources,Status,Auto ID,MUSE ID,LYRICS,Count (LYRICS)
Simone Weil,Simone,Weil,She,"Author,Philosopher",FR,"Early 20th C,Mid 20th C",1909,1943,"Gravity and Grace, Waiting for God, The Need for Roots","BOWsutra,KNOWsutra,GLOWsutra",,"spirituality/agnosticism,philosophy,mysticism,suffering",,,https://en.wikipedia.org/wiki/Simone_Weil,,Draft,149,M-149,,0
Stephen Fry,Stephen,Fry,He,"Author,Philosopher",GB,"Late 20th C,Contemporary",1957,,"The Hippopotamus, Mythos, Heroes","SHOWsutra,KNOWsutra,GLOWsutra",,"humor/satire,philosophy,knowledge,literature",,,https://en.wikipedia.org/wiki/Stephen_Fry,,Draft,57,M-57,,0
G.K. Chesterton,G.K.,Chesterton,He,"Author,Philosopher,Fool",GB,Early 20th C,1874,1936,"The Man Who Was Thursday, The Everlasting Man, Orthodoxy","KNOWsutra,BLOWsutra,SHOWsutra",,"philosophy,humor/satire,spirituality/agnosticism,truth-telling",,,https://en.wikipedia.org/wiki/G._K._Chesterton,,Draft,28,M-28,,0
George Bernard Shaw,George Bernard,Shaw,He,"Author,Playwright,Critic",GB,Early 20th C,1856,1950,"Pygmalion, Saint Joan, Heartbreak House","BLOWsutra,SHOWsutra,KNOWsutra",,"social criticism,theater,humor/satire,resistance",,,https://en.wikipedia.org/wiki/George_Bernard_Shaw,,Draft,126,M-126,,0
Aleksandr Solzhenitsyn,Aleksandr,Solzhenitsyn,He,"Author,Poet",RU,Mid 20th C,1918,2008,"The Gulag Archipelago, One Day in the Life of Ivan Denisovich","KNOWsutra,BLOWsutra",,"authoritarianism,truth-telling,resistance,philosophy",Spit Back the Lies' is dedicated to Sasha. He survived the Soviet Gulag and then risked his life to document it. The line 'we live not by lies' is the spine of an entire Bananasutra song cycle. He is proof that one writer's refusal to pretend can change history.,"The line separating good and evil passes not through states, nor between classes — but right through every human heart.' | 'We live not by lies.' | 'Violence can only be concealed by a lie, and the lie can only be maintained by violence.'",https://en.wikipedia.org/wiki/Aleksandr_Solzhenitsyn,,Draft,133,M-133,"Spit Back the Lies,We Live Not By Lies",2
Audre Lorde,Audre,Lorde,She,"Author,Poet",US,Late 20th C,1934,1992,"Sister Outsider, The Cancer Journals, Uses of the Erotic","BLOWsutra,GLOWsutra,GROWsutra",,"feminism,race/justice,poetry/language,activism",,,https://en.wikipedia.org/wiki/Audre_Lorde,,Draft,88,M-88,,0
Charles Bukowski,Charles,Bukowski,He,"Author,Poet",US,Late 20th C,1920,1989,Women,"BLOWsutra,SHOWsutra",KNOWsutra,"humor/satire,social criticism,poetry,urban life,authenticity","Bukowski made lowbrow high art. His BLOW energy is visceral — no pretense, no polish. A whiskey-soaked mirror held up to the circus.",,https://en.wikipedia.org/wiki/Charles_Bukowski,,Draft,157,M-157,,0
George Orwell,George,Orwell,He,"Author,Poet",GB,Mid 20th C,1903,1950,"1984, Animal Farm, Homage to Catalonia","KNOWsutra,BLOWsutra",,"authoritarianism,truth-telling,resistance,democracy,philosophy","The original 'this is what fascism looks like' alarm bell. 1984 is the architecture of everything I fear. When I wrote 'Time for Rebel Romance' about the anti-Christian surveillance task force, I was living in the Ministry of Religious Freedom à la Orwell.","In a time of deceit, telling the truth is a revolutionary act.' | 'Big Brother is watching you.' | 'Who controls the past controls the future.'",https://en.wikipedia.org/wiki/George_Orwell,,Draft,106,M-106,The Dystopian Quiz Song,1
Herman Melville,Herman,Melville,He,"Author,Poet",US,19th C,1819,1891,"Moby Dick, Billy Budd, Bartleby the Scrivener","KNOWsutra,BLOWsutra,BOWsutra",,"philosophy,literature,truth-telling,resistance",,,https://en.wikipedia.org/wiki/Herman_Melville,,Draft,96,M-96,,0
Lucille Clifton,Lucille,Clifton,She,"Author,Poet",US,Late 20th C,1936,2010,Blessing the Boats,"GLOWsutra,SHOWsutra",,"poetry/language,feminism,love/kindness,race/justice","Kiss a Pulse' and 'She Wears the Words' are both built on her quote: 'Many people wish to be poets because they wish to wear the title, but one should wish to celebrate more than one wishes to be celebrated.' That's the whole GLOWsutra philosophy in one sentence.","Many people wish to be poets because they wish to wear the title, but one should wish to celebrate more than one wishes to be celebrated.' | 'won't you celebrate with me / what i have shaped into / a kind of life?'",https://en.wikipedia.org/wiki/Lucille_Clifton,,Draft,29,M-29,"Poets Hats,She Wears The Words,Wear The Words,When Did Seduction Become so Untrue?",4
Margaret Atwood,Margaret,Atwood,She,"Author,Poet",CA,Contemporary,1939,,The Handmaid's Tale,"KNOWsutra,BLOWsutra,SHOWsutra",,"authoritarianism,feminism,resistance,democracy",Male Fantasies' is a direct Atwood lyric quote-turned-song. Her work on how democracies slide into theocracies is the blueprint for everything happening right now. The 'Which Dystopia Are You Living In?' quiz includes her as a distinct archetype axis.,"Male fantasies, male fantasies, is everything run by male fantasies?' | 'Nolite te bastardes carborundorum.' | 'A word after a word after a word is power.'",https://en.wikipedia.org/wiki/Margaret_Atwood,,Draft,8,M-8,"Male Fantasies,Males Fantasies (vol2)",2
Mary Oliver,Mary,Oliver,She,"Author,Poet",US,Contemporary,1935,2019,"Wild Geese, Upstream, Why I Wake Early","GLOWsutra,FLOWsutra,BOWsutra",,"ecology,love/kindness,spirituality/agnosticism,poetry/language",My awe teacher. She makes the case for paying attention as a spiritual practice — for noticing the small sacred things — and that's the whole point of GLOWsutra. 'Why not let the soft animal of your body love what it loves?' is basically the BOWsutra mission statement.,"Tell me, what is it you plan to do with your one wild and precious life?' | 'You do not have to be good.' | 'Why not let the soft animal of your body love what it loves?'",https://en.wikipedia.org/wiki/Mary_Oliver,,Draft,105,M-105,"Awe Is Like...,Awe Is Mighty",2
Maya Angelou,Maya,Angelou,She,"Author,Poet",US,Late 20th C,1928,2014,Rainbows in my clouds,GLOWsutra,,"gratitude,hope",Originally inspired 'Rainbows in the Clouds' and 'Rainbows in My Clouds (Merci)'. Dedicated to Sri.,,https://en.wikipedia.org/wiki/Maya_Angelou,,Draft,4,M-4,Rainbows in the Clouds,1
Umberto Eco,Umberto,Eco,He,"Author,Poet",IT,Late 20th C,1932,2016,"The Name of the Rose, Foucault's Pendulum, Ur-Fascism (essay)","KNOWsutra,BLOWsutra",,"authoritarianism,truth-telling,philosophy,humor/satire,resistance","The Ur-Fascism essay is my civic bible. I built an entire interactive quiz around scoring political actions against his 14 features of eternal fascism. He gave me the analytical framework to say: this is not new, and here is exactly what it looks like.","Ur-Fascism is still around us, sometimes in plainclothes.' | 'The fascist game can be played in many forms.' | 'Social frustration explains why fascism appeals to the losers.'",https://en.wikipedia.org/wiki/Umberto_Eco,,Draft,46,M-46,,0
Victor Hugo,Victor,Hugo,He,"Author,Poet",FR,19th C,1802,1885,"Les Misérables, Notre-Dame de Paris, Liberté (poem)","BLOWsutra,GROWsutra",,"resistance,democracy,poetry/language,authoritarianism",Liberty' is a direct musical translation of his 1821 revolutionary poem — I channeled Bob Marley for the melody. Hugo is the French DNA of Bananasutra: beauty and fury in the same breath.,"And, standing proud, my soul shall tell the tyrants of the earth — farewell!' | 'Even the darkest night will end and the sun will rise.' | 'To love beauty is to see light.'",https://en.wikipedia.org/wiki/Victor_Hugo,,Draft,71,M-71,"Liberty,""Rise Up, You Naked Peoples (Freedom Rings)""",2
Oscar Wilde,Oscar,Wilde,He,"Author,Poet,Playwright,Fool",GB,19th C,1854,1900,"The Picture of Dorian Gray, The Importance of Being Earnest, An Ideal Husband","SHOWsutra,BLOWsutra,GLOWsutra",,"humor/satire,wit,aestheticism,resistance",,,https://en.wikipedia.org/wiki/Oscar_Wilde,,Draft,150,M-150,,0
Charles Tart,Charles,Tart,He,"Author,Psychologist",US,Contemporary,1937,2025,Altered states of consciousness,"KNOWsutra,BOWsutra",FLOWsutra,"consciousness,psychology,altered states,spirituality,science",Tart spent his career asking 'is it true?' about inner experience — the ultimate KNOWsutra scientist of consciousness.,,https://en.wikipedia.org/wiki/Charles_Tart,,Draft,156,M-156,Self-Remembering,1
Marilyn Monroe,Marilyn,Monroe,She,"Comedian,Actress,Fool",US,Mid 20th C,1926,1962,"Gentlemen Prefer Blondes, Some Like It Hot, The Misfits","SHOWsutra,GLOWsutra",,"humor/satire,performance,feminism,tragedy",,,https://en.wikipedia.org/wiki/Marilyn_Monroe,,Draft,98,M-98,,0
Charlie Chaplin,Charlie,Chaplin,He,"Comedian,Fool",US,Early 20th C,1889,1977,The Great Dictator,SHOWsutra,,"humor/satire,performance,social criticism,compassion,film",Connected to 'The Great Naked King'.,,https://en.wikipedia.org/wiki/Charlie_Chaplin,,Draft,27,M-27,The Great Naked King,1
George Carlin,George,Carlin,He,"Comedian,Fool",US,Late 20th C,1937,2008,"7 Dirty Words, Jammin' in New York, Brain Droppings","KNOWsutra,BLOWsutra,SHOWsutra",,"humor/satire,truth-telling,resistance,democracy,spirituality/agnosticism",7 Dirty Words' is a direct Bananasutra homage — banjo folk about his Supreme Court case. His line 'I would never want to belong to a group whose symbol is a guy nailed to two pieces of wood' is the spirit of 'No Holy Fool.' He made outrage funny and funny outrageous.,I would never want to be part of a group whose symbol was a guy nailed to two pieces of wood.' | 'Never underestimate the power of stupid people in large groups.' | 'The real owners are the big wealthy business interests.',https://en.wikipedia.org/wiki/George_Carlin,,Draft,23,M-23,"7 Dirty Words,F-BOMB DUB,Linguistic Weaponry,Supreme Words (Whoop Whoop),The Invisible Man In The Sky",5
Groucho Marx,Groucho,Marx,He,"Comedian,Fool",US,Early 20th C,1890,1977,"Duck Soup, A Night at the Opera, You Bet Your Life","BLOWsutra,SHOWsutra",,"humor/satire,absurdity/joy,resistance,wit,performance",,,https://en.wikipedia.org/wiki/Groucho_Marx,,Draft,94,M-94,Blessed Are The Cracked,1
Aesop,,Aesop,He,"Fabulist,Fool",GR,Ancient,c. 620 BC,c. 564 BC,Aesop's Fables,"KNOWsutra,SHOWsutra",,"wisdom,poetry/language,humor/satire,philosophy",,,https://en.wikipedia.org/wiki/Aesop,,Draft,2,M-2,,0
Snoopy Snoopy,Snoopy,Snoopy,They,Fictional,US,,,,,SHOWsutra,,absurdity/joy,"Inspired the track 'I Did the Math, and Everything is Stupid'.","I did the math, and everything is stupid.'",https://en.wikipedia.org/wiki/Snoopy,,Draft,130,M-130,"""I Did The Math (Everything is Stupid, Absurd, and Divine""",1
ScoobyDoo,Scooby,Doo,They,"Fictional,Fool",US,Late 20th C,1969,,Scooby-Doo Where Are You (TV series),SHOWsutra,,"humor/satire,absurdity/joy,friendship,mystery,pop culture",,,https://en.wikipedia.org/wiki/Scooby-Doo,,Draft,42,M-42,But(t) How Can You?,1
Winnie The Pooh,The Pooh,Winnie,They,"Fictional,Fool",US,Mid 20th C,1924,,,"SHOWsutra,GLOWsutra",,"absurdity/joy,love/kindness,philosophy,humor/satire,childhood",,,https://en.wikipedia.org/wiki/Winnie-the-Pooh,,Draft,151,M-151,Some Songs Are More Fun Than Others,1
Cassandra,Cassandra,Cassandra,She,"Fictional,Mythological",GR,Ancient,,,Greek mythology — Trojan prophetess,"KNOWsutra,BLOWsutra",,"truth-telling,authoritarianism,resistance",No quotes — she is a warning. Cassandra's Lullaby' is me. Cursed to see the truth and not be believed. She is the patron saint of everyone who saw fascism coming and was told they were overreacting. Her myth is why I keep singing even when no one listens.,,https://en.wikipedia.org/wiki/Cassandra,,Draft,26,M-26,Cassandra's Lullaby,1
Alejandro Jodorowsky,Alejandro,Jodorowsky,He,"Filmmaker,Author,Philosopher",CL/FR,Contemporary,1929,,"El Topo, The Holy Mountain, Psychomagic: A Healing Art","SHOWsutra,KNOWsutra,FLOWsutra",,"surrealism,spirituality/agnosticism,creativity,healing,cinema",,,https://en.wikipedia.org/wiki/Alejandro_Jodorowsky,,Draft,76,M-76,,0
Walt Disney,Walt,Disney,He,"Filmmaker,Entrepreneur,Fool",US,"Early 20th C,Mid 20th C",1901,1966,"Snow White, Cinderella, Fantasia","SHOWsutra,FLOWsutra,GROWsutra",,"creativity,imagination,entertainment,beauty",,,https://en.wikipedia.org/wiki/Walt_Disney,,Draft,40,M-40,Shame on You Boo (Don-Be-Gone Orchestra),1
Anonymous Anonymous,Anonymous,Anonymous,They,Fool,,Contemporary,,,,"KNOWsutra,BLOWsutra,SHOWsutra,GROWsutra,FLOWsutra,GLOWsutra,BOWsutra",,"universality,humor/satire,wisdom,mystery,collective",,,,,Draft,5,M-5,"A Good Witch,A Letter To My Friend (Never Again),A Liar’s Prize,A New Historical Era,A Stroll Down History’s Lane,ABC Of Kindness,ABC of NPD,Acoustic Attraction,All the -Isms,Arrogant Hearts (Second hand Smoke),Authentic Innovation Manifesto,Banana joke making us laugh,Bare Your Soul (Velvet),Be The Fool (Embrace The Cracks),Be The Fool (Perfection Is A Lie),Berries and Beaches,Blessed Be The Dogs,Blessed By The Wiggle,Bloom Past Doom,But Where Do Pigeons Go To Die?,""But Who Says """"Say My Name"""""",Clay Maiden,Comme Des Pions,Creeps,Creepy Pasta (What The Hella),Creo (La Poesia),Curious Like A Kiss (Kiss a Pulse),D.I.M.M.E.R.s,Darling,Dead Dogs Deets,Do Panic Now,Do you ever Wonder?,Donkeys Years,EGO's Masquerade,""En Vrai, On Est Tous Frères"",F is for Fabulous,Fool On A Mission (No Name Game),Foolish,Foolish Goldfish (Forever),Freedom Fries,""Freee, La Fille"",French Poppies,Glitter On A Turd,Grifters,Gunther BBQ,Hammy On Clyde,Hard Core,HashtagWHY (Sorry Not Sorry),""Hello, Oh No"",""Hereby, I Cry"",""Hi, My Name Is (Not Celine Dion)"",Hiding Secrets in Lies,""Hold The Mic, Babe"",Hope is Do-Do-Dope,How Deep Is Your Shade?,How Do Kids Learn Now?,How Do We Find Meaning?,How Do You Explain War?,I Know You Didn’t Ask,I Think I Need a Good Spank!ng (in Madrid),Idiocracy Now,If We Had But(t) The Truth,Ironic Moronic Eugenics,Jealousy (Not For Me),Jolly Poo,Just Be,Kids Are Asking,Kiss A Pulse,La Force Douce,La Poesia Importa,Le Bal Electoral,Learn The Signs,Let’s Play A Game Where We All Win! (If The Game Is Absurd),Liars,Like A Criminal Strong Man,Lyrics Matter (FOOsutra),Make Amurica Gulag Again (MAGA),Making Songs Like,MAMA (Make America Mine Achtung),MAWA (Make America Woke Again),Men-Oh-Pause,""No, I'm Not Being Political (CIRCA 2025)"",""No, I'm Not Being Political (CIRCA 2026)"",Nous Sommes Le Feu,""Oh, Freedom"",""Oh, Martine"",Okie Dokie (No It's Not),One Percent Rising,Open The Window,Optics Of Cruelty (DEFY),Peace Matters More,Peace Unseen,""Philosophy, My Dear"",Poetry Matters,Poetry Nah Lie,Poetry Slow Burns,Possum Scrotum,Predators (Why War),Read Me Harder (BB is for Banned Books),Real Winners Dance,Relative Steve,Revolution's Lit,Second Hand Smoke (Arrogant Hearts),Secret De Polichinelle,Serial BLOWerrr,Serial Blowers,Shades of Fools (All I Know),Shady Fools,Shameless (DEFY),Shush (How To Help A Bible Bro Grow Up),Sidération,Sidération (The Sky Stood Still),Sidération Blues,Sidération's Calling,""So, What Is Racism?"",SS Means Sacred Sp3rm,Sutra of Immanence,Tell The Truth,The Fool Who Knows,The Love of A Dove,The Narcissist's Cabaret,They Call Her Wild (But She's Just Free),They Call Her... Out of Step,""They Call It Freedom (Oh Hi, Sweet Honey Bun)"",Thrifting Memories,Trauma Begets Trauma,Trust No One,Universal Currency,We Remember What (We Remember What) We Feel☉,Wet (Prickly) Peaches vol.2,What Dissent Looks Like Now,What If -Ism,What It's About,What justifies the pain?,What the Mirror Said (Reste Lucide),What’s Behind Every Door?,When We Duende (All Night),When We Duende (Encore),Where Hope Expires,Where We Begin (Preakly Peaches),Who Are You? (And Who Am I?),Who Needs A Big D?,Why We Can't Be Brave?,Why You Lie (To The People's Face)?,WIN-WIN (Basic Science History),WIN-WIN (dub),Zero Sum (Zero Sean),What Justifies The Pain?,The Umm Song,The Courage To Care,The Cabaret Where No One Knows,Radio Static,Oxytocin,""Not Bad, Friendo"",MASA (Make America Safe Again),Hitlus With Your Best Shot,Freedom To Lie Is The New Human Right,Can You Play Win-Win Or No?,Buuuuurn!,A la Guerre Comme A la Guerre (To War or Not to War?),Frogs in the Cogs,Grateful for the weird,Win-Win After Midnight,Broken Whole,Acousticophilia,En-shitti-fi-cation,Why War? (Why Are Kids Allowed To Die?),Who Knows What Goes On?,Lyrics Matter (FOOsutra) EDIT",169
Banana Sutra,Banana,Sutra,They,Fool,FR,Contemporary,1974,,bananasutra gospel,"SHOWsutra,KNOWsutra,QUACKsutra (BLOWsutra Duck Shady),BLOWsutra,GROWsutra,FLOWsutra,GLOWsutra,BOWsutra",,"humor/satire,philosophy,absurdity/joy,music,self-reference",it me :),,,,Draft,134,M-134,"AI Fair Use Manifesto,AI Manifesto,Banana Alleluia,""Courage, care, and coconuts"",Dressed In (Nothing Butt) Wonder,Peel Me Kindly,SynthemaSutra,What's F-A-S-C-I-S-T?",8
Bruce Lee,Bruce,Lee,He,"Martial Artist,Philosopher",US/HK,Mid 20th C,1940,1973,"Enter the Dragon, Tao of Jeet Kune Do","KNOWsutra,SHOWsutra,FLOWsutra",,"philosophy,flow,martial arts,creativity,wisdom","Anchoring my FLOWsutra songs about being adaptive and fluid, like the track 'Flow like Water, My Friend'.",,https://en.wikipedia.org/wiki/Bruce_Lee,,Draft,85,M-85,"Flow Like Water (My Friend),Fluye (como el mar)",2
Amy Winehouse,Amy,Winehouse,She,Musician,GB,Contemporary,1983,2011,"Back to Black, Frank",FLOWsutra,"BLOWsutra,GLOWsutra","soul music,heartbreak,love/loss,authenticity,addiction",Winehouse was a FLOWsutra soul trapped in a BLOWsutra world. Her music is the most honest map of love and loss since the blues was invented.,,https://en.wikipedia.org/wiki/Amy_Winehouse,,Draft,158,M-158,Wars Don’t Flow,1
Aretha Franklin,Aretha,Franklin,She,Musician,US,Late 20th C,1942,2018,"Respect, Amazing Grace, I Say a Little Prayer",GROWsutra,,"music,soul,feminism,race/justice,spirituality/agnosticism",Inspired the song 'T.R.U.T.H (That's what we need)' and 'Voices of Truth'.,,https://en.wikipedia.org/wiki/Aretha_Franklin,,Draft,56,M-56,"Blessed be Your Voice,T.R.U.T.H,V.O.I.C.E.S (Blessed Be),V.O.I.C.E.S (What You Want Baby)",4
Cat Power,Cat,Power,She,Musician,US,"Late 20th C,Contemporary",1966,,"Moon, The Greatest, Covers Record","BOWsutra,FLOWsutra,GLOWsutra",,"music,emotionality,creativity,covers",,,https://en.wikipedia.org/wiki/Cat_Power,,Draft,114,M-114,,0
