title,lyrics_title,lyrics_id,ytvideo_in_app,format,rating,duration,topic_categories,yt_url,content_type,genre_primary,genre_secondary,instruments,sutra,mood,tempo_feel,curation_rating,has_manual_caption,manual_notes,publish_date,view_count,like_count,comment_count,thumbnail_url,description,yt_tags,series_info,language,playlist_names,playlist_count,has_captions,privacy_status,embeddable,license,made_for_kids,status,notes,video_id
How's ur #wonderland doin’? Blessed be #dreams of genuinely harmonious life on Earth 🪕🐰🎩 #staysafe,,,checked,9:16,,0:09,Music,https://www.youtube.com/watch?v=ujd2xt11xDY,Commentary,SPOKEN WORDS,,"Piano,Voice",,,,,,,2025-03-23,33,,0,https://i.ytimg.com/vi/ujd2xt11xDY/maxresdefault.jpg,@bananasutra reporting from a San Francisco rooftop,,,EN,"SHOWsutra : Fanana Club,BLABLAsutra,SHOWsutra,BURLESQUEsutra,SHORTsutra Bananas Matter",5,,public,checked,youtube,,New,,ujd2xt11xDY
Truth is the only path that leads to heaven and y’all MAGA felons aids are going to hell—obviously,,,checked,9:16,4,2:48,"Music, Pop music, Religion",https://www.youtube.com/watch?v=nMiRzxVuNP4,Music Video,LOFI,ROCK,"Drum,Voice",,,,,,"??? ""This issue is real dystopian""",2025-03-07,49,,0,https://i.ytimg.com/vi/nMiRzxVuNP4/maxresdefault.jpg,,"FOTUS,MAGA",,EN,"KNOWsutra : (Naked) Truth,ROCKsutra,FOTUS CIRCUS (Felon Of The United States),SHORTsutra Bananas Matter,Bible Gone Bananas",5,,public,checked,youtube,,New,,nMiRzxVuNP4
The feel of the waltz of pages turning 📖🎶 #existentialphilosophy #acousticideas #abandon,,,checked,9:16,,0:08,Music,https://www.youtube.com/watch?v=u2uupX43Rhg,Commentary,SPOKEN WORDS,,Violin,,,,,,,2024-10-27,26,,0,https://i.ytimg.com/vi/u2uupX43Rhg/maxresdefault.jpg,,,,EN,"BLABLAsutra,SHORTsutra Bananas Matter",2,,public,checked,youtube,,New,,u2uupX43Rhg
QOTD: what is the difference between AI & the Internet⁉️@bananasutra #aivoiceover #powertothepeople,,,checked,9:16,,0:18,,https://www.youtube.com/watch?v=BbTAYKRkwAs,Commentary,SPOKEN WORDS,,Voice,,,,,,,2025-10-23,87,0,0,https://i.ytimg.com/vi/BbTAYKRkwAs/maxresdefault.jpg,,,,EN,BLABLAsutra,1,,public,checked,youtube,,New,,BbTAYKRkwAs
"Good Lord, thank you for answering my prayers with a #southpark reality TV show that matters  📺🍌🤏",,,checked,9:16,,0:09,"Entertainment, Religion",https://www.youtube.com/watch?v=lQ4uCrDkA8g,Commentary,BURLESQUE,ROCK,Voice,,,,,,,2025-07-26,1494,9,0,https://i.ytimg.com/vi/lQ4uCrDkA8g/maxresdefault.jpg,,,,EN,"BLABLAsutra,Bible Gone Bananas",2,,public,checked,youtube,,New,,lQ4uCrDkA8g
"When fake show kings know nothing butt blow, only bright brave birds may still grow, flow, & glow 🍏",,,checked,16:9,4,6:49,Humour,https://www.youtube.com/watch?v=PtsDcJw3wAo,Commentary,SPOKEN WORDS,,Voice,,,,,,"BLA BLA BLA tv show (of me in my pajamas, on the phone, and the GULAG happened...",2025-06-10,19,1,0,https://i.ytimg.com/vi/PtsDcJw3wAo/maxresdefault.jpg,"🇺🇸🇫🇷 
People often ask me how I go about writing my (many) songs… and honestly, it’s kinda hard to explain, like how do rivers quivers and why do dreamers shivers? :) I’d love to know, if you know… and always happy to have genuine, meaningfool chats about the magic of song writing ✍️ 🥰

For example… that long monologue about the new jail slaves factories coming soon my guts are feeling, smelling, tripping harder everyday… it transformed into this fun cosmic sh!tshow dub flow song lyrics—which i may or may not share here as a song (not that anyone cares ;):

Once upon a time,
in the lost soul galaxy…
where glitter-turd kings
ruled fools with gravy crowns,
and wisdom was traded
for views and shoes.

Dopanic now.

Bragging bros in navy suits,
shady boots and shiny roots,
smilin’ wide through greased deceit,
serving bland truth
with a side of backseat.

Cocksure cows squabble loud,
posing proud in empty crowds,
deep dub drowned
in booya bulls—
bling babble, boom, and busted rules.

[Chorus]
Dopanic now,
don’t wait for the Guide.
The meaning’s not 42—
it’s buried in the lies.

Wrap your towel tight—
it won’t save you now.
Dopanic, darling—
bow to the wow.

Forty-two flavors of fools,
lickin’ lies off silver spoons.
Wearing truth like borrowed shoes,
reading scripts, not singing blues.

Soundin’ loud with preacher drool,
selling fake like sacred jewels.
Echoed gods in plastic halls,
can’t count truth,
but sure can crawl.

Dressing smart, hiding clues,
posing sharp, faking news.
Serving hot pies, pryin’ like spies,
frenching them fries
like freedom lies.

Squinty eyes lost the line,
squeaky brains baby-whine.
They spout quotes like they notes,
I blow smoke like hell no.

Tasting salt, nothing sweet—
that’s no go.
What a shit show.

[Chorus]
Dopanic now,
don’t wait for the Guide.
Meaning’s not 42—
just shadows in disguise.

Wrap your towel tight—
it won’t save you now.
Dopanic, darling—
bow to the wow.

What a shit show…
Dopanic now.

🕊️","Gavin Newsom,Mass-incarcerations,Transactional logic,Anxious predictions,Murica,Dystopia,Philosophical Musings,News,Politics Matter,FOTUS,Everyone Matters,Truth matters,Justice Matters,BLOWsutra,BLABLABLA",,EN,"REALsutras,BLABLAsutra,PEACE CIRCUS",3,,public,checked,youtube,,New,,PtsDcJw3wAo
I remember when…,,,checked,9:16,,0:08,Music,https://www.youtube.com/watch?v=0JQyOxNXHX4,Commentary,SPOKEN WORDS,,Voice,,,,,,,2024-07-02,420,4,2,https://i.ytimg.com/vi/0JQyOxNXHX4/maxresdefault.jpg,,,,EN,"BLOWsutra : CENSOR(ed),SHORTsutra Bananas Matter",2,,public,checked,youtube,,New,,0JQyOxNXHX4
Can we Make Ducks not dicks Again? Blessed be Authentic Idiots wannabe President #midjourney,,,checked,9:16,,0:19,"Entertainment, Film",https://www.youtube.com/watch?v=8XcttwKuROU,Commentary,SPOKEN WORDS,,"Voice,Drum",,,,,,,2025-01-29,8,,0,https://i.ytimg.com/vi/8XcttwKuROU/maxresdefault.jpg,,,,EN,"BLOWsutra : DUCK (Shady),SHORTsutra Bananas Matter",2,,public,checked,youtube,,New,,8XcttwKuROU
"Etymologically conscious song, inspired by #georgecarlin “7 Dirty Words” comedy bit, circa 1972 📺🤓",7 Dirty Words,L-1,checked,9:16,3,3:01,"Independent music, Music, Pop music",https://www.youtube.com/watch?v=Hc4HMXiufOA,Music Video,WORLD,"LOFI,INDIE",Guitar,SHOWsutra,,,,,,2025-07-03,10,0,0,https://i.ytimg.com/vi/Hc4HMXiufOA/maxresdefault.jpg,,,,EN,"SHOWsutra : Fanana Club,SHOWsutra,Bible Gone Bananas",3,,public,checked,youtube,,New,,Hc4HMXiufOA
"Blessed be #georgecarlin fair and empathetic observations, on 1960s #supremecourt “profanity” issue",Reason Over Reverence,L-205,checked,9:16,4,2:26,"Music, Pop music",https://www.youtube.com/watch?v=dSjDGEVpHUM,Short/Reel,BURLESQUE,JAZZ,Accordion,GROWsutra,,,,,,2025-04-10,285,,0,https://i.ytimg.com/vi/dSjDGEVpHUM/maxresdefault.jpg,,,,EN,"GROWsutra : GOD (Questions Etc...),SHOWsutra : Fanana Club,BLOWsutra,BURLESQUEsutra,SHORTsutra Bananas Matter,Bible Gone Bananas",6,,public,checked,youtube,,New,,dSjDGEVpHUM
"""A la Guerre Comme A la Guerre"" ⚒ Goold Old BLOWsutra Music",A la Guerre Comme A la Guerre (To War or Not to War?),L-340,checked,16:9,2,3:10,"Independent music, Music, Pop music",https://www.youtube.com/watch?v=8FBNLoBFd0Y,Music Video,BURLESQUE,,Accordion,KNOWsutra,,,,,"LOL, this one got a chicken too... it's messy.",2025-06-29,10,0,0,https://i.ytimg.com/vi/8FBNLoBFd0Y/maxresdefault.jpg,"#BLOWsutra morale of the story: don't trust trust anyone who says "" la guerre comme à la guerre"", because their heart and soul are as crappy as this video ;)
--
Original @bananasutra lyrics: 
They say, “à la guerre comme à la guerre,”
But it’s just a trick to keep you unaware.
Power’s a thief in a velvet glove,
While the rest of us fight for scraps of love.

Oh, keep your heart bright, don’t let it rust,
A polished soul can outshine the dust.

Chorus
Iron sharpens iron, but who gets burned?
The lessons of life are bitterly learned.
Polish your heart, keep your edge keen,
And clear the path to wake the dream.

The generals feast while the troops endure,
Spinning lies to make the pain seem pure.
“Do what I say, it’s the only way,”
While the muddy waters lead minds astray.

Pre-Chorus
Oh, keep your heart bright, don’t let it rust,
A polished soul can outshine the dust.

Chorus
Iron sharpens iron, but who gets burned?
The lessons of life are bitterly learned.
Polish your heart, keep your edge keen,
And clear the path to wake the dream.

What if the war’s not swords and screams,
But the quiet fight for kinder dreams?
The sharpest tool’s a curious mind,
And love’s the treasure the wise ones find.

Final Chorus
Iron sharpens iron, but not with hate,
It’s the grit of truth that makes us great.
Polish your heart, keep your edge keen,
And clear the path to wake the dream.

So laugh at the lies, and dance through the schemes,
Iron sharpens iron, but joy redeems.

-- 

PS: only here to share @bananasutra thoughts and questions in songs 🏳️ #paperstraws #peace #humbleandkind #poetrylovers #humormatters #aimusic #aivoice","aivoice,sunomusic,soulmatters,original lyrics,philosophy,music therapy",,Bilingual,"KNOWsutra : PEACE (Not War),KNOWsutra,BURLESQUEsutra,Bible Gone Bananas",4,checked,public,checked,youtube,,New,,8FBNLoBFd0Y
… #allIwish ain’t cocksure fairy Valentine fantasy but(t) remember the glory of #peaceful humility?,A la Guerre Comme A la Guerre (To War or Not to War?),L-340,checked,16:9,4,1:01,"Music, Pop music",https://www.youtube.com/watch?v=i3PpqMWsCAU,Short/Reel,INDIE,,Piano,KNOWsutra,,,,,"Au burlesque comme au burllesque, on a pink tv no less...",2025-02-14,24,,0,https://i.ytimg.com/vi/i3PpqMWsCAU/maxresdefault.jpg,"And if you can’t remember, can you imagine? 📺🍏 #KNOWsutra #jazzy",,,EN,"KNOWsutra : PEACE (Not War),“UNAVAILABLE” Content said YouTube Music… Who knew? Not me!,PEACE CIRCUS,PIANOsutra,SHORTsutra Bananas Matter,Bible Gone Bananas",6,,public,checked,youtube,,New,,i3PpqMWsCAU
"“A stroll down history lane”—#jingoism ain’t new, just getting worse by the hour (deep breath…)",A Stroll Down History’s Lane,L-7,checked,16:9,4,4:00,"Independent music, Music, Pop music",https://www.youtube.com/watch?v=0zBwpwSG_WI,Music Video,INDIE,SPOKEN WORDS,"Piano,Cello",KNOWsutra,,,,checked,,2025-05-13,31,,0,https://i.ytimg.com/vi/0zBwpwSG_WI/maxresdefault.jpg,No views no description lol,,,EN,"KNOWsutra : PEACE (Not War),KNOWsutra,FOTUS CIRCUS (Felon Of The United States),Bible Gone Bananas",4,,public,checked,youtube,,New,,0zBwpwSG_WI
"In my BananaSutra Bible, knowledge & kindness are sacred—zero tolerance for violence and #wars logic",A Stroll Down History’s Lane,L-7,checked,16:9,4,4:00,"Music, Religion",https://www.youtube.com/watch?v=yFGs35gS38s,Music Video,INDIE,MANTRA,Piano,KNOWsutra,,,,,,2025-03-22,15,,0,https://i.ytimg.com/vi/yFGs35gS38s/maxresdefault.jpg,"Just look at all the helpless pain on my face 😰 all caused by the shameless narcissistic greed and ruthless predatory behaviors of deceitful yet oh so righteous maniacs—who all really should know better, about right and wrong… blessed be all (multi-generational) innocent martyrs of wars 🙏",,,EN,"KNOWsutra : PEACE (Not War),PIANOsutra,BLOWsutra,Bible Gone Bananas",4,,public,checked,youtube,,New,,yFGs35gS38s
“Strolling Down History Lane” • Piano INDIEsutra,A Stroll Down History’s Lane,L-7,checked,16:9,4,4:00,"Independent music, Music, Pop music",https://www.youtube.com/watch?v=iPGftrx2FUY,Music Video,INDIE,SPOKEN WORDS,"Piano,Cello",KNOWsutra,,,,,,2025-02-28,31,,0,https://i.ytimg.com/vi/iPGftrx2FUY/maxresdefault.jpg,"@bananasutra lyrics + voice, with #sunomusic 

Let’s take a stroll down history’s lane
Where power thrived but truth was slain
Look at the Inquisition’s fiery grip
Burning lives with a righteous lip

And Stalin’s purge, so cold, so cruel
Millions lost to a paranoid rule
Then there’s Hiroshima, skies set ablaze
They said it would end the war’s cruel days


What don’t we get about right and wrong?
Could we learn it from a simple song?
What makes us think, what makes us trust
That means don’t matter when ends are just?

Oh, what don’t we see, what don’t we understand?
History’s lesson is close at hand

Apartheid’s chains in South Africa’s land
A legacy carved by a ruthless hand
They said it was for order’s sake
But left a trail of hearts that break

The Great Leap Forward, Mao’s great plan
Left fields of famine across the land
The Salem witch trials, the innocent blamed
Hysteria stoked, and lives were maimed

What don’t we get about right and wrong?
Could we learn it from a simple song?
What makes us think, what makes us trust
That means don’t matter when ends are just?

Oh, what don’t we see, what don’t we understand?
History’s lesson is close at hand",,,EN,"KNOWsutra : PEACE (Not War),PEACE CIRCUS,PIANOsutra,KNOWsutra,Bible Gone Bananas",5,,public,checked,youtube,,New,,iPGftrx2FUY
Kindness ABC (winners are kind) • KIDsutra,ABC Of Kindness,L-9,checked,16:9,4,2:51,"Independent music, Music",https://www.youtube.com/watch?v=mCUsefIT94A,Music Video,INDIE,SPOKEN WORDS,"Voice,Guitar",GROWsutra,,,,checked,,2025-01-18,22,,0,https://i.ytimg.com/vi/mCUsefIT94A/maxresdefault.jpg,,,,EN,"GROWsutra: KIND(ness),BLABLAsutra,FOLKsutra,KNOWsutra,LOFIsutra,Bible Gone Bananas",6,,public,checked,youtube,,New,,mCUsefIT94A
“Ain’t doing bad doing nothing” is one of the wonders found in the holy realm of #publicdomainmusic,Ain't Doing Bad Doing Nothing,L-14,checked,9:16,3,2:42,"Music, Pop music",https://www.youtube.com/watch?v=Ob2IvECibAI,Short/Reel,BLUES,,Banjo,FLOWsutra,,,,,,2025-03-23,29,,0,https://i.ytimg.com/vi/Ob2IvECibAI/maxresdefault.jpg,I wish ;),,,EN,"FLOWsutra : WET (My Friend),PEACE CIRCUS,FOLKsutra,BLUESsutra,FLOWsutra,SHORTsutra Bananas Matter,Bible Gone Bananas",7,,public,checked,youtube,,New,,Ob2IvECibAI
Ain't Doing Bad Doing Nothing ... Find the differences  🪕🤖 BLUESsutra,Ain't Doing Bad Doing Nothing,L-14,checked,16:9,4,2:42,"Country music, Music, Pop music",https://www.youtube.com/watch?v=KwDWmhVKgeg,Music Video,BLUES,,Banjo,FLOWsutra,,,,,,2025-03-05,23,,0,https://i.ytimg.com/vi/KwDWmhVKgeg/maxresdefault.jpg,Public domain lyrics,,,EN,"FLOWsutra : WET (My Friend),BLUESsutra,FLOWsutra,Bible Gone Bananas",4,,public,checked,youtube,,New,,KwDWmhVKgeg
Ain’t Doing Bad Doing Nothing • FLOWsutra WET (Public Domain Lyrics) Psychedelic Vocal JAZZ 🎤🌈,Ain't Doing Bad Doing Nothing,L-14,checked,16:9,4,3:10,"Independent music, Jazz, Music",https://www.youtube.com/watch?v=CpRrVWLTBa4,Music Video,JAZZ,,Upright Bass,FLOWsutra,,,,,,2025-11-10,17,0,0,https://i.ytimg.com/vi/CpRrVWLTBa4/maxresdefault.jpg,"Welcome to my lill’ #magic heaven of silly sound OHgaSSms 🤩🎶 now, forget scammy NFTs, find joy in ‘em PDL, i.e. Public Domain Lyrics.

#bananasutracabaret #psychedelicjourney #sunomusic #aivoiceover #publicdomain #jazzvibes",,,EN,"FLOWsutra : WET (My Friend),PEACE CIRCUS,FLOWsutra,JAZZsutra,Bible Gone Bananas",5,,public,checked,youtube,,New,,CpRrVWLTBa4
Do I need to talk to the Suno Public Domain manager for ‘em to stop incorrect copyright claims ⁉️🙄,Ain't Doing Bad Doing Nothing,L-14,checked,16:9,5,3:32,"Electronic music, Music, Pop music",https://www.youtube.com/watch?v=gwWOCf3yuN8,Music Video,JAZZ,"INDIE,BURLESQUE","Voice,Cello",FLOWsutra,,,,,,2025-03-01,31,,0,https://i.ytimg.com/vi/gwWOCf3yuN8/maxresdefault.jpg,"No one likes to be falsely accused nor gagged, heh? Right… So please get your corporate liabilities police bots trained right ASAP? I’ll be waiting here doing nothing, I guess ha… K thanks bye.",,,EN,"FLOWsutra : WET (My Friend),FLOWsutra,LULLABIESsutra,BURLESQUEsutra,Bible Gone Bananas",5,,public,checked,youtube,,New,,gwWOCf3yuN8
True story… with gratitude to whoever convinced greedy corporate ghouls to accept #publicdomain laws,Ain't Doing Bad Doing Nothing,L-14,checked,9:16,,0:31,Lifestyle (sociology),https://www.youtube.com/watch?v=M73Ppbm9YNQ,Short/Reel,FOLK,,Guitar,FLOWsutra,,,,,,2025-03-20,18,,0,https://i.ytimg.com/vi/M73Ppbm9YNQ/maxresdefault.jpg,,,,EN,"FLOWsutra : WET (My Friend),BLABLAsutra,PEACE CIRCUS,BLUESsutra,BANJOsutra,BURLESQUEsutra,SHORTsutra Bananas Matter",7,,public,checked,youtube,,New,,M73Ppbm9YNQ
Public Domain Duckin’ Banjo Head • BLUESsutra 🦆💨,Ain't Doing Bad Doing Nothing,L-14,checked,16:9,4,3:33,"Electronic music, Music, Pop music",https://www.youtube.com/watch?v=_QkjuMCFO4o,Music Video,BLUES,,"Banjo,Voice",FLOWsutra,,,,,,2025-03-05,23,,0,https://i.ytimg.com/vi/_QkjuMCFO4o/maxresdefault.jpg,,,,EN,"FLOWsutra : WET (My Friend),BLUESsutra,BANJOsutra,Bible Gone Bananas",4,,public,checked,youtube,,New,,_QkjuMCFO4o
Doin’ nothing but(t) dream FOTUS CIRCUS’ just a #jazzy nightmare 🛸 #sensitivecontent #publicdomain,Ain't Doing Bad Doing Nothing,L-14,checked,9:16,,1:01,"Electronic music, Jazz, Music, Pop music",https://www.youtube.com/watch?v=PHxqUWTe3As,Short/Reel,JAZZ,,Cello,FLOWsutra,,,,,,2025-03-20,17,,0,https://i.ytimg.com/vi/PHxqUWTe3As/maxresdefault.jpg,,,,EN,"FLOWsutra : WET (My Friend),PEACE CIRCUS,BURLESQUEsutra,SHORTsutra Bananas Matter,Bible Gone Bananas",5,,public,checked,youtube,,New,,PHxqUWTe3As
All the -isms importa (isn't like poesia;) - BLOWsutra Folk Dream,All the -Isms,L-16,checked,16:9,4,3:11,"Independent music, Music, Pop music",https://www.youtube.com/watch?v=uE3xyfo3t-8,Music Video,FOLK,,Banjo,BLOWsutra,,,,checked,WRONG YOUTUBE TITLE (was “La Poesia Importa” a quirky folk song about an ancient truism of modern AmericanSS jingoism) / (VIDEO :the sketch girl on the thread with the birds,2025-05-16,7,,1,https://i.ytimg.com/vi/uE3xyfo3t-8/maxresdefault.jpg,"The false, Macchiavelian rumor “empathy is dangerous” is the most dystopian newspeak I never imagined could be true, but(t) now it is, de facto (*), at least to a seemingly ever increasing number of brainwashed AmericanSS.

It’s dangerous fake news of the worst kind, as tragic as strategic, for (like Leonard Cohen said) “everybody knows”, letting opinions trump the data is unwise, empathy is a corner stone of trust, and trust (proven to be) the ultimate winners’ key—for successful, sustainable growth and peaceful collaboration, aka happiness… 

And my point is, empathy doesn’t only matter. Empathy is absolutely necessary to survive treachery. Empathy is the people’s primary weapon, indeed, especially when trapped in an evil, predatory reality, run by delusional narcissistic victors (**) playing destructive jingoistic games, in the name of greed, power and mommy issues…

* according to my corporate social news feeds sources, which admittedly, do seem suspiciously seasoned with dangerously hollow opinions, regressive logic made of misguided pride and jingoistic bias.
** by definition, delusional narcissists are terminally sick souls, tragically deprived of the innate, ancient human ability to feel empathy for others, while also systematically feeling fully entitled to it, no matter their words and actions 💔 historically, wannabe prophetic bearers of toxic lies causing tragic suffering, in the Greek sense of the term tragedy, i.e. lose-lose situation #doublestandardmuch 

🎵 Unreleased “Lame-isms” song by @itsbananasutra made with #sumomusic and my #aivoice",,,Bilingual,"BLOWsutra : DUCK (Shady),BLOWsutra : Ego (Gone Loco)",2,,public,checked,youtube,,New,,uE3xyfo3t-8
