Track Title	Track Link	In Catalog?	Playlist Title	Playlist Link	Owner	Owner Profile	Owner Followers	Playlist Track Count	Playlist Likes	Last Updated	Repeat Curator?
Everybody Knows • KNOWsutra Freedom Magic Cello Prayer INDIE	open track	Yes	I Know	open playlist	THE FIT WAY COMMUNITY	profile	107	2	0	2025-12-09	No
[05] Peace Matters More - GROWsutra Gipsy DUB JAZZ	open track	Yes	Neww Peace	open playlist	Matrix	profile	102	2	0	2026-04-12	No
[02] Peace Matters More - GROWsutra Gipsy Burlesque INDIE	open track	Yes	Naked Mujer	open playlist	R. John Whalen	profile	101	24	1	2026-05-18	Yes
[02] Peace Matters More - GROWsutra Gipsy Burlesque INDIE	open track	Yes	Queen shit	open playlist	R. John Whalen	profile	101	26	1	2026-05-19	Yes
Side B [05] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Jazzy INDIE	open track	Yes	Indie	open playlist	V Déjà	profile	96	8	0	2026-03-21	No
[06] Seminal Bollocks - GROWsutra (God, Etc) Psychedelic Tzigane Fusion Folk LOFI	open track	Yes	CooooL ✌🏻	open playlist	dafou	profile	91	29	3	2026-04-23	Yes
[12] This Is My Quest • GROWsutra Psychedelic Poetry Bridges the DUB	open track	Yes	Solo	open playlist	Endreazbrooklyn	profile	90	22	0	2026-05-05	No
[10] No, I'm Not Being Political • BLOWsutra Psychedelic Post-Punk PB Gal BURLESQUE	open track	Yes	my fav	open playlist	Timothy Tammed	profile	80	2	0	2026-05-14	No
[11] It's War, My Friend • QUACKsutra Psychedelic Folk BLUES	open track	Yes	Smooth	open playlist	Heather Vanicor	profile	78	16	0	2026-03-10	Yes
[01] Rainbows in the Clouds • GLOWsutra Folk Poetry Dubs the DUB	open track	Yes	My Folks	open playlist	Rachel Jim	profile	76	27	1	2026-04-12	No
[12] This Is My Quest • GROWsutra Psychedelic Poetry Bridges the DUB	open track	Yes	Chill	open playlist	kevin fraher	profile	68	13	0	2026-03-23	No
[05] Secret de Polichinelle - French KNOWsutra Keep It Real Psychedelic Gipsy Circus Indie Chanson BURLESQUE	open track	Yes	NoEnglish	open playlist	SoKi💋	profile	65	9	0	2025-11-29	No
[10] The Atheist Tango • GROWsutra (God, Etc) Gipsy Bass Piano Twirl Burlesque JAZZ	open track	Yes	5	open playlist	Sura ♬✿	profile	65	20	0	2026-01-16	No
Side A [01] Secondhand Smoke • BLOWsutra Ego Gone Loco Gipsy Indie Trip Hop LOFI	open track	Yes	SHHHJAMMIN	open playlist	Brad_Reardon	profile	59	2	0	2025-11-14	No
[01] MAHA (Make America Humane Again) • Vol. 2 • BLOWsutra Gipsy Trip Hop Blues LOFI	open track	Yes	SD🥳🪽🌊☀️🏖️	open playlist	user	profile	58	24	0	2026-05-11	Yes
[28] Letter to My Friend (Never Again) • GROWsutra Jazzy Hop Storyteller LOFI 03	open track	Yes	Bump Houser	open playlist	Bluelens	profile	57	8	0	2025-10-28	No
[15] Blessed Be Your Voice • GROWsutra Fado Arabesk Trip Fusion Hop Accordion Cello Indie WORLD	open track	No	Trip Hop	open playlist	Epsyl Prod	profile	55	2	0	2026-07-06	No
[13] It's an Ethical Paradox, an Oxymoron Maze • KNOWsutra (Bertrand Knows) Gipsy Burlesque Jazz Cello Trip Hop LOFI	open track	Yes	Trip Hop	open playlist	Epsyl Prod	profile	55	2	0	2026-07-06	No
[04] Sing Your Own Gospel • GROWsutra (God, Etc.) Gipsy Piano JAZZ	open track	Yes	my best songs	open playlist	Popping Mesh	profile	51	6	0	2026-04-29	No
[07] The Great Naked King • SHOWsutra Psychedelick French Accordion Cello Tango JAZZ	open track	Yes	Relax	open playlist	Sabrina Deleon	profile	51	13	0	2026-05-09	No
[04] Win-Win After Midnight • FLOWsutra (Wet, My Friend) Southern Jazz Banjo FOLK	open track	Yes	SPRING	open playlist	djo sakrani	profile	50	8	0	2026-06-28	No
[11] The Great Naked King • SHOWsutra Psychedelick Circus Accordion Waltz BURLESQUE	open track	Yes	SPRING	open playlist	djo sakrani	profile	50	8	0	2026-06-28	No
