SONGBOOK name,Status,Description,SUTRA(s),SONGBOOK primary topics,song_count,LYRICS,Count (LYRICS),SONGBOOK ID
Speak: REVOLT (now),REVIEW,From Robert Burns to Victor Hugo to right now. The long arc of justice has always needed a banjo. 25 songs. Don't wait.,BLOWsutra,INJUSTICE,26,"A Man's a Man and A' That,Bloom Past Doom,Do Panic Now,Kamala's Roots of Resilience,Liberty,""No Fear, My Dear"",""Oh, Freedom"",Optics Of Cruelty (DEFY),""Oy, We Care"",Revolution's Lit,""Rise Up, You Naked Peoples (Freedom Rings)"",Shameless (DEFY),Sidération,Sidération (The Sky Stood Still),Sidération Blues,Sidération's Calling,Spit Back the Lies,""Thank you, Mister Paine"",The Echo Song,""They Call It Freedom (Oh Hi, Sweet Honey Bun)"",Time For Rebel Romance,Universal Currency,What Dissent Looks Like Now,What If -Ism,Win-Win In Unity,Weary Blues",26,G-02-REVO
Play: B.J. (is for banana jokes),REVIEW,Two songs walk into a bar. One's a banana joke. The other's wearing a mask. Still better than most political discourse.,SHOWsutra,FOOLERY,2,"Banana joke making us laugh,I Know You Didn’t Ask",2,G-03-BJ
Play: FANANA (party),REVIEW,"17 songs, one invitation: come dressed as your most ridiculous self. Featuring: dirty words, creepypastas, Bo Burnham covers, and feathers. Lots of feathers.",SHOWsutra,FOOLERY,24,"7 Dirty Words,Acoustic Attraction,An American in Paris (Public Domain Lyrics),Bo Burnham Covers,Creepy Pasta (What The Hella),CREEPYPASTA (what the hella),Dressed In (Nothing Butt) Wonder,F is for Fabulous,Gladys in Sonderland,Gunther BBQ,""Hi, My Name Is (Not Celine Dion)"",""I Did The Math (Everything is Stupid, Absurd, and Divine"",Linguistic Weaponry,Lyrics Matter (sutraFOO),SynthemaSutra,What's F-A-S-C-I-S-T?,Zappa's Religion,""Not Bad, Friendo"",Hitlus With Your Best Shot,En-shitti-fi-cation,Come Waddle With Me,Shame on You Boo (Don-Be-Gone Orchestra),Buuuuurn!,Acousticophilia",24,G-03-FANA
Play: (Be) The Fool,REVIEW,"The fool is not stupid. The fool is free. 18 songs in praise of cracked things, wiggling things, and the holy comedy of being human.",SHOWsutra,FOOLERY,20,"A Good Witch,Be The Fool (Embrace The Cracks),Be The Fool (Perfection Is A Lie),Bee the Fool (Not A Lie),Blessed Are The Cracked,Blessed By The Wiggle,F-BOMB DUB,Fool On A Mission (No Name Game),Freedom Fries,Hammy On Clyde,Hope is Do-Do-Dope,Please Pardon My French,Rachel Barks,Real Winners Dance,Some Songs Are More Fun Than Others,The Fool Who Knows,The Great Naked King,They Call Her Wild (But She's Just Free),Penguins In Shoes,Frogs in the Cogs",20,G-03-FOOL
Dare: DARE (to care),REVIEW,22 songs about the one muscle nobody trains: the courage to actually give a damn. About truth. About others. About yourself.,GROWsutra,WISDOM,25,"Because the Light,Blessed be Your Voice,""Courage, care, and coconuts"",Do you ever Wonder?,Double Standards,""Hello, Oh No"",""Hereby, I Cry"",""Hold The Mic, Babe"",How Do We Find Meaning?,Let’s Play A Game Where We All Win! (If The Game Is Absurd),""No, I'm Not Being Political (CIRCA 2025)"",""No, I'm Not Being Political (CIRCA 2026)"",One Percent Rising,Possum Scrotum,V.O.I.C.E.S (Blessed Be),V.O.I.C.E.S (What You Want Baby),We Live Not By Lies,We Remember What (We Remember What) We Feel☉,What’s Behind Every Door?,Where Hope Expires,Why We Can't Be Brave?,Zero Sum (Zero Sean),The Courage To Care,Can You Play Win-Win Or No?,Broken Whole",25,G-04-DARE
Dare: GOD (etc.),REVIEW,"Queer, curious, and chronically unimpressed by official doctrine. 18 songs asking God (etc.) the questions the pew wouldn't permit.",GROWsutra,RELIGION,18,"El Papito (Es No MAGA Show),Make your Own Bible,No Holy Fool,Ordo Amoris in Decay (All I Want Is To Believe),""Pro-life Means What, Honey?"",Queer Almighty,Reason Over Reverence,Seminal Bollocks,Shush (How To Help A Bible Bro Grow Up),Sing Your Own Gospel,The Atheist Tango,The Invisible Man In The Sky,There's No Prayer Like Desire,Untamed,Waldo's Atheist Tango,Waldo's Fascist Tango (Down We Go),Who Needs A Big D?,""Why trust an old, mean religion?""",18,G-04-GOD
Dare: KIND(ness),REVIEW,"Kindness — not the soft kind with a bow on it. The fierce, deliberate, coconut-hard kind. 13 songs for the brave ones.",GROWsutra,BEAUTY,14,"ABC Of Kindness,Glitter On A Turd,Jealousy (Not For Me),Kids Just Want To Have Hope,Kindness,Kindness,La Force Douce,Nous Sommes Le Feu,Peel Me Kindly,Tune In The Tender,What the Mirror Said (Reste Lucide),Who Knows Where How Happiness Truly Grows,WIN-WIN (dub),Love from the Future (The Hesse Song)",14,G-04-KIND
Trust: FLY (like water),REVIEW,"Bruce Lee, Tao, and a lot of trusting the river. 12 songs about the radical art of letting go — without disappearing.",FLOWsutra,PEACE,14,"Ain't Doing Bad Doing Nothing,Flow Like Water (My Friend),Fluye (como el mar),""Freee, La Fille"",Just Be,Making Songs Like,Peace Unseen,Sous Terre (Underground),Sutra of Immanence,They Call Her... Out of Step,Thrifting Memories,""Too Hard, My Friend"",Self-Remembering,Oxytocin",14,G-05-FLY
Trust: WET (my friend),REVIEW,"12 songs where the pulse knows what the brain overthinks. Sensual, tender, unapologetically honest. #pleasepardonmyfrench",FLOWsutra,BEAUTY,13,"Bare Your Soul (Velvet),Clay Maiden,Curious Like A Kiss (Kiss a Pulse),I Think I Need a Good Spank!ng (in Madrid),Kiss A Pulse,Let's Do It,Segggsting,Wet (Prickly) Peaches vol.2,When We Duende (All Night),When We Duende (Encore),Where We Begin (Preakly Peaches),Whispers (Lithium),Win-Win After Midnight",13,G-05-WET
Bless: POET(ry),REVIEW,15 songs for the ones who believe words have weight. Poetry isn't decoration. It's the thing holding the walls up.,GLOWsutra,BEAUTY,15,"Awe Is Like...,Awe Is Mighty,Creo (La Poesia),La Poesia Importa,My Quest,""Poem (I wanted to be, basically)"",Poetry Matters,Poetry Nah Lie,Poetry Slow Burns,Poets Hats,She Wears The Words,The Poem,The Quest,To Dream,Wear The Words",15,G-06-POET
Bless: RAINBOWS (in my clouds),REVIEW,"Nine small benedictions for the good things: toast, poppies, Jacques Brel, and the audacity to be delighted by all of it.",GLOWsutra,BEAUTY,11,"A Toast To The Good Life,Berries and Beaches,Donkeys Years,French Poppies,Jacques Brel,More Than A Plate (Anthony Bourdain <3),Rainbows in the Clouds,This Is My Quest,Up a San Francisco Hill,Grateful for the weird,Dream A Dog",11,G-06-CLOU
Bow: (Thank) Dogs,REVIEW,Four love songs for the creatures who never needed instructions on unconditional love. Who's a good philosopher? You are.,BOWsutra,WISDOM,4,"Blessed Be The Dogs,Dead Dogs Deets,Like A Dog In The Sky,Like A Dog In The Sky (SHOWsutra Edition)",4,G-07-DOGS
Bow: Death (is nothing),REVIEW,"Death is nothing at all. Henry Scott Holland said so. Four songs that agree — gently, without lying, without rushing.",BOWsutra,PEACE,6,"But Where Do Pigeons Go To Die?,Darling,Easy (Death Is Nothing At All),""Oh, Martine"",The World We Knew,The Umm Song",6,G-07-DEAT
EP: Sidération,LIVE,"A four-part series named for the French word for the freeze — when something is so wrong your soul slips on a banana peel. Volumes 1–4, in ascending disbelief.",BLOWsutra,INJUSTICE,4,"Sidération,Sidération (The Sky Stood Still),Sidération Blues,Sidération's Calling",4,G-02-SIDE
EP: DEFY,LIVE,"A playlist built for the days you'd rather not comply. Loud, principled, and stubbornly here.",BLOWsutra,POOLITICS,3,"Optics Of Cruelty (DEFY),Shameless (DEFY),Universal Currency",3,G-02-DEFY
EP: Best Teacher Award,LIVE,Because sometimes the best teacher isn't in a classroom. Sometimes it's love. Sometimes it's death. Usually both.,BOWsutra,WISDOM,4,"Blessed Be The Dogs,Dead Dogs Deets,Like A Dog In The Sky,Like A Dog In The Sky (SHOWsutra Edition)",4,G-07-PROF
EP: Criminals,LIVE,"When the rules shift, who decides who the criminal is? A bilingual meditation — EN + FR — on the question that keeps getting more relevant.",BLOWsutra,INJUSTICE,2,"Criminals,Criminels",2,G-02-CRIM
EP: Peachy,IDEA,"Psychedelic peaches, jazzy white rabbits, and the kind of intimacy that doesn't need explaining. Prickly is good, actually.",FLOWsutra,BEAUTY,2,"Wet (Prickly) Peaches vol.2,Where We Begin (Preakly Peaches)",2,G-03-KINK
