playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url,EPs,TRACKs
QUACKsutra : FOTUS Circus,https://soundcloud.com/bananasutra/sets/quacksutra-fotus-circus,BLOWsutra,"BANJO,BURLESQUE,DUB,FOLK,INDIE,LOFI,ROCK",15,7536,68,45:21,https://i1.sndcdn.com/artworks-PbQdusXHHfL2vzQG-PVycmg-t500x500.png,"It's War · My Friend ☳ QUACKsutra EPx15,FOTUS CIRCUS ★ VOL.2 EPx10 ★ BURLESQUEsutra,FOTUS CIRCUS ★ VOL.3 EPx9 ★ BURLESQUEsutra,FOTUS CIRCUS ★ VOL.4 EPx9 ★ BURLESQUEsutra","""[02] It's War, My Friend • QUACKsutra Tzigane Indie Fusion LOFI"",""[08] FOTUS Circus VOL. 04 • Step Right Up, Murica Freaks (paper staws) • DUB QUACKsutra"",""[09] FOTUS Circus VOL. 04 • Step Right Up, My Dearest Souls • DUB QUACKsutra"",""[06] FOTUS Circus VOL. 04 • Step Right Up, for Plastic Straws • Banjo QUACKsutra"",[01] FOTUS Circus VOL. 04 • Step Right Up my Dearest Souls • Burlesque QUACKsutra,[06] FOTUS Circus VOL. 03 • When will you be angelic (Ginzberg’s Horror Show) • BURLESQUE QUACKsutra,[06] FOTUS Circus VOL. 02 • This ain't no hollow show • QUACKsutra,The Tyranny of Ignorance : BANJOsutra (Single Duck Release)"
QUACKsutra : DUCK (shady),https://soundcloud.com/bananasutra/sets/quacksutra-duck-shady,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",26,7969,96,1:23:23,https://i1.sndcdn.com/artworks-301rwrEjz0M0tuZV-1dVJMg-t500x500.png,"Creepy Con Meme EPX2 • Dicky Ducky DUBsutra,Ego Ain't Your Amigo ⭐︎ EPx14 VOL. 01 ⭐︎ True Tales of BLUESsutra,It's War · My Friend ☳ QUACKsutra EPx15,Mind the Felon EP X5 | JAZZ LOFI : Psychedelic Paradox Soul Chanson,Pedo Nation ★ Felon Nation Redux ★ BLOWsutra EPx14,Who's Your Vladdy? EPx10 ☿ BLOWsutra World Peace Fusion Indie,Who's Your Vladdy? EPx2 VOL.02 ☿ BLOWsutra World Peace LOFI + ROCK,Woke 'em Whacks EPx4 : BLUES & DUBsutra (Music Therapy),Stymy Stymy Yuck : A Story of Old Bastards - EPx5 VOL.1 - DUBsutra","Who's Your Vladdy BLOWsutra Psychedelic Burlesque Punk ROCK,[07] Who's Your Vladdy • BLOWsutra Psychedelic Poetry Folk DUB,""[15] It's War, My Friend • QUACKsutra Psychedelic Punk ROCK"",[13] PEDO Nation • High Drum Prayer MANTRA,[01] Ego Ain't Your Amigo (Fasho at Marlago) - oh hi salty honey bluesy JAZZ tempo,Creepy Con Meme • Dicky DUBsutra,Woke-N-Whack-A-Musk ☆ BLUESsutra (1),Woke-N-Whack-A-Musk ☆ BLUESsutra (2),Mind the Felon (two) • FOLKsutra,Mind the Felon (one) • JAZZsutra,[5] stymy stymy yuck • Arabesk DUB,[2] stymy stymy yuck • muse DUB"
SHOWsutra : FANANA Club,https://soundcloud.com/bananasutra/sets/showsutra-fanana-club,SHOWsutra,"BANJO,BURLESQUE,FOLK,INDIE,JAZZ,LOFI",20,9061,117,1:07:12,https://i1.sndcdn.com/artworks-09nrbUudNilo3UyQ-Qz1LzA-t500x500.png,"Gladys in Sonderland EPx14 • SHOWsutra Psychedelic Gipsy Dream,Hi · My Name Is (Not Celine Dion) - Vol02 EPx11 - SHOWsutra Dubby Grass Burlesque Edition,Hi · My Name Is (Not Celine Dion) - Vol03 EPx11 - SHOWsutra Gipsy Trip Hop World LoFi Edition,some songs are more fun than others EP x8 ∞,Donkeys Years - SHOWsutra Fanana Club Gratitude EPx20,Dressed in (nothing butt) Wonder ★ Exxxplore and Play (EP) x16 Bananas","[06] Gladys in Sonderland • SHOWsutra Psychedelic Gipsy Cello Waltz Breathing BURLESQUE,[11] Gladys in Sonderland • SHOWsutra Psychedelic Gipsy Accordion Circus Waltz BURLESQUE,""[08] Hi, My Name Is (Not Céline Dion) - SHOWsutra Gipsy Fusion Trip Hop World LOFI"",""[11] Hi, My Name Is (Not Celine Dion) • SHOWsutra Cello Circus Waltz BURLESQUE"",Some Songs Are More POOH Than Others : DUBsutra,Some Songs Are More WOMP Than Others : CIRCUSsutra,Side A [06] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Indie LOFI,[15] Oh My Cha Cha Cha • Accordion BURLESQUEsutra,[01] Dressed in Wonder • psyBLUES BANJOsutra,i did the math and everything is stupid • DRUMsutra.wav,""Hi, my name is (not Celine Dion) • Hip Pop Jazz, Quirky Stuff, a true story • Bananasutra(SHOW)"""
Playlist Sidération Gone Bananas x29,https://soundcloud.com/bananasutra/sets/playlist-sideration-gone-bananas,BLOWsutra,"BLUES,JAZZ,LOFI",29,9866,76,1:28:13,https://i1.sndcdn.com/artworks-58HtMVlI0dnLHSez-V8vJyA-t500x500.png,"Sidération - The Sky Stood Still - EPx6 VOL. 2 of 4,Sidération Blues - A Song of Wrong - EPx7 Vol 3 of 4,Sidération's Calling - White House's Burning - EPx13 Vol 4 of 4","[03] Sidération - The Sky Stood Still 4 - Revolution BLUESsutra,[02] Sidération - The Sky Stood Still 2 - Revolution JAZZ BURLESQUEsutra,[05] Sidération - The Sky Stood Still 5 - Revolution FOLKsutra,[09] Sideration's Calling • White House's Burning • Riddim Sister RAGGA DUBsutra,[01] Sideration's Calling • White House's Burning • Banger BURLESQUEsutra,[02] Sideration's Calling • White House's Burning • Jazzy LOFI DUBsutra,[07] Sideration's Calling • White House's Burning • Oh Lordy 2 DUBsutra,[04] Sidération Blues Revolution - A Song of Wrong - BLUESsutra,[07] Sideration - No Velvet Scream - BLUESsutra,[05] Sidération Blues Revolution - A Song of Wrong - BLUESsutra,[02] Sidération Blues Revolution - A Song of Wrong - BLUESsutra"
BLOWsutra : APES (gone wrong),https://soundcloud.com/bananasutra/sets/blowsutra-apes-gone-wrong,BLOWsutra,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,MANTRA,ROCK",25,11995,109,1:24:53,https://i1.sndcdn.com/artworks-tJXDrinLqIXiRhrv-9pyIzQ-t500x500.jpg,"Okey Dokey · No It's Not Ξ EPx5 Ξ LOFIsutra,Serial BLOWerrr ✰ RAGGA DUBsutra,Double Standards EPx3 VOL. 1 • BURLESQUEsutra,Mass Media Freakshow EPx13 VOL.02 ⭐︎ Terrence MCKenna KNOWs ⭐︎ Burlesque or Snooze?,New Normalcy (Planet Earth to Higher Grounds) EP x7,Ordo Amoris in Decay ♡ GROWsutra EPx6,The Dystopian Quiz Song ★ EPx15 ★ Acoustic SOULsutra,If We Had But(t) The Truth ☲ Easterican Profanities EPx5 ☲ QUACKsutra","[01] Ordo Amoris In Decay - Gypsy Fado BURLESQUEsutra,[00] All I Want Is To Believe - CAT JAZZ BURLESQUEsutra,[02] Ordo Amoris In Decay - Oh Boy Accordion Cello BURLESQUEsutra,The Dystopian Quizz Song v3-2 ★ Blues Circus SOULsutra,[05] Mass Media Freakshow - chanson encore oh boy BURLESQUE,[01] Mass Media Freakshow • udio PSYcircus BURLESQUE,Double (decking) Standards VOL. 1 • DUBsutra,""New Normalcy, Space Oddity ☰ DUBsutra"",""[04] Okey Dokey, No It's Not • Jazzy LOFIsutra"",[1] Serial BLOWERS (now twat?) • DUBsutra,Planet Idiocracy (Single) • BLOWsutra Peace Odyssey DUB,[04] If We Had But(t) The Truth (Not The Quack) - Blues FOLKsutra,Kamala has a dream (and that duck just blows) • bananasutraBLUES"
BLOWsutra : MAxA Series,https://soundcloud.com/bananasutra/sets/blowsutra-maxa-series,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE",14,12146,114,49:16,https://i1.sndcdn.com/artworks-uDzqzbtn80lOeo3H-hV475g-t500x500.png,"MAMA-B-C (Make America Mine Achtung) • BLOWsutra MAxA Series EPx8,MASA (Make America Safe Again) ✮ EPX12 ✮ QUACKsutra Psychedelic BANJO,Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25,MAKA MAKA EPx7 ⭐︎ MAxA Series · Vol. 4,MAxA Alphabet Series Compilation - Make America Humane · Kind · Safe · Smart · etcetera Alright?!","Side A [01] MAMA-B-C (Make America Mine Achtung) • BLOWsutra Back-to-Basics Folk Indie Cello BLUES,[10] MASA (Make America Safe Again) • QUACKsutra Psychedelic Booya Country BANJO,[01] MASA (Make America Safe Again) • QUACKsutra Psychedelic DUB BANJO,A [15] Make America Gulag Again • Di Riddim Ragga DUB,A [08] Make America Gulag Again • Muse DUB,A [12] Make America Gulag Again • Ragga Lala DUB,MAKA MAKA Murica (Kindness Gone Folk),[4] MAKA MAKA - Oh Hey Folk BANJOsutra,[4] MAHA • Make America Humane Again • Accordion CAT BURLESQUEsutra,[5] MAHA • Make America Humane Again • Authentic Banjo FOLKsutra,[1] MAHA • Make America Humane Again • Psy Waltz BURLESQUEsutra,MAWA MAWA • Make America Woke Again • Banger BANJOsutra"
FOTUS CIRCUS Playlist An American Freaks Show,https://soundcloud.com/bananasutra/sets/fotus-circus-playlist-an-3,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ,LOFI,MANTRA,ROCK",42,12424,91,2:15:29,https://i1.sndcdn.com/artworks-fryyTDM2WyR2DKBA-QI4BwQ-t500x500.png,"Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25,Hereby · I Cry ☠ BLOWsutra EPx5,FOTUS CIRCUS ★ VOL.2 EPx10 ★ BURLESQUEsutra,FOTUS CIRCUS ★ VOL.3 EPx9 ★ BURLESQUEsutra,FOTUS CIRCUS ★ VOL.4 EPx9 ★ BURLESQUEsutra","""[05] Hereby, I Cry • Arabesk Drum MANTRA"",A [12] Make America Gulag Again • Ragga Lala DUB,""[08] FOTUS Circus VOL. 04 • Step Right Up, Murica Freaks (paper staws) • DUB QUACKsutra"",""[09] FOTUS Circus VOL. 04 • Step Right Up, My Dearest Souls • DUB QUACKsutra"",""[06] FOTUS Circus VOL. 04 • Step Right Up, for Plastic Straws • Banjo QUACKsutra"",[01] FOTUS Circus VOL. 04 • Step Right Up my Dearest Souls • Burlesque QUACKsutra,[06] FOTUS Circus VOL. 03 • When will you be angelic (Ginzberg’s Horror Show) • BURLESQUE QUACKsutra,[06] FOTUS Circus VOL. 02 • This ain't no hollow show • QUACKsutra,The Tyranny of Ignorance : BANJOsutra (Single Duck Release)"
GROWsutra : KIND(ness),https://soundcloud.com/bananasutra/sets/growsutra-kind-ness,GROWsutra,"BLUES,BURLESQUE,FOLK,INDIE,JAZZ,LOFI",17,13332,113,55:24,https://i1.sndcdn.com/artworks-FCpNyoKfIRn6bNzD-59cLWg-t500x500.png,"Courage · Care · and Coconuts © GROWsutra EPx4,Genius EP,Hold the Mic · Babe  EP X7 | Soul Prayer Lullabies,La Force Douce EPx7 ✪ French GROWsutra World Peace Duende LoFi Indie Fusion,Time for Rebel Romance ☆ EPx6 ☆ BLOWsutra (Revolt Now) Cabaret,ABCs of Kindness - KNOWsutra,Glitter on a Turd ❯ GROWsutra Banana Cabaret EPx5,Kindness Matters - Human Life Soundtrack EP","[01] Time for Rebel Romance ☆ BLOWsutra (Revolt Now) Oh Boy Psychedelic Accordion Circus BURLESQUE,[02] La Force Douce - French GROWsutra Gipsy Flamenco Duende Chanson INDIE,[03] La Force Douce - French GROWsutra Gipsy Flamenco Duende Chanson INDIE,""[02] Courage, Care, and Coconuts (Kindness is Clear more than Nice) - Dreamy Indie FOLKsutra"",""#1 Hold the Mic, Babe ☰ BANJOsutra Vocal Hug"",""Genius, You See V.1 • Indie Jazz Folk Lullaby  • sutraKNOW inspired by Albert Einstein"",ABC Of Kindness - A Is For Always Speak From Your Heart - DUBsutra (1),[03] Glitter and Guts - Arabesk Indie JAZZsutra,[04] Glitter and Guts - oh lordy DUBsutra,Kindness (single) VOL. 04,MAKA MAKA Murica (Kindness Gone Folk),Kindness - JAZZsutra,Kindness • Universal Jazz Cabaret of Blues Chanson • Bananasutra(GROW)"
GLOWsutra : RAINBOWS (in my clouds),https://soundcloud.com/bananasutra/sets/glowsutra-rainbows-in-my,GLOWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,JAZZ,LOFI",14,13462,167,41:49,https://i1.sndcdn.com/artworks-OuzjTqyXc8wz8Uv9-0cXu0Q-t500x500.png,"Rainbows in the Clouds • GLOWsutra Dub LoFi Blues,Tune in the Tender ☲ #GROWsutra EPx9,To Dream EP X8 | Jacques Brel Chanson Reimagined : Psychedelic French Poetry JAZZsutra X5","[02] Tune in the Tender • LOFI JAZZsutra,[02] Rainbows in the Clouds • GLOWsutra Gipsy Jazz Conscious Fusion LOFI,[01] Rainbows in the Clouds • GLOWsutra Folk Poetry Dubs the DUB,[08] Rainbows in the Clouds • GLOWsutra Queen of Authentic Dubby Folk Classic BLUES,[05] Rainbows in the Clouds • GLOWsutra Gipsy Jazz Conscious Fusion LOFI,(what u) think about? • (introvert) FOLKsutra,#1 The Quest • Jacques Brel Remake • Bananasutra French Accordion,Rainbows in my Cloud (Merci) • Banjo Folk Gratitude Song • Bananasutra(GLOW)"
BLOWsutra : CENSOR(ed),https://soundcloud.com/bananasutra/sets/blowsutra-censor-ed,BLOWsutra,"BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",18,16581,178,55:38,https://i1.sndcdn.com/artworks-oX7ZY3z8JzrLVWyA-Iz5Tsg-t500x500.png,"Why We Can't Be Brave? ☷ GROWsutra (Censored) Cello EPx8,If We Had But(t) The Truth • Vol. 2 EPx22 • BLOWsutra (Censored) Epstein Etcetera Soundtrack,SS Means Sacred Sp3rm ☠ BLOWsutra EPx19,Read Me Harder (BB is for Banned Books) ☆ SHOWsutra Side A+B EPx19,Men-Oh-Pause 🩸 KNOWsutra EPx14,This Is What Dissent Looks Like Now - BLOWsutra (Revolution Ring) Jazz Indie LoFi Dream","Side B [15] If We Had But(t) The Truth • BLOWsutra (Censored) Gipsy Psychedelia Accordion Cello Indie FOLK,Side A [08] If We Had But(t) The Truth • BLOWsutra (Censored) Folk Poetry on the Bridge DUB,Side B [16] If We Had But(t) The Truth • BLOWsutra (Censored) PsyPunk Rock Cabaret BURLESQUE,[10] SS Means Sacred Sp3rm • Oh Baby FOLK,[14] SS Means Sacred Sp3rm • Jazz INDIE,[04] SS Means Sacred Sp3rm • Piano Jazz BURLESQUE,Side A [03] BB is for Banned Books - SHOWsutra Gypsy Hip Hop Fusion BURLESQUE,Side A [05] READ ME HARDER (BB is for Banned Books) - SHOWsutra Gypsy Hip Hop Rebellion BURLESQUE,[07] Why We Can't Be Brave - GROWsutra (Censored) Psychedelic Hip Hop Cello Indie Dub Fusion LOFI,[04] What Dissent Looks Like Now • BLOWsutra Post-Punk Piano Trip Hop Lo-Fi Burlesque JAZZ,[14] Men-Oh-Pause • GROWsutra I Burlesque You Not Psychedelic Punk ROCK"
BOWsutra the last of 7 sutras · it's divine <3,https://soundcloud.com/bananasutra/sets/bowsutra,BOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",56,17655,177,2:33:32,https://i1.sndcdn.com/artworks-PhV4HcOuFKRdx4bD-cO41eQ-t500x500.png,"Darling EP,Easy (Death Is Nothing At All) ❣ BOWsutra EPx9,Oh · Freedom EP x10 ♛ BLUESsutra (Public Domain Lyrics),Poetry Matters EP vol.3,Oh · Martine ❃ French GLOW+BOWsutra ❃ Side A+B EPx28","[01] Easy (Death Is Nothing At All) • BOWsutra Weary Banjo Mama BLUES,[07] Easy (Death Is Nothing At All) • BOWsutra La Poesita Peace DUB INDIE,Poetry Matters • LOFI DUBsutra,""Ooh, Freedom ♛ BLUESsutra Soul (Public Domain Heavens)"",#2 Darling - JAZZsutra,Side B [08] Oh Martine • BOWsutra Gipsy World LoFi Fusion INDIE,Side A [15] Oh Martine • BOWsutra La Poesita Fado World Duende INDIE,Side A [12] Oh Martine • BOWsutra La Poesita Fado World Duende INDIE,Side A [13] Oh Martine • BOWsutra La Poesita Fado World Duende INDIE,Side A [08] Oh Martine • BOWsutra French Psychedelic Cello Indie JAZZ,Side A [03] Oh Martine • BOWsutra Cheeky Piano Bar Kittens BURLESQUE,Side A [04] Oh Martine • BOWsutra Cheeky Piano Bar Kittens BURLESQUE,Side A [07] Oh Martine • BOWsutra French Psychedelic Cello Indie JAZZ"
KNOWsutra : but(t) WHY,https://soundcloud.com/bananasutra/sets/knowsutra-but-t-why,KNOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",24,18327,200,1:21:20,https://i1.sndcdn.com/artworks-L6uXyHUyGsqH0ZAv-cvmeZg-t500x500.png,"So · What Is Racism? KNOWsutra Gone Banana EPx17,Men-Oh-Pause 🩸 KNOWsutra EPx14","""[17] So, What Is Racism? KNOWsutra Banjo Booya Folk Banjo Harmonica BLUES"",""[14] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",""[10] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",""[08] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",""[01] So, What Is Racism? KNOWsutra She Wanna Know Jazzy LoFi DUB"",""[11] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",""[03] So, What Is Racism? KNOWsutra Rebound & Rise Jazzy Ragga DUB"",""[09] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",[14] Men-Oh-Pause • GROWsutra I Burlesque You Not Psychedelic Punk ROCK"
KNOWsutra : (naked) TRUTH,https://soundcloud.com/bananasutra/sets/knowsura-naked-truth,KNOWsutra,"BLUES,BURLESQUE,DUB,INDIE,LOFI",20,18491,357,1:10:17,https://i1.sndcdn.com/artworks-aUUxzKo6oEXsOIfq-vtqUJA-t500x500.png,"But(t) How you Kids Learn Now? EPx9 VOL. 01,Joseph Campbell's Truth Metaphors ☷ KNOWsutra EPx12,Tell The Truth (encore) KNOWsutra EPx9 Vol. 04,Everybody Knows ✔ Vol. 03 - EPx7 ✔ KNOWsutra Gipsy Trip Hop Truth Prayer Dream,Tell the Truth EP x4 BLUESsutra,We Live Not By Lies ⚬ EPx12 ⚬ GROWsutra Revolution Ring,Hard Core (Questions that Matter) X5","[04] We Live Not By Lies - GROWsutra Psychedelic Piano Cello INDIE,[02] Everybody Knows • KNOWsutra Burlesque Trip Hop Indie Dub Piano BLUES,Feeel The Rhythm (Tell the Truth),Tell the Truth : BANJOsutra,[08] Tell The Truth • KNOWsutra True BLUES Cover,[02] Joseph Campbell - Hold the Sacred - KNOWsutra Chillhop Piano Psy-LOFI,[8] How do kids learn • DRUM FOLKsutra,[0] How do kids learn • Destiny JAZZsutra (high),Everybody Knows • FLOWsutra Freedom Magic Cello Prayer INDIE.wav,She Wears the Words • JAZZsutra Mighty Poetry Minute,#4 Hard Core : Burlesque Honeysutra,#1 Hard Core : Honey JAZZsutra"
