MUSE Name,First Name,Last Name,"Type, Category",Country,Era,Birth Year,Death year,Famous Work(s),Core SUTRA(s),Themes/ Keywords,Bananasutra Notes,Key Quotes,Primary Source,Additional Sources,Status,Auto ID,MUSE ID,LYRICS,Count (LYRICS)
Charles Aznavour,Charles,Aznavour,"Musician,Fool",FR,Mid 20th C,1924,2018,"La Bohème, She, Je m'voyais déjà",BLOWsutra,"music,nostalgia,love/kindness,French chanson,performance",Inspired my tracks like 'Le Système'. 'La Bohème' captures the bittersweet nostalgia of a shared past that no longer exists.,,https://en.wikipedia.org/wiki/Charles_Aznavour,,Draft,9,M-9,"""Le Système, ça voulait dire""",1
James Baldwin,James,Baldwin,Poet,US,Mid 20th C,1947,1985,"Go Tell It on the Mountain (1953)
Notes of a Native Son (1955), Giovanni's Room (1956)",GLOWsutra,"poetry/language,truth-telling",,,https://en.wikipedia.org/wiki/James_Baldwin,,,10,M-10,,0
Charles Baudelaire,Charles,Baudelaire,Poet,FR,19th C,1821,1867,"Les Fleurs du Mal, Paris Spleen, Intimate Journals","BLOWsutra,SHOWsutra,GLOWsutra","poetry/language,death/grief,love/kindness,beauty/aesthetics",,,https://en.wikipedia.org/wiki/Charles_Baudelaire,,Draft,11,M-11,,0
William Blake,William,Blake,"Poet,Painter,Visionary",GB,18th C,1757,1827,"Songs of Innocence, Songs of Experience, The Marriage of Heaven and Hell","FLOWsutra,GLOWsutra,BLOWsutra","poetry/language,spirituality/agnosticism,resistance,creativity",,,https://en.wikipedia.org/wiki/William_Blake,,Draft,12,M-12,,0
Anthony Bourdain,Anthony,Bourdain,"Philosopher,Fool",US,Contemporary,1956,2018,"Kitchen Confidential, Parts Unknown, Medium Raw",SHOWsutra,"humor/satire,truth-telling,absurdity/joy,philosophy",,,https://en.wikipedia.org/wiki/Anthony_Bourdain,,Draft,13,M-13,More Than A Plate (Anthony Bourdain <3),1
David Bowie,David,Bowie,"Musician,Fool",GB,Late 20th C,1947,2016,"The Rise and Fall of Ziggy Stardust, Heroes, Space Oddity, Blackstar",GROWsutra,"music,identity,performance,transformation,art",Inspired the track 'New Normalcy (Planet Earth To Higher Grounds)'.,,https://en.wikipedia.org/wiki/David_Bowie,,Draft,14,M-14,New Normalcy (Planet Earth to Higher Grounds),1
Jacques Brel,Jacques,Brel,"Musician,Fool",FR,Mid 20th C,1929,1978,"Ne Me Quitte Pas, La Quête, Amsterdam","GLOWsutra,BOWsutra","poetry/language,love/kindness,philosophy,music","La Quête is the Bananasutra anthem I didn't write. 'The Quest' remake is my love letter to him — accordion and all. He understood that the greatest songs are prayers, not performances. His emotional precision is the standard I hold myself to.","To sing is to pray twice.' | 'I want to die on a Tuesday, so I'll have the rest of the week to recover.'",https://en.wikipedia.org/wiki/Jacques_Brel,,Draft,15,M-15,"Double Standards,Jacques Brel,L'Accordéon De l'Ignorance,My Quest,The Quest,This Is My Quest,To Dream,Up a San Francisco Hill",8
André Breton,André,Breton,"Poet,Philosopher",FR,Early 20th C,1896,1966,"Manifesto of Surrealism, Nadja, Mad Love","FLOWsutra,SHOWsutra,KNOWsutra","surrealism,dreams,creativity,revolution,poetry/language",,,https://en.wikipedia.org/wiki/Andr%C3%A9_Breton,,Draft,16,M-16,,0
Brené Brown,Brené,Brown,Author,US,Contemporary,1965,,"Daring Greatly, The Gifts of Imperfection, Braving the Wilderness","GROWsutra,KNOWsutra","vulnerability,courage,empathy,personal growth,love/kindness",,,https://en.wikipedia.org/wiki/Bren%C3%A9_Brown,,Draft,17,M-17,,0
Charles Bukowski,Charles,Bukowski,"Author,Poet",US,Late 20th C,1920,1989,Women,,,,,https://en.wikipedia.org/wiki/Charles_Bukowski,,Draft,157,M-157,,0
Edmund Burke,Edmund,Burke,Philosopher,IE,18th C,1729,1797,"Reflections on the Revolution in France, A Philosophical Enquiry into the Sublime and Beautiful","KNOWsutra,BLOWsutra","philosophy,democracy,tradition,politics,resistance",,,https://en.wikipedia.org/wiki/Edmund_Burke,,Draft,18,M-18,,0
Bo Burnham,Bo,Burnham,"Musician,Fool",US,Contemporary,1990,,"Welcome to the Internet, What's Funny, F*CK",SHOWsutra,"humor/satire,mental health,social media,performance,absurdity/joy",Inspired the Fanana Club covers and 'What's F-A-S-C-I-S-T?'.,,https://en.wikipedia.org/wiki/Bo_Burnham,,Draft,19,M-19,"Bo Burnham Covers,Segggsting,What's F-A-S-C-I-S-T?",3
Robert Burns,Robert,Burns,"Poet,Fool",GB-SCT,18th C,1759,1796,"Auld Lang Syne, A Man's A Man for A' That, To a Mouse",BLOWsutra,"poetry/language,love/kindness,democracy,Scottish identity,nature",Inspired the song 'A Man's A Man for A' That'.,,https://en.wikipedia.org/wiki/Robert_Burns,,Draft,20,M-20,A Man's a Man and A' That,1
Joseph Campbell,Joseph,Campbell,Writer,US,Mid 20th C,1904,1987,"The Hero with a Thousand Faces, The Power of Myth",KNOWsutra,"mythology,storytelling,hero's journey,philosophy,psychology",A map for understanding the internal journey. Inspired tracks like 'Joseph Campbell's Truth Metaphors' and 'Metaphor's Edge'.,,https://en.wikipedia.org/wiki/Joseph_Campbell,,Draft,21,M-21,Metaphors' Edge (Joseph Campbell's song),1
Albert Camus,Albert,Camus,"Philosopher,Fool",FR,Mid 20th C,1913,1960,"The Stranger, The Plague, The Myth of Sisyphus","KNOWsutra,BLOWsutra,SHOWsutra","philosophy,existentialism,absurdity/joy,resistance,truth-telling",,,https://en.wikipedia.org/wiki/Albert_Camus,,Draft,22,M-22,,0
George Carlin,George,Carlin,"Comedian,Fool",US,Late 20th C,1937,2008,"7 Dirty Words, Jammin' in New York, Brain Droppings","KNOWsutra,BLOWsutra,SHOWsutra","humor/satire,truth-telling,resistance,democracy,spirituality/agnosticism",7 Dirty Words' is a direct Bananasutra homage — banjo folk about his Supreme Court case. His line 'I would never want to belong to a group whose symbol is a guy nailed to two pieces of wood' is the spirit of 'No Holy Fool.' He made outrage funny and funny outrageous.,I would never want to be part of a group whose symbol was a guy nailed to two pieces of wood.' | 'Never underestimate the power of stupid people in large groups.' | 'The real owners are the big wealthy business interests.',https://en.wikipedia.org/wiki/George_Carlin,,Draft,23,M-23,"7 Dirty Words,F-BOMB DUB,Linguistic Weaponry,Supreme Words (Whoop Whoop),The Invisible Man In The Sky",5
Lewis Carroll,Lewis,Carroll,Author,UK,19th C,1832,1898,Alice In Wonderland,SHOWsutra,"fantasy,wordplay,absurdity/joy,childhood,satire",Inspired the track 'Gladys in Sonderland'.,,https://en.wikipedia.org/wiki/Lewis_Carroll,,Draft,24,M-24,"Dressed In (Nothing Butt) Wonder,Gladys in Sonderland,Wonderland of Bias",3
Johnny Cash,Johnny,Cash,Musician,US,Mid 20th C,1932,2003,"Ring of Fire, Hurt, Man in Black",BLOWsutra,"music,death/grief,redemption,authenticity,americana",Inspired the track 'Where Hope Expires'.,,https://en.wikipedia.org/wiki/Johnny_Cash,,Draft,25,M-25,Hole Of Fire,1
Cassandra,Cassandra,Cassandra,"Fictional,Mythological",GR,Ancient,,,Greek mythology — Trojan prophetess,"KNOWsutra,BLOWsutra","truth-telling,authoritarianism,resistance",No quotes — she is a warning. Cassandra's Lullaby' is me. Cursed to see the truth and not be believed. She is the patron saint of everyone who saw fascism coming and was told they were overreacting. Her myth is why I keep singing even when no one listens.,,https://en.wikipedia.org/wiki/Cassandra,,Draft,26,M-26,Cassandra's Lullaby,1
Charlie Chaplin,Charlie,Chaplin,"Comedian,Fool",US,Early 20th C,1889,1977,The Great Dictator,SHOWsutra,"humor/satire,performance,social criticism,compassion,film",Connected to 'The Great Naked King'.,,https://en.wikipedia.org/wiki/Charlie_Chaplin,,Draft,27,M-27,The Great Naked King,1
G.K. Chesterton,G.K.,Chesterton,"Author,Philosopher,Fool",GB,Early 20th C,1874,1936,"The Man Who Was Thursday, The Everlasting Man, Orthodoxy","KNOWsutra,BLOWsutra,SHOWsutra","philosophy,humor/satire,spirituality/agnosticism,truth-telling",,,https://en.wikipedia.org/wiki/G._K._Chesterton,,Draft,28,M-28,,0
Lucille Clifton,Lucille,Clifton,"Author,Poet",US,Late 20th C,1936,2010,Blessing the Boats,"GLOWsutra,SHOWsutra","poetry/language,feminism,love/kindness,race/justice","Kiss a Pulse' and 'She Wears the Words' are both built on her quote: 'Many people wish to be poets because they wish to wear the title, but one should wish to celebrate more than one wishes to be celebrated.' That's the whole GLOWsutra philosophy in one sentence.","Many people wish to be poets because they wish to wear the title, but one should wish to celebrate more than one wishes to be celebrated.' | 'won't you celebrate with me / what i have shaped into / a kind of life?'",https://en.wikipedia.org/wiki/Lucille_Clifton,,Draft,29,M-29,"Poets Hats,She Wears The Words,Wear The Words,When Did Seduction Become so Untrue?",4
Kurt Cobain,Kurt,Cobain,Musician,US,Late 20th C,1967,1994,"Nevermind, In Utero, MTV Unplugged","FLOWsutra,GROWsutra","music,resistance,authenticity,pain/melancholy",,,https://en.wikipedia.org/wiki/Kurt_Cobain,,Draft,30,M-30,Whispers (Lithium),1
Leonard Cohen,Leonard,Cohen,"Musician,Songwriter",CA,Late 20th C,1934,2016,"Hallelujah, Everybody Knows, Bird on the Wire","KNOWsutra,FLOWsutra,BOWsutra","music,love/kindness,death/grief,poetry/language,truth-telling",The OG of making philosophy sing. 'Everybody Knows' is one of my most direct covers/reinterpretations — I borrowed his title and inverted his irony into a prayer. 'Blessed Be the Dogs' Song #2 was directly inspired by his poem 'Like a Bird in the Sky.',"There is a crack in everything, that's how the light gets in.' | 'Everybody knows the fight was fixed.' | 'Ring the bells that still can ring.'",https://en.wikipedia.org/wiki/Leonard_Cohen,,Draft,31,M-31,"Everybody Knows,Everybody Knows (The Foolishness),Like A Dog In The Sky,Like A Dog In The Sky (SHOWsutra Edition)",4
Confucius,,Confucius,Philosopher,CN,Ancient,c. 551 BC,c. 479 BC,The Analects,"KNOWsutra,GROWsutra","philosophy,ethics,wisdom,spirituality/agnosticism",,,https://en.wikipedia.org/wiki/Confucius,,Draft,32,M-32,,0
Sam Cooke,Sam,Cooke,Musician,US,Mid 20th C,1931,1964,"A Change is Gonna Come, Wonderful World, You Send Me","GLOWsutra,BLOWsutra","music,race/justice,love/kindness,resistance",,,https://en.wikipedia.org/wiki/Sam_Cooke,,Draft,33,M-33,,0
E.E. Cummings,E. E.,Cummings,Poet,US,Early 20th C,1894,1962,"i carry your heart with me, anyone lived in a pretty how town, Tulips and Chimneys","FLOWsutra,SHOWsutra,GLOWsutra","poetry/language,individuality,love/kindness,creativity,experimental",,,https://en.wikipedia.org/wiki/E._E._Cummings,,Draft,34,M-34,,0
Jeanne D'arc,Jeanne,D'arc,Politician,FR,Medieval,1412,1431,The Hundred Years' War campaigns,"BLOWsutra,BOWsutra,GROWsutra","resistance,spirituality/agnosticism,courage",,,https://en.wikipedia.org/wiki/Joan_of_Arc,,Draft,35,M-35,,0
St. Vincent De Paul,St. Vincent,de Paul,"Philosopher,Saint",FR,17th C,1581,1660,"Lazarist Congregation, Vincentian spirituality","GLOWsutra,BOWsutra","spirituality/agnosticism,love/kindness,devotion,compassion",,,https://en.wikipedia.org/wiki/Vincent_de_Paul,,Draft,36,M-36,,0
Antoine de Saint-Exupéry,Antoine,de Saint-Exupéry,"Author,Philosopher",FR,"Early 20th C,Mid 20th C",1900,1944,"The Little Prince, Wind Sand and Stars, Night Flight","GROWsutra,GLOWsutra,BLOWsutra","philosophy,poetry/language,love/kindness,spirituality/agnosticism",,,https://en.wikipedia.org/wiki/Antoine_de_Saint-Exup%C3%A9ry,,Draft,37,M-37,,0
Robert Desnos,Robert,Desnos,Poet,FR,"Early 20th C,Mid 20th C",1900,1945,"Freedom is a Dutch Child, The Poem is the Question","BLOWsutra,FLOWsutra,GLOWsutra","poetry/language,resistance,surrealism,freedom",,,https://en.wikipedia.org/wiki/Robert_Desnos,,Draft,38,M-38,,0
Philip K Dick,Philip K,Dick,"Author,Philosopher",US,"Mid 20th C,Late 20th C",1928,1982,"Do Androids Dream of Electric Sheep, Ubik, The Man in the High Castle","KNOWsutra,BLOWsutra,FLOWsutra","philosophy,science fiction,reality/perception,consciousness",,,https://en.wikipedia.org/wiki/Philip_K._Dick,,Draft,39,M-39,,0
Walt Disney,Walt,Disney,"Filmmaker,Entrepreneur,Fool",US,"Early 20th C,Mid 20th C",1901,1966,"Snow White, Cinderella, Fantasia","SHOWsutra,FLOWsutra,GROWsutra","creativity,imagination,entertainment,beauty",,,https://en.wikipedia.org/wiki/Walt_Disney,,Draft,40,M-40,Shame on You Boo (Don-Be-Gone Orchestra),1
Lou Doillon,Lou,Doillon,Musician,FR,Contemporary,1982,,"Lay Back, Protection, Burn It Down","FLOWsutra,GLOWsutra","music,creativity,love/kindness",,,https://en.wikipedia.org/wiki/Lou_Doillon,,Draft,41,M-41,,0
ScoobyDoo,Scooby,Doo,"Fictional,Fool",US,Late 20th C,1969,,Scooby-Doo Where Are You (TV series),SHOWsutra,"humor/satire,absurdity/joy,friendship,mystery,pop culture",,,https://en.wikipedia.org/wiki/Scooby-Doo,,Draft,42,M-42,But(t) How Can You?,1
Fyodor Dostoyevski,Fyodor,Dostoyevski,"Author,Philosopher",RU,19th C,1821,1881,"Crime and Punishment, The Brothers Karamazov, Notes from Underground","KNOWsutra,BLOWsutra,GROWsutra","philosophy,truth-telling,suffering/redemption,morality",,,https://en.wikipedia.org/wiki/Fyodor_Dostoyevsky,,Draft,43,M-43,,0
Dr Seuss,Seuss,Dr,"Author,Fool",US,"Mid 20th C,Late 20th C",1904,1991,"The Cat in the Hat, Green Eggs and Ham, The Lorax","BLOWsutra,SHOWsutra,GROWsutra","humor/satire,imagination,resistance,ecology",,,https://en.wikipedia.org/wiki/Dr._Seuss,,Draft,44,M-44,Some Songs Are More Fun Than Others,1
Don Duck,Don,Duck,Politician,US,Contemporary,1946,,The Art of the Deal,QUACKsutra (BLOWsutra Duck Shady),authoritarianism,"The muse for 'Dump Trump', 'Mind the Felon', and 'The Ducktator Lament'.",,https://en.wikipedia.org/wiki/Donald_Trump,,Draft,45,M-45,"Ain't No Kid,Creepy Con Meme,Daddy's a Creep,Dump Trump,Ego Ain't Your Amigo,Hide Your Pets,""It's War, My Friend"",MAHA (Make America Humane Again),MAKA (Make America Kind Again),Mind the Felon,""Oy, We Care"",Pedo Nation (Felon Nation Redux),Project 2025 (Honky tonk dreams in the land of the free),RUN (Now If You Can),Stymy Stymy Yuck,The Accordion of Ignorance,The Ducktator (Lament),The Grazed Duck Luck,The President’s Above The Law,The Tyranny of Ignorance,The Weave,Time For Rebel Romance,Trump Derangement Syndrome ™,Who's Your Vladdy?,Tweeting from the Throne,Profane Obscenities,Ignoramus Divine,Felon Nation,Jingoism 101,""FOTUS Circus: Step right up, My Dearest Souls"",""FOTUS Circus: Step Inside, Don’t Mind The Crime"",""FOTUS Circus: Welcome, You Fools"",""FOTUS Circus: Come On In, You Wretched Fools""",33
Umberto Eco,Umberto,Eco,"Author,Poet",IT,Late 20th C,1932,2016,"The Name of the Rose, Foucault's Pendulum, Ur-Fascism (essay)","KNOWsutra,BLOWsutra","authoritarianism,truth-telling,philosophy,humor/satire,resistance","The Ur-Fascism essay is my civic bible. I built an entire interactive quiz around scoring political actions against his 14 features of eternal fascism. He gave me the analytical framework to say: this is not new, and here is exactly what it looks like.","Ur-Fascism is still around us, sometimes in plainclothes.' | 'The fascist game can be played in many forms.' | 'Social frustration explains why fascism appeals to the losers.'",https://en.wikipedia.org/wiki/Umberto_Eco,,Draft,46,M-46,,0
Albert Einstein,Albert,Einstein,Scientist,DE,Early 20th C,1879,1955,The General Theory of Relativity,KNOWsutra,philosophy,"The ultimate archetype for the intersection of music and logic. Inspired the track 'Genius, You See'.","If you judge a fish by climbing trees, it won't be free...'",https://en.wikipedia.org/wiki/Albert_Einstein,,Draft,47,M-47,"Genius EP,""Genius, You See""",2
T.S. Eliot,T.S.,Eliot,"Poet,Critic",GB/US,"Early 20th C,Mid 20th C",1888,1965,"The Waste Land, The Love Song of J. Alfred Prufrock, Four Quartets","KNOWsutra,BLOWsutra,FLOWsutra","poetry/language,modernism,spirituality/agnosticism,philosophy",,,https://en.wikipedia.org/wiki/T._S._Eliot,,Draft,48,M-48,,0
Paul Éluard,Paul,Éluard,Poet,FR,"Early 20th C,Mid 20th C",1895,1952,"Capital of Sorrow, The Immaculate Conception","FLOWsutra,GLOWsutra,BLOWsutra","poetry/language,surrealism,love/kindness,resistance",,,https://en.wikipedia.org/wiki/Paul_%C3%89luard,,Draft,49,M-49,,0
Ralph Waldo Emerson,Ralph-Waldo,Emerson,"Philosopher,Fool",US,19th C,1803,1882,"Self-Reliance, The American Scholar","GROWsutra,KNOWsutra","philosophy,spirituality/agnosticism,truth-telling,poetry/language",Sing Your Own Gospel' and 'The Atheist Tango' both orbit his instruction: 'Make your own Bible. Select and collect all the words and sentences that in all your readings have been to you like the blast of a trumpet.' That is literally what Bananasutra IS.,Make your own Bible. Select and collect all the words and sentences that in all your readings have been to you like the blast of a trumpet.' | 'To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.' | 'What lies behind us and what lies before us are tiny matters compared to what lies within us.',https://en.wikipedia.org/wiki/Ralph_Waldo_Emerson,,Draft,50,M-50,"Make your Own Bible,Sing Your Own Gospel,The Atheist Tango,Waldo's Atheist Tango,Waldo's Fascist Tango (Down We Go)",5
Eminem Eminem,Eminem,Eminem,Musician,US,Contemporary,1972,,Hi My Name Is Slim Shady,SHOWsutra,humor/absurdity,"Inspired 'Hi, My Name Is (Not Celine Dion)', dedicated to Eminem's soft silly side.",,https://en.wikipedia.org/wiki/Eminem,,Draft,51,M-51,,0
Lawrence Ferlinghetti,Lawrence,Ferlinghetti,Poet,US,Late 20th C,1919,2021,,"SHOWsutra,FLOWsutra,GLOWsutra","poetry/language,beat generation,social criticism,freedom,peace",,,https://en.wikipedia.org/wiki/Lawrence_Ferlinghetti,,Draft,52,M-52,,0
Pink Floyd,Pink,Floyd,Musician,GB,Late 20th C,1965,,"The Wall, Dark Side of the Moon, Wish You Were Here","FLOWsutra,KNOWsutra,BOWsutra","music,psychedelic,progressive rock,existential",,,https://en.wikipedia.org/wiki/Pink_Floyd,,Draft,53,M-53,,0
Anatole France,Anatole,France,Author,FR,Early 20th C,1844,1924,L'Île des Pingouins,"BLOWsutra,SHOWsutra","humor/satire,social criticism,literature,democracy,satire",,,https://en.wikipedia.org/wiki/Anatole_France,,Draft,54,M-54,"Penguins In Shoes,Come Waddle With Me",2
Victor Frankl,Victor,Frankl,Philosopher,AT,Mid 20th C,1905,1997,Man's Search for Meaning,"GROWsutra,KNOWsutra","meaning,philosophy,psychology,spirituality/agnosticism,hope",,,https://en.wikipedia.org/wiki/Viktor_Frankl,,Draft,55,M-55,,0
Aretha Franklin,Aretha,Franklin,Musician,US,Late 20th C,1942,2018,"Respect, Amazing Grace, I Say a Little Prayer",GROWsutra,"music,soul,feminism,race/justice,spirituality/agnosticism",Inspired the song 'T.R.U.T.H (That's what we need)' and 'Voices of Truth'.,,https://en.wikipedia.org/wiki/Aretha_Franklin,,Draft,56,M-56,"Blessed be Your Voice,T.R.U.T.H,V.O.I.C.E.S (Blessed Be),V.O.I.C.E.S (What You Want Baby)",4
Stephen Fry,Stephen,Fry,"Author,Philosopher",GB,"Late 20th C,Contemporary",1957,,"The Hippopotamus, Mythos, Heroes","SHOWsutra,KNOWsutra,GLOWsutra","humor/satire,philosophy,knowledge,literature",,,https://en.wikipedia.org/wiki/Stephen_Fry,,Draft,57,M-57,,0
Mahatma Gandhi,Mahatma,Gandhi,"Politician,Philosopher",IN,"Early 20th C,Mid 20th C",1869,1948,"Hind Swaraj, Non-violent resistance campaigns","BLOWsutra,BOWsutra,GROWsutra","resistance,nonviolence,spirituality/agnosticism,truth-telling",,,https://en.wikipedia.org/wiki/Mahatma_Gandhi,,Draft,58,M-58,,0
