playlist_name,playlist_type,ytplaylist_in_app,sutra,video_count,description,playlist_id,playlist_url,thumbnail_url,ytplaylist_featured,ytplaylist_featured_description
FOLKsutra,genre (all),,,55,"The folk thread running through the catalog: acoustic, rooted, and built for telling the truth plainly.",PLmBA9ODM1xHO--25VyLoRMucAgIwe2CuT,https://www.youtube.com/playlist?list=PLmBA9ODM1xHO--25VyLoRMucAgIwe2CuT,https://i.ytimg.com/vi/MGkTpm5R3uM/maxresdefault.jpg,,
LOFIsutra,genre (all),,,65,"Lo-fi as philosophy: low production, high feeling. Hiss, grain, and the warmth of something unpolished.",PLmBA9ODM1xHNUdZ0bk-WH3atN9LVvf5OU,https://www.youtube.com/playlist?list=PLmBA9ODM1xHNUdZ0bk-WH3atN9LVvf5OU,https://i.ytimg.com/vi/3t3Mq-QICzw/maxresdefault.jpg,,
ROCKsutra,genre (all),,,22,"The post-punk rock channel: electric, distorted, and louder than it probably needs to be. Bananasutra plugged in the post-constitutional universe, ha.",PLmBA9ODM1xHNAliNi5o2zRGlvQeK8pXPO,https://www.youtube.com/playlist?list=PLmBA9ODM1xHNAliNi5o2zRGlvQeK8pXPO,https://i.ytimg.com/vi/cL8Id15leJY/maxresdefault.jpg,,
BLUESsutra,genre (all),,,24,"When Blues is the  philosophy: not just sadness, but the dignity of enduring and still singing, together (because we all matter).",PLmBA9ODM1xHPQiiiZPxHr6rG8OvRqx-wk,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPQiiiZPxHr6rG8OvRqx-wk,https://i.ytimg.com/vi/h0j7e3sGm9g/maxresdefault.jpg,,
BURLESQUEsutra,genre (all),,,80,"Where the carnivalesque meets the confrontational. Burlesque as political theater, sensuality as resistance.",PLmBA9ODM1xHO2Uv51EyJmqSlBwpdICDnz,https://www.youtube.com/playlist?list=PLmBA9ODM1xHO2Uv51EyJmqSlBwpdICDnz,https://i.ytimg.com/vi/Tl1KbppJVls/maxresdefault.jpg,,
PIANOsutra,genre (all),,,19,"Piano-centered songs:  the keyboard as primary voice, from spare and intimate to densely layered.",PLmBA9ODM1xHMYkR9hzlVk7SoaTvykSz2p,https://www.youtube.com/playlist?list=PLmBA9ODM1xHMYkR9hzlVk7SoaTvykSz2p,https://i.ytimg.com/vi/dcbMQpx_aTI/maxresdefault.jpg,,
DUBsutra,genre (all),,,33,"Deep dub frequencies, echoed basslines, and reggae-rooted meditation. Slow enough to feel the weight.",PLmBA9ODM1xHMeMXlhSaxVHCTQWHxOs6pN,https://www.youtube.com/playlist?list=PLmBA9ODM1xHMeMXlhSaxVHCTQWHxOs6pN,https://i.ytimg.com/vi/_xRJPg9FlFM/maxresdefault.jpg,,
LULLAsutra,genre (all),,,20,"Lullabies for adults who never quite got the comfort they needed as children. Tender, slow, and a little melancholy.",PLmBA9ODM1xHPBqiTUHJuDtTeZfafWCMUG,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPBqiTUHJuDtTeZfafWCMUG,https://i.ytimg.com/vi/QMaxq0XhyRk/maxresdefault.jpg,,
MANTRAsutra,genre (all),,,44,Repetition as ritual. Songs designed to loop in your head and rewire something slowly.,PLmBA9ODM1xHO9pKEdjD5rkrze2l2596D8,https://www.youtube.com/playlist?list=PLmBA9ODM1xHO9pKEdjD5rkrze2l2596D8,https://i.ytimg.com/vi/pSBv8kq6NnA/maxresdefault.jpg,,
BANJOsutra,genre (all),,,29,"The banjo as yummy protagonist: gypsy, blues, folk, and the irreverent twang of a plucked conscience.",PLmBA9ODM1xHOKzkGZ6DX6ndWiRcTwwU0R,https://www.youtube.com/playlist?list=PLmBA9ODM1xHOKzkGZ6DX6ndWiRcTwwU0R,https://i.ytimg.com/vi/5WOBXVQRhAQ/maxresdefault.jpg,,
JAZZsutra,genre (all),,,54,Can you hear the vocal honey?,PLmBA9ODM1xHM4L7n8FiABFkY1iVfYT8mm,https://www.youtube.com/playlist?list=PLmBA9ODM1xHM4L7n8FiABFkY1iVfYT8mm,https://i.ytimg.com/vi/9lxf862x5cU/maxresdefault.jpg,,
FLOWsutra : WET (My Friend),songbook,,FLOWsutra,12,"The WET My Friend songbook: water, emotion, tears, rain, and the permission to feel deeply.",PLmBA9ODM1xHPhI6D2zJmzY-6YPjlIiFam,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPhI6D2zJmzY-6YPjlIiFam,https://i.ytimg.com/vi/CpRrVWLTBa4/maxresdefault.jpg,,
KNOWsutra : PEACE (Not War),songbook,,KNOWsutra,17,"The Peace Not War sub-collection: KNOWsutra songs specifically about conflict, pacifism, and the cost of choosing war.",PLmBA9ODM1xHOp9TwsWy_x0I2trZl6VYbg,https://www.youtube.com/playlist?list=PLmBA9ODM1xHOp9TwsWy_x0I2trZl6VYbg,https://i.ytimg.com/vi/jDJCzK472CE/maxresdefault.jpg,,
BLOWsutra : Ego (Gone Loco),songbook,,BLOWsutra,19,"The Ego Gone Loco songbook: songs about narcissism, hubris, and the particular damage caused by people who never doubt themselves.",PLmBA9ODM1xHOX79IqTJignAHdr8fwk62q,https://www.youtube.com/playlist?list=PLmBA9ODM1xHOX79IqTJignAHdr8fwk62q,https://i.ytimg.com/vi/S5B_T0rH3gU/maxresdefault.jpg,,
SHOWsutra : Fanana Club,songbook,,SHOWsutra,29,"The Fanana Club: the more playful, party-ready side of SHOWsutra. Songs built to be performed together.",PLmBA9ODM1xHNi45ZKnlo_oPs51IZfI6uf,https://www.youtube.com/playlist?list=PLmBA9ODM1xHNi45ZKnlo_oPs51IZfI6uf,https://i.ytimg.com/vi/9FwaPZK_8XI/maxresdefault.jpg,,
KNOWsutra : Bertrand (He Knows),songbook,,KNOWsutra,17,"Bertrand Russel's corner: songs channeling my favorite dead daddy spirit and philosophy, in musical form.",PLmBA9ODM1xHMLbHcf9a0Uwp2WKH0ZZz5k,https://www.youtube.com/playlist?list=PLmBA9ODM1xHMLbHcf9a0Uwp2WKH0ZZz5k,https://i.ytimg.com/vi/MFOWBYybGD0/maxresdefault.jpg,,
BLOWsutra : CENSOR(ed),songbook,,BLOWsutra,21,"Songs about silencing, erasure, and the long history of power trying to shut artists up.",PLmBA9ODM1xHO5f-CXFjcqTr20-vfaKT-b,https://www.youtube.com/playlist?list=PLmBA9ODM1xHO5f-CXFjcqTr20-vfaKT-b,https://i.ytimg.com/vi/vz2mxvPk-Z8/maxresdefault.jpg,,
BLOWsutra : DUCK (Shady),songbook,,BLOWsutra,56,"The Duck Shady songbook: songs written to and about Don the Duck. Satirical, sharp, and very specifically aimed.",PLmBA9ODM1xHMxgsW1Sh4GGaZ1WKioQZ0g,https://www.youtube.com/playlist?list=PLmBA9ODM1xHMxgsW1Sh4GGaZ1WKioQZ0g,https://i.ytimg.com/vi/VSKoG32jrTc/maxresdefault.jpg,,
GLOWsutra: Rainbows (in my clouds),songbook,,GLOWsutra,7,"The Rainbows in My Clouds songbook: GLOWsutra songs about finding light in difficulty, gratitude under duress.",PLmBA9ODM1xHPEKsJY4jUw76fgvU3uE_y2,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPEKsJY4jUw76fgvU3uE_y2,https://i.ytimg.com/vi/2dS7nbT48IY/maxresdefault.jpg,,
BLOWsutra : MA❔A Saga,songbook,,BLOWsutra,15,The MAxxxA Saga: satirical dispatches from the Make America Kingdom Again era. A continuing series.,PLmBA9ODM1xHPBTS5-4F6iCrzF0uzm4Nz4,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPBTS5-4F6iCrzF0uzm4Nz4,https://i.ytimg.com/vi/55Rxmw4804k/maxresdefault.jpg,,
FLOWsutra : FLY (like water),songbook,,FLOWsutra,15,"The FLY Like Water songbook: songs about lightness, release, and the particular freedom of trusting the flow.",PLmBA9ODM1xHPiTZvcUyP7GMgWtLrK6Sqj,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPiTZvcUyP7GMgWtLrK6Sqj,https://i.ytimg.com/vi/0EmqnHAN2BI/maxresdefault.jpg,,
GROWsutra : GOD (Questions Etc...),songbook,,GROWsutra,28,"Songs that look directly at God, faith, and the cosmic absurdity of spiritual seeking. Questions welcome. Answers suspicious.",PLmBA9ODM1xHMdG7cOXTGY_J31RYBXVReV,https://www.youtube.com/playlist?list=PLmBA9ODM1xHMdG7cOXTGY_J31RYBXVReV,https://i.ytimg.com/vi/-1B3lFfieo4/maxresdefault.jpg,,
BOWsutra : (upward) DOGS,songbook,,BOWsutra,4,"The Upward Dogs songbook: BOWsutra songs of gratitude, devotion, and the lessons taught by dogs.",PLmBA9ODM1xHPEIrH4SG2G0T-GBQBrPdm_,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPEIrH4SG2G0T-GBQBrPdm_,https://i.ytimg.com/vi/MGkTpm5R3uM/maxresdefault.jpg,,
GLOWsutra : POET(ry),songbook,,GLOWsutra,3,"The Poetry songbook: GLOWsutra songs rooted in the spoken word tradition, where lyric becomes literature.",PLmBA9ODM1xHP3vEcCAbUNFOmKyrivdxIT,https://www.youtube.com/playlist?list=PLmBA9ODM1xHP3vEcCAbUNFOmKyrivdxIT,https://i.ytimg.com/vi/OUeeMQn60H8/maxresdefault.jpg,,
GROWsutra : DARE (to Care),songbook,,GROWsutra,16,"The Dare to Care songbook: songs that insist caring is not weakness, that empathy is a radical act.",PLmBA9ODM1xHPndtfyffENkppiLQuzFA7t,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPndtfyffENkppiLQuzFA7t,https://i.ytimg.com/vi/pqQ7D4TO0f0/maxresdefault.jpg,,
BLOWsutra : REVOLT (Now),songbook,,BLOWsutra,38,The Revolt Now songbook: songs for when witnessing is no longer enough and action becomes the only honest response.,PLmBA9ODM1xHOkSgbDiFFzhUBFcnJh6KCn,https://www.youtube.com/playlist?list=PLmBA9ODM1xHOkSgbDiFFzhUBFcnJh6KCn,https://i.ytimg.com/vi/TWCfjqln71A/maxresdefault.jpg,,
SHOWsutra: B.J. is for Banana Joke,songbook,,SHOWsutra,6,"The Banana Joke songbook: the deliberately ridiculous, playful, and self-aware comedy wing of SHOWsutra.",PLmBA9ODM1xHPopHtAdCS3iFNwF9lYeBEv,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPopHtAdCS3iFNwF9lYeBEv,https://i.ytimg.com/vi/qnqL1PztSF0/maxresdefault.jpg,,
KNOWsutra : But(t) Whyyy,songbook,,KNOWsutra,15,The But(t) Why songbook: songs built around the stubborn refusal to accept bad answers to important questions.,PLmBA9ODM1xHPjgODeVge27rOgtJPZpBTJ,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPjgODeVge27rOgtJPZpBTJ,https://i.ytimg.com/vi/t1oDsBWYlAU/maxresdefault.jpg,,
BLOWsutra : Apes Gone Wrong,songbook,,BLOWsutra,42,"The Apes Gone Wrong songbook: songs about power, tribalism, and the primate politics hiding behind civilized behavior.",PLmBA9ODM1xHMQkFpQnXdedZCPVTKnTJwX,https://www.youtube.com/playlist?list=PLmBA9ODM1xHMQkFpQnXdedZCPVTKnTJwX,https://i.ytimg.com/vi/6sY3fz517_c/maxresdefault.jpg,,
KNOWsutra : (Naked) Truth,songbook,,KNOWsutra,16,Songs that strip things down to their uncomfortable core. The Naked Truth songbook.,PLmBA9ODM1xHMNWWIRzmioiJVhNi_2KNqD,https://www.youtube.com/playlist?list=PLmBA9ODM1xHMNWWIRzmioiJVhNi_2KNqD,https://i.ytimg.com/vi/XCHuCKdpbY4/maxresdefault.jpg,,
GROWsutra: KIND(ness),songbook,,GROWsutra,11,"Songs about kindness as a practice: not as sweetness, but as a deliberate, sometimes difficult choice.",PLmBA9ODM1xHPpocJo4Hp4DVUDNlOoRgYm,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPpocJo4Hp4DVUDNlOoRgYm,https://i.ytimg.com/vi/8yRt0xH3fnc/maxresdefault.jpg,,
BLOWsutra : FOTUS Circus,songbook,,BLOWsutra,24,"The FOTUS Circus songbook: the theatrical, multi-act suite built around the American political spectacle.",PLmBA9ODM1xHOiz68fft3F-Tw_GaC0nYz2,https://www.youtube.com/playlist?list=PLmBA9ODM1xHOiz68fft3F-Tw_GaC0nYz2,https://i.ytimg.com/vi/T3B5fkrnEaI/maxresdefault.jpg,,
SHOWsutra,sutra (all),,SHOWsutra,39,"Performance, spectacle, and the art of showing up. Songs about the stage we all perform on.",PLmBA9ODM1xHNzdafcuzT2zULRtVss9O0O,https://www.youtube.com/playlist?list=PLmBA9ODM1xHNzdafcuzT2zULRtVss9O0O,https://i.ytimg.com/vi/fxVNlV2gkVk/maxresdefault.jpg,,
FLOWsutra,sutra (all),,FLOWsutra,32,"Songs about water, movement, letting go, and the grace of trusting the current.",PLmBA9ODM1xHMi0IpYoOhKJTGKwy0R6psf,https://www.youtube.com/playlist?list=PLmBA9ODM1xHMi0IpYoOhKJTGKwy0R6psf,https://i.ytimg.com/vi/Mz4wS5lEAO8/maxresdefault.jpg,,
BLOWsutra,sutra (all),,BLOWsutra,146,"Songs that name the rot. Political witness, systemic critique, and the blues of living in a world run by wolves.",PLmBA9ODM1xHOE0ShuVBT_G-3fPqI1sI0C,https://www.youtube.com/playlist?list=PLmBA9ODM1xHOE0ShuVBT_G-3fPqI1sI0C,https://i.ytimg.com/vi/sIITiAoF0E8/maxresdefault.jpg,,
KNOWsutra,sutra (all),,KNOWsutra,61,"Songs that ask the inconvenient questions. Wisdom, inquiry, and the uncomfortable clarity of seeing things as they are.",PLmBA9ODM1xHOC1OLVy634_rUGMCcm8a7T,https://www.youtube.com/playlist?list=PLmBA9ODM1xHOC1OLVy634_rUGMCcm8a7T,https://i.ytimg.com/vi/t1oDsBWYlAU/maxresdefault.jpg,,
GLOWsutra,sutra (all),,GLOWsutra,8,"GLOWsutra: songs about illumination, wonder, and the quiet radiance of things done with love.",PLmBA9ODM1xHPp12I6SG0f2QiSamk9N2EB,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPp12I6SG0f2QiSamk9N2EB,https://i.ytimg.com/vi/eJw8l_THhsE/maxresdefault.jpg,,
GROWsutra,sutra (all),,GROWsutra,50,"Songs about becoming: transformation, healing, the long work of growing into who you actually are.",PLmBA9ODM1xHPjY05WfDqG2KI4hcqThFph,https://www.youtube.com/playlist?list=PLmBA9ODM1xHPjY05WfDqG2KI4hcqThFph,https://i.ytimg.com/vi/wUgEGd2SQ84/maxresdefault.jpg,,
