ep_title,ep_url,ep_volume,ep_rating,sutra,genres,genres_full,ep_total_tracks,track_titles,track_ids,total_plays,total_likes,ep_engagement_rate,duration_total,artwork_url,artwork_lg_url,lyrics_title,lyrics_id,ep_in_app,ep_featured,ep_description,ep_songbook_title,vid_exist,vid_ytplaylist,vid_yturl,created_at,playlist_names_clean
Donkeys Years - SHOWsutra Fanana Club Gratitude EPx20,https://soundcloud.com/bananasutra/sets/donkeys-years-showsutra-fanana-club-gratitude-epx20,1,,GLOWsutra,"BURLESQUE,DUB,INDIE,JAZZ,LOFI,ROCK","BURLESQUE,CABARET,DUB,FLAMENCO,GIPSY,INDIE,JAZZ,LOFI,PSYCHEDELIC,RAGGA,ROCK",20,"Side A [01] Donkeys Years • SHOWsutra Fanana Club Gipsy Flamenco Cabaret Dub INDIE, Side A [02] Donkeys Years • SHOWsutra Fanana Club Gipsy La Poesita Cabaret Dub INDIE, Side A [03] Donkeys Years • SHOWsutra Fanana Club Gipsy La Poesita Cabaret Dub INDIE, Side A [04] Donkeys Years • SHOWsutra Fanana Club Gipsy La Poesita Cabaret Dub INDIE, Side A [05] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Indie LOFI, Side A [06] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Indie LOFI, Side A [07] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Indie LOFI, Side A [08] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Indie Cello LOFI, Side A [09] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Indie Cello LOFI, Side B [10] Donkeys Years • SHOWsutra Fanana Club Gipsy She Wanna Know Upright Indie Bass JAZZ, Side B [11] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Indie Piano Bass JAZZ, Side B [12] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Indie Piano Bass JAZZ, Side B [13] Donkeys Years • SHOWsutra Fanana Club Gipsy Piano Kitten Cabaret Burlesque JAZZ, Side B [14] Donkeys Years • SHOWsutra Fanana Club Gipsy Piano Kitten Cabaret Burlesque JAZZ, Side B [15] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Piano Bass BURLESQUE, Side B [16] Donkeys Years • SHOWsutra Fanana Club Psychedelic Gipsy IBYN Cabaret Rock BURLESQUE, Side B [17] Donkeys Years • SHOWsutra Fanana Club Psychedelic Gipsy IBYN Cabaret Rock BURLESQUE, Side B [18] Donkeys Years • SHOWsutra Fanana Club Gipsy Oh Boy Accordion Circus Waltz BURLESQUE, Side B [19] Donkeys Years • SHOWsutra Fanana Club Gipsy Oh Boy Accordion Circus Waltz BURLESQUE, BONUS [20] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Ragga Mama Dub DUB","2226413237, 2226413270, 2226413258, 2226413231, 2226413228, 2226413252, 2226413234, 2226413261, 2226413243, 2226413273, 2226413279, 2226413246, 2226413225, 2226413255, 2226413285, 2226413276, 2226413240, 2226413264, 2226413249, 2226413267",11179,101,0.903480,0:59:12,https://i1.sndcdn.com/artworks-09nrbUudNilo3UyQ-Qz1LzA-t500x500.png,https://i1.sndcdn.com/artworks-09nrbUudNilo3UyQ-Qz1LzA-t1080x1080.png,Donkeys Years,L-63,checked,,"A 20-track glow-up that takes nothing seriously except joy. Donkeys' years of dancing. Sure worth celebrating. Burlesque, dub, and indie grooves from end to end. One of the heavier hitters: 10k+ plays. A rainbow in someone's cloud.",Bless: RAINBOWS (in my clouds),,,,2025-12-09T00:16:35Z,"BURLESQUEsutra, BURLESQUEsutra (Best Of), DUBsutra (Best Of), GLOWsutra : RAINBOWS (in my clouds), INDIEsutra, JAZZsutra, JAZZsutra (Best Of), LOFIsutra, LOFIsutra (Best Of), SHOWsutra : FANANA Club, SHOWsutra where bananas play"
Double Standards EPx3 VOL. 1 • BURLESQUEsutra,https://soundcloud.com/bananasutra/sets/double-standards-epx3-burlesquesutra,1,,GROWsutra,BURLESQUE,BURLESQUE,3,"Double (decking) Standards VOL. 1 • BURLESQUEsutra, Double (decking) Standards VOL. 1 • DUBsutra, Double (decking) Standards VOL. 1 • Piano BURLESQUEsutra","2015172463, 2015172447, 2015172423",628,10,1.592357,0:09:59,https://i1.sndcdn.com/artworks-EbCkPt5OXsQDVEWJ-qwqVYw-t500x500.jpg,https://i1.sndcdn.com/artworks-EbCkPt5OXsQDVEWJ-qwqVYw-t1080x1080.jpg,Double Standards,L-64,checked,,"A quick 9-minute burst of narcissism on parade, across 3 tracks. They censor skin but cradle sin. Guns in, truth locked out. Why can't we be brave? A waltz-question that won't age. Jacques Brel walked in and stayed. Dare to care. That's the whole thing.",Dare: DARE (to care),,,,2025-01-22T09:24:33Z,"BLOWsutra, BLOWsutra : APES (gone wrong), BURLESQUEsutra, DUBsutra, DUBsutra (Best Of), GROWsutra : DARE (to care), JAZZsutra, KNOWsutra where questions matter"
Double Standards EPx4 VOL. 2 ★ BLOWsutra LOFI,https://soundcloud.com/bananasutra/sets/double-standards-ep-4-vol-2,2,,BLOWsutra,"FOLK,LOFI","FOLK,LOFI",4,"[1] Double Standards (why we can't be brave) • VOL. 2 • LOFI FOLK, [2] Double Standards (in a world of unspoken lies) • VOL. 2 • LOFI FOLKsutra, [3] Double Standards (in a world of unspoken lies) • VOL. 2 • Bass LOFIsutra, [4] Double Standards (in a world of shadows) • VOL. 2 • Acapela MANTRAsutra","2068916268, 2068916276, 2068916272, 2068916280",769,4,0.520156,0:12:16,https://i1.sndcdn.com/artworks-CzCzt9mTlZWzjTqp-8FLR4g-t500x500.png,https://i1.sndcdn.com/artworks-CzCzt9mTlZWzjTqp-8FLR4g-t1080x1080.png,Double Standards,L-64,checked,,"A 4-track shadow-walk that dares you to show up. They censor skin but cradle sin. Guns in, truth locked out. Why can't we be brave? A waltz-question that won't age. Channeling Jacques Brel, obviously. This is Vol. 2—the saga deepens. Dare to care. That's the whole thing.",Dare: DARE (to care),,,,2025-04-02T05:42:54Z,"FOLKsutra, GROWsutra : DARE (to care), GROWsutra where we be brave, JAZZsutra, MANTRAsutra"
Dressed in (nothing butt) Wonder ★ Exxxplore and Play (EP) x16 Bananas,https://soundcloud.com/bananasutra/sets/dressed-in-nothing-butt-wonder-exxxplore-and-play-ep-x16-bananas,1,,SHOWsutra,"BURLESQUE,DUB,FOLK","BURLESQUE,DUB,FOLK,RAGGA",16,"[01] Dressed in Wonder • psyBLUES BANJOsutra, [02] In my wonderland ooh la la • psyQueen of Authentic • BANJOsutra, [03] Call it Wonderland • Destiny's BLUESsutra, [04] Wonderland •  contraBASS JAZZsutra, [05] Tell 'Em Now, Cha Cha Cha • contraBASS JAZZsutra, [06] Dolled Up Hon Ragga Cha Cha • Rebound DUBsutra, [07] Queen if Heart Dressed in Wonder • Miss Cheeky Dub JAZZsutra, [08] Dressed in Wonder • Miss Cheeky Jazzy FOLKsutra, [09] Dressed for Wonder Ooh la la • Cheeky FOLKsutra, [10] Dressed in Wonder Ooh La La • Plucky FOLKsutra, [11] I'm just a dreamer, dear • Destiny BLUESsutra, [12] That Je Ne Sais Quoi • Acapela Folk BLUESsutra, [13] Red Tutu POV • Chachacha Burlesque BLUESsutra, [14] Dressed to Tango • Accordion BURLESQUEsutra, [15] Oh My Cha Cha Cha • Accordion BURLESQUEsutra, [16] Life is a costume party • Circus BURLESQUEsutra","2072424940, 2072424920, 2072424912, 2072424928, 2072424968, 2072424916, 2072424964, 2072424956, 2072424932, 2072424960, 2072424924, 2072424948, 2072424944, 2072424936, 2072424952, 2072424972",3269,35,1.070664,0:48:15,https://i1.sndcdn.com/artworks-1DyhYd51j78cqPch-AJYylQ-t500x500.png,https://i1.sndcdn.com/artworks-1DyhYd51j78cqPch-AJYylQ-t1080x1080.png,Dressed In (Nothing Butt) Wonder,L-65,checked,,"16 tracks of gleeful absurdity. Tutus, feathers, velvet, ribbons. Dressed for nobody but(t) the awe & wonder of it. Carroll Lewis walked in and stayed. Welcome to the Fanana club.",Play: FANANA (party),,,,2025-04-06T22:50:17Z,"BANJOsutra, BLUESsutra, BLUESsutra (Best Of), BURLESQUEsutra (Best Of), HIDDEN PEELS, SHOWsutra : FANANA Club, SHOWsutra where bananas play"
Drop Di Baggage • FLOWsutra (Fly Like Water) Psychedelick Ragga Mama Ambient DUB EPx7,https://soundcloud.com/bananasutra/sets/drop-di-baggage-flowsutra-ambient-dub-epx7,1,,FLOWsutra,DUB,DUB,7,"[01] Drop Di Baggage • FLOWsutra (Fly Like Water) Psychedelick Ragga Banjo Mama Ambient DUB, [02] Drop Di Baggage • FLOWsutra (Fly Like Water) Psychedelick Ragga Banjo Mama Ambient DUB, [03] Drop Di Baggage • FLOWsutra (Fly Like Water) Psychedelick Ragga Banjo Mama Ambient DUB, [04] Drop Di Baggage • FLOWsutra (Fly Like Water) Psychedelick Ragga Banjo Mama Ambient DUB, [05] Drop Di Baggage • FLOWsutra (Fly Like Water) Psychedelick Ragga Banjo Mama Ambient DUB, [06] Drop Di Baggage • FLOWsutra (Fly Like Water) Psychedelick Ragga Mama Muse DUB, [07] Drop Di Baggage • FLOWsutra (Fly Like Water) Psychedelick Ragga Mama Muse DUB","2345230601, 2345230604, 2345230595, 2345230607, 2345230592, 2345230589, 2345230598",10854,105,0.967385,0:27:56,https://i1.sndcdn.com/artworks-uv6WAjTchmbHEbgA-BEb2PA-t500x500.png,https://i1.sndcdn.com/artworks-uv6WAjTchmbHEbgA-BEb2PA-t1080x1080.png,Drop Di Baggage,L-397,checked,,"Blessed be dub, and psychedelic wisdom in  cloud 7.",Trust: FLY (like water),,,,2026-06-24T09:44:34Z,"DUBsutra, DUBsutra (Best Of), FLOWsutra : FLY (like water), FLOWsutra where time is space"
Dump Trump EPx4 🪦 BLOWsutra Burlesque ROCK,https://soundcloud.com/bananasutra/sets/dump-trump-epx4-blowsutra-burlesque-rock,1,,BLOWsutra,"BURLESQUE,LOFI,MANTRA,ROCK","BURLESQUE,LOFI,MANTRA,PUNK,ROCK",4,"[01] Dump Trump - QUACKsutra Burlesque Punk ROCK, [02] Dump Trump - QUACKsutra Burlesque Punk ROCK, [03] Dump Trump - QUACKsutra Burlesque Punk ROCK, [04] Dump Trump - QUACKsutra Drum LoFi MANTRA","2164995600, 2164995597, 2164995603, 2164995594",723,5,0.691563,0:12:41,https://i1.sndcdn.com/artworks-j9D9XVaWNRVgQ3WS-Ns1zng-t500x500.png,https://i1.sndcdn.com/artworks-j9D9XVaWNRVgQ3WS-Ns1zng-t1080x1080.png,Dump Trump,L-66,checked,,"4 burlesque, lo-fi, and mantra tracks for the ones who still give a damn. No metaphors were harmed in the making of this song (an adaptation of Smack Jack, by Nina Hagen) Nina Hagen walked in and stayed. Quack quack. You know who you are.",Quack: DUCK (shady),,,,2025-09-04T20:33:23Z,"LOFIsutra, QUACKsutra : DUCK (shady), QUACKsutra where we sing FU, ROCKsutra"
Easy (Death Is Nothing At All) ❣ BOWsutra EPx9,https://soundcloud.com/bananasutra/sets/easy-death-is-nothing-at-all-bowsutra-epx9,1,,BOWsutra,"BANJO,BLUES,DUB,INDIE","BANJO,BLUES,DUB,INDIE",9,"[01] Easy (Death Is Nothing At All) • BOWsutra Weary Banjo Mama BLUES, [02] Easy (Death Is Nothing At All) • BOWsutra Kindness is in the Depth Dubby BLUES, [03] Easy (Death Is Nothing At All) • BOWsutra Kindness is in the Depth Dubby BLUES, [04] Easy (Death Is Nothing At All) • BOWsutra Poetry is the Bridge Indie DUB, [05] Easy (Death Is Nothing At All) • BOWsutra Poetry is the Bridge Indie DUB, [06] Easy (Death Is Nothing At All) • BOWsutra Poetry is the Bridge Indie DUB, [07] Easy (Death Is Nothing At All) • BOWsutra La Poesita Peace DUB INDIE, [08] Easy (Death Is Nothing At All) • BOWsutra La Poesita Peace DUB INDIE, [09] Easy (Death Is Nothing At All) • BOWsutra Mama-b-c Cello INDIE","2177269572, 2177269560, 2177269551, 2177269566, 2177269557, 2177269575, 2177269569, 2177269563, 2177269554",2118,25,1.180359,0:32:39,https://i1.sndcdn.com/artworks-bzZBqdfk2aR7Mc8I-ba7MdA-t500x500.png,https://i1.sndcdn.com/artworks-bzZBqdfk2aR7Mc8I-ba7MdA-t1080x1080.png,Easy (Death Is Nothing At All),L-67,checked,,"A solid half-hour of beauty that bleeds, across 9 tracks. Death is nothing at all. Henry Scott Holland said so. Breathe easy, mon chéri. With a wink to Henry Scott Holland.",Bow: Death (is nothing),,,,2025-09-26T19:38:22Z,"BLUESsutra, BLUESsutra (Best Of), BOWsutra : DEATH (is nothing), BOWsutra the last of 7 sutras · it's divine <3, DUBsutra, DUBsutra (Best Of), HIDDEN PEELS, INDIEsutra"
Ego Ain't Your Amigo • Vol. 2 · EPx21 • BLOWsutra (Ego Gone Loco)  Dub LoFi Burlesque,https://soundcloud.com/bananasutra/sets/ego-aint-your-amigo-vol2-epx21-blowsutra-dub-lofi,2,,BLOWsutra,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK","BLUES,BURLESQUE,DUB,FLAMENCO,FOLK,GIPSY,HIP HOP,INDIE,JAZZ,LOFI,PSYCHEDELIC,PUNK,ROCK",21,"[01] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) La Poesita Psychedelic Indie Flamenco DUB, [02] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) La Poesita Psychedelic Indie Flamenco DUB, [03] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) La Poesita Psychedelic Indie Flamenco DUB, [04] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Bridge Poetry Folk DUB, [05] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Bridge Poetry Folk DUB, [06] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Bridge Poetry Folk DUB, [07] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Bridge Poetry Folk DUB, [08] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) She Wanna Know Psychedelic Jazz Fusion DUB, [09] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) She Wanna Know Psychedelic Jazz Fusion DUB, [10] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) She Wanna Know Psychedelic Jazz Fusion DUB, [11] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Bruh Dubby Psychedelic Hip Hop Dub LOFI, [12] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Cello Burlesque Jazz LOFI, [13] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Cello Burlesque Jazz LOFI, [14] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Gipsy Indie Jazz Fusion LOFI, [15] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Gipsy Indie Jazz Fusion LOFI, [16] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Gipsy Indie Jazz Fusion LOFI, [17] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Psychedelic Gipsy Indie Jazz Fusion LOFI, [18] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Post-Punk Psychedelic IBYN Rock BURLESQUE, [19] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Post-Punk Psychedelic IBYN Rock BURLESQUE, [20] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Post-Punk Psychedelic IBYN Rock BURLESQUE, [21] Ego Ain't Your Amigo • BLOWsutra (Ego Gone Loco) Queen of Authentic Dubby Psychedelic Folk BLUES","2271618407, 2271618413, 2271618401, 2271618395, 2271618437, 2271618449, 2271618422, 2271618443, 2271618431, 2271618440, 2271618410, 2271618404, 2271618398, 2271618416, 2271618389, 2271618392, 2271618425, 2271618434, 2271618446, 2271618419, 2271618428",30790,321,1.042546,1:24:25,https://i1.sndcdn.com/artworks-qfOVhmHG1WJJqjc9-k1w2VA-t500x500.png,https://i1.sndcdn.com/artworks-qfOVhmHG1WJJqjc9-k1w2VA-t1080x1080.png,Ego Ain't Your Amigo,L-68,checked,checked,"Twenty-one tracks of ego on parade, built around the line ""ego ain't your amigo."" Midway through, the song asks the sutra questions back at us: ""Is it true? Is it fair? Is it fun? Are we free, or just numb, marchin' to a drum?"" Gipsy dub gives way to psychedelic lo-fi, burlesque punk, and Americana blues. The gateway in.",Speak: EGO (gone loco),,,,2026-02-23T04:45:48Z,"BLOWsutra, BLOWsutra : EGO (gone loco), BLUESsutra, BLUESsutra (Best Of), BURLESQUEsutra, BURLESQUEsutra (Best Of), DUBsutra, DUBsutra (Best Of), JAZZsutra (Best Of), LOFIsutra, LOFIsutra (Best Of)"
Ego Ain't Your Amigo ⭐︎ EPx14 VOL. 01 ⭐︎ True Tales of BLUESsutra,https://soundcloud.com/bananasutra/sets/ego-aint-your-amigo-epx14-vol-01-true-tales-of-bluessutra,1,,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ","BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ",14,"[01] Ego Ain't Your Amigo (Fasho at Marlago) - oh hi salty honey bluesy JAZZ tempo, [02] Ego Ain't Your Amigo - Destiny Oh Hi Oh Hey Banjo Blues, [03] Ego Ain't Your Amigo - Destiny Folk Banjo Blues, [04] Ego Ain't Your Amigo - Piano Jazz Gal BURLESQUE, [05] Ego Ain't Your Amigo - pbgal Bassy Jazz BURLESQUE, [06] Ego Ain't Your Amigo (at Marlago) - Kindness is the depth BLUES, [07] Ego  Ain't Your Amigo - Kindness is the plucking BANJO, [08] Ego Ain't Your Amigo - Kindness is the depth banjo 1, [09] Ego Ain't Your Amigo - Miss Cheeky dubby String me Piano JAZZ, [10] Ego Ain't Your Amigo - Queen Banjo FOLK, [11] Ego Ain't Your Amigo - Fast DUB Muse Flow, [12] Ego Ain't Your Amigo - Drum me Jazzy Blues(grassy), [13] Ego Ain't Your Amigo (at Marlago) - Hide your Pets Yo BANJO, [14] Ego Ain't Your Amigo - Hide your Pets banjo","2079593265, 2079593292, 2079593286, 2079593256, 2079593277, 2079593268, 2079593298, 2079593271, 2079593274, 2079593283, 2079593259, 2079593280, 2079593289, 2079593262",2716,22,0.810015,0:44:22,https://i1.sndcdn.com/artworks-6Al7JWcSGShXvOzO-NMakyQ-t500x500.jpg,https://i1.sndcdn.com/artworks-6Al7JWcSGShXvOzO-NMakyQ-t1080x1080.jpg,Ego Ain't Your Amigo,L-68,checked,,"Nearly an hour of ego in the mirror, across 14 tracks. Because ego just can't get over himself. So. Just quit it already. The sound: banjo, blues, and burlesque. Ego, meet your reflection.",Speak: EGO (gone loco),,,,2025-04-16T03:50:30Z,"BANJOsutra, BLUESsutra, BURLESQUEsutra, DUBsutra, FOLKsutra, FOTUS CIRCUS Playlist An American Freaks Show, GROWsutra where we be brave, HIDDEN PEELS, JAZZsutra, KNOWsutra where questions matter, QUACKsutra : DUCK (shady), QUACKsutra where we sing FU"
EGO's Masquerade • EPx4 • BLOWsutra Tzigane Trip Hop Lo-Fi INDIE,https://soundcloud.com/bananasutra/sets/egos-masquerade-epx4-tzigane-trip-hop-lo-fi-indie,1,,BLOWsutra,"INDIE,LOFI","INDIE,LOFI,TRIP HOP",4,"[01] EGO's masquerade • Tzigane Trip Hop Lo-Fi INDIE, [02] EGO's masquerade • Tzigane Trip Hop Lo-Fi INDIE, [03] EGO's masquerade • Tzigane Trip Hop Lo-Fi INDIE, [04] EGO's masquerade • Tzigane Trip Hop Lo-Fi INDIE","2159401539, 2159401536, 2159401542, 2159401533",861,14,1.626016,0:19:03,https://i1.sndcdn.com/artworks-JnuEvmR6UOwtbaIM-AYNThw-t500x500.png,https://i1.sndcdn.com/artworks-JnuEvmR6UOwtbaIM-AYNThw-t1080x1080.png,EGO's Masquerade,L-69,checked,,"A 19-minute ride of clarity with claws, across 4 tracks. Welcome to Ego's Masquerade. Charming smiles, deceit in the eyes. Pull up a chair. Watch the show. Learn the signs. Indie and lo-fi grooves from end to end. Ego, meet your reflection.",Speak: EGO (gone loco),,,,2025-08-26T03:00:50Z,"BLOWsutra, BLOWsutra : EGO (gone loco), INDIEsutra (Best Of), MANTRAsutra"
El Papito Leo Es No MAGA Show ☰ KNOWsutra EPx6,https://soundcloud.com/bananasutra/sets/el-papito-leo-es-no-maga-show-knowsutra-epx6,1,,GROWsutra,"DUB,INDIE,JAZZ","DUB,INDIE,JAZZ",6,"[01] El Papito no es loco - Latin JAZZ, [02] El Papito Leo es No MAGA Show - Muse DUB, [03] El Papito Leo es No MAGA Show - Muse DUB, [04] El Papito Leo es No MAGA Show - Muse DUB, [05] El Papito Leo es No MAGA Show - Cello INDIE, [06] El Papito Leo es No MAGA Show - Cello INDIE","2118416418, 2118416412, 2118416421, 2118416409, 2118416424, 2118416415",3693,24,0.649878,0:15:38,https://i1.sndcdn.com/artworks-pO4mbYYB5FWshxlE-Emrw6Q-t500x500.png,https://i1.sndcdn.com/artworks-pO4mbYYB5FWshxlE-Emrw6Q-t1080x1080.png,El Papito (Es No MAGA Show),L-70,checked,,"6 dub, indie, and jazz tracks for the ones who still give a damn. An American Pope walks in. MAGA walks out. Holy plot twist #bewoke Holy questions, no holy answers.",Dare: GOD (etc.),,,,2025-06-23T22:28:03Z,"DUBsutra, DUBsutra (Best Of), GROWsutra : GOD (etc), HIDDEN PEELS, INDIEsutra, INDIEsutra (Best Of), JAZZsutra, JAZZsutra (Best Of)"
En Vrai · On Est Tous Frères ䷁ FRENCH BLUESsutra EPx5,https://soundcloud.com/bananasutra/sets/en-vrai-on-est-tous-freres-banjo-frenchsutra-epx5,1,,KNOWsutra,"BANJO,BLUES,FOLK,LOFI,MANTRA","BANJO,BLUES,FOLK,LOFI,MANTRA",5,"En Vrai, On Est Tous Frères • BLUES BANJO FRENCHsutra, En Vrai, On Est Tous Frères • LOFI BLUES FRENCHsutra, En Vrai, On Est Tous Frères • BLUES MANTRA FRENCHsutra, En Vrai, On Est Tous Frères • FOLK FRENCHsutra, En Vrai, On Est Tous Frères • FOLK BANJO FRENCHsutra 5","2019929937, 2019929913, 2019929893, 2019929873, 2019929845",1351,24,1.776462,0:16:26,https://i1.sndcdn.com/artworks-LV5LoqM7mHhduC2y-UvDK3w-t500x500.jpg,https://i1.sndcdn.com/artworks-LV5LoqM7mHhduC2y-UvDK3w-t1080x1080.jpg,"En Vrai, On Est Tous Frères",L-71,checked,,"A 5-track bright spell that practices kindness like a contact sport. En vrai, on est tous seuls. En vrai, on est tous frères. Blessed be #fraternity Served in banjo, blues, and folk. En français, évidemment. The peace prayer that won't shut up.","Ask: PEACE (not war),World: FRENCHsutra",,,,2025-01-28T03:36:06Z,"BANJOsutra, BLUESsutra, FOLKsutra, FRENCHsutra oui oui · sacrebleu, GLOWsutra where gratitude feeds, KNOWsutra : PEACE (not War), KNOWsutra where questions matter, LOFIsutra, LOFIsutra (Best Of), MANTRAsutra, OUI OUI : Pardon (my French)"
Ethical Paradox (Bertrand Undone),https://soundcloud.com/bananasutra/sets/ethical-paradox-bertrand-undone,1,,KNOWsutra,INDIE,INDIE,4,"Holy All The Same (one) • LOFIsutra, Holy All The Same (two) • LOFIsutra, Bertrand Undone • FOLKsutra, They Call It Truth • JAZZsutra","1994641171, 1994641179, 1994641163, 1994641155",833,8,0.960384,0:13:54,https://i1.sndcdn.com/artworks-e6OYFWuOzXif0Mz7-XAx0EQ-t500x500.jpg,https://i1.sndcdn.com/artworks-e6OYFWuOzXif0Mz7-XAx0EQ-t1080x1080.jpg,It's An Ethical Paradox,L-116,checked,,"A quick 13-minute burst of curious reckoning, across 4 tracks. Step right up to the paradox parade. Morals, double-edged, coming on up. Inspired by Bertrand Russell. Bertrand would approve. Probably.",Ask: BERTRAND (knows),,,,2024-12-26T10:06:58Z,"BLOWsutra, DUBsutra, FOLKsutra, JAZZsutra, KNOWsutra : BERTRAND (mon chéri), KNOWsutra where questions matter, LOFIsutra, Questions for the (kind) POPE in the Sky"
Everybody Knows EP x6 : INDIEsutra,https://soundcloud.com/bananasutra/sets/everybody-knows-epx6-indie-rocksutra,2,,KNOWsutra,INDIE,INDIE,6,"Everybody Knows (not) [1], Everybody Knows (not) [3], Everybody Knows (not) [2], Everybody Knows (not) [4], Everybody Knows (not) [5]","2009503727, 2009503735, 2009503723, 2009503731, 2009503743",808,3,0.371287,0:14:37,https://i1.sndcdn.com/artworks-idU4oy8bvs1SNH2k-5V1pjg-t500x500.png,https://i1.sndcdn.com/artworks-idU4oy8bvs1SNH2k-5V1pjg-t1080x1080.png,Everybody Knows,L-72,checked,,"A 6-track sun-drunk hymn that stares history in the face. Everybody knows the truth. Now what? Channeling Leonard Cohen, obviously. Vol. 2, because one wasn't enough. The peace prayer that won't shut up.",Ask: PEACE (not war),,,,2025-01-15T00:59:05Z,"BURLESQUEsutra, INDIEsutra, KNOWsutra where questions matter, LOFIsutra, MANTRAsutra, ROCKsutra"
Everybody Knows ✔ Vol. 03 - EPx7 ✔ KNOWsutra Gipsy Trip Hop Truth Prayer Dream,https://soundcloud.com/bananasutra/sets/everybody-knows-vol-03-epx7-knowsutra-gipsy-trip-hop-truth-prayer-dream,3,,KNOWsutra,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI","BLUES,BURLESQUE,DUB,GIPSY,INDIE,JAZZ,LOFI,PSYCHEDELIC,TRIP HOP",7,"[01] Everybody Knows • KNOWsutra Burlesque Trip Hop Indie Piano BLUES, [02] Everybody Knows • KNOWsutra Burlesque Trip Hop Indie Dub Piano BLUES, [03] Everybody Knows • KNOWsutra Psychedelic Trip Hop Cello Piano Waltz INDIE, [04] Everybody Knows • KNOWsutra Burlesque Trip Hop Piano Jazz INDIE, [05] Everybody Knows • KNOWsutra Psychedelic Trip Hop Cello Waltz INDIE, [06] Everybody Knows • KNOWsutra Burlesque Trip Hop Wa Wa Jazz Bass INDIE, [07] Everybody Knows • KNOWsutra Psychedelic Trip Hop Cello Piano Waltz LoFi INDIE","2205052535, 2205052559, 2205052539, 2205052543, 2205052555, 2205052551, 2205052547",4590,57,1.241830,0:28:35,https://i1.sndcdn.com/artworks-WS97VCa9dwPRoGyv-ajY3dQ-t500x500.png,https://i1.sndcdn.com/artworks-WS97VCa9dwPRoGyv-ajY3dQ-t1080x1080.png,Everybody Knows,L-72,checked,checked,"Seven tracks of humble pep talk and agnostic prayer. The KNOWsutra spine in one EP: the things we already know but pretend not to, named out loud so we can stop pretending. Leonard Cohen wrote the original ""Everybody Knows"" in 1988 and it hasn't aged a day; this is the conversation with him. Read his poem alongside this EP, as Banana puts it, and we win twice.",Ask: PEACE (not war),,,,2025-11-03T04:34:13Z,"BLUESsutra, BLUESsutra (Best Of), INDIEsutra, INDIEsutra (Best Of), JAZZsutra (Best Of), KNOWsutra : (naked) TRUTH, KNOWsutra where questions matter"
