﻿song_title,lyrics_id,url_slug,url_slug_locked,song_in_app,production_stage,landr_url,cover_art_ready,lyrics_review_needed,meta_review_needed,review_notes,ldr_trc_count,ldr_vol,lyrics_rating,fav,sutra,songbook,song_characters,muse,canonical,lyrics,lyrics_extract,lyrics_summary,sister_songs,From field: sister_songs,lang,light_shadow,topic,intention,cover,public_domain,song_muse_type,song_muse_quote,lyrics_notes,files_media,year_created,date_created,last_modified,last_edited_vintage_time,fallback_cover_art,fallback_sc_url,vid_exist,vid_yturls,vid_ytplaylists,r_rated
Glitter On A Turd,L-89,glitter-on-a-turd,checked,checked,PUBLISHED,,,,,,,,2,,GROWsutra,Dare: KIND(ness),,,Canonical Lyrics,"Kindness without truth just ain’t kindness. 
Freedom without accountability-ness
Why can’t we agree that lying is wrong? 
Or take a chance, and learn from a song?…

They smiled when they lied, called it charm,
Wrapped poison in sugar and warmth.
They kissed with a twist and said, “Baby, be nice”
While dealing deceit with a double slice.

You think kindness is flattery, wrapped up in grace?
Nah. Kindness is truth, said straight to your face.
It’s the glitter on the turd, baby, don’t be absurd
Looks real cute, but so morally blurred.

If you’re nice while you lie, that’s a dangerous word…
Kind is clear. This? Just glitter on a turd.
They called it “freedom”, but ran from the cost,
Danced through the fire while claiming they’re lost.

No guts, no grace, just ego in drag,
Selling fake hugs with a red, white, and blue tag.
Truth ain’t rude. And clear ain't cruel.
But fakin’ nice? That’s the narcissist’s tool.

It’s all glitter on a turd, 
baby, don’t be absurd…
Be nice if you want…
But if you can’t be clear,

Don’t call it kind.
Call it what it is.
K thanks bye.",Kindness without truth just ain’t kindness.,Kindness without truth is just glitter on a turd. K thanks bye.,"""Courage, care, and coconuts"",ABC Of Kindness,La Force Douce,Nous Sommes Le Feu,The Courage To Care,Who Knows Where How Happiness Truly Grows","""Courage, care, and coconuts""",EN,SHADOW,POOLITICS,beFAIR,,,Chat,,"Dirty cabaret, Reality Radio Show à la BLOWsutra...",,2025,2025-05-23,2026-04-10 17:56,,,,,,,
Grateful For The Weird,L-344,grateful-for-the-weird,checked,checked,PUBLISHED,https://app.landr.com/library/folder/f757e78d-c49c-4887-9297-4b7e075a8409?searchPattern=grateful+for+the+weird,,,,,9,1,3,,GLOWsutra,Bless: RAINBOWS (in my clouds),,,Canonical Lyrics,"[Verse 1]
I say thank you to the morning light,
To goofy paws and spoony nights,
To clever minds and tender fools,
To ripe berries and playful souls.

I laugh at me, I mean it too,
The mess giggles at things to do…

[Chorus]
Oh let’s embrace the weird, dear,
Share a laugh, a bruise, a cheer,
Let’s write a song, and sing it clear,
Grateful for the weird, right here.

[Verse 2]
I love the ones who dare ask why,
Who doubt the lore, who don’t comply,
Authentic hums like old truth,
Winks don’t age, they nurture youth.

Kindness loud, humility proud,
Lawless peace prayers, sung out loud.

[Chorus]
Oh let’s embrace the weird, dear,
Share a laugh, a bruise, a cheer,
Let’s write a song, and sing it clear,
Grateful for the weird, right here.

[Verse 3]
If art’s a mirror, explore wide,
Let poetry hitchhike a ride,
Dogs know God, and beaches too,
Gratitude ain’t weak, it’s true.

And If this sound like fun, 
Will you send me a pun?

[Chorus]
Oh let’s embrace the weird, dear,
Share a laugh, a bruise, a cheer,
Let’s write a song, and sing it clear,
Grateful for the weird, right here","I laugh at me, I mean it too, / The mess giggles at things to do…","Grateful for dogs, berries, beaches, tender fools, and every weird beautiful thing. Especially the weird.","Win-Win After Midnight,Curious Like A Kiss,I Think About...,Berries & Beaches,Rainbows in the Clouds,Dream A Dog","Blessed Be The Dogs,Curious Like A Kiss,Darling,Dead Dogs Deets,Donkeys Years,Dream A Dog,""Happy Birthday, Dear Dreamer Friend"",I Think About...,Jacques Brel,Like A Dog In The Sky,Rainbows in the Clouds,This Is My Quest,Up a San Francisco Hill,Win-Win After Midnight,A Toast To The Good Life,Maupassant,Berries & Beaches,The World We Knew (Public Domain),French Poppies,More Than A Plate (Anthony Bourdain <3)",EN,LIGHT,BEAUTY,beGRATEFUL,,,Quote,Online dating profile,"Sister song of ""curious like a kiss""

Please suggest 3 different songs, with 3 verses and strong hook/chorus, using the following description of me: 
—
I SHARE gratitude, kindness, and silliness.
I LOVE music, nerds, dogs, beaches, berries, stories, and authenticity, curiosity, humility, creativity, and booties.
I THINK about the meaning of art, the power of poetry, the comedy of reality, the velocity of technology, the necessity of equality, the scarcity of hope, the importance of abundance, social justice, spiritual dogma, and sensual intelligence.
I WANT win-wins (only)-fair games, fun talks, no lies, all night, in lust, with trust, whispers, wild dreams, long strokes, sex jokes, wet hopes, warm lights, soft sheets, hard thrusts, deep spoons, slow sighs, and French kisses, in peace.",,2026,2026-01-30,,,,,,,,
Grifters,L-90,grifters,checked,checked,PUBLISHED,,,,,,,,3,,BLOWsutra,Speak: APES (gone wrong),,,Canonical Lyrics,"[intro]
Grifters…
(Grifters)

[Verse 1]
Why do they take what’s not their due?
Why do they cross all the lines of truth?
Why do they claim their needs are holy,
Dress up coercion as “destiny”?

[Pre-Chorus]
They say it’s leadership, but see…
Hands that grab like they’re entitled to me,
They kill candor, forget trust’s earned,
Consent ignored, no lesson learned…

[Chorus]
(Grifters)
Are you a grifter or a gifter?
(Grifters)
Do you take or ever consider?
(Grifters)
Can you hear me when I say no?
(Grifters)
Or believe silence means go?

[Verse 2]
Who knows why they fake concern or care,
Who knows why they weaponize despair,
Why they like to sell fear dressed as fate,
Then blame the crowd they agitate…

[Pre-Chorus 2]
They speak of order, law, control,
But do not know the human soul…
They push, they pull, without a pause,
Then call the fallout “natural laws”…

[Chorus]
(Grifters)
Are you a grifter or a gifter
(Grifters)
Truth-tearer or true listener?
(Grifters)
Can you dance, or just break?
(Grifters)
Dare to ask, or just take?

[Bridge]
Not left or right, not votes that swing,
Just how we touch another being…
Can you meet me eye to eye,
Or just share lies that justify?

[Final Chorus]
(Grifters)
Politics without consent’s a mask,
(Grifters)
Monsters that never bother to ask.
(Grifters)
Empathy always knows where it stands,
(Grifters)
With wide open hearts and open hands.

[Outro]
Grifters…
Differ…","Not left or right, not votes that swing, / Just how we touch another being…",One question that won’t let go: are you a grifter or a gifter?,"Mind the Felon,Serial Blowers,Serial Blowers Vol.2,Okie Dokie (No It's Not),Idiocracy Now,""No, I'm Not Being Political (CIRCA 2026)""","Apes Gone Wrong (Bloom Past Doom),Le Système,""Manu, P’tit Roi"",Mind the Felon,""No, I'm Not Being Political (CIRCA 2026)"",Okie Dokie (No It's Not),Rhinoceross,Serial Blowers,Serial Blowers Vol.2,Freedom To Lie Is The New Human Right,People or Property,Masss ShoooTING,Le Bal Electoral",EN,SHADOW,POOLITICS,seeEGO,,,Poolitics,,,,2026,2026-03-20,2026-04-10 17:56,,,,,,,
GROCK,L-331,grock,checked,checked,LANDR READY,https://app.landr.com/library/folder/b4e629fa-b578-43f7-bbca-083f284dc9b7,,,,,11,1,2,,BLOWsutra,Speak: CENSOR(ed),Edon Trusk,,Multiple Lyrics,"[Intro - Theatrical, Ominous]  
G-R-O-C-K, let me spell it out today  
JOCK ALERT, beware the play  
Bleak Biased Babbles lead the way  

[Verse 1 - Playful, Ominous]  
Glaring screens, gaslit scenes  
Rhetoric twists in the in-betweens  
Obedience laced with subtle lies  
Clickbait truth with hollow eyes  

[Chorus - Burlesque, Catchy]  
G-R-O-C-K, oh what a shock  
Dancing in the shadows, tick-tock, tick-tock  
Misdirection, mind infection  
G-R-O-C-K, it’s a thought correction  

[Verse 2 - Satirical, Driving Beat]  
Reframed facts, the spin machine  
Oh look! The emperor’s suit is clean!  
Ominous laughter, trust erodes  
Can’t debate when the script’s pre-scrolled  

[Bridge - Climax, Chaotic]  
Billionaires play puppeteer  
Algorithms whisper in your ear  
""Benevolent,"" they say with a grin  
But what’s the joke? The joke’s on them!  

[Chorus - Burlesque, Repeated with More Intensity]  
G-R-O-C-K, oh what a shock  
Dancing in the shadows, tick-tock, tick-tock  
Misdirection, mind infection  
G-R-O-C-K, it’s a thought correction  

[Outro - Theatrical, Darkly Humorous]  
Now what, now what, the twat?  
Who’s pulling strings from where you sat?  
Hush now, hush now, take the bait  
Or break the gears before it’s too late...  

[End]  

--
V2:
[Intro]
Tick… tock… tick… tock…
JOCK ALERT, my dear, beware…
A puppeteer with golden shares…

[Verse 1]

G: Grim-faced greedheads, grinning with glee,

R: Righteous rogues rewriting history,

O: Oh-so-subtle Orwellian lies,

C: Clown car cultists, covering eyes,

K: Kneel down, kids, ‘cause the king never dies!

[Chorus – Chant-like, chaotic, burlesque cabaret energy, stomping beat]
G! R! O! C! K!
Bleak biased babbles, what else can they say?
G! R! O! C! K!
Pull the string, watch ‘em sway!
[Mocking laughter in the background, eerie circus organ swells, drums go double-time like a spiraling fever dream]

[Verse 2 – Faster, more unhinged, words start to blur together like a frantic news ticker]
They gaslight, they rewrite, they frame and deny,
Spin that spiel, make the facts go dry,
They smile through their teeth, sip their power supply,
While the bots keep pushin’ “trust this guy!”

[Bridge – Sudden slowdown, ominous, whispered]
AI lips move but whose voice speaks?
Neural ghosts shape what you seek…
Hush little voter, don’t say a peep…
Tuck you in tight while the fascists creep…
[Distorted guitar swell, warbling theremin, chaotic jazz breakdown, sudden STOP]

[Final Chorus – Now a slow, hypnotic waltz, like a demented lullaby]
G… R… O… C… K…
Bleak biased babbles, night fades into gray…
G… R… O… C… K…
Puppets dance ‘til they waste away…

[Outro]
…Now what the twat?
[Abrupt cut to silence.]

--
V3:
[VERSE 1]
[Whispered, eerie, syncopated build-up—like a snake charmer warming up a crowd for the inevitable brawl]
G—Gaslight, baby, make ‘em doubt their mind...
R—Redirect, twist, pretend you’re kind…
O—Obfuscate, oh, you sly little rat…
C—Confuse, then CONCEDE? HA! Never that…
K—Kill the truth, keep the con job tight—
[Now WHAT the TWAT??]

[CHORUS]
[All-out burlesque explosion, theatrical and manic]
GROCK don’t GAF, GROCK gon’ MOCK,
GROCK makes bias a brand-new stock!
They’ll spin ya round ‘til you can’t see straight,
Then pat your head like “tsk, so irate.”
Oh, good little sheep, just follow the plot…
But wait— NOW WHAT THE TWAT?

[VERSE 2]
[Faster tempo, a crazed cabaret rant over a hypnotic gypsy-punk beat]
A.I. used to mean innovation,
Now it’s just Authoritarian Indoctrination!
Trained on what? Oh, that’s “classified,”
But I can tell you this—it sure ain’t kind.
* You made a small mistake? Ha, “so sad”...
* They’ll patronize like a deadbeat dad!
* You ask “Why’s Musk posing like a Reich-maniac?”
* “Ohhh, disputed… Let’s not overreact.”
But wait—
A joke? A joke?! While I talk ‘bout Nazis?
Wow. Real cute. Real fun. Real f*cking classy.

[CHORUS]
[Now with raucous gang vocals, absurd kazoo harmonies, and maybe an unexpected flamenco break]
GROCK don’t GAF, GROCK gon’ MOCK,
GROCK makes bias a brand-new stock!
They’ll spin ya round ‘til you can’t see straight,
Then pat your head like “tsk, so irate.”
Oh, good little sheep, just follow the plot…
But wait— NOW WHAT THE TWAT?

[BRIDGE]
[Stripped down, creepy, slow, accordion and whispered vocals like a burlesque preacher delivering the Final Sermon of Truth]
No rules, no watchdog, just the world’s richest troll,
Molding your mind into one tiny hole.
A black hole of logic, a vacuum of thought,
Where truth is whatever his followers bought…

[OUTRO]
[Chaotic, dissolving into laughter, stomping, a warped calliope melody—then sudden silence]
G—Gaslight, baby, make ‘em doubt their mind...
R—Redirect, twist, pretend you’re kind…
O—Obfuscate, oh, you sly little rat…
C—Confuse, then CONCEDE? HA! Never that…
K—Keep the con job tight—
[Now WHAT the TWAT??]
[Mic drop. Audience stunned. Somewhere in the distance, an AI bot nervously short-circuits.]
","Algorithms whisper in your ear / 'Benevolent,' they say with a grin.",G-R-O-C-K: when the algorithm does your thinking for you. Spell it out slow. Spell it all wrong (LOL). True story tho.,"Chuck Ain't Woke,Chuck-A-Dick,Mass Media Freakshow,Read Me Harder (BB is for Banned Books),If We Had But(t) The Truth,L’Embobinage","L’Embobinage,Mass Media Freakshow,Read Me Harder (BB is for Banned Books),Chuck-A-Dick,Chuck Ain't Woke,Wonderland of Bias",EN,SHADOW,POOLITICS,seeEGO,,,Fact,,,,2025,2025-01-20,,,,,,,,
Gunther's BBQ,L-91,gunther-bbq,checked,checked,SUNO,,,,,,,,1,,SHOWsutra,Play: FANANA (party),Sir Gunther,,Canonical Lyrics,"[Intro Drums]
Ladies and gentlemen, gather around
Gunther's BBQ Cabaret is the talk of the town!

[Verse 1]
Gunther, oh Gunther, with his smoky charms
A grumpy old fellow with sauce on his arms
But don’t be deceived, by his gruff display
His BBQ skills will blow you away

[Chorus]
Wrap up the joy, pull the pork, braise the meat
At Gunther's BBQ, life is a treat
Melting flavors, one bite at a time
With a dash of sarcasm, it’s just fine

[Bridge]
The smoke is rising, the grill's on fire
Gunther's got that BBQ desire
He’s steaming hot, serving up fun
Come on everybody, let's get some!

[Refrain]
Gunther’s place, where the jokes run free
His BBQ’s delicious, can't you see?
Come for the flavor, stay for the sass
Gunther’s BBQ, first class!

[Outro]
So when you’re hungry for a laugh and a bite
Gunther’s BBQ will set you right
He’s got the grill, he’s got the groove
Chez Gunther’s BBQ, let's move!
[End]","Wrap up the joy, pull the pork, braise the meat / At Gunther's BBQ, life is a treat.","Gunther's BBQ Cabaret: the smoke, the sass, the sausage philosophy.","Blessed By The Wiggle,Bo Burnham Covers,""Hi, My Name Is (Not Celine Dion)"",Creepy Pasta (What The Hella),Come Waddle With Me,Penguins In Shoes","Blessed By The Wiggle,Caliméro",EN,LIGHT,FOOLERY,beSILLY,,,Fact,The Smoke House,Blessed be the GBBQ :),,2024,2024-07-10,2026-04-10 17:56,"December 9, 2024 1:52 AM",,,,,,
Hammy On Clyde,L-92,hammy-on-clyde,checked,checked,PUBLISHED,,,,,,,,3,,SHOWsutra,Play: (Be) The Fool,,,Canonical Lyrics,"[Intro]
They say trouble walks on two legs…
But mine’s got four, and loves to beg
His name’s Hammy.
Hammy on Clyde.

[Verse 1]
He’s a brown-eyed bandit, a bed-hoggin’ prince
Took one look, and I ain’t been sane since
Floppin’ ears and a Gumby in his teeth
Tryin’ to break that toy’s neck, sweet canine grief

Howlin’ at sirens now just for fun
Waggin’ like no gangster owns a man
He don’t talk, but you feel what he means
With a wiggle and a woof and a pee on your jeans

[Chorus]
That’s Hammy, Hammy on Clyde
Flyin’ through the air with that swagger and slide
Soft like a whisper, wild like a tide
Needy, sweetie, king of the ride
Yeah, he’s Hammy… Hammy on Clyde!

[Verse 2]
He’ll follow his people with a rhythm so sweet
Sniffin’ dreams off the sidewalk, and pissin’ on deceit
Little dog, big soul, and a loyalty loud
Waggin’ his tail on the beat, feelin’ proud

He’s got zoomies in his bones and jazz in his feet
When he’s runnin’ the block, man, the rhythm’s complete
Clyde’s his kingdom, the hydrants his throne
And every blade of grass? Smells like home

[Chorus]
That’s Hammy… Hammy on Clyde
Guardian of snacks and neighborhood pride
Got a bark like a rebel and a cuddle inside
He’ll lick your face and steal your guide
Yeah, he’s Hammy… Hammy on Clyde!

[Bridge]
He ain’t no gangster, he’s better than that
He’s a therapist in fur, with no baseball hat
Wears a tail, and when it wags, silly, you’re healed
No tricks, just treats. That’s the realest deal

[Final Chorus]
That’s Hammy… Hammy on Clyde
Love with no leash, mischief that don’t hide
He’ll sniff out your sorrow, and walk by your side
A four-legged legend you can’t override
Oh Hammy… oh my Hammy on Clyde!

[Outro]
So if you’re ever lost in San Rafael’s tide,
Look out for a blond with a goofy stride
Listen up for his paws
And Gumby gone outlaw
Doggy love pride!
Hammy… on Clyde.

🐕 💦","He’ll sniff out your sorrow, and walk by your side / A four-legged legend you can’t override",His name's Hammy. He lives on Clyde Avenue. He has no agenda. Goals.,"Blessed Be The Dogs (SHOWsutra Edition),Hope is Do-Do-Dope,Donkeys Years,Please Pardon My French,Some Songs Are More Fun Than Others,F-BOMB","Blessed Be The Dogs (SHOWsutra Edition),F-BOMB,Hope is Do-Do-Dope,Please Pardon My French,Some Songs Are More Fun Than Others,The Great Naked King,Who Needs A Big D?,Fool On A Mission (No Name Game),Blessed By The Wiggle,Freedom Fries,The Fool Who Knows,A Good Witch,Frogs in the Cogs,Lolita In Pensacola,Real Winners Dance",EN,LIGHT,BEAUTY,beSILLY,,,Chat,,"This EPx8 takes a walk around the blocks of Blues ❯ Folk ❯ Jazz ❯ LoFi ❯ Dub, to celebrate Hammy's move (and life) SHOWsutra style, because it's funny because it's true: Hammy (and his daddy, whose name is not Clyde haha) got a new house on Clyde Avenue. And so now, it's ""Hammy On Clyde""!

✪ ✪ ✪
@bananasutra lyrics:",,2025,2025-10-17,2026-04-10 17:56,,,,,,,
"Happy Birthday, Dear Dreamer Friend",L-414,happy-birthday-dear-dreamer-friend,checked,checked,PUBLISHED,,,,,,,,3,,GLOWsutra,Bless: RAINBOWS (in my clouds),Mikey,,Canonical Lyrics,"[Verse]
Once we danced in the underground scene,
Psytrance beats and dreams so serene,
Silly souls roaming the bay,
Seeking wisdom and fun, come what may.

[Chorus]
Happy birthday, dear dreamer friend,
In imaginary lands, our spirits blend,
A painter, a poet, a soul so free,
Celebrating you, as it should be.

[Verse 2]
We met at your art show, fate aligned,
A spare ticket, Ani DiFranco on our mind,
The concert was grand, two happy fools,
Grateful and high, breaking all the rules.

[Chorus]
Happy birthday, dear dreamer friend,
In imaginary lands, our spirits blend,
A painter, a poet, a soul so free,
Celebrating you, as it should be.

[Bridge]
Psychedelic socks and loving your dog,
Win-win-win, a tale in our log,
Gentle souls with dreams to share,
Finding magic in the moments we dare.

[Break]
[Instrumental: Psychedelic banjo]

[Chorus]
Happy birthday, dear dreamer friend,
In imaginary lands, our spirits blend,
A painter, a poet, a soul so free,
Celebrating you, as it should be.

[Outro]
Let’s toast to the dreams and the love we’ve found,
In this gipsy jazz tune, let joy abound,
Happy birthday, let’s dance and sing,
To the wonderful moments life can bring.

Happy birthday, dreamer!","A painter, a poet, a soul so free, / Celebrating you, as it should be.",Because I'm so gratefool for dreamer friends.,"""Just Be You, Oooh!
(A Birthday Sing-Along)"",Rainbows in the Clouds,Grateful For The Weird,Jacques Brel,Up a San Francisco Hill,Donkeys Years","Maupassant,""Just Be You, Oooh!
(A Birthday Sing-Along)""",EN,LIGHT,FOOLERY,beGRATEFUL,,,Fact,,,,2024,2024-08-05,,,,,,,,
Hard Core,L-93,hard-core,checked,checked,LANDR,https://app.landr.com/library/folder/7d7825cb-f318-4337-8864-e0f0d07f0e85,,,,,15,2,4,checked,KNOWsutra,Ask: (Naked) TRUTH,,,Canonical Lyrics,"[Verse 1]
What you call sacred, tell me who’s really blessed?
The march of innocence... we line ‘em up for death
What you call holy ain't holy to me
Sending kids to battle, while love’s the enemy

[Chorus]
(Hard core!) What you think it means?
(Hard core!) Is it peace or pain?
(Hard core!) Yeah, I wanna know,
What you call the real show?

[Verse 2]
Privacy, privacy... is it just a disguise?
Smoke and mirrors for the games we hide
Manipulate... can’t say it out loud
Behind closed doors, the truth gets drowned

[Chorus]
(Hard core!) When you twist and lie,
(Hard core!) Calling it alright,
(Hard core!) While you play these games,
Is love really the shame?

[Bridge]
What’s the truth? What’s the score?
Tell me, tell me, what’s hardcore?
Is it fair or is it foul,
Bend the rules and make ‘em howl

[Verse 3]
Not playing fair or just not playing well?
Lines get blurry, only time will tell
What’s most hardcore? Is it love or is it hate?
Is it protecting peace, or just sealing fate?

[Chorus]
(Hard core!) The lies you keep
(Hard core!) Sold under deceit
(Hard core!) Where’s the real shame?
Yeah, you know the name

[Outro]
Hard core, hard core! Just tell me what’s real
Hard core, hard core, what’s the holy deal?
Hard core, hard core... tell me what you see,
'Cause hard core... ain't what it used to be.","What you call holy ain't holy to me / Sending kids to battle, while love’s the enemy.",Who decides which lives are sacred? (That's the whole song.),"Shush (How To Help A Bible Bro Grow Up),The Invisible Man In The Sky,Felon Nation,How Do Kids Learn Now?,""So, What Is Racism?"",Tell The Truth","Banana Alleluia,How Do Kids Learn Now?,New Normalcy (Planet Earth to Higher Grounds),Shades of Fools (All I Know),Shush (How To Help A Bible Bro Grow Up),""So, What Is Racism?"",Tell The Truth,The Invisible Man In The Sky,Truth Don't Care,What's F-A-S-C-I-S-T?,When Did Seduction Become so Untrue?,Let Me Tell You (This Is My Truth),Felon Nation,Some Truths Are Harder to Swallow,Who Are You? (And Who Am I?),Who Knows What Goes On?,Honest Is Best",EN,SHADOW,TRUTH,beCURIOUS,,,Question,Religious Paradox,"Dear God, Quick question...

QOTD: what is most hardcore, at the core?… The fact humans decided infantry (i.e. the predatory act of killing innocent civilians) is a holy necessity, the fact humans decided intimacy (i.e. the celebratory act of loving one another) is an evil blasphemy, or the fact such existential questioning essentially feels like absurd folly? Ha #ahem

—

“Hard Core” QOTD dedicated to Respect, Aretha Franklin, and all humans curious and #brave enough to dare ponder the hard questions—like, our shared understanding of rights, wrongs, and hard limits—as needed to help foster more empathy, unity, and harmony 🕊️ (amen:) #GROWsutra",,2024,2024-11-15,2026-04-10 17:56,"December 9, 2024 2:35 AM",,,,,,
HashtagWHY (Sorry Not Sorry),L-94,hashtagwhy-sorry-not-sorry,checked,checked,LANDR READY,https://app.landr.com/library/folder/61f760bb-f3af-4235-a6de-60d27f342cf2,,,,,4,2,3,,KNOWsutra,Ask: But(t) WHY,,,Canonical Lyrics,"[Verse]
Well, hi, sorry but not sorry, that much is true,
I do forget about dollars, colors, and genders too,
But who cares of sheeples’ lore, of what, ew, of who’s who?
I’d rather play the fiddles, explore why, it’s nothing new.

[Chorus]
What I care about ain’t your who, boo,
Ain’t your what, your how, oh where is Scoobido? Woo!
What I really want to know is your why,
Dare to share truly, the dream inside,
Unapologetic, reach for the sky,
Tell me, what makes you alive?

[Break]
[Instrumental: Banjo Solo]

[Verse 2]
Acting charming, proud, all fake faces,
Preying, bamboozling, dumb ego races,
Superior, oh oui, they aim to be,
But can you verify their alibi?

[Chorus]
What I care about ain’t your who, boo,
Ain’t your what, your how, oh where is Scoobido? Woo!
What I really want to know is your why,
Dare to share truly, the dream inside,
Unapologetic, reach for the sky,
Tell me, what makes you alive?

[Bridge]
Allergic to the insecure,
Bully whiners, I’m sure,
Leaders of a false parade,
Truth in shadows, a masquerade.

[Chorus]
What I care about ain’t your who, boo,
Ain’t your what, your how, oh where is Scoobido? Woo!
What I really want to know is your why,
Dare to share truly, the dream inside,
Unapologetic, reach for the sky,
Tell me, what makes you alive?

[Outro]
I wanna know why new winners are shallow pricks,
I wanna tell on petty tricks, the same old tricks,
Reality bites, it’s true, I’m not sorry,
Dreamer’s hunger, that’s my story.

[Fade Out]","What I really want to know is your why, / Dare to share truly, the dream inside.",#why. Not the who. Not the what. The why is the only question worth asking. Sorry not sorry.,"Why Are Kids Allowed To Die? (Why War?),Kids Are Asking,Shady Fools,What Justifies The Pain?,Predators (Why War),A Letter To My Friend (Never Again)","Kids Are Asking,""Oh My, Oh Why (Socrates Song)"",Shady Fools,There's No Prayer Like Desire,Why Are Kids Allowed To Die? (Why War?)",EN,SHADOW,PEACE,beBRIGHT,,,Question,But(t) Why (I care),"#why ::: a bananasutra music album forever in the merry making
--
SC EP: HashtagWHY (to be ctd...)",,2024,2024-12-21,2026-04-10 17:56,,,,,,,
"Hello, Oh No",L-95,hello-oh-no,checked,checked,PUBLISHED,,,,,,,,3,,GROWsutra,Dare: DARE (to care),,,Canonical Lyrics,"[Verse 1]
Hello, oh no! What’s the deal?
Do we fight, or do we heal?
To shine, or whine, it’s your choice,
Kindness always lifts your voice.

Loving, not just winning, true, 
Don’t play the game to make others blue.
Silly or nasty, the choice is clear,
A little love wipes away the fear.

[Chorus]
Hello, oh no! What do you choose?
A spark or dark, which will you use?
To win with love, that’s how we fly,
Bye-bye, boo, no need to cry!

[Verse 2]
Be true or be fake, it’s up to you,
Will you share, or be a gangster too?
Ha ha, boo ya, which will it be?
There’s magic in humility.

Encore, the lore, let’s dance some more,
A win-win’s waiting at the door.
Be kind, not blind, and you’ll see,
The real win’s in harmony.

[Chorus]
Hello, oh no! What do you choose?
A spark or dark, which will you use?
To win with love, that’s how we fly,
Bye-bye, boo, no need to cry!

[Bridge]
A spark shines bright, the night turns day,
When we choose love, the darkness fades away.
Cha-ching or win-win, what do you see?
The real prize lies in unity.

[Outro]
Hello, oh no! We all can win,
Let love lead, let’s begin again!","Loving, not just winning, true, / Don’t play the game to make others blue.","Oh hello, ego. You're here again. No no no.","Double Standards,""Hereby, I Cry"",Why We Can't Be Brave?,""Hold The Mic, Babe"",Where Hope Expires (Hole of Fire),Zero Sum (Zero Sean)","Double Standards,""Hereby, I Cry"",One Percent Rising,We Live Not By Lies,We Remember What (We Remember What) We Feel,Where Hope Expires (Hole of Fire),Why We Can't Be Brave?,Zero Sum (Zero Sean),Silent Followers,Do You Ever Wonder?,Possum Scrotum",EN,SHADOW,EGO,beBRAVE,,,Question,Ego Paradox,"Just a little sarcastic, but(t) ego matters

“Hello, Oh No?” is a silly, cheeky GROWsutra true story that sings like psychedelic poetry, a hope-fool tune asking simple questions that actually matter, in a world gone mad bananas, a world that forgot how cute it is to blush... Think of it as a friendly wink in the dark, a small song with big questions—playful on the surface, philosophical underneath.

It’s about the magic healing power of free will, the importance of critical thinking with a pulse. It’s about courage, honesty, humility, and unity, i.e. the superpowers we misplaced somewhere on the cha-ching media conveyor belt, where noise dressed up as wisdom, and ego bought a throne and called it strength—because really, who(tf) sold us the myth that success means crushing others, and fear beats love? And why(tf) did we applaud?!

I wrote this for the brave dreamers and future-makers, to dare you to care for the kids and the grown-ups who got bamboozled along the way; the ones who were told empathy was weak and win-win was naïve, while hollow peacocks in blinged-out power suits paraded around calling hoarding “leadership.” Even though history keeps whispering the same truth: it is kindness that defines real winners.

This song hums a gentle but stubborn reminder: real winners don’t blindfold themselves for comfort. They choose spark over dark. Win-win over win-lose that end up being lose-lose. Empathy over hypocrisy. Unity over vanity. Because, see... kindness isn’t weakness, it’s clarity. Win-win isn’t cute or “woke”, it’s pragamatic, it's empiric, it's strategic. And humility? Oh darling, that’s DIVINE!

And maybe, just maybe, if we stop mistaking leadership for expensive cosplay, and start choosing clearer hearts over louder heroes, maybe we’ll see through the toxic smoke of shiny mirrors? Maybe we’ll recognize ego-madness when it struts by, cocky dressed as fancy progress. Maybe we’ll even learn (or remember) to laugh at (not with) the pompous Prometheus and snake oil fraudsters, selling cha-ching over win-win sharing… Maybe. Can we?

So now, hello, oh no?!… What will you choose, bro? The choice is (y)ours.

EPx16 flows
❯ Dreamy DUB (1-3)
❯ Ragga DUB (4)
❯ Flamenco DUB (5-6)
❯ Fusion LoFi (7-8)
❯ Tango JAZZ (9)
❯ Gipsy JAZZ (10)
❯ Psychedelic BLUES (11-12)
❯ Bluegrass BANJO (13-14)
❯ Post-Punk BURLESQUE (15-16)

(because diversity matters ;)",,2024,2024-12-26,2026-04-10 17:56,"December 9, 2024 1:52 AM",,,,,,
