ep_title,ep_url,ep_in_app,ep_featured,ep_description,duration_total,sutra,ep_volume,ep_total_tracks,total_plays,total_likes,genres,genres_full,ep_rating,artwork_url,artwork_lg_url,lyrics_title,lyrics_id,ep_songbook_title,created_at,playlist_names_clean
Atheist Tango EP x9 VOL. 1 ☰ Waldo's Burlesque Tales of Truth,https://soundcloud.com/bananasutra/sets/atheist-tango-ep-x9-vol-1-waldos-burlesque-tales-of-truth,checked,,"9 tracks of holy doubt. Who needs a sky full of gods when you've got a tango? Inspired by Ralph Waldo Emerson. Holy questions, no holy answers.",0:29:14,GROWsutra,1,9,1667,23,"BURLESQUE,FOLK,JAZZ","BURLESQUE,FOLK,JAZZ",,https://i1.sndcdn.com/artworks-zGmZBF6E6J0dpCF7-7ObUQQ-t500x500.png,https://i1.sndcdn.com/artworks-zGmZBF6E6J0dpCF7-7ObUQQ-t1080x1080.png,The Atheist Tango,L-243,Dare: GOD (etc.),2025-04-06 05:22,"BURLESQUEsutra, FOLKsutra, GROWsutra : GOD (etc), JAZZsutra, Questions for the (kind) POPE in the Sky, SHOWsutra where bananas play"
Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie LoFi Lullaby EPx2,https://soundcloud.com/bananasutra/sets/awe-is-mighty-maybe-even-holy-glowsutra-conscious-indie-lofi-epx2,checked,,"A 2-track glow-up that chases wonder like rent depends on it. Awe is not a luxury, not a miracle. It's the whole point, everywhere. Mary Oliver walked in and stayed. Poetry as essential infrastructure.",0:06:41,GLOWsutra,1,2,681,12,"BLUES,FOLK,INDIE,LOFI,MANTRA","BLUES,FOLK,INDIE,LOFI,MANTRA,PSYCHEDELIC,TRIP HOP",,https://i1.sndcdn.com/artworks-OV8ZRGizQyraCB7N-C8HWOQ-t500x500.png,https://i1.sndcdn.com/artworks-OV8ZRGizQyraCB7N-C8HWOQ-t1080x1080.png,Awe Is Mighty,L-21,Bless: POET(ry),2025-12-30 00:34,"GLOWsutra : POET(ry), GLOWsutra where gratitude feeds, LOFIsutra, MANTRAsutra"
BANANA ALLELUIA ♾ EPx5 ♾ KNOWsutra BURLESQUE,https://soundcloud.com/bananasutra/sets/banana-alleluia-epx5-knowsutra-burlesque,checked,,"A 20-minute ride of raw sense-making, across 6 tracks. In a world gone bananas, wondering might be the most revolutionary thing you do. The sound: banjo, burlesque, and folk. The naked truth, served warm.",0:20:03,KNOWsutra,1,6,1320,24,"BANJO,BURLESQUE,FOLK","BANJO,BURLESQUE,CABARET,FOLK",,https://i1.sndcdn.com/artworks-ygtp0Bp5Ccu1zSfd-ysCUOA-t500x500.png,https://i1.sndcdn.com/artworks-ygtp0Bp5Ccu1zSfd-ysCUOA-t1080x1080.png,Banana Alleluia,L-22,Ask: (Naked) TRUTH,2025-08-01 09:27,"BURLESQUEsutra, KNOWsutra where questions matter, SHOWsutra : B.J. (is for Banana Jesters)"
Because the Light ☉ EPx4 VOL.01,https://soundcloud.com/bananasutra/sets/because-the-light-epx4-vol01,checked,,"4 mantra tracks for the ones who still give a damn. Multiple versions. One thesis: because the light pretends it's painless, we delete ourselves. Fight back. Channeling Patti Smith, obviously. Dare to care. That's the whole thing.",0:13:30,GROWsutra,1,4,2193,20,MANTRA,MANTRA,,https://i1.sndcdn.com/artworks-ZPfcJ5Xdh8yItO33-t97RIA-t500x500.png,https://i1.sndcdn.com/artworks-ZPfcJ5Xdh8yItO33-t97RIA-t1080x1080.png,Because the Light,L-28,Dare: DARE (to care),2025-04-25 04:46,"BANJOsutra, BLOWsutra, BLOWsutra : REVOLT (now), INDIEsutra, LOFIsutra, LOFIsutra (Best Of), MANTRAsutra"
Bee the Fool EP x2 : BANJOsutra,https://soundcloud.com/bananasutra/sets/bee-the-fool-ep-x2-honeysutra,checked,,"A quick 7-minute burst of gleeful absurdity, across 2 tracks. Perfection is a lie. Possessions bind. Only the fool dances where others sink. Bee the fool. Channeling Jim Morrison, obviously. Be the fool worth being.",0:07:16,SHOWsutra,1,2,409,5,"BANJO,BLUES,FOLK","BANJO,BLUES,FOLK",,https://i1.sndcdn.com/artworks-1QKzz4xNQaa8y2oX-Ru7mWg-t500x500.jpg,https://i1.sndcdn.com/artworks-1QKzz4xNQaa8y2oX-Ru7mWg-t1080x1080.jpg,Bee the Fool (Not A Lie),L-29,Play: (Be) The Fool,2024-12-21 03:33,"BANJOsutra, FLOWsutra where time is space, SHOWsutra: (shades of) FOOLS"
Best Teacher Award · in Love & Death : Indie Bliss EPx3 VOL. 1 : BOWsutra,https://soundcloud.com/bananasutra/sets/best-teacher-award-in-love-death-indie-lofi-epx3-vol-1-bowsutra,checked,,3 indie tracks disguised as music. Your dog left. But not really #forever Good dogs. Best teachers.,0:08:22,BOWsutra,1,3,670,3,INDIE,INDIE,,https://i1.sndcdn.com/artworks-naxN1Ew2hxBmEiva-OlsMuQ-t500x500.png,https://i1.sndcdn.com/artworks-naxN1Ew2hxBmEiva-OlsMuQ-t1080x1080.png,,"L-58,L-145,L-33","Bow: (Thank) Dogs,EP: Best Teacher Award",2025-04-09 11:15,"BLUESsutra, BOWsutra : (Thank) Dogs, BOWsutra : DEATH (is nothing), BOWsutra the last of 7 sutras · it's divine <3, INDIEsutra, MANTRAsutra"
Blaise's Tale ⭐︎ EPx3 ⭐︎ KNOWsutra Folk Cabaret,https://soundcloud.com/bananasutra/sets/blaises-tale-epx3-knowsutra-folk-cabaret,checked,,"A quick 8-minute burst of uncut honesty, across 3 tracks. A wise 17th century warning that's been on repeat ever since #duh Channeling Blaise Pascal, obviously. The peace prayer that won't shut up.",0:08:41,KNOWsutra,1,3,587,5,"BANJO,BURLESQUE,FOLK","BANJO,BURLESQUE,CABARET,FOLK",,https://i1.sndcdn.com/artworks-nZjm9BvXode0nW5K-5dXY2A-t500x500.png,https://i1.sndcdn.com/artworks-nZjm9BvXode0nW5K-5dXY2A-t1080x1080.png,Blaise's Tale,L-31,Ask: PEACE (not war),2025-08-24 01:01,"BANJOsutra, BURLESQUEsutra, FOLKsutra, KNOWsutra : but(t) WHY, KNOWsutra where questions matter"
Blessed Are the Cracked EP X3,https://soundcloud.com/bananasutra/sets/blessed-are-the-cracked-ep-x3,checked,,"A quick 9-minute burst of beauty that bleeds, across 3 tracks. Gratitude, kindness, and the occasional beach. (Dating profile for the soul.) The sound: jazz. A rainbow in someone's cloud.",0:09:45,SHOWsutra,1,3,601,4,JAZZ,JAZZ,,https://i1.sndcdn.com/artworks-d9e5zeXofS20S4AQ-Lb1s5g-t500x500.png,https://i1.sndcdn.com/artworks-d9e5zeXofS20S4AQ-Lb1s5g-t1080x1080.png,Berries & Beaches,L-30,Bless: RAINBOWS (in my clouds),2024-12-11 23:08,"BURLESQUEsutra, GLOWsutra : RAINBOWS (in my clouds), GLOWsutra where gratitude feeds, JAZZsutra"
Blessed Be the Dogs ☰ SHOWsutra EPx9 ☰ Post-Punk Burlesque ROCK,https://soundcloud.com/bananasutra/sets/blessed-be-the-dogs-showsutra-epx9-post-punk-burlesque-rock,checked,,A 9-track glow-up that says thank you with its whole chest. With all due respects to cringy parrots... there's nothing like a puppy belly rub in the warm morning light. A nod to Morissey. Good dogs. Best teachers.,0:35:13,BOWsutra,1,9,1991,32,"BURLESQUE,ROCK","BURLESQUE,PUNK,ROCK",,https://i1.sndcdn.com/artworks-kAEVcohylwIZch0q-ThHu4Q-t500x500.png,https://i1.sndcdn.com/artworks-kAEVcohylwIZch0q-ThHu4Q-t1080x1080.png,Blessed Be The Dogs,L-33,"Bow: (Thank) Dogs,EP: Best Teacher Award",2025-08-15 01:39,"BOWsutra : (Thank) Dogs, ROCKsutra, SHOWsutra where bananas play"
Bloom Past Doom - Vol. 2 · 2 songs EPx7 - BLOWsutra (Revolution Ring Series) Fusion Jazz,https://soundcloud.com/bananasutra/sets/bloom-past-doom-vol-2-2-songs-epx7-blowsutra-revolution-ring-series-fusion-jazz,checked,,"7 banjo, blues, and burlesque tracks asking questions that sting. Why not think of marriage as a relationship based on equality, respect, and personal freedom, i. Volume 2 hits different. Revolution as a daily practice.",0:22:38,BLOWsutra,2,7,5583,68,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ","BANJO,BLUES,BURLESQUE,DUB,FOLK,GIPSY,INDIE,JAZZ,PSYCHEDELIC",,https://i1.sndcdn.com/artworks-UsXPQkqEgN2gCzJ6-0lSKCQ-t500x500.png,https://i1.sndcdn.com/artworks-UsXPQkqEgN2gCzJ6-0lSKCQ-t1080x1080.png,Bloom Past Doom,L-36,Speak: REVOLT (now),2026-01-16 04:36,"BLOWsutra, BLUESsutra, DUBsutra, FOLKsutra, INDIEsutra, INDIEsutra (Best Of), JAZZsutra, JAZZsutra (Best Of)"
Bloom Past Doom (Apes Gone Wrong Series) EPx5 - BLOWsutra (Revolt Now)  Grassroots Hope Song,https://soundcloud.com/bananasutra/sets/bloom-past-doom-apes-gone-wrong-series-epx5-blowsutra-revolt-now-grassroots-hope-song,checked,,"5 tracks of raw sense-making. Why not think of marriage as a relationship based on equality, respect, and personal freedom, i. Served in burlesque, folk, and indie. Revolution as a daily practice.",0:15:41,BLOWsutra,1,5,3485,37,"BURLESQUE,FOLK,INDIE,JAZZ","BURLESQUE,CABARET,COUNTRY,FOLK,INDIE,JAZZ,PSYCHEDELIC,SOUL",,https://i1.sndcdn.com/artworks-NfNdCTLZ9C9HupPU-ETvEcw-t500x500.png,https://i1.sndcdn.com/artworks-NfNdCTLZ9C9HupPU-ETvEcw-t1080x1080.png,Bloom Past Doom,L-36,Speak: REVOLT (now),2026-01-15 07:26,"BLOWsutra, BLOWsutra : REVOLT (now), BURLESQUEsutra, BURLESQUEsutra (Best Of), FOLKsutra, INDIEsutra, QUACKsutra where we sing FU"
Bo Burnham Gone Bananas 🍌 COVERsutra Vaudeville Indie JAZZ EPx11,https://soundcloud.com/bananasutra/sets/bo-burnham-gone-bananas-coversutra-epx11,checked,,"11 blues, burlesque, and dub tracks steeped in equal parts fury and love. What's funny? Everything. Also nothing. Bo Burnham said so. Channeling Bo Burnham, obviously. A cover, reborn. Welcome to the Fanana club.",0:43:15,SHOWsutra,1,11,4469,48,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI","BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI",,https://i1.sndcdn.com/artworks-0cRNu3FFXne8uJuk-QwQNJA-t500x500.png,https://i1.sndcdn.com/artworks-0cRNu3FFXne8uJuk-QwQNJA-t1080x1080.png,Bo Burnham Covers,L-37,Play: FANANA (party),2026-03-07 23:40,"BURLESQUEsutra, DUBsutra, INDIEsutra, JAZZsutra, JAZZsutra (Best Of), LOFIsutra"
But(t) How Can You? GROWsutra (Dare to Care) EPx10,https://soundcloud.com/bananasutra/sets/butt-how-can-you-growsutra-epx10,checked,,"10 dub, indie, and lo-fi tracks dripping with uncomfortable truths. Have you met your conscience lately? (Asking for a friend.) A nod to ScoobyDoo. Because why not ask why.",0:19:15,GROWsutra,1,10,4406,16,"DUB,INDIE,LOFI","DUB,GIPSY,HIP HOP,INDIE,LOFI,PSYCHEDELIC,RAGGA",,https://i1.sndcdn.com/artworks-wzNXJ0kKC1UWtYRu-qF7vrw-t500x500.png,https://i1.sndcdn.com/artworks-wzNXJ0kKC1UWtYRu-qF7vrw-t1080x1080.png,But(t) How Can You?,L-40,Ask: But(t) WHY,2026-03-06 21:23,"DUBsutra, GROWsutra where we be brave, INDIEsutra, LOFIsutra, LOFIsutra (Best Of)"
But(t) How you Kids Learn Now? EPx9 VOL. 01,https://soundcloud.com/bananasutra/sets/butt-how-you-kids-learn-now-epx9-vol-01,checked,,"9 folk, indie, and jazz tracks disguised as music. How do kids learn what's right when the adults are still figuring it out? The naked truth, served warm.",0:30:18,KNOWsutra,1,9,1951,29,"FOLK,INDIE,JAZZ","FOLK,INDIE,JAZZ",,https://i1.sndcdn.com/artworks-s7JwXEm6wQmnuT1J-ySHR0g-t500x500.png,https://i1.sndcdn.com/artworks-s7JwXEm6wQmnuT1J-ySHR0g-t1080x1080.png,How Do Kids Learn Now?,L-106,Ask: (Naked) TRUTH,2025-04-14 18:55,"BANJOsutra, BURLESQUEsutra, FOLKsutra, GROWsutra where we be brave, JAZZsutra, KNOWsutra : (naked) TRUTH, KNOWsutra where questions matter"
Carnival FOTUS (ctd) EP X3,https://soundcloud.com/bananasutra/sets/carnival-fotus-ctd-ep-x3,checked,,"3 burlesque tracks for the ones who still give a damn. Step right up. The pigs are in suits, the clowns are in congress, Ginsberg and Orwell are in the cheap seats, and the carousel never stops. With a wink to Allen Ginsberg. FOTUS rhymes with anus. Coincidence?",0:09:27,QUACKsutra,1,3,553,6,BURLESQUE,BURLESQUE,,https://i1.sndcdn.com/artworks-MzAkEow42yD4mCMA-FITGfQ-t500x500.png,https://i1.sndcdn.com/artworks-MzAkEow42yD4mCMA-FITGfQ-t1080x1080.png,Carnival FOTUS (ctd),L-41,Quack: FOTUS Circus,2024-12-19 03:54,"BURLESQUEsutra, QUACKsutra : FOTUS Circus, QUACKsutra where we sing FU, SHOWsutra where bananas play"
Cassandra’s Lullaby • KNOWsutra EPx11 World,https://soundcloud.com/bananasutra/sets/cassandras-lullaby,checked,,"11 blues, burlesque, and folk tracks that won't let you look away. She saw it coming (godamnit). Nobody listened. Again (god forbid). Channeling Cassandra, obviously. The peace prayer that won't shut up.",0:44:36,KNOWsutra,1,11,2600,35,"BLUES,BURLESQUE,FOLK,INDIE,JAZZ,MANTRA","BLUES,BURLESQUE,FOLK,INDIE,JAZZ,MANTRA",,https://i1.sndcdn.com/artworks-8MtzAVxPSN3vdqbc-b7c54g-t500x500.png,https://i1.sndcdn.com/artworks-8MtzAVxPSN3vdqbc-b7c54g-t1080x1080.png,Cassandra's Lullaby,L-42,Ask: PEACE (not war),2025-07-14 07:39,"BLUESsutra, BURLESQUEsutra, FOLKsutra, INDIEsutra, KNOWsutra : PEACE (not War), KNOWsutra where questions matter, MANTRAsutra"
Courage · Care · and Coconuts © GROWsutra EPx4,https://soundcloud.com/bananasutra/sets/courage-care-and-coconuts-growsutra-epx4,checked,,"4 folk and indie tracks asking questions that sting. Kindness ain't just sweet, it's coconuts. Dare to care. That's the whole thing.",0:09:22,GROWsutra,1,4,1015,6,"FOLK,INDIE","FOLK,INDIE",,https://i1.sndcdn.com/artworks-QE4Tkx0EyHytvlYD-6WhWtA-t500x500.png,https://i1.sndcdn.com/artworks-QE4Tkx0EyHytvlYD-6WhWtA-t1080x1080.png,"Courage, care, and coconuts",L-46,Dare: DARE (to care),2025-05-23 12:12,"BANJOsutra, FOLKsutra, GROWsutra : KIND(ness), GROWsutra where we be brave, LOFIsutra"
Creepy Con Meme EPX2 • Dicky Ducky DUBsutra,https://soundcloud.com/bananasutra/sets/creepy-con-meme-epx2-dicky-ducky-dubsutra,checked,,2 tracks of circus critique. When the con becomes the meme becomes the president. Dub grooves from end to end. Quack quack. You know who you are.,0:06:26,QUACKsutra,1,2,554,4,DUB,DUB,,https://i1.sndcdn.com/artworks-DywO4KaBtyF8CyML-ToVQ2g-t500x500.png,https://i1.sndcdn.com/artworks-DywO4KaBtyF8CyML-ToVQ2g-t1080x1080.png,Creepy Con Meme,L-48,Quack: DUCK (shady),2025-02-22 21:09,"DUBsutra, LOFIsutra, QUACKsutra : DUCK (shady), QUACKsutra where we sing FU"
CREEPYPASTA (what the hella) ♅ SHOWsutra ♅ EPx23 Side A+B,https://soundcloud.com/bananasutra/sets/creepypasta-what-the-hella-showsutra-epx23-side-ab,checked,,"27 banjo, burlesque, and dub tracks steeped in equal parts fury and love. (Creepy) Byte by (creepy) byte, the internet raised us. What the hella. Pass the pasta. Welcome to the Fanana club.",0:58:50,SHOWsutra,1,27,7034,45,"BANJO,BURLESQUE,DUB,INDIE,LOFI","BANJO,BURLESQUE,DUB,GIPSY,INDIE,LOFI,PSYCHEDELIC,PUNK,RAGGA",,https://i1.sndcdn.com/artworks-fcCvHghEuNgLNX4y-dpY9Mg-t500x500.png,https://i1.sndcdn.com/artworks-fcCvHghEuNgLNX4y-dpY9Mg-t1080x1080.png,Creepy Pasta (What The Hella),L-49,Play: FANANA (party),2025-10-21 08:20,"BANJOsutra, BURLESQUEsutra, DUBsutra, INDIEsutra, LOFIsutra, LOFIsutra (Best Of), SHOWsutra : B.J. (is for Banana Jesters), SHOWsutra where bananas play"
CREEPYPASTA (what the hella) ♲ LoFi DUB Edition ♲ SoundCloud is broken REDUX,https://soundcloud.com/bananasutra/sets/creepypasta-what-the-hella-lofi-dub-edition-soundcloud-is-broken-redux,,,"4 tracks of sacred fooling. (Creepy) Byte by (creepy) byte, the internet raised us. What the hella. Pass the pasta. Served in lo-fi and dub. Welcome to the Fanana club.",0:11:03,SHOWsutra,1,4,773,5,"LOFI,DUB","LOFI,DUB",,https://i1.sndcdn.com/artworks-fcCvHghEuNgLNX4y-dpY9Mg-t500x500.png,https://i1.sndcdn.com/artworks-fcCvHghEuNgLNX4y-dpY9Mg-t1080x1080.png,Creepy Pasta (What The Hella),L-49,Play: FANANA (party),2025-10-21 23:25,"DUBsutra, SHOWsutra where bananas play"
Creo (La Poesia) ☘ EPx10 VOL.01 ☘ Bananasutra En Español,https://soundcloud.com/bananasutra/sets/creo-la-poesia-epx10-vol01-bananasutra-en-espanol,checked,,"10 dub tracks disguised as music. In Spanish, for someone who deserved it. Creo en la poesía: the one language that needs no translation. En español, con alma. Poetry as essential infrastructure.",0:36:34,GLOWsutra,1,10,4819,49,DUB,"DUB,FADO,FLAMENCO,PSYCHEDELIC,RAGGA",,https://i1.sndcdn.com/artworks-HYGREko4IUXdrDm0-LliGgA-t500x500.png,https://i1.sndcdn.com/artworks-HYGREko4IUXdrDm0-LliGgA-t1080x1080.png,Creo (La Poesia),L-51,Bless: POET(ry),2025-05-27 13:06,"DUBsutra, GLOWsutra : POET(ry), GLOWsutra where gratitude feeds, MANTRAsutra, WORLDsutra : SPAN(k)ish"
Crimina/els EP,https://soundcloud.com/bananasutra/sets/crimina-els-ep,checked,,"3 tracks of truth with teeth. When the rules shift, who decides who the criminal is? Inspired by John Lennon. Bertrand would approve. Probably.",0:06:59,BLOWsutra,1,3,554,6,"BLUES,JAZZ","BLUES,CABARET,GIPSY,JAZZ",,https://i1.sndcdn.com/artworks-N2bJW7Tqp3S7Ldn6-PMk8kA-t500x500.jpg,https://i1.sndcdn.com/artworks-N2bJW7Tqp3S7Ldn6-PMk8kA-t1080x1080.jpg,,"L-52,L-394,L-53","Speak: APES (gone wrong),EP: Criminals · EP: Criminals,Ask: BERTRAND (knows) · Speak: APES (gone wrong),EP: Criminals,World: FRENCHsutra",2024-11-19 17:54,"BLOWsutra, BLOWsutra : APES (gone wrong), BURLESQUEsutra, FOLKsutra, FRENCHsutra oui oui · sacrebleu, OUI OUI : Pardon (my French), SINGLEsutra Exclusive SoundCloud (woo)"
