lyrics_id,url_slug,lyrics_title,sc_catalog_listen_source,sc_catalog_listen_url,sc_catalog_track_title,fallback_sc_url,cover_image_url,has_in_app_playback
L-26,be-the-fool-perfection-is-a-lie,Bee The Fool (Perfection Is A Lie),full_v4,https://soundcloud.com/bananasutra/be-the-fool-perfection-is-a,Be the fool (Perfection is a lie) : BANJOsutra,,https://i1.sndcdn.com/artworks-1QKzz4xNQaa8y2oX-Ru7mWg-t500x500.jpg,
L-153,making-songs-like,Making Songs Like...,full_v4,https://soundcloud.com/bananasutra/making-songs-like-others,making songs like…,,https://i1.sndcdn.com/artworks-yFu7z79boWM74g0U-gNvzig-t500x500.jpg,yes
L-356,weary-blues,Weary Blues,export_title,https://soundcloud.com/bananasutra/the-weary-blues-a-poem-by-monsieur-hughes,"The Weary Blues, a poem by monsieur Hughes",,https://i1.sndcdn.com/artworks-frDEP2IRiyKwueCx-DJG7yQ-t500x500.png,
L-1,7-dirty-words,7 Dirty Words,full_v4,https://soundcloud.com/bananasutra/7-dirty-words-o-inspired-by,7 Dirty Words • inspired by George Carlin • Banger BANJO FOLK,,https://i1.sndcdn.com/artworks-JuS72q2eyc33NloJ-wnkIWg-t500x500.jpg,
L-220,she-wears-the-words,She Wears The Words,full_v4,https://soundcloud.com/bananasutra/she-wears-the-words-o,She Wears the Words • JAZZsutra Mighty Poetry Minute,,https://i1.sndcdn.com/artworks-5mRES9yziroUV5n7-956HbA-t500x500.jpg,yes
L-257,the-tyranny-of-ignorance,The Tyranny of Ignorance,full_v4,https://soundcloud.com/bananasutra/the-tyranny-of-ignorance-banjosutra,The Tyranny of Ignorance : BANJOsutra (Single Duck Release),,https://i1.sndcdn.com/artworks-EOtdUVjacracHxmj-i0BNoA-t500x500.png,yes
L-122,kamala-has-a-dream,Kamala Has A Dream,full_v4,https://soundcloud.com/bananasutra/kamala-has-a-dream-and-that,Kamala has a dream (and that duck just blows) • bananasutraBLUES,,https://i1.sndcdn.com/artworks-IbZFGjAOxkCbyCGn-UU2daA-t500x500.jpg,yes
L-245,the-ducktator-lament,The Ducktator (Lament),full_v4,https://soundcloud.com/bananasutra/the-ducktator-lament-o-thats,The Ducktator (lament) • That’s All Folks • BananasutraDUCK (yuck),,https://i1.sndcdn.com/artworks-BbtIpSyF6cw7d0nB-bAPGeg-t500x500.jpg,
L-76,flow-like-water-my-friend,Flow Like Water (My Friend),full_v4,https://soundcloud.com/bananasutra/flow-like-water-my-friend,"Flow like Water, My Friend",,https://i1.sndcdn.com/artworks-MMGcG9MArl8ioybW-fZbhtw-t500x500.jpg,yes
L-346,broken-whole,Broken Whole,full_v4,https://soundcloud.com/bananasutra/broken-whole-o-when-no-drama,Broken Whole • No Drama Lama Folk • sutraGROW,,https://i1.sndcdn.com/artworks-vaVbBNrFA5Fzr2Kn-Zl2s2A-t500x500.jpg,
L-142,liars,Liars,full_v4,https://soundcloud.com/bananasutra/liars-o-piano-indiesutra,Liars • Piano INDIEsutra,,https://i1.sndcdn.com/artworks-MQ9VG09AgW9w9K4S-IU3m5A-t500x500.jpg,
L-355,why-are-kids-allowed-to-die-why-war,Why Are Kids Allowed To Die? (Why War?),full_v4,https://soundcloud.com/bananasutra/predators-why-kids-are-allowed,Predators (why Kids Are Allowed To Die • PIANO JAZZsutra,,https://i1.sndcdn.com/artworks-OWRInG4UzoJJhhFd-ho8qyg-t500x500.jpg,
L-100,hide-your-pets,Hide Your Pets,export_title,https://soundcloud.com/bananasutra/hide-your-pets-donold-said-o,Hide your pets (DonOld said!) • Blessed be Banjo au Lavabo • bananasutraBLUEGRASS,,https://i1.sndcdn.com/artworks-CzzPifPeoMavIOYE-YkIAeg-t500x500.jpg,
L-314,what-justifies-the-pain,What Justifies The Pain?,full_v4,https://soundcloud.com/bananasutra/what-justifies-the-pain-o,What Justifies The Pain? • KNOWsutra Gipsy Peace FOLK,,https://i1.sndcdn.com/artworks-zWvezgDHDfIbjjHl-O9Qpgw-t500x500.jpg,
L-23,banana-jokes-making-us-laugh,Banana Jokes Making Us Laugh,full_v4,https://soundcloud.com/bananasutra/banana-jokes-making-us-laugh-psychedelic-dub,"Banana Jokes, Making Us Laugh • Psychedelic DUBsutra",https://soundcloud.com/bananasutra/banana-jokes-making-us-laugh-psychedelic-dub,https://i1.sndcdn.com/artworks-2zgnIx8miwTWEq1e-YVPWpg-t1080x1080.jpg,yes
L-414,happy-birthday-dear-dreamer-friend,"Happy Birthday, Dear Dreamer Friend",full_v4,https://soundcloud.com/bananasutra/happy-birthday-dear-dreamer,"Happy Birthday, Dear Dreamer Friend • Psychedelic GLOWsutra Folk Country Birthday BANJO Love",,https://i1.sndcdn.com/artworks-TGcGmCYEU9byzJJn-KhYvMA-t500x500.jpg,
L-308,win-win-in-unity,Win-Win In Unity,export_title,https://soundcloud.com/bananasutra/f-the-duck-winners-are-found,Win-Win in Unity (F the Duck) • Banjo Hip Hop • Bananasutra(BLOW),,https://i1.sndcdn.com/artworks-wDMgg4w7JMBFRNiK-XcY8qQ-t500x500.jpg,
L-249,the-grazed-duck-luck,The Grazed Duck Luck,full_v4,https://soundcloud.com/bananasutra/grazed-duck-luck-o-sutrablow,That Grazed Duck’s Luck • Jazzy Bluesy Folk • sutraBLOW,,https://i1.sndcdn.com/artworks-Ry9lF58UXxHFjvyH-N7IpMQ-t500x500.jpg,
