playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url,SC TRACKS
QUACKsutra : DUCK (shady),https://soundcloud.com/bananasutra/sets/quacksutra-duck-shady,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",26,7969,96,1:23:23,https://i1.sndcdn.com/artworks-301rwrEjz0M0tuZV-1dVJMg-t500x500.png,"Who's Your Vladdy BLOWsutra Psychedelic Burlesque Punk ROCK,[07] Who's Your Vladdy • BLOWsutra Psychedelic Poetry Folk DUB,""[15] It's War, My Friend • QUACKsutra Psychedelic Punk ROCK"",[13] PEDO Nation • High Drum Prayer MANTRA,[01] Ego Ain't Your Amigo (Fasho at Marlago) - oh hi salty honey bluesy JAZZ tempo,Creepy Con Meme • Dicky DUBsutra,Woke-N-Whack-A-Musk ☆ BLUESsutra (1),Woke-N-Whack-A-Musk ☆ BLUESsutra (2),Mind the Felon (two) • FOLKsutra,Mind the Felon (one) • JAZZsutra,[5] stymy stymy yuck • Arabesk DUB,[2] stymy stymy yuck • muse DUB"
SHOWsutra : FANANA Club,https://soundcloud.com/bananasutra/sets/showsutra-fanana-club,SHOWsutra,"BANJO,BURLESQUE,FOLK,INDIE,JAZZ,LOFI",20,9061,117,1:07:12,https://i1.sndcdn.com/artworks-09nrbUudNilo3UyQ-Qz1LzA-t500x500.png,"[06] Gladys in Sonderland • SHOWsutra Psychedelic Gipsy Cello Waltz Breathing BURLESQUE,[11] Gladys in Sonderland • SHOWsutra Psychedelic Gipsy Accordion Circus Waltz BURLESQUE,""[08] Hi, My Name Is (Not Céline Dion) - SHOWsutra Gipsy Fusion Trip Hop World LOFI"",""[11] Hi, My Name Is (Not Celine Dion) • SHOWsutra Cello Circus Waltz BURLESQUE"",Some Songs Are More POOH Than Others : DUBsutra,Some Songs Are More WOMP Than Others : CIRCUSsutra,Side A [06] Donkeys Years • SHOWsutra Fanana Club Gipsy Cabaret Indie LOFI,[15] Oh My Cha Cha Cha • Accordion BURLESQUEsutra,[01] Dressed in Wonder • psyBLUES BANJOsutra,i did the math and everything is stupid • DRUMsutra.wav,""Hi, my name is (not Celine Dion) • Hip Pop Jazz, Quirky Stuff, a true story • Bananasutra(SHOW)"""
Playlist Sidération Gone Bananas x29,https://soundcloud.com/bananasutra/sets/playlist-sideration-gone-bananas,BLOWsutra,"BLUES,JAZZ,LOFI",29,9866,76,1:28:13,https://i1.sndcdn.com/artworks-58HtMVlI0dnLHSez-V8vJyA-t500x500.png,"[03] Sidération - The Sky Stood Still 4 - Revolution BLUESsutra,[02] Sidération - The Sky Stood Still 2 - Revolution JAZZ BURLESQUEsutra,[05] Sidération - The Sky Stood Still 5 - Revolution FOLKsutra,[09] Sideration's Calling • White House's Burning • Riddim Sister RAGGA DUBsutra,[01] Sideration's Calling • White House's Burning • Banger BURLESQUEsutra,[02] Sideration's Calling • White House's Burning • Jazzy LOFI DUBsutra,[07] Sideration's Calling • White House's Burning • Oh Lordy 2 DUBsutra,[04] Sidération Blues Revolution - A Song of Wrong - BLUESsutra,[07] Sideration - No Velvet Scream - BLUESsutra,[05] Sidération Blues Revolution - A Song of Wrong - BLUESsutra,[02] Sidération Blues Revolution - A Song of Wrong - BLUESsutra"
BLOWsutra : APES (gone wrong),https://soundcloud.com/bananasutra/sets/blowsutra-apes-gone-wrong,BLOWsutra,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,MANTRA,ROCK",25,11995,109,1:24:53,https://i1.sndcdn.com/artworks-tJXDrinLqIXiRhrv-9pyIzQ-t500x500.jpg,"[01] Ordo Amoris In Decay - Gypsy Fado BURLESQUEsutra,[00] All I Want Is To Believe - CAT JAZZ BURLESQUEsutra,[02] Ordo Amoris In Decay - Oh Boy Accordion Cello BURLESQUEsutra,The Dystopian Quizz Song v3-2 ★ Blues Circus SOULsutra,[05] Mass Media Freakshow - chanson encore oh boy BURLESQUE,[01] Mass Media Freakshow • udio PSYcircus BURLESQUE,Double (decking) Standards VOL. 1 • DUBsutra,""New Normalcy, Space Oddity ☰ DUBsutra"",""[04] Okey Dokey, No It's Not • Jazzy LOFIsutra"",[1] Serial BLOWERS (now twat?) • DUBsutra,Planet Idiocracy (Single) • BLOWsutra Peace Odyssey DUB,[04] If We Had But(t) The Truth (Not The Quack) - Blues FOLKsutra,Kamala has a dream (and that duck just blows) • bananasutraBLUES"
BLOWsutra : MAxA Series,https://soundcloud.com/bananasutra/sets/blowsutra-maxa-series,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE",14,12146,114,0:49:16,https://i1.sndcdn.com/artworks-uDzqzbtn80lOeo3H-hV475g-t500x500.png,"Side A [01] MAMA-B-C (Make America Mine Achtung) • BLOWsutra Back-to-Basics Folk Indie Cello BLUES,[10] MASA (Make America Safe Again) • QUACKsutra Psychedelic Booya Country BANJO,[01] MASA (Make America Safe Again) • QUACKsutra Psychedelic DUB BANJO,A [15] Make America Gulag Again • Di Riddim Ragga DUB,A [08] Make America Gulag Again • Muse DUB,A [12] Make America Gulag Again • Ragga Lala DUB,MAKA MAKA Murica (Kindness Gone Folk),[4] MAKA MAKA - Oh Hey Folk BANJOsutra,[4] MAHA • Make America Humane Again • Accordion CAT BURLESQUEsutra,[5] MAHA • Make America Humane Again • Authentic Banjo FOLKsutra,[1] MAHA • Make America Humane Again • Psy Waltz BURLESQUEsutra,MAWA MAWA • Make America Woke Again • Banger BANJOsutra"
FOTUS CIRCUS Playlist An American Freaks Show,https://soundcloud.com/bananasutra/sets/fotus-circus-playlist-an-3,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ,LOFI,MANTRA,ROCK",42,12424,91,2:15:29,https://i1.sndcdn.com/artworks-fryyTDM2WyR2DKBA-QI4BwQ-t500x500.png,"A [12] Make America Gulag Again • Ragga Lala DUB,""[08] FOTUS Circus VOL. 04 • Step Right Up, Murica Freaks (paper staws) • DUB QUACKsutra"",""[09] FOTUS Circus VOL. 04 • Step Right Up, My Dearest Souls • DUB QUACKsutra"",""[06] FOTUS Circus VOL. 04 • Step Right Up, for Plastic Straws • Banjo QUACKsutra"",[01] FOTUS Circus VOL. 04 • Step Right Up my Dearest Souls • Burlesque QUACKsutra,[06] FOTUS Circus VOL. 03 • When will you be angelic (Ginzberg’s Horror Show) • BURLESQUE QUACKsutra,[06] FOTUS Circus VOL. 02 • This ain't no hollow show • QUACKsutra,The Tyranny of Ignorance : BANJOsutra (Single Duck Release)"
GROWsutra : KIND(ness),https://soundcloud.com/bananasutra/sets/growsutra-kind-ness,GROWsutra,"BLUES,BURLESQUE,FOLK,INDIE,JAZZ,LOFI",17,13332,113,0:55:24,https://i1.sndcdn.com/artworks-FCpNyoKfIRn6bNzD-59cLWg-t500x500.png,"[01] Time for Rebel Romance ☆ BLOWsutra (Revolt Now) Oh Boy Psychedelic Accordion Circus BURLESQUE,[02] La Force Douce - French GROWsutra Gipsy Flamenco Duende Chanson INDIE,[03] La Force Douce - French GROWsutra Gipsy Flamenco Duende Chanson INDIE,""[02] Courage, Care, and Coconuts (Kindness is Clear more than Nice) - Dreamy Indie FOLKsutra"",""#1 Hold the Mic, Babe ☰ BANJOsutra Vocal Hug"",""Genius, You See V.1 • Indie Jazz Folk Lullaby  • sutraKNOW inspired by Albert Einstein"",ABC Of Kindness - A Is For Always Speak From Your Heart - DUBsutra (1),[03] Glitter and Guts - Arabesk Indie JAZZsutra,[04] Glitter and Guts - oh lordy DUBsutra,Kindness (single) VOL. 04,MAKA MAKA Murica (Kindness Gone Folk),Kindness - JAZZsutra,Kindness • Universal Jazz Cabaret of Blues Chanson • Bananasutra(GROW)"
GLOWsutra : RAINBOWS (in my clouds),https://soundcloud.com/bananasutra/sets/glowsutra-rainbows-in-my,GLOWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,JAZZ,LOFI",14,13462,167,0:41:49,https://i1.sndcdn.com/artworks-OuzjTqyXc8wz8Uv9-0cXu0Q-t500x500.png,"[02] Tune in the Tender • LOFI JAZZsutra,[02] Rainbows in the Clouds • GLOWsutra Gipsy Jazz Conscious Fusion LOFI,[01] Rainbows in the Clouds • GLOWsutra Folk Poetry Dubs the DUB,[08] Rainbows in the Clouds • GLOWsutra Queen of Authentic Dubby Folk Classic BLUES,[05] Rainbows in the Clouds • GLOWsutra Gipsy Jazz Conscious Fusion LOFI,(what u) think about? • (introvert) FOLKsutra,#1 The Quest • Jacques Brel Remake • Bananasutra French Accordion,Rainbows in my Cloud (Merci) • Banjo Folk Gratitude Song • Bananasutra(GLOW)"
BLOWsutra : CENSOR(ed),https://soundcloud.com/bananasutra/sets/blowsutra-censor-ed,BLOWsutra,"BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",18,16581,178,0:55:38,https://i1.sndcdn.com/artworks-oX7ZY3z8JzrLVWyA-Iz5Tsg-t500x500.png,"Side B [15] If We Had But(t) The Truth • BLOWsutra (Censored) Gipsy Psychedelia Accordion Cello Indie FOLK,Side A [08] If We Had But(t) The Truth • BLOWsutra (Censored) Folk Poetry on the Bridge DUB,Side B [16] If We Had But(t) The Truth • BLOWsutra (Censored) PsyPunk Rock Cabaret BURLESQUE,[10] SS Means Sacred Sp3rm • Oh Baby FOLK,[14] SS Means Sacred Sp3rm • Jazz INDIE,[04] SS Means Sacred Sp3rm • Piano Jazz BURLESQUE,Side A [03] BB is for Banned Books - SHOWsutra Gypsy Hip Hop Fusion BURLESQUE,Side A [05] READ ME HARDER (BB is for Banned Books) - SHOWsutra Gypsy Hip Hop Rebellion BURLESQUE,[07] Why We Can't Be Brave - GROWsutra (Censored) Psychedelic Hip Hop Cello Indie Dub Fusion LOFI,[04] What Dissent Looks Like Now • BLOWsutra Post-Punk Piano Trip Hop Lo-Fi Burlesque JAZZ,[14] Men-Oh-Pause • GROWsutra I Burlesque You Not Psychedelic Punk ROCK"
"BOWsutra the last of 7 sutras, it's divine <3",https://soundcloud.com/bananasutra/sets/bowsutra,BOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",56,17655,177,2:33:32,https://i1.sndcdn.com/artworks-PhV4HcOuFKRdx4bD-cO41eQ-t500x500.png,
KNOWsutra : but(t) WHY,https://soundcloud.com/bananasutra/sets/knowsutra-but-t-why,KNOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",24,18327,200,1:21:20,https://i1.sndcdn.com/artworks-L6uXyHUyGsqH0ZAv-cvmeZg-t500x500.png,"""[17] So, What Is Racism? KNOWsutra Banjo Booya Folk Banjo Harmonica BLUES"",""[14] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",""[10] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",""[08] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",""[01] So, What Is Racism? KNOWsutra She Wanna Know Jazzy LoFi DUB"",""[11] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",""[03] So, What Is Racism? KNOWsutra Rebound & Rise Jazzy Ragga DUB"",""[09] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",[14] Men-Oh-Pause • GROWsutra I Burlesque You Not Psychedelic Punk ROCK"
KNOWsutra : (naked) TRUTH,https://soundcloud.com/bananasutra/sets/knowsura-naked-truth,KNOWsutra,"BLUES,BURLESQUE,DUB,INDIE,LOFI",20,18491,357,1:10:17,https://i1.sndcdn.com/artworks-aUUxzKo6oEXsOIfq-vtqUJA-t500x500.png,"[04] We Live Not By Lies - GROWsutra Psychedelic Piano Cello INDIE,[02] Everybody Knows • KNOWsutra Burlesque Trip Hop Indie Dub Piano BLUES,Feeel The Rhythm (Tell the Truth),Tell the Truth : BANJOsutra,[08] Tell The Truth • KNOWsutra True BLUES Cover,[02] Joseph Campbell - Hold the Sacred - KNOWsutra Chillhop Piano Psy-LOFI,[8] How do kids learn • DRUM FOLKsutra,[0] How do kids learn • Destiny JAZZsutra (high),Everybody Knows • FLOWsutra Freedom Magic Cello Prayer INDIE.wav,She Wears the Words • JAZZsutra Mighty Poetry Minute,#4 Hard Core : Burlesque Honeysutra,#1 Hard Core : Honey JAZZsutra"
MANTRAsutra,https://soundcloud.com/bananasutra/sets/mantrasutra,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA",77,19978,191,4:20:23,https://i1.sndcdn.com/artworks-OV8ZRGizQyraCB7N-C8HWOQ-t500x500.png,"[11] Cassandra's Lullaby • Jewish Drum Indie Jazz MANTRA,Poetry Matters • LOFI DUBsutra,Just Grind(ha) • Harmonica Blues Lo-fi • sutraFLOW,""En Vrai, On Est Tous Frères • LOFI BLUES FRENCHsutra"",[02] Joseph Campbell - Hold the Sacred - KNOWsutra Chillhop Piano Psy-LOFI,[02] Awe Is Mighty (Maybe Even Holy) - GLOWsutra Psychedelic Folk Circus Dreamy Drum Indie MANTRA,[15] Queer Almighty - Drum Mantra DUBsutra,[7] Your rules don’t apply to me • Indie MANTRAsutra,i did the math and everything is stupid • DRUMsutra.wav,(what u) think about? • (introvert) FOLKsutra"
KNOWsutra : BERTRAND (mon chéri),https://soundcloud.com/bananasutra/sets/knowsutra-bertrand-mon-cheri,KNOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",15,20144,268,0:51:39,https://i1.sndcdn.com/artworks-dpot7zmJbp98Q8za-Swn1Rg-t500x500.png,"""[07] Two Things, Darling • KNOWsutra Bertrand (Knows) La Poesita Gipsy Flamenco Dub INDIE"",[04] Reason over Reverence - They said bow down but we rise 2 - DUBsutra,[01] Question Di Kingdom - Dub's the Path (Truth is the riddim) - Ragga DUBsutra,[01] Reason over Reverence (No Need for Gods) • Banjo Blues FOLKsutra,[3] Question Di Kingdom (2) • RAGGAsutra,Side A [03] EP Bertrand - The Unhappiness Dance - GROWsutra Jazzy Indie FOLK,Side B [05] EP Bertrand - The Conquest of Happiness - GROWsutra Sweet Waltz BURLESQUE,Side A [01] EP Bertrand - The Unhappiness Dance - GROWsutra Jazzy BURLESQUE"
SINGLEsutra Exclusive SoundCloud (woo),https://soundcloud.com/bananasutra/sets/singlesutra,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",45,21644,274,2:17:26,https://i1.sndcdn.com/artworks-if82lONCI5YhLq5y-CMulEA-t500x500.png,"Seminal Bollocks  • DUBsutra,Everybody Knows • FLOWsutra Freedom Magic Cello Prayer INDIE.wav,Planet Idiocracy (Single) • BLOWsutra Peace Odyssey DUB,Poetry (Nah Lie) • GROWsutra Ragga Mantra DUB,Kindness (single) VOL. 04,MAKA MAKA Murica (Kindness Gone Folk),Where Hope Expires • Folk BANJOsutra,aintdoingbaddoingnothing 💨,Shady Fools • FOLKsutra,Liberty • Tribute to Victor Hugo’s Revolutionary Poetry • DUBsutra,making songs like…,She Wears the Words • JAZZsutra Mighty Poetry Minute,The Tyranny of Ignorance : BANJOsutra (Single Duck Release),Kamala has a dream (and that duck just blows) • bananasutraBLUES,""Flow like Water, My Friend"",Some Truths are Harder to Swallow • LOFI Jazzz • sutraGROW,""Hi, my name is (not Celine Dion) • Hip Pop Jazz, Quirky Stuff, a true story • Bananasutra(SHOW)"",""Hey, You (Creepers) • Fake Folk(s) True Tale • Bananasutra(BLOW) Authentic Imagination Music"",Rainbows in my Cloud (Merci) • Banjo Folk Gratitude Song • Bananasutra(GLOW),Kindness • Universal Jazz Cabaret of Blues Chanson • Bananasutra(GROW)"
BLOWsutra : REVOLT (now),https://soundcloud.com/bananasutra/sets/blowsutra-revolt-now,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",36,22563,255,1:59:19,https://i1.sndcdn.com/artworks-FCpNyoKfIRn6bNzD-59cLWg-t500x500.png,"RUN v5 (2) [ordo duende amoris],RUN v2 - Duende Amoris FOLK,RUN v2 - Muse DUB,[02] Because the Fight ⭐︎ MellO BANJOsutra,[03] The Echo Song - Vladimir Vysotsky Cover - Russian BLOWsutra Classic Psychedelic Banjo BLUES,[02] The Echo Song - Vladimir Vysotsky Cover - Russian BLOWsutra Gipsy Arabesk World Peace Indie Trip Pop LOFI,[03] Bloom Past Doom - BLOWsutra (Revolt Now) Cello Circus Chanson Cabaret BURLESQUE,""Side A [01] No Fear, My Dear • BLOWsutra Revolt Now Bluesy Psychedelic Chanson Piano JAZZ"",[05] The (Bloody Mountain) Echo - Vladimir Vysotsky English Cover - BLOWsutra Gipsy Piano Cello Duende INDIE,[01] DEFY (Song 1) • Shameless • KNOWsutra BLUES,[03] DEFY (Song 2) • Optics of Cruelty • BLOWsutra JAZZ LOFI,[01] DO PANIC NOW - Murica Galaxy Rule Number 1 - Sweet FOLK,""[02] Thank you, Mister Paine - American Accountability Revolution BLUESsutra"",[01] Sideration's Calling • White House's Burning • Banger BURLESQUEsutra,Liberty • Tribute to Victor Hugo’s Revolutionary Poetry • DUBsutra"
GROWsutra : GOD (etc),https://soundcloud.com/bananasutra/sets/growsutra-god-etc,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ,LOFI,MANTRA,ROCK",27,23651,278,1:24:51,https://i1.sndcdn.com/artworks-eYKRlb3V6IdPR1u7-GGSyjw-t500x500.png,"""[02] The Atheist Tango • GROWsutra (God, Etc) Conscious Gipsy Burlesque Fusion LOFI"",""[04] Sing Your Own Gospel • GROWsutra (God, Etc.) Gipsy Piano JAZZ"",""[01] Sing Your Own Gospel • GROWsutra (God, Etc.) Gipsy Gospel BLUES"",[2] Make your Own Bible - pbgal Burlesque LOFI,""Pro-Life Means What, Honey • Jazzy Mantra DUBsutra (2)"",[03] El Papito Leo es No MAGA Show - Muse DUB,[01] El Papito no es loco - Latin JAZZ,Seminal Bollocks  • DUBsutra,[01] Reason over Reverence (No Need for Gods) • Banjo Blues FOLKsutra,""[07] Seminal Bollocks - GROWsutra (God, Etc) Gipsy Trip BRUH Hop LOFI"",""[06] Seminal Bollocks - GROWsutra (God, Etc) Psychedelic Tzigane Fusion Folk LOFI"",[15] Queer Almighty - Drum Mantra DUBsutra,[06] Queer Almighty - Queer Enough to Cabaret - BANJOsutra,[08] Queer Almighty - Tell me why - FOLK BANJOsutra,[01] Queer Almighty - Folk BANJOsutra,[4] Shush the Bull Bro (Please) • DUBsutra"
ROCKsutra,https://soundcloud.com/bananasutra/sets/rocksutra,BLOWsutra,"BURLESQUE,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",91,26631,220,4:48:01,https://i1.sndcdn.com/artworks-RvPg90tJzDpSlPKh-ns1cUw-t500x500.png,"[11] We Live Not By Lies - GROWsutra IBYN Post-Punk BURLESQUE ROCK,Who's Your Vladdy BLOWsutra Psychedelic Burlesque Punk ROCK,""[15] It's War, My Friend • QUACKsutra Psychedelic Punk ROCK"",[05] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK,[14] SS Means Sacred Sp3rm • Jazz INDIE,[2] Trust no one - BLOWsutra Udio ROCK,""New Normalcy, Space Oddity ☰ BANJOsutra"",[02] Tell The Truth • KNOWsutra Bluesy ROCK Cover,""[10] Everything is Stupid, Absurd, and Divine • SHOWsutra Psy Punk Chanson Burlesque ROCK"",[07] I Did the Math (and Everything is Stupid) • SHOWsutra Psychedelic Burlesque Indie ROCK,""[09] Everything is Stupid, Absurd, and Divine • SHOWsutra Psy Punk Chanson Burlesque ROCK"",[08] Synthema Sutras - SHOWsutra Banana Psychedelic Burlesque Indie Punk ROCK,""Oy, We Care! BLOWsutra I Burlesque You Not 1"",[14] Men-Oh-Pause • GROWsutra I Burlesque You Not Psychedelic Punk ROCK,""[03] Hey, You - BLOWsutra psyPunk ROCK"""
