lyrics_id,url_slug
L-129,kiss-a-pulse
L-130,l-accordeon-de-l-ignorance
L-131,l-embobinage
L-132,la-force-douce
L-133,la-poesia-importa
L-134,le-bal-des-salauds
L-135,le-bal-electoral
L-136,le-p-tit-jupiter
L-137,le-systeme
L-138,le-systeme-ca-voulait-dire
L-139,learn-the-signs
L-140,let-s-do-it
L-141,let-s-play-a-game-where-we-all-win-if-the-game-is-absurd
L-142,liars
L-143,liberty
L-144,like-a-criminal-strong-man
L-145,like-a-dog-in-the-sky
L-146,blessed-be-the-dogs-showsutra-edition
L-147,linguistic-weaponry
L-148,lyrics-matter-foosutra
L-149,maha-make-america-humane-again
L-150,maka-make-america-kind-again
L-151,make-amurica-gulag-again-maga
L-152,make-your-own-bible
L-153,making-songs-like
L-154,male-fantasies
L-155,males-fantasies-vol2
L-156,mama-make-america-mine-achtung
L-157,mass-media-freakshow
L-158,mawa-make-america-woke-again
L-159,men-oh-pause
L-160,metaphors-edge-joseph-campbell-s-song
L-161,mind-the-felon
L-162,more-than-a-plate-anthony-bourdain-3
L-163,my-quest
L-164,new-normalcy-planet-earth-to-higher-grounds
L-165,nietzsche-s-gift-muddy-waters
L-166,no-fear-my-dear
L-167,no-holy-fool
L-168,no-i-m-not-being-political-circa-2025
L-169,no-i-m-not-being-political-circa-2026
L-170,nous-sommes-le-feu
L-171,oh-my-oh-why-socrates-song
L-172,oh-freedom
L-173,oh-martine
L-174,okie-dokie-no-it-s-not
L-175,one-percent-rising
L-176,open-the-window
L-177,optics-of-cruelty-defy
L-178,ordo-amoris-in-decay-all-i-want-is-to-believe
L-179,our-best-the-four-commandments
L-180,oy-we-care
L-181,pablo-s-grandeur
L-182,peace-matters-more
L-183,peace-unseen
L-184,pedo-nation-felon-nation-redux
L-185,peel-me-kindly
L-186,philosophy-my-dear
L-187,please-pardon-my-french
L-188,poem-i-wanted-to-be-basically
L-189,poetry-matters
L-190,poetry-nah-lie
L-191,poetry-slow-burns
L-192,poets-hats
L-193,possum-scrotum
L-194,predators-why-war
L-195,presidential-joke-of-the-year
L-196,pro-life-means-what-honey
L-197,project-2025-honky-tonk-dreams-in-the-land-of-the-free
L-198,queer-almighty
L-199,question-di-kingdom
L-200,question-the-nation
L-201,rachel-barks
L-202,rainbows-in-the-clouds
L-203,read-me-harder-bb-is-for-banned-books
L-204,real-winners-dance
L-205,reason-over-reverence
L-206,relative-steve
L-207,revolution-s-lit
L-208,rhinoceross
L-209,rise-up-you-naked-peoples-freedom-rings
L-210,run-now-if-you-can
L-211,second-hand-smoke-arrogant-hearts
L-212,secret-de-polichinelle
L-213,segggsting
L-214,seminal-bollocks
L-216,serial-blowers
L-217,shades-of-fools-all-i-know
L-218,shady-fools
L-219,shameless-defy
L-220,she-wears-the-words
L-221,shining-twins
L-222,shush-how-to-help-a-bible-bro-grow-up
L-223,sideration
L-224,sideration-the-sky-stood-still
L-225,sideration-blues
L-226,sideration-s-calling
L-227,sing-your-own-gospel
L-228,so-what-is-racism
L-229,some-songs-are-more-fun-than-others
L-230,some-truths-are-harder-to-swallow
L-231,sous-terre-underground
L-232,spit-back-the-lies
L-233,ss-means-sacred-sp3rm
L-234,stymy-stymy-yuck
L-235,supreme-words-whoop-whoop
L-236,sutra-of-immanence
L-237,synthemasutra
L-238,t-r-u-t-h
L-239,tell-the-truth
L-240,thank-you-mister-paine
L-241,the-womp-womp-conquestor
L-242,the-accordion-of-ignorance
L-243,the-atheist-tango
L-244,the-conquest-of-happiness
L-245,the-ducktator-lament
L-246,the-dystopian-quiz-song
L-247,the-echo-song
L-248,the-fool-who-knows
L-249,the-grazed-duck-luck
L-250,the-great-naked-king
L-251,the-invisible-man-in-the-sky
L-252,the-love-of-a-dove
L-253,the-narcissist-s-cabaret
L-254,the-poem
L-255,the-president-s-above-the-law
L-256,the-quest
L-257,the-tyranny-of-ignorance
L-258,the-weave
L-259,there-s-no-prayer-like-desire
L-260,they-call-her-wild-but-she-s-just-free
L-261,out-of-step-out-of-mind
L-262,they-call-it-freedom-oh-hi-sweet-honey-bun
L-263,this-is-my-quest
L-264,thrifting-memories
L-265,time-for-rebel-romance
L-266,to-dream
L-267,too-hard-my-friend
L-268,trauma-begets-trauma
L-269,trump-derangement-syndrome-tm
L-270,trust-no-one
L-271,truth-don-t-care
L-272,truth-i-never-knew-crushing-on-bertrand
L-273,tune-in-the-tender
L-274,two-things-darling
L-275,universal-currency
L-276,untamed
L-277,up-a-san-francisco-hill
L-278,v-o-i-c-e-s-blessed-be
L-279,v-o-i-c-e-s-what-you-want-baby
L-280,waldo-s-atheist-tango
L-281,waldo-s-fascist-tango-down-we-go
L-282,we-live-not-by-lies
L-283,we-remember-what-we-remember-what-we-feel
L-285,wet-prickly-peaches-vol-2
L-286,what-dissent-looks-like-now
L-287,what-if-ism
L-288,what-it-s-about
L-290,what-the-mirror-said-reste-lucide
L-291,what-s-behind-every-door
L-292,what-s-f-a-s-c-i-s-t
L-293,when-did-seduction-become-so-untrue
L-294,when-we-duende-all-night
L-295,when-we-duende-encore
L-296,where-hope-expires
L-297,where-we-begin-preakly-peaches
L-298,whispers-lithium
L-299,who-are-you-and-who-am-i
L-300,who-knows-where-how-happiness-truly-grows
L-301,who-needs-a-big-d
L-302,who-s-your-vladdy
L-303,why-trust-an-old-mean-religion
L-304,why-we-can-t-be-brave
L-305,why-you-lie-to-the-people-s-face
L-306,win-win-basic-science-history
L-307,win-win-dub
L-308,win-win-in-unity
L-309,woke-em-whacks
L-310,wonderland-of-bias
L-311,zappa-s-religion
L-312,zero-sum-zero-sean
L-314,what-justifies-the-pain
L-315,tweeting-from-the-throne
L-316,the-world-we-knew
L-317,the-umm-song
L-318,the-courage-to-care
L-319,the-cabaret-where-no-one-knows
L-320,self-remembering
L-321,radio-static-the-dystopian-cabaret
L-322,profane-obscenities
L-323,penguins-in-shoes
L-324,oxytocin
L-325,not-bad-friendo
L-326,masa-make-america-safe-again
L-327,love-from-the-future-the-hesse-song
L-329,ignoramus-divine
L-330,hitlus-with-your-best-shot
L-331,grock
L-332,freedom-to-lie-is-the-new-human-right
L-333,felon-nation
L-334,enshittification-word-of-the-year
L-335,come-waddle-with-me
L-336,shame-on-you-boo-don-be-gone-orchestra-duck-of-the-jungle
L-337,chuck-a-dick
L-338,can-you-play-win-win-or-no
L-339,buuuuurn
L-340,a-la-guerre-comme-a-la-guerre-to-war-or-not-to-war
L-341,frogs-in-the-cogs
L-342,jingoism-101
L-343,twatocracy-encore-et-encore
L-344,grateful-for-the-weird
L-345,win-win-after-midnight
L-346,broken-whole
L-347,acousticophilia
L-349,fotus-circus-step-right-up-my-dearest-souls
L-350,fotus-circus-step-inside-don-t-mind-the-crime
L-351,fotus-circus-welcome-you-fools
L-352,fotus-circus-come-on-in-you-wretched-fools
L-353,wars-don-t-flow
L-355,why-are-kids-allowed-to-die-why-war
L-356,weary-blues
L-357,who-knows-what-goes-on
L-358,dream-a-dog
L-359,we-re-tiny-specks-right
L-360,lyrics-matter-foosutra-edit
L-361,duck-off-my-back
L-362,oh-welp-the-duck
L-363,open-the-meow
L-364,bananasutra-cabaret
L-365,darvo-a-gogo
L-366,what-lessons-do-we-forget
L-367,we-must-revolt
L-368,feral-fandango
L-369,camus-dit-oui
L-370,silent-followers
L-371,honest-is-best
L-372,just-be-you-oooh-a-birthday-sing-along
L-373,singing-heavenly-in-five-steps
L-374,life-s-a-song
L-375,syndrome-nom-nom
L-376,maupassant
L-378,this-is-not-a-banana
L-379,rebellion-a-l-unisson
L-380,the-sound-of-logic
L-381,freakshow-king
L-382,skanking-pickles
L-383,the-seven-sutras-of-banana
L-384,lolita-in-pensacola
L-385,feel-the-sway
L-389,maslow-bro
L-390,lightly-my-darling
L-391,it-s-enshittification-darling
L-392,the-echo-song-russian-edition
L-393,the-unhappiness-tango
L-394,criminals-bertrand-edition
