ep_title,ep_url,LIKE RATE,LIKES per TRACK,total_plays,total_likes,duration_total,sutra,genres,genres_full,track_count,ep_total_tracks,artwork_url,created_at,playlist_names_clean,TRACKs,Auto ID,EP G-ID,lyrics_id
Peace Matters More (The Only Wish Worth Making) 🪽 GROWsutra Birthday Wish Song,https://soundcloud.com/bananasutra/sets/peace-matters-more-the-only-wish-worth-making-growsutra-birthday-wish-song,0.921%,11.1%,8466,78,31:58,GROWsutra,"BURLESQUE,DUB,INDIE,JAZZ","BURLESQUE,DUB,GIPSY,INDIE,JAZZ",7,7,https://i1.sndcdn.com/artworks-E8wykXuhdIZsTYC5-7gZGHQ-t500x500.png,,"BURLESQUEsutra,DUBsutra,GROWsutra where we be brave,INDIEsutra,JAZZsutra,KNOWsutra : PEACE (not War)","[05] Peace Matters More - GROWsutra Gipsy DUB JAZZ,[04] Peace Matters More - GROWsutra Gipsy Circus BURLESQUE,[07] Peace Matters More - GROWsutra Gipsy Hop DUB,[01] Peace Matters More - GROWsutra Gipsy psyCello INDIE,[02] Peace Matters More - GROWsutra Gipsy Burlesque INDIE",132,G-132,L-182
Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) EPx16,https://soundcloud.com/bananasutra/sets/kiss-a-pulse-glowsutra-epx16,1.173%,11.0%,14998,176,45:33,GLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI","BANJO,BLUES,BURLESQUE,CABARET,DUB,FOLK,GIPSY,INDIE,JAZZ,LOFI,PSYCHEDELIC,SOUL",16,16,https://i1.sndcdn.com/artworks-FsS9zAJyonxRU7Rm-RHZvfQ-t500x500.png,,"BLUESsutra,BURLESQUEsutra,DUBsutra,GLOWsutra where gratitude feeds,JAZZsutra,LOFIsutra","[08] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Folk Bridges the DUB,[15] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Destiny Banjo Soul BLUES,[14] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Indie Cello Cabaret BURLESQUE,[04] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Indie Gipsy Fusion LOFI,[16] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Destiny Banjo Soul BLUES,[09] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Folk Bridges the DUB,[06] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Folk Bridges the DUB,[07] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Psychedelic Folk Bridges the DUB,[03] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Indie Gipsy Fusion LOFI,[01] Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) Ethically Gipsy JAZZ",94,G-94,L-129
The Echo Song ☭ Russian EPx3 ☭ Gipsy BLOWsutra LoFi Blues (Vladimir Vysotsky Cover),https://soundcloud.com/bananasutra/sets/the-echo-song-russian-epx3-gipsy-blowsutra-lofi-blues-vladimir-vysotsky-cover,1.195%,10.7%,2678,32,9:40,BLOWsutra,"BANJO,BLUES,INDIE,LOFI","BANJO,BLUES,GIPSY,INDIE,LOFI,PSYCHEDELIC",3,3,https://i1.sndcdn.com/artworks-acFrdgqIA6o30Zzp-mlZM9A-t500x500.png,,"BLOWsutra : REVOLT (now),BLUESsutra,WORLDsutra : Russian(ish)","[03] The Echo Song - Vladimir Vysotsky Cover - Russian BLOWsutra Classic Psychedelic Banjo BLUES,[02] The Echo Song - Vladimir Vysotsky Cover - Russian BLOWsutra Gipsy Arabesk World Peace Indie Trip Pop LOFI",186,G-186,L-247
This Is What Dissent Looks Like Now - BLOWsutra (Revolution Ring) Jazz Indie LoFi Dream,https://soundcloud.com/bananasutra/sets/this-is-what-dissent-looks-like-now-blowsutra-revolution-ring-jazz-indie-lofi-dream,0.859%,10.6%,17343,149,55:10,BLOWsutra,"BURLESQUE,INDIE,JAZZ,LOFI","BURLESQUE,CABARET,GIPSY,HIP HOP,INDIE,JAZZ,LOFI,PSYCHEDELIC,PUNK,TRIP HOP",14,14,https://i1.sndcdn.com/artworks-oX7ZY3z8JzrLVWyA-Iz5Tsg-t500x500.png,2026-01-27 21:09,"BLOWsutra,BLOWsutra : CENSOR(ed),INDIEsutra,JAZZsutra,LOFIsutra,SHOWsutra: (shades of) FOOLS","[BONUS] What Dissent Looks Like Now • BLOWsutra Psychedelic Burlesque MamA-B-Cello Dream Cabaret INDIE,[10] What Dissent Looks Like Now • BLOWsutra Post-Punk Gipsy Trip Hop Lo-Fi Burlesque INDIE,[02] What Dissent Looks Like Now • BLOWsutra Post-Punk Trip Hop Lo-Fi Burlesque Piano JAZZ,[04] What Dissent Looks Like Now • BLOWsutra Post-Punk Piano Trip Hop Lo-Fi Burlesque JAZZ,[01] What Dissent Looks Like Now • BLOWsutra Post-Punk Piano Trip Hop Lo-Fi Burlesque JAZZ,[11] What Dissent Looks Like Now • BLOWsutra Psychedelic Hip Hop BRUH Cabaret Rap LOFI,[08] What Dissent Looks Like Now • BLOWsutra Post-Punk Gipsy Trip Hop Lo-Fi Burlesque INDIE",195,G-195,L-286
So · What Is Racism? KNOWsutra Gone Banana EPx17,https://soundcloud.com/bananasutra/sets/so-what-is-racism-knowsutra-gone-banana-epx17,1.048%,10.2%,16599,174,52:18,KNOWsutra,"BANJO,BLUES,DUB,FOLK,JAZZ,LOFI","BANJO,BLUES,DUB,FOLK,GIPSY,JAZZ,LOFI,RAGGA",17,17,https://i1.sndcdn.com/artworks-2Y1pH6yfxZuC4LKe-PWzeJA-t500x500.png,,"BLUESsutra,DUBsutra,JAZZsutra,KNOWsutra : but(t) WHY,KNOWsutra where questions matter","""[17] So, What Is Racism? KNOWsutra Banjo Booya Folk Banjo Harmonica BLUES"",""[14] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",""[10] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",""[08] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",""[01] So, What Is Racism? KNOWsutra She Wanna Know Jazzy LoFi DUB"",""[11] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ"",""[03] So, What Is Racism? KNOWsutra Rebound & Rise Jazzy Ragga DUB"",""[09] So, What Is Racism? KNOWsutra Gipsy Dub JAZZ""",170,G-170,L-228
Zero Sum (Zero Sean) • GROWsutra (Dare to Care) EPx22,https://soundcloud.com/bananasutra/sets/zero-sum-growsutra-epx22,1.055%,10.0%,21887,231,1:17:31,GROWsutra,"BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI","BURLESQUE,CABARET,DUB,FADO,FLAMENCO,FOLK,GIPSY,INDIE,JAZZ,LOFI,PSYCHEDELIC,PUNK,RAGGA",23,23,https://i1.sndcdn.com/artworks-EIMomqQ3VHc9dl93-DvcAsA-t500x500.png,2026-02-26 22:16,"BURLESQUEsutra,DUBsutra,GROWsutra where we be brave,INDIEsutra,LOFIsutra","[08] Zero Sum • GROWsutra Psychedelick Folk Poetry Bridges The DUB,[13] Zero Sum • GROWsutra Psychedelick Gipsy Flamenco Techno Fusion INDIE,[10] Zero Sum • GROWsutra Psychedelick Gipsy Flamenco  Ragga Circus DUB,[14] Zero Sum • GROWsutra Psychedelick Gipsy Flamenco Techno Fusion INDIE,[12] Zero Sum • GROWsutra Psychedelick Gipsy Indie Ragga Flamenco DUB,[07] Zero Sum • GROWsutra Psychedelick Folk Poetry Bridges The DUB,[03] Zero Sum • GROWsutra Hypnotic Post-Punk Motorik Fusion LOFI,[06] Zero Sum • GROWsutra Psychedelick Gipsy Hop Fusion LOFI,[01] Zero Sum • GROWsutra Hypnotic Post-Punk Motorik Fusion LOFI,[20] Zero Sum • GROWsutra Psychedelick Post-Punk Cello Dub Cabaret BURLESQUE,""[07] Hello, Oh No • GROWsutra Psychedelic Gipsy Fusion LOFI""",230,G-230,L-312
Okey Dokey · No It's Not Ξ EPx5 Ξ LOFIsutra,https://soundcloud.com/bananasutra/sets/okey-dokey-no-its-not-epx5-lofisutra,0.726%,9.8%,6750,49,15:26,BLOWsutra,INDIE,INDIE,5,5,https://i1.sndcdn.com/artworks-lY0oFqEouYMs8MxL-RFc5iA-t500x500.png,,"BLOWsutra,BLOWsutra : APES (gone wrong),LOFIsutra","""[04] Okey Dokey, No It's Not • Jazzy LOFIsutra"",""[03] Okey Dokey, No It's Not • Indie LOFIsutra"",""[02] Okey Dokey, No It's Not • Indie LOFIsutra"",""[05] Okey Dokey, No It's Not • Jazzy LOFIsutra""",128,G-128,L-174
Le Bal Des Salauds - French BLOWsutra Indie Gipsy Burlesque EPx9,https://soundcloud.com/bananasutra/sets/le-bal-des-salauds-french-blowsutra-indie-gipsy-burlesque-epx9,1.036%,9.8%,8495,88,35:32,BLOWsutra,"BURLESQUE,FOLK,INDIE,LOFI,MANTRA","BURLESQUE,FOLK,GIPSY,INDIE,LOFI,MANTRA",9,9,https://i1.sndcdn.com/artworks-y8HtxewGKAQtoPJZ-3ZbprQ-t500x500.png,,"BURLESQUEsutra,FRENCHsutra oui oui · sacrebleu,OUI OUI : Pardon (my French)","[07] Le Bal Des Salauds • French BLOWsutra Gipsy Accordion' Indie Folk BURLESQUE,[08] Le Bal Des Salauds • French BLOWsutra Tzigane World Indie LOFI,[03] Le Bal Des Salauds • French BLOWsutra PBGal Chanson BURLESQUE,[04] Le Bal Des Salauds • French BLOWsutra Oh Boy Accordion Circus BURLESQUE,[02] Le Bal Des Salauds • French BLOWsutra Gipsy LoFi Chanson INDIE,[01] Le Bal Des Salauds • French BLOWsutra Oh My Oh Why Cello Circus INDIE",99,G-99,L-134
Bloom Past Doom - Vol. 2 · 2 songs EPx7 - BLOWsutra (Revolution Ring Series) Fusion Jazz,https://soundcloud.com/bananasutra/sets/bloom-past-doom-vol-2-2-songs-epx7-blowsutra-revolution-ring-series-fusion-jazz,1.222%,9.6%,5483,67,22:38,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ","BANJO,BLUES,BURLESQUE,DUB,FOLK,GIPSY,INDIE,JAZZ,PSYCHEDELIC",7,7,https://i1.sndcdn.com/artworks-UsXPQkqEgN2gCzJ6-0lSKCQ-t500x500.png,,"BLOWsutra,DUBsutra,FOLKsutra,INDIEsutra,JAZZsutra","Side B [05] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Jazzy INDIE,Side A [01] Dare to Care (This Issue is Real) - BLOWsutra Revolt Now Jazzy Gipsy Blues DUB,Side B [07] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Bluesy Psychedelic Americana Banjo FOLK,Side A [02] Dare to Care (This Issue is Real) - BLOWsutra Revolt Now Dubby Bluesy Burlesque JAZZ",20,G-20,L-36
MAHA (Make America Humane Again) ☆ VOL.2 EPx6 ☆ BLOWsutra (MAxA Series) Psychedelic Trip Hop,https://soundcloud.com/bananasutra/sets/maha-make-america-humane-again-vol2-epx6-blowsutra-psy-trip-hop,0.652%,9.3%,8593,56,16:57,BLOWsutra,"BLUES,DUB,LOFI","BLUES,DUB,GIPSY,LOFI,PSYCHEDELIC,TRIP HOP",6,6,https://i1.sndcdn.com/artworks-JGT1OnfOXKJX40oI-WLwAYA-t500x500.png,2026-02-11 23:37,"BLOWsutra,DUBsutra,LOFIsutra","[01] MAHA (Make America Humane Again) • Vol. 2 • BLOWsutra Gipsy Trip Hop Blues LOFI,[02] MAHA (Make America Humane Again) • Vol. 2 • BLOWsutra Gipsy Trip Hop Lofi DUB,[06] MAHA (Make America Humane Again) • Vol. 2 • BLOWsutra Gipsy Bass Trip Drum Hop Blues LOFI,[04] MAHA (Make America Humane Again) • Vol. 2 • BLOWsutra Gipsy LoFi Trip Hip Blop LOFI",104,G-104,L-149
I Did the Math · and Everything is Stupid • SHOWsutra Snoopy Fanana Club EPx11,https://soundcloud.com/bananasutra/sets/i-did-the-math-and-everything-is-stupid-showsutra-snoopy-fanana-club-epx11,0.987%,9.1%,10127,100,40:34,SHOWsutra,"BURLESQUE,DUB,INDIE,JAZZ,ROCK","BURLESQUE,DUB,GIPSY,INDIE,JAZZ,PSYCHEDELIC,PUNK,ROCK",11,11,https://i1.sndcdn.com/artworks-MzZS6UnLWFjCH0yw-Ud0ziA-t500x500.png,,"BURLESQUEsutra,INDIEsutra,ROCKsutra","""[Bonus] I did the Math, and Everything is Stupid • SHOWsutra Snoopy Poopy INDIE"",""[10] Everything is Stupid, Absurd, and Divine • SHOWsutra Psy Punk Chanson Burlesque ROCK"",[04] I Did the Math (and Everything is Stupid) • SHOWsutra Indie Chanson Gipsy BURLESQUE,[07] I Did the Math (and Everything is Stupid) • SHOWsutra Psychedelic Burlesque Indie ROCK,""[09] Everything is Stupid, Absurd, and Divine • SHOWsutra Psy Punk Chanson Burlesque ROCK""",78,G-78,L-110
The Love of a Dove ☩ EPx18 ☩ GROWsutra Peace Fusion Prayer,https://soundcloud.com/bananasutra/sets/the-love-of-a-dove-epx18-growsutra-peace-fusion-prayer,1.211%,9.0%,13382,162,55:13,GROWsutra,"BLUES,DUB,FOLK,INDIE","BLUES,DUB,FADO,FOLK,INDIE,PSYCHEDELIC,RAGGA,SOUL",18,18,https://i1.sndcdn.com/artworks-JAgkPz4F7h0eq74Z-njbS5Q-t500x500.png,,"BLUESsutra,DUBsutra,GROWsutra where we be brave,INDIEsutra,KNOWsutra : PEACE (not War)","[16] The Love Of A Dove - GROWsutra Dem Sed Psychedelic Ragga DUB,[08] The Love Of A Dove - GROWsutra Only The Brave PsyBluegrass Dubby BLUES,[02] The Love Of A Dove - GROWsutra Duende Amoris Fado Fiddle INDIE,[14] The Love Of A Dove - GROWsutra Feel Di Riddim Psychedelic Ragga DUB,[04] The Love Of A Dove - GROWsutra Mama-b-c Peace Cello INDIE,[09] The Love Of A Dove - GROWsutra Queen of Authentic Dubby Psychedelic BLUES,[11] The Love Of A Dove - GROWsutra Psychedelic Destiny BLUES",190,G-190,L-252
We Live Not By Lies ⚬ EPx12 ⚬ GROWsutra Revolution Ring,https://soundcloud.com/bananasutra/sets/we-live-not-by-lies-epx12-growsutra-revolution-ring,0.983%,9.0%,10982,108,34:57,GROWsutra,"BURLESQUE,DUB,INDIE,LOFI,ROCK","BURLESQUE,DUB,GIPSY,INDIE,LOFI,PSYCHEDELIC,PUNK,ROCK",12,12,https://i1.sndcdn.com/artworks-aUUxzKo6oEXsOIfq-vtqUJA-t500x500.png,,"BLOWsutra : REVOLT (now),BURLESQUEsutra,DUBsutra,GROWsutra where we be brave,INDIEsutra,KNOWsutra : (naked) TRUTH,LOFIsutra,ROCKsutra","[10] We Live Not By Lies - GROWsutra Post-Punk Rock Bar Girl BURLESQUE,[02] We Live Not By Lies - GROWsutra Pyschedelic Cello Dream Dub INDIE,[03] We Live Not By Lies - GROWsutra Psychedelic Piano Cello INDIE,[07] We Live Not By Lies - GROWsutra Tzigane Arabesk Fusion Indie LOFI,[01] We Live Not By Lies - GROWsutra Gipsy Poetry DUB,[04] We Live Not By Lies - GROWsutra Psychedelic Piano Cello INDIE,[11] We Live Not By Lies - GROWsutra IBYN Post-Punk BURLESQUE ROCK",208,G-208,L-282
Hard Core (Questions that Matter) X5,https://soundcloud.com/bananasutra/sets/hard-core-x5,0.945%,8.8%,4657,44,15:20,KNOWsutra,BURLESQUE,BURLESQUE,5,5,https://i1.sndcdn.com/artworks-TawBy2TG82lsrzx3-SEV7yw-t500x500.png,,"BLUESsutra,BURLESQUEsutra,JAZZsutra,KNOWsutra : (naked) TRUTH,KNOWsutra where questions matter,Questions for the (kind) POPE in the Sky","#5 Hard Core : Honey BLUESutra,#4 Hard Core : Burlesque Honeysutra,#1 Hard Core : Honey JAZZsutra",66,G-66,L-93
