songbook,url_slug_songbook,url_songbook_locked,status,songbook_type,songbook_in_app,songbook_featured,landr_url,sutras,secondary_sutra,topics_primary,description,songbook_rationale,songbook_id,sutra_id_rollup,songbook_art_url,sc_playlist_url,SONGS (Lyrics)
Speak: REVOLT (now),speak-revolt-now,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/f323efc0-0c2f-4a95-9d28-236633fb0c4e,BLOWsutra,GROWsutra,INJUSTICE,From Robert Burns to Victor Hugo to right now. The long arc of justice has always needed a banjo. So many songs. Don't wait...,From Robert Burns to Victor Hugo to right now. Play this when naming the problem stops being enough and you need the instruction: don't wait.,G-02-REVO,02-BLOW,https://i1.sndcdn.com/artworks-DQz78hEwZB0tJMxO-l4I40Q-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/blowsutra-revolt-now,"A Man's a Man and A' That,Bloom Past Doom,Do Panic Now,Liberty,""No Fear, My Dear"",""Oh, Freedom"",Optics Of Cruelty (DEFY),""Oy, We Care"",Question The Nation,Revolution's Lit,""Rise Up, You Naked Peoples (Freedom Rings)"",Shameless (DEFY),Sidération,Sidération (The Sky Stood Still),Sidération Blues,Sidération's Calling,Spit Back the Lies,""Thank you, Mister Paine"",The Echo Song,The Echo Song (Russian Edition),""They Call It Freedom (Oh Hi, Sweet Honey Bun)"",This Ain't Fiction (Bloom Past Doom),Time For Rebel Romance,Universal Currency,We Ain't Ghouls,Weary Blues,What Dissent Looks Like Now,Win-Win In Unity,Do Panic Now (What A Shit Show) Vol.3,Rebellion à L'Unisson,We Must Revolt,What If -Ism,Kamala's Roots of Resilience,Syncopated Patriarchy,La Vie Sera Belle,Baloney Brain"
Play: B.J. (is for banana jokes),play-b-j,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/86cd4b13-2e96-4f63-a913-f19e0cf63c0e,SHOWsutra,KNOWsutra,FOOLERY,Two songs walk into a bar. One's a banana joke. The other's wearing a mask. Still better than most political discourse.,Two songs walk into a bar. Play this when you need proof a banana joke beats most political discourse.,G-03-BJ,03-SHOW,https://i1.sndcdn.com/artworks-zvxXEnN1nhEehvpK-ABzMFA-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/showsutra-b-j-is-for-banana,"Banana Jokes Making Us Laugh,Seven Sutras Gone Banana,Who Needs A Big D?,I Know You Didn’t Ask,Bananasutra Cabaret,Lyrics Matter (FOOsutra),This Is Not A Banana,Lyrics Matter (FOOsutra) EDIT"
Play: FANANA (party),play-fanana-club,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/5371e7c6-75fa-40ab-adbb-0da70af825c9,SHOWsutra,GLOWsutra,FOOLERY,"Many songs, one invitation: come dressed as your most hilarious self. Featuring: dirty words, creepypastas, Bo Burnham covers, and feathers. Lots of feathers.","Come dressed as your most hilarious self. Play this when the heaviness needs an actual dance floor, feathers included.",G-03-FANA,03-SHOW,https://i1.sndcdn.com/artworks-SjuzUkSUCZpiPoz4-LnprBQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/showsutra-fanana-club,"7 Dirty Words,An American in Paris (Public Domain),Blessed Be The Dogs (SHOWsutra Edition),Bo Burnham Covers,Creepy Pasta (What The Hella),Dressed In (Nothing Butt) Wonder,Gladys in Sonderland,""Hi, My Name Is (Not Celine Dion)"",I Did The Math (Everything is Stupid),Linguistic Weaponry,SynthemaSutra,Zappa's Religion,F is for Fabulous,Gunther's BBQ,Buuuuurn!,Come Waddle With Me,Enshittification (Word of the Year),Fckonomics,""Not Bad, Friendo"",Penguins In Shoes,Singing Heavenly In Five Steps,Skanking Pickles,Acoustic Attractions,""Just Be You, Oooh!
(A Birthday Sing-Along)"""
Play: (Be) The Fool,play-be-the-fool,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/2faa814c-2b3e-4a57-9408-417ca3a79913,SHOWsutra,GROWsutra,FOOLERY,"The fool is not stupid. The fool is free. Songs in praise of cracked things, wiggling things, and the holy comedy of being human.","The fool is not stupid, the fool is free. Play this when you need permission to be a little cracked in public.",G-03-FOOL,03-SHOW,https://i1.sndcdn.com/artworks-GXTKcXAuyMmSbOsd-dz5iYQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/showsutra-shades-of-fools,"Bee the Fool (Not A Lie),Bee The Fool (Perfection Is A Lie),Blessed Are The Cracked,F-BOMB,Hammy On Clyde,Hope is Do-Do-Dope,Please Pardon My French,Some Songs Are More Fun Than Others,The Great Naked King,Fool On A Mission (No Name Game),Blessed By The Wiggle,Freedom Fries,Rachel Barks,The Fool Who Knows,A Good Witch,Be The Fool (Embrace The Cracks),Frogs in the Cogs,Lolita In Pensacola,Let's Sing,-tion Station,Caliméro,Dogs Just Wanna Have Fun,""Perhaps, Perhaps, Perhaps (Cake Jazz Cover)"""
Dare: DARE (to care),dare-dare-to-care,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/f1f05f7a-043b-4815-87d0-0cd66f201610,GROWsutra,GLOWsutra,WISDOM,Songs about the one muscle nobody trains: the courage to actually give a damn. About truth. About others. About yourself.,The one muscle nobody trains: the courage to actually give a damn. Play this when caring feels uncool and you need backup.,G-04-DARE,04-GROW,https://i1.sndcdn.com/artworks-pWOrhsGFerHV4tjv-qenNsg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/growsutra-dare-to-care,"Broken Whole,Broken Whole (Encore),""Courage, care, and coconuts"",Double Standards,""Hello, Oh No"",""Hereby, I Cry"",""Hold The Mic, Babe"",Let’s Play A Game Where We All Win! (If The Game Is Absurd),""No, I'm Not Being Political (CIRCA 2025)"",""No, I'm Not Being Political (CIRCA 2026)"",One Percent Rising,We Live Not By Lies,We Remember What (We Remember What) We Feel☉,What’s Behind Every Door?,Where Hope Expires (Hole of Fire),Why We Can't Be Brave?,Zero Sum (Zero Sean),Beautiful Things Don't Ask For Attention,Blessed Be Your Voice,Do You Ever Wonder?,How Do We Find Meaning?,Open The Window,Our Best (The Four Commandments),V.O.I.C.E.S (Blessed Be),V.O.I.C.E.S (What You Want Baby),Connecting Dots,Possum Scrotum,Win-Win Ding Ding"
Dare: GOD (etc.),dare-god-etc,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/77d1539c-ec9b-4bb6-9c0f-a574a8dd5719,GROWsutra,KNOWsutra,RELIGION,"Honest, curious, and chronically unimpressed by official doctrine. Songs asking God (etc.) and his sheeples the questions the pew wouldn't permit.","Honest, curious, chronically unimpressed by official doctrine. Play this when the spiritual questions feel too big for a pew.",G-04-GOD,04-GROW,https://i1.sndcdn.com/artworks-GR9JyL5n8yqk0dDg-rUqw1g-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/growsutra-god-etc,"El Papito (Es No MAGA Show),Make your Own Bible,Ordo Amoris in Decay (All I Want Is To Believe),""Pro-life Means What, Honey?"",Queer Almighty,Reason Over Reverence,Seminal Bollocks,Shush (How To Help A Bible Bro Grow Up),Sing Your Own Gospel,The Atheist Tango,The Invisible Man In The Sky,Untamed,Waldo's Atheist Tango,Waldo's Fascist Tango (Down We Go),""Why trust an old, mean religion?"",Shush (STFU)"
Dare: KIND(ness),dare-kindness,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/66ebc85f-45e2-4b68-ad63-d8410315420b,GROWsutra,GLOWsutra,BEAUTY,"Kindness: it's not about being nice, the soft kind with a bow on it kind of kind, it's about being clear, aka playing fair. Songs for the brave loving ones. Blessed be infinite players.","Kindness isn't nice with a bow on it, it's clear. Play this when you need reminding that being kind is being brave.",G-04-KIND,04-GROW,https://i1.sndcdn.com/artworks-b1Fx0OuFqdHgE7WF-fVAj1Q-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/growsutra-kind-ness,"ABC Of Kindness,""Genius, You See"",Glitter On A Turd,Jealousy (Not For Me),Kindness,Kindness (Oh Sweet Kindness),La Force Douce,Nous Sommes Le Feu,Peel Me Kindly,Tune In The Tender,What the Mirror Said (Reste Lucide),Who Knows Where How Happiness Truly Grows,WIN-WIN (Franglish Dub),Love from the Future (The Hesse Song),The Courage To Care,Can You Play Win-Win Games Or No?,Let Me Tell You About Heartache,Kids Just Want To Have Hope,Real Winners Dance,So Woken,Win-win's the only play"
Trust: FLY (like water),trust-fly-like-water,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/452dce76-2d5a-4d6d-9b32-9693e3e6d0bc,FLOWsutra,BOWsutra,PEACE,"Bruce Lee, Tao, and a lot of trusting the river. Songs about the radical art of trust, the flow of letting go, without disappearing.","Bruce Lee, Tao, and a lot of trusting the river. Play this when your knuckles are white from holding on too tight.",G-05-FLY,05-FLOW,https://i1.sndcdn.com/artworks-2pHqakX9GOVp97hp-EU7MrQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/flowsutra-fly-like-water,"Ain't Doing Bad Doing Nothing,Camus Dit Oui,Drop Di Baggage,Flow Like Water (My Friend),Fluye (como el mar),""Freee, La Fille"",Just Be,""Lightly, My Darling"",Making Songs Like...,Suspended in Time,Sutra of Immanence,""Too Hard, My Friend"",Life's A Song,""Out of Step, Out Of Mind"",Self-Remembering,Thrifting Memories,Feel The Sway,Peace Unseen,They Call Her Wild (But She's Just Free),Feel The Ryhthm,Like Rivers In Syncopated Times,The Sound of A Wondering Mind,The Tune To Ease My Mind (Whispers In The Night),""Out of Step, Out Of Sight"""
Trust: WET (my friend),trust-wet-my-friend,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/0d50fbc2-a1b6-4c6c-aa7e-fae84bf363ea,FLOWsutra,GLOWsutra,BEAUTY,"Songs where the pulse fasten, slowly but(t) surely. Sensual, tender, unapologetically honest. #pleasepardonmyfrench","Sensual, tender, unapologetically honest. Play this when you want intimacy without the armor.",G-05-WET,05-FLOW,https://i1.sndcdn.com/artworks-lcLXcYSTLwU1vVWx-8umDBA-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/flowsutra-wet-my-friend,"Curious Like A Kiss,Foolish,I Think I Need a Good Spank!ng (in Madrid),Let's Do It,Segggsting,Wet (Prickly) Peaches vol.2,When We Duende (All Night),When We Duende (Encore),Where We Begin (Preakly Peaches),Win-Win After Midnight,Dudu Duende Murió,Sous Terre (Underground),Feral Fandango,Open The Meow,Oxytocin,Bare Your Soul (Velvet),Whispers (Lithium)"
Bless: RAINBOWS (in my clouds),bless-rainbows-in-my-cloud,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/c06a0d3d-fd9e-40a8-840a-ad6501720903,GLOWsutra,BOWsutra,BEAUTY,"Because gratitude is the best! All the good things: toast, poppies, Jacques Brel, and the audacity to be delighted by all of it.","Toast, poppies, Jacques Brel, and the audacity to be delighted by all of it. Play this when you need reminding that gratitude is a practice, not a mood.",G-06-CLOU,06-GLOW,https://i1.sndcdn.com/artworks-57vIPCGJ4OIaDUaa-UFslNg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/glowsutra-rainbows-in-my,"Donkeys Years,Dream A Dog,Grateful For The Weird,""Happy Birthday, Dear Dreamer Friend"",I Think About...,Jacques Brel,Rainbows in the Clouds,This Is My Quest,Up a San Francisco Hill,A Toast To The Good Life,Maupassant,Berries & Beaches,The World We Knew (Public Domain),Acousticophilia,French Poppies,More Than A Plate (Anthony Bourdain <3),What a Wonderful Dog"
Bless: POET(ry),bless-poetry,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/6e0ccb1a-6fea-45ab-a6c4-50e375a72d9d,GLOWsutra,FLOWsutra,BEAUTY,Songs for the ones who believe words have wonderful meaning. Poetry isn't decoration. It's the thing that makes us human.,"Words with wonderful meaning. Play this when you need proof that poetry isn't decoration, it's what makes us human.",G-06-POET,06-GLOW,https://i1.sndcdn.com/artworks-UVBWmXWPLc9H0Ov3-HwlYIg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/glowsutra-poet-ry,"Awe Is Mighty,Creo (La Poesia),Kiss A Pulse,La Poesia Importa,My Quest,Poetry Matters,Poetry Nah Lie,Poetry Slow Burns,She Wears The Words,The Poem,To Dream,Clay Maiden,Awe Is Like...,Poets Hats"
Bow: Death (is nothing),bow-death-is-nothing,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/fb1be50e-3ed1-4ddd-bde6-91f334d61900,BOWsutra,GLOWsutra,PEACE,"Death is nothing at all. Henry Scott Holland said so... gently, without lying, without rushing.","Henry Scott Holland's words, gently, without lying, without rushing. Play this when grief is taking the wheel and you need company, not advice.",G-07-DEAT,07-BOW,https://i1.sndcdn.com/artworks-pJs7anXy4aAFCFrv-isxj5A-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/bowsutra-death-is-nothing,"Darling,Easy (Death Is Nothing At All),""Oh, Martine"",The Umm Song,But(t) Where Do Pigeons Go To Die?"
Bow: (Thank) Dogs,bow-thank-dogs,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/5c9e5bb3-a1fb-4830-b57a-2559061589a6,BOWsutra,GLOWsutra,WISDOM,Love songs for the creatures who never needed instructions on unconditional love. Who's a good soul? You are.,"Love songs for the creatures who never needed instructions. Play this when you need uncomplicated love, fast.",G-07-DOGS,07-BOW,https://i1.sndcdn.com/artworks-Y8QjM6vfVoY5XyEi-axwodQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/bowsutra-thank-dogs,"Blessed Be The Dogs,Dead Dogs Deets,Like A Dog In The Sky"
Bow: Cosmic Bananas,bow-cosmic-bananas,checked,REVIEW,sutra,checked,,https://app.landr.com/library/folder/4aea05c9-ac4d-402f-b74c-9acadaf7b4e2,BOWsutra,KNOWsutra,WISDOM,"Carl Sagan and Simone Weil agree... ultimately, life is all about the cosmic magic of Gravity and Grace.","Carl Sagan and Simone Weil agree. Play this when you need to feel small in the good way, tiny specks under a lot of stars.",G-07-WISE,07-BOW,https://i1.sndcdn.com/artworks-iSBnDzZ6pNZ2thIT-zteX6Q-t500x500.png,https://soundcloud.com/bananasutra/sets/were-tiny-specks-right-bowsutra-epx11,"""We’re Tiny Specks, Right?"""
BLUESsutra (Best Of),blues-best-of,checked,,genre,checked,,,,,,,,G-00-BLUES,,,,
BURLESQUEsutra (Best Of),burlesque-best-of,checked,,genre,checked,,,,,,,,G-00-BURL,,,,
DUBsutra (Best Of),dub-best-of,checked,LIVE,genre,checked,,,,,,,,G-00-DUB,,,,
FOLKsutra (Best Of),folk-best-of,checked,,genre,checked,,,,,,,,G-00-FOLK,,,,
INDIEsutra (Best Of),indie-best-of,checked,,genre,checked,,,,,,,,G-00-INDI,,,,
JAZZsutra (Best Of),jazz-best-of,checked,,genre,checked,,,,,,,,G-00-JAZZ,,,,
LOFIsutra (Best Of),lofi-best-of,checked,,genre,checked,,,,,,,,G-00-LOFI,,,,
MANTRAsutra (Best Of),mantra-best-of,checked,,genre,checked,,,,,,,,G-00-MANT,,,,
ROCKsutra (Best Of),rock-best-of,checked,,genre,checked,,,,,,,,G-00-ROCK,,,,
WORLDsutra (Best Of),world-best-of,checked,,genre,checked,,,,,,,,G-00-WORL,,,,
World: SPANISHsutra,lang-spanishs,checked,OPEN,language,checked,,https://app.landr.com/library/folder/e6b9fd1f-a639-4c11-b2d8-a873ec46e16d,,,,"¡Sí, sí! 💃🏻
Duende all the way.",,G-lang-ES,,https://i1.sndcdn.com/artworks-V4ORYqjXscpH76UU-11PylA-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/worldsutra-span-k-ish,"Fluye (como el mar),La Poesia Importa"
World: FRENCHsutra,lang-french,checked,REVIEW,language,checked,,https://app.landr.com/library/folder/e505b945-061d-481e-8e37-baaded4e7e67,,,,"Oui oui 🍟 
Fooldom fries ftw.",,G-lang-FR,,https://i1.sndcdn.com/artworks-GLa538X1fUoCj8Yg-p3dNGg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/oui-oui-pardon-my-french,"Camus Dit Oui,""En Vrai, On Est Tous Frères"",""Freee, La Fille"",Jacques Brel,L'Accordéon De l'Ignorance,L’Embobinage,La Force Douce,Le Bal Des Salauds,Le Système,""Manu, P’tit Roi"",Nous Sommes Le Feu,""Oh, Martine"",Secret De Polichinelle,Segggsting,WIN-WIN (Franglish Dub),Criminels,Maupassant,Sous Terre (Underground),Comme Des Pions,Le Bal Electoral,Comme Les Pommes"
World: RUSSIANsutra,lang-russian,checked,OPEN,language,checked,,https://app.landr.com/library/folder/3ce2febb-6b5f-4c83-98fd-8204e8b3af55,,,,"Да, да 🪆 
PS: who's your vladdy?",,G-lang-RU,,https://i1.sndcdn.com/artworks-TUnq5K6T9gz6Lzs5-hw6yjw-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/worldsutra-russian-ish,The Echo Song (Russian Edition)
EP: Criminals,,,LIVE,collection,,,,BLOWsutra,KNOWsutra,INJUSTICE,"When the rules shift, who decides who the criminal is? A bilingual meditation, in English and French, on the question that keeps getting more relevant.","A bilingual meditation, English and French, on who gets to decide who the criminal is when the rules shift.",G-02-CRIM,02-BLOW,,,"Criminals,Criminels,Criminals (Bertrand Edition)"
