ep_title,ep_url,sutra,genres,genres_full,ep_total_tracks,total_plays,total_likes,duration_total,artwork_url,lyrics_id,created_at,playlist_names_clean,TRACKs
Atheist Tango EP x9 VOL. 1 ☰ Waldo's Burlesque Tales of Truth,https://soundcloud.com/bananasutra/sets/atheist-tango-ep-x9-vol-1-waldos-burlesque-tales-of-truth,KNOWsutra,"BURLESQUE,FOLK,JAZZ","BURLESQUE,FOLK,JAZZ",9,1659,23,0:00:00,https://i1.sndcdn.com/artworks-zGmZBF6E6J0dpCF7-7ObUQQ-t500x500.png,L-235,,"BURLESQUEsutra, FOLKsutra, GROWsutra : GOD (etc), JAZZsutra, Questions for the (kind) POPE in the Sky, SHOWsutra where bananas play","[8] Waldo's Atheist Tango ☰ shewannaknow Bass JAZZ, [3] Waldo's Atheist Tango ☰ pbgal PianoJAZZ BURLESQUE, [9] Waldo's Atheist Tango ☰ pbgal Burlesque FOLK, [6] Waldo's Atheist Tango ☰ IBYN JAZZ, [7] Waldo's Atheist Tango ☰ shewannaknow Bass JAZZ, [2] Waldo's Atheist Tango ☰ catJAZZ BURLESQUE, [4] Waldo's Atheist Tango ☰ Oh boy Accordion BURLESQUE, [5] Waldo's Atheist Tango ☰ Sultry JAZZ, [1] Waldo's Atheist Tango ☰ Dadade French Burlesque"
Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie LoFi Lullaby EPx2,https://soundcloud.com/bananasutra/sets/awe-is-mighty-maybe-even-holy-glowsutra-conscious-indie-lofi-epx2,GLOWsutra,"BLUES,FOLK,INDIE,LOFI,MANTRA","BLUES,FOLK,INDIE,LOFI,MANTRA,PSYCHEDELIC,TRIP HOP",2,672,12,0:00:00,https://i1.sndcdn.com/artworks-OV8ZRGizQyraCB7N-C8HWOQ-t500x500.png,L-21,,"GLOWsutra : POET(ry), GLOWsutra where gratitude feeds, LOFIsutra, MANTRAsutra","[01] Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie trip Hop(e) Blues Lullaby LOFI, [02] Awe Is Mighty (Maybe Even Holy) - GLOWsutra Psychedelic Folk Circus Dreamy Drum Indie MANTRA"
BANANA ALLELUIA ♾ EPx5 ♾ KNOWsutra BURLESQUE,https://soundcloud.com/bananasutra/sets/banana-alleluia-epx5-knowsutra-burlesque,KNOWsutra,"BANJO,BURLESQUE,FOLK","BANJO,BURLESQUE,CABARET,FOLK",5,1110,18,0:00:00,https://i1.sndcdn.com/artworks-ygtp0Bp5Ccu1zSfd-ysCUOA-t500x500.png,L-20,,"BURLESQUEsutra, SHOWsutra : B.J. (is for Banana Jesters)","[01] BANANA ALLELUIA — KNOWsutra Folk Waltz Ballad BURLESQUE, [02] BANANA ALLELUIA — KNOWsutra Whisper Velvet Waltz BURLESQUE, [04] BANANA ALLELUIA — KNOWsutra Cello Banjo Waltz Twang BURLESQUE, [05] BANANA ALLELUIA — KNOWsutra Dystopian Cabaret BURLESQUE, [03] BANANA ALLELUIA — KNOWsutra Banjo Waltz Bounce BURLESQUE"
Because the Light ☉ EPx4 VOL.01,https://soundcloud.com/bananasutra/sets/because-the-light-epx4-vol01,GROWsutra,MANTRA,MANTRA,4,2188,20,0:00:00,https://i1.sndcdn.com/artworks-ZPfcJ5Xdh8yItO33-t97RIA-t500x500.png,L-26,,"BANJOsutra, BLOWsutra, BLOWsutra : REVOLT (now), INDIEsutra, LOFIsutra, MANTRAsutra","[01] Because the Light (wontdietonight) ⭐︎ Breathy LOFIsutra, [03] Delete your Butt ⭐︎ Cheeky BURLESQUEsutra, [02] Because the Fight ⭐︎ MellO BANJOsutra, [04] Because the Joke ⭐︎ Dreamy Mantra INDIEsutra"
Bee the Fool EP x2 : BANJOsutra,https://soundcloud.com/bananasutra/sets/bee-the-fool-ep-x2-honeysutra,SHOWsutra,"BANJO,BLUES,FOLK","BANJO,BLUES,FOLK",2,391,5,0:00:00,https://i1.sndcdn.com/artworks-1QKzz4xNQaa8y2oX-Ru7mWg-t500x500.jpg,L-26,,"BANJOsutra, FLOWsutra where time is space, SHOWsutra: (shades of) FOOLS","Bee the full (cozitsalie) • BANJOsutra, Be the fool (Perfection is a lie) : BANJOsutra"
Best Teacher Award · in Love & Death : Indie Bliss EPx3 VOL. 1 : BOWsutra,https://soundcloud.com/bananasutra/sets/best-teacher-award-in-love-death-indie-lofi-epx3-vol-1-bowsutra,BOWsutra,INDIE,INDIE,3,665,3,0:00:00,https://i1.sndcdn.com/artworks-naxN1Ew2hxBmEiva-OlsMuQ-t500x500.png,,2025-04-09 11:15,"BLUESsutra, BOWsutra : (Thank) Dogs, BOWsutra : DEATH (is nothing), BOWsutra the last of 7 sutras · it's divine <3, INDIEsutra, MANTRAsutra","[2] Like a Dog in the Sky • Leonard’s Birdie BLUESsutra, [1] Dead Dogs Deets • Emo INDIEsutra, [3] Blessed Be the Dogs • Cappella MANTRAsutra"
Blaise's Tale ⭐︎ EPx3 ⭐︎ KNOWsutra Folk Cabaret,https://soundcloud.com/bananasutra/sets/blaises-tale-epx3-knowsutra-folk-cabaret,KNOWsutra,"BANJO,BURLESQUE,FOLK","BANJO,BURLESQUE,CABARET,FOLK",3,587,5,0:00:00,https://i1.sndcdn.com/artworks-nZjm9BvXode0nW5K-5dXY2A-t500x500.png,L-29,,"BANJOsutra, BURLESQUEsutra, FOLKsutra, KNOWsutra : but(t) WHY, KNOWsutra where questions matter","[02] Blaise's Tale ⭐︎ KNOWsutra Hypnotic Banjo FOLK, [01] Blaise's Tale ⭐︎ KNOWsutra Intimate Storytelling FOLK, [03] Blaise's Tale ⭐︎ KNOWsutra Cheeky Cabaret BURLESQUE"
Blessed Are the Cracked EP X3,https://soundcloud.com/bananasutra/sets/blessed-are-the-cracked-ep-x3,GLOWsutra,JAZZ,JAZZ,3,599,4,0:00:00,https://i1.sndcdn.com/artworks-d9e5zeXofS20S4AQ-Lb1s5g-t500x500.png,L-30,2024-12-11 23:08,"BURLESQUEsutra, GLOWsutra : RAINBOWS (in my clouds), GLOWsutra where gratitude feeds, JAZZsutra","Blessed Are the Cracked Waltz #2, Blessed Are the Cracked Waltz #1, Blessed Are the Cracked Jazz"
Blessed Be the Dogs ☰ SHOWsutra EPx9 ☰ Post-Punk Burlesque ROCK,https://soundcloud.com/bananasutra/sets/blessed-be-the-dogs-showsutra-epx9-post-punk-burlesque-rock,SHOWsutra,"BURLESQUE,ROCK","BURLESQUE,PUNK,ROCK",9,1830,27,0:00:00,https://i1.sndcdn.com/artworks-kAEVcohylwIZch0q-ThHu4Q-t500x500.png,L-31,,"BOWsutra : (Thank) Dogs, ROCKsutra, SHOWsutra where bananas play","[06] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK, [03] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK, [01] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK, [02] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK, [08] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK, [05] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK, [04] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK, [09] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK, [07] Blessed Be The Dogs • SHOWsutra Post-Punk Burlesque ROCK"
Bloom Past Doom (Apes Gone Wrong Series) EPx5 - BLOWsutra (Revolt Now)  Grassroots Hope Song,https://soundcloud.com/bananasutra/sets/bloom-past-doom-apes-gone-wrong-series-epx5-blowsutra-revolt-now-grassroots-hope-song,BLOWsutra,"BURLESQUE,FOLK,INDIE,JAZZ","BURLESQUE,CABARET,COUNTRY,FOLK,INDIE,JAZZ,PSYCHEDELIC,SOUL",5,3419,37,0:00:00,https://i1.sndcdn.com/artworks-NfNdCTLZ9C9HupPU-ETvEcw-t500x500.png,L-36,,"BLOWsutra, BLOWsutra : REVOLT (now), BURLESQUEsutra, FOLKsutra, INDIEsutra, QUACKsutra where we sing FU","[02] Bloom Past Doom (Apes Gone Wrong) - BLOWsutra (Revolt Now) Psychedelic Indie Ballad FOLK, [01] Bloom Past Doom (Apes Gone Wrong) - BLOWsutra (Revolt Now) Psychedelic Country Soul FOLK, [03] Bloom Past Doom - BLOWsutra (Revolt Now) Cello Circus Chanson Cabaret BURLESQUE, [05] Bloom Past Doom - BLOWsutra (Revolt Now) Bass Heartbeat Pluck Cello Jazz INDIE, [04] Bloom Past Doom - BLOWsutra (Revolt Now) Cello Bass Burlesque Jazz Symphony INDIE"
Bloom Past Doom - Vol. 2 · 2 songs EPx7 - BLOWsutra (Revolution Ring Series) Fusion Jazz,https://soundcloud.com/bananasutra/sets/bloom-past-doom-vol-2-2-songs-epx7-blowsutra-revolution-ring-series-fusion-jazz,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ","BANJO,BLUES,BURLESQUE,DUB,FOLK,GIPSY,INDIE,JAZZ,PSYCHEDELIC",7,5482,67,0:00:00,https://i1.sndcdn.com/artworks-UsXPQkqEgN2gCzJ6-0lSKCQ-t500x500.png,L-34,,"BLOWsutra, BLUESsutra, DUBsutra, FOLKsutra, INDIEsutra, JAZZsutra","Side B [05] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Jazzy INDIE, Side A [01] Dare to Care (This Issue is Real) - BLOWsutra Revolt Now Jazzy Gipsy Blues DUB, Side A [03] Dare to Care (This Issue is Real) - BLOWsutra Revolt Now Dubby Bluesy Burlesque JAZZ, Side B [07] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Bluesy Psychedelic Americana Banjo FOLK, Side A [04] Dare to Care (This Issue is Real) - BLOWsutra Revolt Now Dubby Jazzy Blues BLUES, Side B [06] Revolution's Lit (This Ain't Fiction) - BLOWsutra Revolt Now Cello Accordion Burlesque INDIE, Side A [02] Dare to Care (This Issue is Real) - BLOWsutra Revolt Now Dubby Bluesy Burlesque JAZZ"
Bo Burnham Gone Bananas 🍌 COVERsutra Vaudeville Indie JAZZ EPx11,https://soundcloud.com/bananasutra/sets/bo-burnham-gone-bananas-coversutra-epx11,SHOWsutra,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI","BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI",11,4186,46,0:00:00,https://i1.sndcdn.com/artworks-0cRNu3FFXne8uJuk-QwQNJA-t500x500.png,L-37,2026-03-07 23:40,"BURLESQUEsutra, DUBsutra, INDIEsutra, JAZZsutra, LOFIsutra","[09] What's Funny (Bo Burnham Gone Bananas) • COVERsutra Indie Jazz BURLESQUE, [06] F*CK (Bo Burnham Gone Bananas) - COVERsutra Candid Piano JAZZ, [07] F*CK (Bo Burnham Gone Bananas) - COVERsutra Candid Piano Jazz INDIE, [08] F*CK (Bo Burnham Gone Bananas) - COVERsutra Candid INDIE, [04] God's Perspective (Bo Burnham Gone Bananas) - COVERsutra Jazz INDIE, [11] Problematic (Bo Burnham Gone Bananas) - COVERsutra Indie Pop LOFI, [01] Welcome to the Internet (Bo Burnham Gone Bananas) - COVERsutra Indie JAZZ, [10] What's Funny (Bo Burnham Gone Bananas) - COVERsutra Indie Reggae DUB, [05] F*CK (Bo Burnham Gone Bananas) - COVERsutra Candid Piano JAZZ, [02] Welcome to the Internet (Bo Burnham Gone Bananas) • COVERsutra Indie Piano Burlesque JAZZ, [03] God's Perspective (Bo Burnham Gone Bananas) - COVERsutra Blues INDIE"
But(t) How Can You? GROWsutra (Dare to Care) EPx10,https://soundcloud.com/bananasutra/sets/butt-how-can-you-growsutra-epx10,GROWsutra,"DUB,INDIE,LOFI","DUB,GIPSY,HIP HOP,INDIE,LOFI,PSYCHEDELIC,RAGGA",10,4254,16,0:00:00,https://i1.sndcdn.com/artworks-wzNXJ0kKC1UWtYRu-qF7vrw-t500x500.png,L-38,2026-03-06 21:23,"DUBsutra, GROWsutra where we be brave, INDIEsutra, LOFIsutra","[07] But(t) How Can You GROWsutra Psychedelic Gipsy Fusion LOFI 1, [04] But(t) How Can You GROWsutra Dem Sed Psychedelic Ragga DUB, [10] But(t) How Can You GROWsutra Mama-b-c Magick Cello Prayer Dream INDIE, [02] But(t) How Can You GROWsutra Dem Sed Psychedelic Ragga DUB, [05] But(t) How Can You GROWsutra F-Bomb Psychedelic Hip Hop LOFI, [06] But(t) How Can You GROWsutra Psychedelic Gipsy Fusion LOFI, [09] But(t) How Can You GROWsutra Mama-b-c Magick Cello Prayer Dream INDIE, [08] But(t) How Can You GROWsutra Psychedelic Gipsy Fusion LOFI, [03] But(t) How Can You GROWsutra Dem Sed Psychedelic Ragga DUB, [01] But(t) How Can You GROWsutra Dem Sed Psychedelic Ragga DUB"
But(t) How you Kids Learn Now? EPx9 VOL. 01,https://soundcloud.com/bananasutra/sets/butt-how-you-kids-learn-now-epx9-vol-01,KNOWsutra,"FOLK,INDIE,JAZZ","FOLK,INDIE,JAZZ",9,1951,29,0:00:00,https://i1.sndcdn.com/artworks-s7JwXEm6wQmnuT1J-ySHR0g-t500x500.png,L-100,2025-04-14 18:55,"BANJOsutra, BURLESQUEsutra, FOLKsutra, GROWsutra where we be brave, JAZZsutra, KNOWsutra : (naked) TRUTH","[8] How do kids learn • DRUM FOLKsutra, [2] How do kids learn • Accordion BURLESQUEsutra, [4] How do kids learn • Bluesy FOLKsutra, [7] How do kids learn • Tango FOLKsutra, [3] How do kids learn • FOLK BANJOsutra, [6] How do kids learn • Indie FOLKsutra, [1] How do kids learn • Accordion JAZZ BURLESQUEsutra, [0] How do kids learn • Destiny JAZZsutra (high), [5] How do kids learn • Bluesy DUBsutra"
