ep_title,ep_url,sutra,genres,genres_full,track_count,ep_total_tracks,total_plays,total_likes,duration_total,artwork_url,lyrics_id,lyrics_title,lyrics_match_conf,created_at
Kids Are Asking ✪ KNOWsutra But(t) Why EPx3,https://soundcloud.com/bananasutra/sets/kids-are-asking-knowsutra-butt-why-epx3,KNOWsutra,"DUB, FOLK, INDIE, JAZZ, LOFI, MANTRA","ACOUSTIC, DUB, FOLK, INDIE, JAZZ, LOFI, MANTRA, TRIP HOP",3,3,1078,2,0:09:14,https://i1.sndcdn.com/artworks-L6uXyHUyGsqH0ZAv-cvmeZg-t500x500.png,L-118,Kids Are Asking,CONFIRMED,2025-12-04 6:56:57
MAMA-B-C (Make America Mine Achtung Encore) • BLOWsutra MAxA Series EPx3,https://soundcloud.com/bananasutra/sets/mama-b-c-blowsutra-maxa-series-epx3,BLOWsutra,"BANJO, DUB, INDIE, MANTRA","ACOUSTIC, BANJO, COUNTRY, DUB, INDIE, MANTRA, TRIP HOP",3,3,610,7,0:11:37,https://i1.sndcdn.com/artworks-uDzqzbtn80lOeo3H-hV475g-t500x500.png,L-150,MAMA (Make America Mine Achtung),CONFIRMED,2026-02-13 6:21:02
MAMA-B-C (Make America Mine Achtung) • BLOWsutra MAxA Series EPx8,https://soundcloud.com/bananasutra/sets/mama-b-c-blowsutra-maxa-series-epx8,BLOWsutra,"BANJO, BLUES, BURLESQUE, FOLK, INDIE, LOFI","BANJO, BLUES, BURLESQUE, FOLK, INDIE, LOFI, PSYCHEDELIC, TRIP HOP",5,8,6992,43,0:20:16,https://i1.sndcdn.com/artworks-uDzqzbtn80lOeo3H-hV475g-t500x500.png,L-150,MAMA (Make America Mine Achtung),CONFIRMED,2026-02-13 5:48:35
MASA (Make America Safe Again) ✮ EPX12 ✮ QUACKsutra Psychedelic BANJO,https://soundcloud.com/bananasutra/sets/masa-make-america-safe-again-epx12-quacksutra-psychedelic-banjo,BLOWsutra,"BANJO, BLUES, BURLESQUE, DUB, ROCK","BANJO, BLUES, BURLESQUE, COUNTRY, DUB, PSYCHEDELIC, ROCK",12,12,5417,37,0:38:28,https://i1.sndcdn.com/artworks-zGBEcizIyyXPbSgu-fuTgSg-t500x500.png,L-152,MAWA (Make America Woke Again),CONFIRMED,2025-11-12 10:23:14
Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25,https://soundcloud.com/bananasutra/sets/make-amurica-gulag-again-blowsutra-dub-epx25,BLOWsutra,"DUB, FOLK, INDIE, LOFI","DUB, FOLK, GIPSY, INDIE, LOFI, RAGGA",25,25,8362,87,1:19:51,https://i1.sndcdn.com/artworks-EtyWMtEaw4pyLtcc-MBCl2Q-t500x500.png,L-145,Make Amurica Gulag Again (MAGA),CONFIRMED,2025-06-27 4:05:47
"No, I'm Not Being Political 🇺🇸 KNOWsutra Indie Dub EPx15",https://soundcloud.com/bananasutra/sets/no-im-not-being-political-knowsutra-indie-dub-epx15,KNOWsutra,"DUB, FOLK, INDIE, LOFI, MANTRA","DUB, FOLK, INDIE, LOFI, MANTRA",15,15,2944,25,0:48:40,https://i1.sndcdn.com/artworks-zz7WsK7tAEH4cMHT-fSdPcQ-t500x500.png,L-160,"No, I'm Not Being Political (CIRCA 2025)",CONFIRMED,2025-08-07 22:37:42
"Okey Dokey, No It's Not Ξ EPx5 Ξ LOFIsutra",https://soundcloud.com/bananasutra/sets/okey-dokey-no-its-not-epx5-lofisutra,BLOWsutra,INDIE,INDIE,5,5,6750,49,0:15:26,https://i1.sndcdn.com/artworks-lY0oFqEouYMs8MxL-RFc5iA-t500x500.png,L-166,Okie Dokie (No It's Not),CONFIRMED,2025-04-25 6:33:16
Prickly Peaches DUBsutra EPx3,https://soundcloud.com/bananasutra/sets/prickly-peaches-dubsutra-epx3,FLOWsutra,DUB,DUB,3,3,640,8,0:10:53,https://i1.sndcdn.com/artworks-RAzwB4AnKcyRKbyO-wrGX6g-t500x500.jpg,L-276,Wet (Prickly) Peaches vol.2,CONFIRMED,2024-12-24 21:59:32
Question di Kingdom ✰ Ragga DUBsutra EPx10,https://soundcloud.com/bananasutra/sets/question-di-kingdom-ragga-dubsutra-epx10,KNOWsutra,DUB,RAGGA,10,10,2856,24,0:27:13,https://i1.sndcdn.com/artworks-mKTmWGkHkyRy4ocv-MREqIQ-t500x500.png,L-191,Question Di Kingdom,CONFIRMED,2025-03-01 11:04:14
Rainbows in the Clouds • GLOWsutra Dub LoFi Blues,https://soundcloud.com/bananasutra/sets/rainbows-in-the-clouds-glowsutra-dub-lofi-blues,GLOWsutra,"BANJO, BLUES, DUB, FOLK, INDIE, JAZZ, LOFI","BANJO, BLUES, COUNTRY, DUB, FOLK, GIPSY, INDIE, JAZZ, LOFI",14,14,15584,173,0:33:40,https://i1.sndcdn.com/artworks-OuzjTqyXc8wz8Uv9-0cXu0Q-t500x500.png,L-194,Rainbows in the Clouds,CONFIRMED,2026-01-24 5:17:33
Reason over Reverence (No need for God) ☷ KNOWsutra EPx6,https://soundcloud.com/bananasutra/sets/reason-over-reverence-no-need-for-god-knowsutra-epx6,KNOWsutra,"BANJO, BLUES","BANJO, BLUES",6,6,1743,16,0:19:56,https://i1.sndcdn.com/artworks-52aEtWxS2ijbwMuq-syAe6A-t500x500.png,L-197,Reason Over Reverence,CONFIRMED,2025-06-24 1:57:02
"Rise Up, You Naked Peoples (Freedom Rings) ☆ BLOWsutra Victor Hugo Revolution Song",https://soundcloud.com/bananasutra/sets/rise-up-you-naked-peoples-blowsutra-victor-hugo-revolution,BLOWsutra,FOLK,FOLK,2,2,562,5,0:06:41,https://i1.sndcdn.com/artworks-XITSzbW3Jfw7E2Bb-d1yIpQ-t500x500.png,L-201,"Rise Up, You Naked Peoples (Freedom Rings)",CONFIRMED,2026-02-16 0:22:02
Second Hand Smoke (of) Arrogant Hearts - BLOWsutra EGO Therapy EPx6,https://soundcloud.com/bananasutra/sets/second-hand-smoke-of-arrogant-hearts-blowsutra-ego-therapy-epx6,BLOWsutra,"BANJO, BURLESQUE, DUB, INDIE, LOFI, MANTRA","BANJO, BURLESQUE, DUB, GIPSY, INDIE, LOFI, MANTRA, SOUL, TRIP HOP",6,6,4672,50,0:17:53,https://i1.sndcdn.com/artworks-Tee0LuKXPZj5MLJY-pyJfiA-t500x500.png,L-016,Arrogant Hearts (Second hand Smoke),CONFIRMED,2025-11-06 23:12:09
Secret de Polichinelle 🎪 French EPx10 🎪 KNOWsutra Psychedelic Gipsy Circus,https://soundcloud.com/bananasutra/sets/secret-de-polichinelle-french-epx10-knowsutra-psychedelic-gipsy-circus,KNOWsutra,"BURLESQUE, INDIE, JAZZ","BURLESQUE, GIPSY, INDIE, JAZZ, PSYCHEDELIC",10,10,5354,53,0:35:11,https://i1.sndcdn.com/artworks-xr4XjkoXh1PH9F6I-IQ3wCQ-t500x500.png,L-204,Secret De Polichinelle,CONFIRMED,2025-11-11 23:41:21
Serial BLOWerrr ✰ RAGGA DUBsutra,https://soundcloud.com/bananasutra/sets/serial-blowerrr,BLOWsutra,DUB,"DUB, FLAMENCO, RAGGA",7,7,1510,15,0:23:25,https://i1.sndcdn.com/artworks-L6YErpavAldzq4cD-HRzVlg-t500x500.png,L-207,Serial BLOWerrr,CONFIRMED,2025-01-31 13:03:24
Shades of Fools EPx9,https://soundcloud.com/bananasutra/sets/shades-of-fools-epx9,GROWsutra,BANJO,"BANJO, RAGGA",9,9,1738,16,0:26:00,https://i1.sndcdn.com/artworks-vmrDjbUos6J6FBAc-PCByYA-t500x500.png,L-210,Shady Fools,CONFIRMED,2025-01-15 0:58:35
"So, What Is Racism? KNOWsutra Gone Banana EPx17",https://soundcloud.com/bananasutra/sets/so-what-is-racism-knowsutra-gone-banana-epx17,KNOWsutra,"BANJO, BLUES, DUB, FOLK, JAZZ, LOFI","BANJO, BLUES, DUB, FOLK, GIPSY, JAZZ, LOFI, RAGGA",17,17,16599,174,0:52:18,https://i1.sndcdn.com/artworks-2Y1pH6yfxZuC4LKe-PWzeJA-t500x500.png,L-220,"So, What Is Racism?",CONFIRMED,2025-10-05 1:34:12
Tell The Truth (encore) KNOWsutra EPx9 Vol. 04,https://soundcloud.com/bananasutra/sets/tell-the-truth-encore-knowsutra-epx9-vol-04,KNOWsutra,"BANJO, BLUES, ROCK","BANJO, BLUES, PSYCHEDELIC, ROCK",9,9,10161,184,0:37:21,https://i1.sndcdn.com/artworks-64Uv99JMUudNjTVz-iC67zQ-t500x500.png,L-231,Tell The Truth,CONFIRMED,2025-11-02 5:28:17
The Echo Song ☭ Russian EPx3 ☭ Gipsy BLOWsutra LoFi Blues (Vladimir Vysotsky Cover),https://soundcloud.com/bananasutra/sets/the-echo-song-russian-epx3-gipsy-blowsutra-lofi-blues-vladimir-vysotsky-cover,BLOWsutra,"BANJO, BLUES, INDIE, LOFI","BANJO, BLUES, GIPSY, INDIE, LOFI, PSYCHEDELIC",3,3,2678,32,0:09:40,https://i1.sndcdn.com/artworks-acFrdgqIA6o30Zzp-mlZM9A-t500x500.png,L-239,The Echo Song,CONFIRMED,2025-10-25 8:16:50
There's No Prayer Like Desire • KNOWsutra But(t) Why EPx4,https://soundcloud.com/bananasutra/sets/theres-no-prayer-like-desire-knowsutra-butt-why-epx4,KNOWsutra,"BANJO, BLUES, BURLESQUE","BANJO, BLUES, BURLESQUE",3,3,1995,20,0:08:29,https://i1.sndcdn.com/artworks-BZeLqNQ4AlXL9NGG-8Sntuw-t500x500.png,L-251,There's No Prayer Like Desire,CONFIRMED,2025-12-14 4:18:39
They Muddy the Waters (aka Nietzsche's Gift) EPx5 VOL. 04,https://soundcloud.com/bananasutra/sets/they-muddy-the-waters-aka-nietzsches-gift-epx5-vol-04,KNOWsutra,"BANJO, BURLESQUE, FOLK, INDIE, LOFI","BANJO, BURLESQUE, FOLK, INDIE, LOFI",5,5,1065,6,0:16:27,https://i1.sndcdn.com/artworks-8WQovcQ1YWF6xgZ0-sPC0bQ-t500x500.png,L-157,Nietzsche's Gift (Muddy Waters),CONFIRMED,2025-04-14 6:55:17
Up a San Francisco Hill • Bananasutra Heart Beats,https://soundcloud.com/bananasutra/sets/up-a-san-francisco-hill-bananasutra-heart-beats,GLOWsutra,DUB,DUB,4,8,779,3,0:12:52,https://i1.sndcdn.com/artworks-GDiJpggFg27JRXo9-ZnhHqQ-t500x500.jpg,L-268,Up a San Francisco Hill,CONFIRMED,2025-01-26 23:36:14
Waldo's Fascist Tango EPx3 VOL. 1 • Burlesque JAZZ,https://soundcloud.com/bananasutra/sets/waldos-fascist-tango-epx3-vol-1-blowsutra-burlesque,BLOWsutra,"BURLESQUE, JAZZ","BURLESQUE, JAZZ",3,3,682,7,0:10:30,https://i1.sndcdn.com/artworks-c3L1ZrA7GdTEUNpD-srMlmg-t500x500.png,L-271,Waldo's Atheist Tango,CONFIRMED,2025-04-06 1:10:43
Why We Can't Be Brave? ☷ GROWsutra (Censored) Cello EPx8,https://soundcloud.com/bananasutra/sets/why-we-cant-be-brave-growsutra-censored-cello-epx8,GROWsutra,"BURLESQUE, DUB, INDIE, LOFI","BURLESQUE, DUB, FLAMENCO, HIP HOP, INDIE, LOFI, PSYCHEDELIC",8,8,6031,58,0:28:47,https://i1.sndcdn.com/artworks-rB89JSlaccuJ12aJ-01Yopg-t500x500.png,L-295,Why We Can't Be Brave?,CONFIRMED,2025-12-02 22:33:37
Zero Sum (Zero Sean) • GROWsutra (Dare to Care) EPx22,https://soundcloud.com/bananasutra/sets/zero-sum-growsutra-epx22,GROWsutra,"BURLESQUE, DUB, FOLK, INDIE, JAZZ, LOFI","BURLESQUE, CABARET, DUB, FADO, FLAMENCO, FOLK, GIPSY, INDIE, JAZZ, LOFI, PSYCHEDELIC, PUNK, RAGGA",23,23,21887,231,1:17:31,https://i1.sndcdn.com/artworks-EIMomqQ3VHc9dl93-DvcAsA-t500x500.png,L-303,Zero Sum (Zero Sean),CONFIRMED,2026-02-26 22:16:03
A Letter to My Friend (Never Again) EPx44 ☮ GROWsutra World Peace Mantra,https://soundcloud.com/bananasutra/sets/a-letter-to-my-friend-never-again-epx44-growsutra-world-peace-mantra,GROWsutra,"BANJO, BLUES, DUB, FOLK, INDIE, JAZZ, LOFI, MANTRA","BANJO, BLUES, DUB, FOLK, GIPSY, INDIE, JAZZ, LOFI, MANTRA, RAGGA, SOUL",44,44,28089,224,2:26:10,https://i1.sndcdn.com/artworks-wWQhnGqz9vHL3gbU-Sx2Pvw-t500x500.png,L-003,A Letter To My Friend (Never Again),EXACT,2025-10-10 3:58:46
A stroll down history’s lane ☆ KNOWsutra ☆ EPx6 Vol. 1,https://soundcloud.com/bananasutra/sets/a-stroll-down-historys-lane,KNOWsutra,MANTRA,MANTRA,6,6,1122,10,0:20:21,https://i1.sndcdn.com/artworks-9uz2GCIarSzz3CK9-yLGoGg-t500x500.jpg,L-007,A Stroll Down History’s Lane,EXACT,2025-01-16 4:36:18
AI Fair Use Manifesto EPx3 VOL.1 : LOFI BURLESQUE BLUES,https://soundcloud.com/bananasutra/sets/ai-fair-use-manifesto-epx3-vol1-lofi-burlesque-blues,KNOWsutra,"BLUES, BURLESQUE, LOFI","BLUES, BURLESQUE, LOFI",3,3,576,5,0:09:42,https://i1.sndcdn.com/artworks-8MpTLEJF8IA3pZOl-q8KlmA-t500x500.png,L-012,AI Fair Use Manifesto,EXACT,2025-04-10 20:36:25
BANANA ALLELUIA ♾ EPx5 ♾ KNOWsutra BURLESQUE,https://soundcloud.com/bananasutra/sets/banana-alleluia-epx5-knowsutra-burlesque,KNOWsutra,"BANJO, BURLESQUE, FOLK","BANJO, BURLESQUE, CABARET, FOLK",5,5,1110,18,0:16:20,https://i1.sndcdn.com/artworks-ygtp0Bp5Ccu1zSfd-ysCUOA-t500x500.png,L-020,Banana Alleluia,EXACT,2025-08-01 9:27:16
Because the Light ☉ EPx4 VOL.01,https://soundcloud.com/bananasutra/sets/because-the-light-epx4-vol01,GROWsutra,MANTRA,MANTRA,4,4,2188,20,0:13:30,https://i1.sndcdn.com/artworks-ZPfcJ5Xdh8yItO33-t97RIA-t500x500.png,L-026,Because the Light,EXACT,2025-04-25 4:46:24
Blaise's Tale ⭐︎ EPx3 ⭐︎ KNOWsutra Folk Cabaret,https://soundcloud.com/bananasutra/sets/blaises-tale-epx3-knowsutra-folk-cabaret,KNOWsutra,"BANJO, BURLESQUE, FOLK","BANJO, BURLESQUE, CABARET, FOLK",3,3,587,5,0:08:41,https://i1.sndcdn.com/artworks-nZjm9BvXode0nW5K-5dXY2A-t500x500.png,L-029,Blaise's Tale,EXACT,2025-08-24 1:01:13
Blessed Are the Cracked EP X3,https://soundcloud.com/bananasutra/sets/blessed-are-the-cracked-ep-x3,GLOWsutra,JAZZ,JAZZ,3,3,599,4,0:09:45,https://i1.sndcdn.com/artworks-d9e5zeXofS20S4AQ-Lb1s5g-t500x500.png,L-030,Blessed Are The Cracked,EXACT,2024-12-11 23:08:15
Blessed Be the Dogs ☰ SHOWsutra EPx9 ☰ Post-Punk Burlesque ROCK,https://soundcloud.com/bananasutra/sets/blessed-be-the-dogs-showsutra-epx9-post-punk-burlesque-rock,SHOWsutra,"BURLESQUE, ROCK","BURLESQUE, PUNK, ROCK",9,9,1830,27,0:35:13,https://i1.sndcdn.com/artworks-kAEVcohylwIZch0q-ThHu4Q-t500x500.png,L-031,Blessed Be The Dogs,EXACT,2025-08-15 1:39:45
"Bloom Past Doom - Vol. 2, 2 songs EPx7 - BLOWsutra (Revolution Ring Series) Fusion Jazz",https://soundcloud.com/bananasutra/sets/bloom-past-doom-vol-2-2-songs-epx7-blowsutra-revolution-ring-series-fusion-jazz,BLOWsutra,"BANJO, BLUES, BURLESQUE, DUB, FOLK, INDIE, JAZZ","BANJO, BLUES, BURLESQUE, DUB, FOLK, GIPSY, INDIE, JAZZ, PSYCHEDELIC",7,7,5483,67,0:22:38,https://i1.sndcdn.com/artworks-UsXPQkqEgN2gCzJ6-0lSKCQ-t500x500.png,L-034,Bloom Past Doom,EXACT,2026-01-16 4:36:35
CREEPYPASTA (what the hella) ♅ SHOWsutra ♅ EPx23 Side A+B,https://soundcloud.com/bananasutra/sets/creepypasta-what-the-hella-showsutra-epx23-side-ab,SHOWsutra,"BANJO, BURLESQUE, DUB, INDIE, LOFI","BANJO, BURLESQUE, DUB, GIPSY, INDIE, LOFI, PSYCHEDELIC, PUNK, RAGGA",23,27,7010,45,0:58:50,https://i1.sndcdn.com/artworks-fcCvHghEuNgLNX4y-dpY9Mg-t500x500.png,L-047,CREEPYPASTA (what the hella),EXACT,2025-10-21 8:20:29
Cassandra’s Lullaby • KNOWsutra EPx11 World,https://soundcloud.com/bananasutra/sets/cassandras-lullaby,KNOWsutra,"BLUES, BURLESQUE, FOLK, INDIE, JAZZ, MANTRA","BLUES, BURLESQUE, FOLK, INDIE, JAZZ, MANTRA",11,11,2594,35,0:44:36,https://i1.sndcdn.com/artworks-8MtzAVxPSN3vdqbc-b7c54g-t500x500.png,L-039,Cassandra's Lullaby,EXACT,2025-07-14 7:39:43
"Courage, Care, and Coconuts © GROWsutra EPx4",https://soundcloud.com/bananasutra/sets/courage-care-and-coconuts-growsutra-epx4,GROWsutra,"FOLK, INDIE","FOLK, INDIE",4,4,1014,6,0:09:22,https://i1.sndcdn.com/artworks-QE4Tkx0EyHytvlYD-6WhWtA-t500x500.png,L-043,"Courage, care, and coconuts",EXACT,2025-05-23 12:12:37
Creepy Con Meme EPX2 • Dicky Ducky DUBsutra,https://soundcloud.com/bananasutra/sets/creepy-con-meme-epx2-dicky-ducky-dubsutra,BLOWsutra,DUB,DUB,2,2,549,4,0:06:26,https://i1.sndcdn.com/artworks-DywO4KaBtyF8CyML-ToVQ2g-t500x500.png,L-045,Creepy Con Meme,EXACT,2025-02-22 21:09:03
Double Standards EPx3 VOL. 1 • BURLESQUEsutra,https://soundcloud.com/bananasutra/sets/double-standards-epx3-burlesquesutra,GROWsutra,BURLESQUE,BURLESQUE,3,3,609,10,0:09:59,https://i1.sndcdn.com/artworks-EbCkPt5OXsQDVEWJ-qwqVYw-t500x500.jpg,L-059,Double Standards,EXACT,2025-01-22 9:24:23
Double Standards EPx4 VOL. 2 ★ BLOWsutra LOFI,https://soundcloud.com/bananasutra/sets/double-standards-ep-4-vol-2,BLOWsutra,"FOLK, LOFI","FOLK, LOFI",4,4,755,4,0:12:16,https://i1.sndcdn.com/artworks-CzCzt9mTlZWzjTqp-8FLR4g-t500x500.png,L-059,Double Standards,EXACT,2025-04-02 5:42:54
Dump Trump EPx4 🪦 BLOWsutra Burlesque ROCK,https://soundcloud.com/bananasutra/sets/dump-trump-epx4-blowsutra-burlesque-rock,BLOWsutra,"BURLESQUE, LOFI, MANTRA, ROCK","BURLESQUE, LOFI, MANTRA, PUNK, ROCK",4,4,719,5,0:12:41,https://i1.sndcdn.com/artworks-j9D9XVaWNRVgQ3WS-Ns1zng-t500x500.png,L-061,Dump Trump,EXACT,2025-09-04 20:33:22
EGO's Masquerade • EPx4 • BLOWsutra Tzigane Trip Hop Lo-Fi INDIE,https://soundcloud.com/bananasutra/sets/egos-masquerade-epx4-tzigane-trip-hop-lo-fi-indie,BLOWsutra,"INDIE, LOFI","INDIE, LOFI, TRIP HOP",4,4,820,14,0:19:03,https://i1.sndcdn.com/artworks-JnuEvmR6UOwtbaIM-AYNThw-t500x500.png,L-064,EGO's Masquerade,EXACT,2025-08-26 3:00:49
Easy (Death Is Nothing At All) ❣ BOWsutra EPx9,https://soundcloud.com/bananasutra/sets/easy-death-is-nothing-at-all-bowsutra-epx9,BOWsutra,"BANJO, BLUES, DUB, INDIE","BANJO, BLUES, DUB, INDIE",9,9,2013,25,0:32:39,https://i1.sndcdn.com/artworks-bzZBqdfk2aR7Mc8I-ba7MdA-t500x500.png,L-062,Easy (Death Is Nothing At All),EXACT,2025-09-26 19:38:21
"Ego Ain't Your Amigo • Vol. 2, EPx21 • BLOWsutra (Ego Gone Loco)  Dub LoFi Burlesque",https://soundcloud.com/bananasutra/sets/ego-aint-your-amigo-vol2-epx21-blowsutra-dub-lofi,BLOWsutra,"BLUES, BURLESQUE, DUB, FOLK, INDIE, JAZZ, LOFI, ROCK","BLUES, BURLESQUE, DUB, FLAMENCO, FOLK, GIPSY, HIP HOP, INDIE, JAZZ, LOFI, PSYCHEDELIC, PUNK, ROCK",21,21,27029,282,1:24:25,https://i1.sndcdn.com/artworks-qfOVhmHG1WJJqjc9-k1w2VA-t500x500.png,L-063,Ego Ain't Your Amigo,EXACT,2026-02-23 4:45:47
Ego Ain't Your Amigo ⭐︎ EPx14 VOL. 01 ⭐︎ True Tales of BLUESsutra,https://soundcloud.com/bananasutra/sets/ego-aint-your-amigo-epx14-vol-01-true-tales-of-bluessutra,BLOWsutra,"BANJO, BLUES, BURLESQUE, DUB, FOLK, JAZZ","BANJO, BLUES, BURLESQUE, DUB, FOLK, JAZZ",14,14,2693,22,0:44:22,https://i1.sndcdn.com/artworks-6Al7JWcSGShXvOzO-NMakyQ-t500x500.jpg,L-063,Ego Ain't Your Amigo,EXACT,2025-04-16 3:50:29
Everybody Knows EP x6 : INDIEsutra,https://soundcloud.com/bananasutra/sets/everybody-knows-epx6-indie-rocksutra,KNOWsutra,INDIE,INDIE,5,6,805,3,0:14:37,https://i1.sndcdn.com/artworks-idU4oy8bvs1SNH2k-5V1pjg-t500x500.png,L-067,Everybody Knows,EXACT,2025-01-15 0:58:35
Everybody Knows ✔ Vol. 03 - EPx7 ✔ KNOWsutra Gipsy Trip Hop Truth Prayer Dream,https://soundcloud.com/bananasutra/sets/everybody-knows-vol-03-epx7-knowsutra-gipsy-trip-hop-truth-prayer-dream,KNOWsutra,"BLUES, BURLESQUE, DUB, INDIE, JAZZ, LOFI","BLUES, BURLESQUE, DUB, GIPSY, INDIE, JAZZ, LOFI, PSYCHEDELIC, TRIP HOP",7,7,4441,56,0:28:35,https://i1.sndcdn.com/artworks-WS97VCa9dwPRoGyv-ajY3dQ-t500x500.png,L-067,Everybody Knows,EXACT,2025-11-03 4:34:12
Fluye (como el mar) FLOWsutra,https://soundcloud.com/bananasutra/sets/fluye-como-el-mar-flowsutra,FLOWsutra,"DUB, INDIE","DUB, FADO, INDIE, RAGGA",11,11,4207,41,0:30:53,https://i1.sndcdn.com/artworks-JJ4nzGR7Kbx7XkxH-xkazNQ-t500x500.png,L-071,Fluye (como el mar),EXACT,2025-05-19 11:17:39
Foolish EPx5,https://soundcloud.com/bananasutra/sets/foolish-epx5,FLOWsutra,"INDIE, FOLK",,5,5,1317,26,0:17:26,https://i1.sndcdn.com/artworks-ce9hM1VBBXA95Gge-sqzp2g-t500x500.png,L-073,Foolish,EXACT,2024-12-18 4:19:43
