MUSE Name,First Name,Last Name,Gender / Pronoun,"Type, Category",Country,Era,Birth Year,Death year,Famous Work(s),Core SUTRA,Secondary SUTRAs,Themes/ Keywords,Bananasutra Notes,Key Quotes,Primary Source,Additional Sources,Status,autoID,museID,SONGS (Lyrics)
Anthony Bourdain,Anthony,Bourdain,He,"Philosopher,Fool",US,Contemporary,1956,2018,"Kitchen Confidential, Parts Unknown, Medium Raw",SHOWsutra,,"humor/satire,truth-telling,absurdity/joy,philosophy",,,https://en.wikipedia.org/wiki/Anthony_Bourdain,,Draft,15,M-15,More Than A Plate (Anthony Bourdain <3)
David Bowie,David,Bowie,He,"Musician,Fool",GB,Late 20th C,1947,2016,"The Rise and Fall of Ziggy Stardust, Heroes, Space Oddity, Blackstar",GROWsutra,,"music,identity,performance,transformation,art",Inspired the track 'New Normalcy (Planet Earth To Higher Grounds)'.,,https://en.wikipedia.org/wiki/David_Bowie,,Draft,16,M-16,New Normalcy (Planet Earth to Higher Grounds)
Jacques Brel,Jacques,Brel,He,"Musician,Fool",FR,Mid 20th C,1929,1978,"Ne Me Quitte Pas, La Quête, Amsterdam",GLOWsutra,BOWsutra,"poetry/language,love/kindness,philosophy,music","La Quête is the Bananasutra anthem I didn't write. 'The Quest' remake is my love letter to him — accordion and all. He understood that the greatest songs are prayers, not performances. His emotional precision is the standard I hold myself to.","To sing is to pray twice.' | 'I want to die on a Tuesday, so I'll have the rest of the week to recover.'",https://en.wikipedia.org/wiki/Jacques_Brel,,Draft,17,M-17,"Double Standards,Jacques Brel,L'Accordéon De l'Ignorance,My Quest,The Accordion of Ignorance,The Quest,This Is My Quest,To Dream,Up a San Francisco Hill"
André Breton,André,Breton,He,"Poet,Philosopher",FR,Early 20th C,1896,1966,"Manifesto of Surrealism, Nadja, Mad Love",FLOWsutra,"SHOWsutra,KNOWsutra","surrealism,dreams,creativity,revolution,poetry/language",,,https://en.wikipedia.org/wiki/Andr%C3%A9_Breton,,Draft,18,M-18,
Brené Brown,Brené,Brown,She,Author,US,Contemporary,1965,,"Daring Greatly, The Gifts of Imperfection, Braving the Wilderness",GROWsutra,KNOWsutra,"vulnerability,courage,empathy,personal growth,love/kindness",,,https://en.wikipedia.org/wiki/Bren%C3%A9_Brown,,Draft,19,M-19,
Charles Bukowski,Charles,Bukowski,He,"Author,Poet",US,Late 20th C,1920,1989,Women,BLOWsutra,"KNOWsutra,SHOWsutra","humor/satire,social criticism,poetry,urban life,authenticity","Bukowski made lowbrow high art. His BLOW energy is visceral — no pretense, no polish. A whiskey-soaked mirror held up to the circus.",,https://en.wikipedia.org/wiki/Charles_Bukowski,,Draft,20,M-20,
Edmund Burke,Edmund,Burke,He,Philosopher,IE,18th C,1729,1797,"Reflections on the Revolution in France, A Philosophical Enquiry into the Sublime and Beautiful",KNOWsutra,BLOWsutra,"philosophy,democracy,tradition,politics,resistance",,,https://en.wikipedia.org/wiki/Edmund_Burke,,Draft,21,M-21,
Bo Burnham,Bo,Burnham,He,"Musician,Fool",US,Contemporary,1990,,"Welcome to the Internet, What's Funny, F*CK",SHOWsutra,,"humor/satire,mental health,social media,performance,absurdity/joy",Inspired the Fanana Club covers and 'What's F-A-S-C-I-S-T?'.,,https://en.wikipedia.org/wiki/Bo_Burnham,,Draft,22,M-22,"Bo Burnham Covers,Segggsting,What's F-A-S-C-I-S-T?"
Robert Burns,Robert,Burns,He,"Poet,Fool",GB-SCT,18th C,1759,1796,"Auld Lang Syne, A Man's A Man for A' That, To a Mouse",BLOWsutra,,"poetry/language,love/kindness,democracy,Scottish identity,nature",Inspired the song 'A Man's A Man for A' That'.,,https://en.wikipedia.org/wiki/Robert_Burns,,Draft,23,M-23,A Man's a Man and A' That
Octavia E. Butler,Octavia E.,Butler,She,Author,US,Late 20th C,1947,2006,"Parable of the Sower, Kindred, Wild Seed, Bloodchild",FLOWsutra,"BLOWsutra,BOWsutra,GROWsutra","change/adaptation,science fiction,power,race,evolution",Butler wrote the FLOWsutra as speculative scripture — 'God is Change' is literally her theology. Parable of the Sower is a survival manual for the post-banana world.,All that you touch You Change. All that you Change Changes you. The only lasting truth Is Change. God Is Change.,https://en.wikipedia.org/wiki/Octavia_E._Butler,,Draft,24,M-24,
Joseph Campbell,Joseph,Campbell,He,Writer,US,Mid 20th C,1904,1987,"The Hero with a Thousand Faces, The Power of Myth",KNOWsutra,,"mythology,storytelling,hero's journey,philosophy,psychology",A map for understanding the internal journey. Inspired tracks like 'Joseph Campbell's Truth Metaphors' and 'Metaphor's Edge'.,,https://en.wikipedia.org/wiki/Joseph_Campbell,,Draft,25,M-25,Metaphors' Edge (Joseph Campbell's song)
Albert Camus,Albert,Camus,He,"Philosopher,Fool",FR,Mid 20th C,1913,1960,"The Stranger, The Plague, The Myth of Sisyphus",KNOWsutra,"BLOWsutra,SHOWsutra","philosophy,existentialism,absurdity/joy,resistance,truth-telling",,,https://en.wikipedia.org/wiki/Albert_Camus,,Draft,26,M-26,Camus Dit Oui
George Carlin,George,Carlin,He,"Comedian,Fool",US,Late 20th C,1937,2008,"7 Dirty Words, Jammin' in New York, Brain Droppings",KNOWsutra,"BLOWsutra,SHOWsutra","humor/satire,truth-telling,resistance,democracy,spirituality/agnosticism",7 Dirty Words' is a direct Bananasutra homage — banjo folk about his Supreme Court case. His line 'I would never want to belong to a group whose symbol is a guy nailed to two pieces of wood' is the spirit of 'No Holy Fool.' He made outrage funny and funny outrageous.,I would never want to be part of a group whose symbol was a guy nailed to two pieces of wood.' | 'Never underestimate the power of stupid people in large groups.' | 'The real owners are the big wealthy business interests.',https://en.wikipedia.org/wiki/George_Carlin,,Draft,27,M-27,"7 Dirty Words,F-BOMB DUB,Linguistic Weaponry,Supreme Words (Whoop Whoop),The Invisible Man In The Sky"
Lewis Carroll,Lewis,Carroll,He,Author,UK,19th C,1832,1898,Alice In Wonderland,SHOWsutra,,"fantasy,wordplay,absurdity/joy,childhood,satire",Inspired the track 'Gladys in Sonderland'.,,https://en.wikipedia.org/wiki/Lewis_Carroll,,Draft,28,M-28,"Dressed In (Nothing Butt) Wonder,Gladys in Sonderland,Wonderland of Bias"
Rachel Carson,Rachel,Carson,She,"Author,Scientist",US,Mid 20th C,1907,1964,"Silent Spring, The Sea Around Us, The Sense of Wonder",BOWsutra,"GLOWsutra,KNOWsutra,BLOWsutra","nature,ecology,wonder,activism,science",Carson invented environmental activism — Silent Spring woke the world up. BOW energy as fierce protection of beauty. BLOW as righteous defense of the living world.,Those who contemplate the beauty of the earth find reserves of strength that will endure as long as life lasts.,https://en.wikipedia.org/wiki/Rachel_Carson,,Draft,29,M-29,
Johnny Cash,Johnny,Cash,He,Musician,US,Mid 20th C,1932,2003,"Ring of Fire, Hurt, Man in Black",BLOWsutra,,"music,death/grief,redemption,authenticity,americana",Inspired the track 'Where Hope Expires'.,,https://en.wikipedia.org/wiki/Johnny_Cash,,Draft,30,M-30,"Hole Of Fire,Where Hope Expires"
Cassandra,Cassandra,Cassandra,She,"Fictional,Mythological",GR,Ancient,,,Greek mythology — Trojan prophetess,KNOWsutra,BLOWsutra,"truth-telling,authoritarianism,resistance",No quotes — she is a warning. Cassandra's Lullaby' is me. Cursed to see the truth and not be believed. She is the patron saint of everyone who saw fascism coming and was told they were overreacting. Her myth is why I keep singing even when no one listens.,,https://en.wikipedia.org/wiki/Cassandra,,Draft,31,M-31,Cassandra's Lullaby
Charlie Chaplin,Charlie,Chaplin,He,"Comedian,Fool",US,Early 20th C,1889,1977,The Great Dictator,SHOWsutra,,"humor/satire,performance,social criticism,compassion,film",Connected to 'The Great Naked King'.,,https://en.wikipedia.org/wiki/Charlie_Chaplin,,Draft,32,M-32,The Great Naked King
G.K. Chesterton,G.K.,Chesterton,He,"Author,Philosopher,Fool",GB,Early 20th C,1874,1936,"The Man Who Was Thursday, The Everlasting Man, Orthodoxy",KNOWsutra,"BLOWsutra,SHOWsutra","philosophy,humor/satire,spirituality/agnosticism,truth-telling",,,https://en.wikipedia.org/wiki/G._K._Chesterton,,Draft,33,M-33,
Pema Chödrön,Pema,Chödrön,She,"Author,Spiritual Teacher",US/CA,"Late 20th C,Contemporary",1936,,"When Things Fall Apart, The Places That Scare You, Start Where You Are",FLOWsutra,"GLOWsutra,KNOWsutra,BOWsutra","impermanence,meditation,compassion,letting go,wisdom",Chödrön is the patron saint of FLOWsutra. 'You are the sky. Everything else is weather.' That is the whole sutra in one breath.,You are the sky. Everything else is just the weather.,https://en.wikipedia.org/wiki/Pema_Ch%C3%B6dr%C3%B6n,,Draft,34,M-34,
Lucille Clifton,Lucille,Clifton,She,"Author,Poet",US,Late 20th C,1936,2010,Blessing the Boats,GLOWsutra,SHOWsutra,"poetry/language,feminism,love/kindness,race/justice","Kiss a Pulse' and 'She Wears the Words' are both built on her quote: 'Many people wish to be poets because they wish to wear the title, but one should wish to celebrate more than one wishes to be celebrated.' That's the whole GLOWsutra philosophy in one sentence.","Many people wish to be poets because they wish to wear the title, but one should wish to celebrate more than one wishes to be celebrated.' | 'won't you celebrate with me / what i have shaped into / a kind of life?'",https://en.wikipedia.org/wiki/Lucille_Clifton,,Draft,35,M-35,"Poets Hats,Wear The Words,She Wears The Words,When Did Seduction Become so Untrue?"
Kurt Cobain,Kurt,Cobain,He,Musician,US,Late 20th C,1967,1994,"Nevermind, In Utero, MTV Unplugged",FLOWsutra,GROWsutra,"music,resistance,authenticity,pain/melancholy",,,https://en.wikipedia.org/wiki/Kurt_Cobain,,Draft,36,M-36,Whispers (Lithium)
Leonard Cohen,Leonard,Cohen,He,"Musician,Songwriter",CA,Late 20th C,1934,2016,"Hallelujah, Everybody Knows, Bird on the Wire",KNOWsutra,"FLOWsutra,BOWsutra","music,love/kindness,death/grief,poetry/language,truth-telling",The OG of making philosophy sing. 'Everybody Knows' is one of my most direct covers/reinterpretations — I borrowed his title and inverted his irony into a prayer. 'Blessed Be the Dogs' Song #2 was directly inspired by his poem 'Like a Bird in the Sky.',"There is a crack in everything, that's how the light gets in.' | 'Everybody knows the fight was fixed.' | 'Ring the bells that still can ring.'",https://en.wikipedia.org/wiki/Leonard_Cohen,,Draft,37,M-37,"Everybody Knows,Everybody Knows (The Foolishness),Like A Dog In The Sky,Like A Dog In The Sky (SHOWsutra Edition)"
Confucius,,Confucius,He,Philosopher,CN,Ancient,c. 551 BC,c. 479 BC,The Analects,KNOWsutra,GROWsutra,"philosophy,ethics,wisdom,spirituality/agnosticism",,,https://en.wikipedia.org/wiki/Confucius,,Draft,38,M-38,
Sam Cooke,Sam,Cooke,He,Musician,US,Mid 20th C,1931,1964,"A Change is Gonna Come, Wonderful World, You Send Me",GLOWsutra,BLOWsutra,"music,race/justice,love/kindness,resistance",,,https://en.wikipedia.org/wiki/Sam_Cooke,,Draft,39,M-39,
E.E. Cummings,E. E.,Cummings,He,Poet,US,Early 20th C,1894,1962,"i carry your heart with me, anyone lived in a pretty how town, Tulips and Chimneys",FLOWsutra,"SHOWsutra,GLOWsutra","poetry/language,individuality,love/kindness,creativity,experimental",,,https://en.wikipedia.org/wiki/E._E._Cummings,,Draft,40,M-40,
Marie Curie,Marie,Curie,She,"Scientist,Author",PL/FR,Early 20th C,1867,1934,"Research on Radioactivity (Nobel Physics 1903, Nobel Chemistry 1911)",BOWsutra,"BLOWsutra,GROWsutra,KNOWsutra","science,courage,humility,perseverance,truth",Curie literally glowed — and she bowed to the mystery of the atom. First person to win two Nobels in two sciences. BOW energy as radical curiosity.,"Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less.",https://en.wikipedia.org/wiki/Marie_Curie,,Draft,41,M-41,
Jeanne D'arc,Jeanne,D'arc,She,Politician,FR,Medieval,1412,1431,The Hundred Years' War campaigns,BLOWsutra,"BOWsutra,GROWsutra","resistance,spirituality/agnosticism,courage",,,https://en.wikipedia.org/wiki/Joan_of_Arc,,Draft,42,M-42,
Honoré de Balzac,Honoré,de Balzac,He,"Author,Playwright",FR,19th C,1799,1850,,GLOWsutra,,"French literature,realism,society,ambition,human comedy,class",,,https://en.wikipedia.org/wiki/Honor%C3%A9_de_Balzac,,,43,M-43,
Guy de Maupassant,Guy,de Maupassant,He,Author,FR,19th C,1850,1893,,GLOWsutra,,"short fiction,French realism,human nature,irony,melancholy,beauty",,,https://en.wikipedia.org/wiki/Guy_de_Maupassant,,,44,M-44,Maupassant
St. Vincent De Paul,St. Vincent,de Paul,He,"Philosopher,Saint",FR,17th C,1581,1660,"Lazarist Congregation, Vincentian spirituality",GLOWsutra,BOWsutra,"spirituality/agnosticism,love/kindness,devotion,compassion",,,https://en.wikipedia.org/wiki/Vincent_de_Paul,,Draft,45,M-45,
Antoine de Saint-Exupéry,Antoine,de Saint-Exupéry,He,"Author,Philosopher",FR,"Early 20th C,Mid 20th C",1900,1944,"The Little Prince, Wind Sand and Stars, Night Flight",GROWsutra,"GLOWsutra,BLOWsutra","philosophy,poetry/language,love/kindness,spirituality/agnosticism",,,https://en.wikipedia.org/wiki/Antoine_de_Saint-Exup%C3%A9ry,,Draft,46,M-46,
Robert Desnos,Robert,Desnos,He,Poet,FR,"Early 20th C,Mid 20th C",1900,1945,"Freedom is a Dutch Child, The Poem is the Question",BLOWsutra,"FLOWsutra,GLOWsutra","poetry/language,resistance,surrealism,freedom",,,https://en.wikipedia.org/wiki/Robert_Desnos,,Draft,47,M-47,
Philip K Dick,Philip K,Dick,He,"Author,Philosopher",US,"Mid 20th C,Late 20th C",1928,1982,"Do Androids Dream of Electric Sheep, Ubik, The Man in the High Castle",KNOWsutra,"BLOWsutra,FLOWsutra","philosophy,science fiction,reality/perception,consciousness",,,https://en.wikipedia.org/wiki/Philip_K._Dick,,Draft,48,M-48,
Emily Dickinson,Emily,Dickinson,She,Poet,US,19th C,1830,1886,"The Collected Poems, Because I could not stop for Death, Hope is the thing with feathers",BOWsutra,"GLOWsutra,FLOWsutra","death/transcendence,nature,inner life,poetry,wonder",The ultimate BOW poet — she turned toward death with open eyes and found eternity in a hummingbird. Her slant of light is pure shimmer.,"Hope is the thing with feathers that perches in the soul, and sings the tune without the words, and never stops at all.",https://en.wikipedia.org/wiki/Emily_Dickinson,,Draft,49,M-49,
Walt Disney,Walt,Disney,He,"Filmmaker,Entrepreneur,Fool",US,"Early 20th C,Mid 20th C",1901,1966,"Snow White, Cinderella, Fantasia",SHOWsutra,"FLOWsutra,GROWsutra","creativity,imagination,entertainment,beauty",,,https://en.wikipedia.org/wiki/Walt_Disney,,Draft,50,M-50,"""Shame on You Boo (Don-Be-Gone Orchestra, Duck of the Jungle)"""
Lou Doillon,Lou,Doillon,She,Musician,FR,Contemporary,1982,,"Lay Back, Protection, Burn It Down",FLOWsutra,GLOWsutra,"music,creativity,love/kindness",,,https://en.wikipedia.org/wiki/Lou_Doillon,,Draft,51,M-51,
ScoobyDoo,Scooby,Doo,They,"Fictional,Fool",US,Late 20th C,1969,,Scooby-Doo Where Are You (TV series),SHOWsutra,,"humor/satire,absurdity/joy,friendship,mystery,pop culture",,,https://en.wikipedia.org/wiki/Scooby-Doo,,Draft,52,M-52,But(t) How Can You?
Fyodor Dostoyevski,Fyodor,Dostoyevski,He,"Author,Philosopher",RU,19th C,1821,1881,"Crime and Punishment, The Brothers Karamazov, Notes from Underground",KNOWsutra,"BLOWsutra,GROWsutra","philosophy,truth-telling,suffering/redemption,morality",,,https://en.wikipedia.org/wiki/Fyodor_Dostoyevsky,,Draft,53,M-53,
Dr Seuss,Seuss,Dr,He,"Author,Fool",US,"Mid 20th C,Late 20th C",1904,1991,"The Cat in the Hat, Green Eggs and Ham, The Lorax",SHOWsutra,"BLOWsutra,GROWsutra","humor/satire,imagination,resistance,ecology",,,https://en.wikipedia.org/wiki/Dr._Seuss,,Draft,54,M-54,Some Songs Are More Fun Than Others
Don Ducky,Don,Duck,He,Politician,US,Contemporary,1946,,The Art of the Deal,QUACKsutra (BLOWsutra Duck Shady),,authoritarianism,"The muse for 'Dump Trump', 'Mind the Felon', and 'The Ducktator Lament'.",,https://en.wikipedia.org/wiki/Donald_Trump,,Draft,55,M-55,"Ain't No Kid,Jingoism 101,Felon Nation,Freakshow King,""Oh, WELP… The Duck."",""Shame on You Boo (Don-Be-Gone Orchestra, Duck of the Jungle)"",Syndrome Nom Nom,Trump Derangement Syndrome ™,Tweeting from the Throne,Duck OFF my back,Ignoramus Divine,Profane Obscenities,Creepy Con Meme,Daddy's a Creep,Dump Trump,Ego Ain't Your Amigo,Hide Your Pets,""It's War, My Friend"",Mind the Felon,""Oy, We Care"",Pedo Nation (Felon Nation Redux),Project 2025 (Honky tonk dreams in the land of the free),RUN (Now If You Can),Stymy Stymy Yuck,The Ducktator (Lament),The Grazed Duck Luck,The President’s Above The Law,The Tyranny of Ignorance,The Weave,Time For Rebel Romance,Who's Your Vladdy?"
Isadora Duncan,Isadora,Duncan,She,"Dancer,Choreographer",US,Early 20th C,1877,1927,"My Life (autobiography), founder of modern dance",FLOWsutra,"SHOWsutra,GROWsutra","freedom,dance/movement,feminism,wildness,self-expression",Duncan didn't just dance — she FLOWed. She rewilded the body before it had a name. A founding FLOW goddess of the untamed feminine.,You were once wild here. Don't let them tame you.,https://en.wikipedia.org/wiki/Isadora_Duncan,,Draft,56,M-56,
Umberto Eco,Umberto,Eco,He,"Author,Poet",IT,Late 20th C,1932,2016,"The Name of the Rose, Foucault's Pendulum, Ur-Fascism (essay)",KNOWsutra,BLOWsutra,"authoritarianism,truth-telling,philosophy,humor/satire,resistance","The Ur-Fascism essay is my civic bible. I built an entire interactive quiz around scoring political actions against his 14 features of eternal fascism. He gave me the analytical framework to say: this is not new, and here is exactly what it looks like.","Ur-Fascism is still around us, sometimes in plainclothes.' | 'The fascist game can be played in many forms.' | 'Social frustration explains why fascism appeals to the losers.'",https://en.wikipedia.org/wiki/Umberto_Eco,,Draft,57,M-57,
Albert Einstein,Albert,Einstein,He,Scientist,DE,Early 20th C,1879,1955,The General Theory of Relativity,KNOWsutra,,philosophy,"The ultimate archetype for the intersection of music and logic. Inspired the track 'Genius, You See'.","If you judge a fish by climbing trees, it won't be free...'",https://en.wikipedia.org/wiki/Albert_Einstein,,Draft,58,M-58,"Genius EP,""Genius, You See"""
