playlist_name,playlist_type,linked_sutra,video_count,description,playlist_id,playlist_url,thumbnail_url
FLOWsutra,Sutra Playlist,FLOWsutra,32,"Songs about water, movement, letting go, and the grace of trusting the current.",,,
BANJOsutra,Genre,,29,"The banjo as unlikely protagonist — gypsy, folk, and the irreverent twang of a plucked conscience.",,,
SHOWsutra : Fanana Club,Sub-Playlist,SHOWsutra,29,"The Fanana Club — the more playful, party-ready side of SHOWsutra. Songs built to be performed together.",,,
GROWsutra : GOD (Questions Etc...),Sub-Playlist,GROWsutra,28,"Songs that look directly at God, faith, and the cosmic absurdity of spiritual seeking. Questions welcome. Answers suspicious.",,,
BLUESsutra,Genre,,24,"The blues as a complete philosophy — not just sadness, but the dignity of enduring and still singing.",,,
BLOWsutra : FOTUS Circus,Sub-Playlist,BLOWsutra,24,"The FOTUS Circus songbook — the theatrical, multi-act suite built around the American political spectacle.",,,
ROCKsutra,Genre,,22,"The rock channel: electric, distorted, and louder than it probably needs to be. Bananasutra plugged in.",,,
BLOWsutra : CENSOR(ed),Sub-Playlist,BLOWsutra,21,"Songs about silencing, erasure, and the long history of power trying to shut artists up.",,,
FRENCHsutra,Genre,,20,"Songs in French — a different tongue, a different register. The chanson tradition filtered through a bananasutra lens.",,,
LULLAsutra,Genre,,20,"Lullabies for adults who never quite got the comfort they needed as children. Tender, slow, and a little melancholy.",,,
PIANOsutra,Genre,,19,"Piano-centered songs — the keyboard as primary voice, from spare and intimate to densely layered.",,,
BLOWsutra : Ego (Gone Loco),Sub-Playlist,BLOWsutra,19,"The Ego Gone Loco songbook — songs about narcissism, hubris, and the particular damage caused by people who never doubt themselves.",,,
KNOWsutra : Bertrand (He Knows),Sub-Playlist,KNOWsutra,17,"Bertrand the Banana Butler's corner — songs channeling the spirit of Bertrand Russell, philosophy in musical form.",,,
KNOWsutra : PEACE (Not War),Sub-Playlist,KNOWsutra,17,"The Peace Not War sub-collection — KNOWsutra songs specifically about conflict, pacifism, and the cost of choosing war.",,,
KNOWsutra : (Naked) Truth,Sub-Playlist,KNOWsutra,16,Songs that strip things down to their uncomfortable core. The Naked Truth songbook.,,,
GROWsutra : DARE (to Care),Sub-Playlist,GROWsutra,16,"The Dare to Care songbook — songs that insist caring is not weakness, that empathy is a radical act.",,,
KNOWsutra : But(t) Whyyy,Sub-Playlist,KNOWsutra,15,The But(t) Why songbook — songs built around the stubborn refusal to accept bad answers to important questions.,,,
BLOWsutra : MA❔A Saga,Sub-Playlist,BLOWsutra,15,The MA❔A Saga — satirical dispatches from the Make America Kingdom Again era. A continuing series.,,,
FLOWsutra : FLY (like water),Sub-Playlist,FLOWsutra,15,"The FLY Like Water songbook — songs about lightness, release, and the particular freedom of trusting the flow.",,,
FLOWsutra : WET (My Friend),Sub-Playlist,FLOWsutra,12,"The WET My Friend songbook — water, emotion, tears, rain, and the permission to feel deeply.",,,
GROWsutra: KIND(ness),Sub-Playlist,GROWsutra,11,"Songs about kindness as a practice — not as sweetness, but as a deliberate, sometimes difficult choice.",,,
GLOWsutra,Sutra Playlist,GLOWsutra,8,"GLOWsutra — songs about illumination, wonder, and the quiet radiance of things done with love.",,,
REALsutras,Collection,,7,"The core sutras collection — a curated selection spanning all eight paths, representing the range of the practice.",,,
GLOWsutra: Rainbows (in my clouds),Sub-Playlist,GLOWsutra,7,"The Rainbows in My Clouds songbook — GLOWsutra songs about finding light in difficulty, gratitude under duress.",,,
SHOWsutra: B.J. is for Banana Joke,Sub-Playlist,SHOWsutra,6,"The Banana Joke songbook — the deliberately ridiculous, playful, and self-aware comedy wing of SHOWsutra.",,,
BOWsutra : (upward) DOGS,Sub-Playlist,BOWsutra,4,"The Upward Dogs songbook — BOWsutra songs of gratitude, devotion, and the lessons taught by dogs.",,,
GLOWsutra : POET(ry),Sub-Playlist,GLOWsutra,3,"The Poetry songbook — GLOWsutra songs rooted in the spoken word tradition, where lyric becomes literature.",,,
🎬🍌 Bananasutra Clips,Collection,,1,Short clips and excerpts from across the bananasutra catalog — a preview window into the full archive.,,,
