ep_title,ep_url,ep_rating,ep_volume,sutra,genres,genres_full,ep_total_tracks,total_plays,total_likes,duration_total,artwork_url,lyrics_title,lyrics_id,created_at,playlist_names_clean,ep_in_app
Atheist Tango EP x9 VOL. 1 ☰ Waldo's Burlesque Tales of Truth,https://soundcloud.com/bananasutra/sets/atheist-tango-ep-x9-vol-1-waldos-burlesque-tales-of-truth,,1,KNOWsutra,"BURLESQUE,FOLK,JAZZ","BURLESQUE,FOLK,JAZZ",9,1659,23,29:14,https://i1.sndcdn.com/artworks-zGmZBF6E6J0dpCF7-7ObUQQ-t500x500.png,The Atheist Tango,L-243,2025-04-06 05:22,"BURLESQUEsutra,FOLKsutra,GROWsutra : GOD (etc),JAZZsutra,Questions for the (kind) POPE in the Sky,SHOWsutra where bananas play",checked
Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie LoFi Lullaby EPx2,https://soundcloud.com/bananasutra/sets/awe-is-mighty-maybe-even-holy-glowsutra-conscious-indie-lofi-epx2,,1,GLOWsutra,"BLUES,FOLK,INDIE,LOFI,MANTRA","BLUES,FOLK,INDIE,LOFI,MANTRA,PSYCHEDELIC,TRIP HOP",2,675,12,6:41,https://i1.sndcdn.com/artworks-OV8ZRGizQyraCB7N-C8HWOQ-t500x500.png,Awe Is Mighty,L-21,2025-12-30 00:34,"GLOWsutra : POET(ry),GLOWsutra where gratitude feeds,LOFIsutra,MANTRAsutra",checked
BANANA ALLELUIA ♾ EPx5 ♾ KNOWsutra BURLESQUE,https://soundcloud.com/bananasutra/sets/banana-alleluia-epx5-knowsutra-burlesque,,1,KNOWsutra,"BANJO,BURLESQUE,FOLK","BANJO,BURLESQUE,CABARET,FOLK",6,1307,24,20:03,https://i1.sndcdn.com/artworks-ygtp0Bp5Ccu1zSfd-ysCUOA-t500x500.png,Banana Alleluia,L-22,2025-08-01 09:27,"BURLESQUEsutra,KNOWsutra where questions matter,SHOWsutra : B.J. (is for Banana Jesters)",checked
Because the Light ☉ EPx4 VOL.01,https://soundcloud.com/bananasutra/sets/because-the-light-epx4-vol01,,1,GROWsutra,MANTRA,MANTRA,4,2191,20,13:30,https://i1.sndcdn.com/artworks-ZPfcJ5Xdh8yItO33-t97RIA-t500x500.png,Because the Light,L-28,2025-04-25 04:46,"BANJOsutra,BLOWsutra,BLOWsutra : REVOLT (now),INDIEsutra,LOFIsutra,MANTRAsutra",checked
Bee the Fool EP x2 : BANJOsutra,https://soundcloud.com/bananasutra/sets/bee-the-fool-ep-x2-honeysutra,,1,SHOWsutra,"BANJO,BLUES,FOLK","BANJO,BLUES,FOLK",2,401,5,7:16,https://i1.sndcdn.com/artworks-1QKzz4xNQaa8y2oX-Ru7mWg-t500x500.jpg,Be The Fool (Perfection Is A Lie),L-26,2024-12-21 03:33,"BANJOsutra,FLOWsutra where time is space,SHOWsutra: (shades of) FOOLS",checked
Best Teacher Award · in Love & Death : Indie Bliss EPx3 VOL. 1 : BOWsutra,https://soundcloud.com/bananasutra/sets/best-teacher-award-in-love-death-indie-lofi-epx3-vol-1-bowsutra,,1,BOWsutra,INDIE,INDIE,3,670,3,8:22,https://i1.sndcdn.com/artworks-naxN1Ew2hxBmEiva-OlsMuQ-t500x500.png,"Dead Dogs Deets,Like A Dog In The Sky,Blessed Be The Dogs","L-58,L-145,L-33",2025-04-09 11:15,"BLUESsutra,BOWsutra : (Thank) Dogs,BOWsutra : DEATH (is nothing),BOWsutra the last of 7 sutras · it's divine <3,INDIEsutra,MANTRAsutra",checked
Blaise's Tale ⭐︎ EPx3 ⭐︎ KNOWsutra Folk Cabaret,https://soundcloud.com/bananasutra/sets/blaises-tale-epx3-knowsutra-folk-cabaret,,1,KNOWsutra,"BANJO,BURLESQUE,FOLK","BANJO,BURLESQUE,CABARET,FOLK",3,587,5,8:41,https://i1.sndcdn.com/artworks-nZjm9BvXode0nW5K-5dXY2A-t500x500.png,Blaise's Tale,L-31,2025-08-24 01:01,"BANJOsutra,BURLESQUEsutra,FOLKsutra,KNOWsutra : but(t) WHY,KNOWsutra where questions matter",checked
Blessed Are the Cracked EP X3,https://soundcloud.com/bananasutra/sets/blessed-are-the-cracked-ep-x3,,1,GLOWsutra,JAZZ,JAZZ,3,600,4,9:45,https://i1.sndcdn.com/artworks-d9e5zeXofS20S4AQ-Lb1s5g-t500x500.png,Berries & Beaches,L-30,2024-12-11 23:08,"BURLESQUEsutra,GLOWsutra : RAINBOWS (in my clouds),GLOWsutra where gratitude feeds,JAZZsutra",checked
Blessed Be the Dogs ☰ SHOWsutra EPx9 ☰ Post-Punk Burlesque ROCK,https://soundcloud.com/bananasutra/sets/blessed-be-the-dogs-showsutra-epx9-post-punk-burlesque-rock,,1,BOWsutra,"BURLESQUE,ROCK","BURLESQUE,PUNK,ROCK",9,1915,31,35:13,https://i1.sndcdn.com/artworks-kAEVcohylwIZch0q-ThHu4Q-t500x500.png,Blessed Be The Dogs,L-33,2025-08-15 01:39,"BOWsutra : (Thank) Dogs,ROCKsutra,SHOWsutra where bananas play",checked
Bloom Past Doom (Apes Gone Wrong Series) EPx5 - BLOWsutra (Revolt Now)  Grassroots Hope Song,https://soundcloud.com/bananasutra/sets/bloom-past-doom-apes-gone-wrong-series-epx5-blowsutra-revolt-now-grassroots-hope-song,,1,BLOWsutra,"BURLESQUE,FOLK,INDIE,JAZZ","BURLESQUE,CABARET,COUNTRY,FOLK,INDIE,JAZZ,PSYCHEDELIC,SOUL",5,3455,37,15:41,https://i1.sndcdn.com/artworks-NfNdCTLZ9C9HupPU-ETvEcw-t500x500.png,Bloom Past Doom,L-36,2026-01-15 07:26,"BLOWsutra,BLOWsutra : REVOLT (now),BURLESQUEsutra,FOLKsutra,INDIEsutra,QUACKsutra where we sing FU",checked
Bloom Past Doom - Vol. 2 · 2 songs EPx7 - BLOWsutra (Revolution Ring Series) Fusion Jazz,https://soundcloud.com/bananasutra/sets/bloom-past-doom-vol-2-2-songs-epx7-blowsutra-revolution-ring-series-fusion-jazz,,2,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ","BANJO,BLUES,BURLESQUE,DUB,FOLK,GIPSY,INDIE,JAZZ,PSYCHEDELIC",7,5529,68,22:38,https://i1.sndcdn.com/artworks-UsXPQkqEgN2gCzJ6-0lSKCQ-t500x500.png,Bloom Past Doom,L-36,2026-01-16 04:36,"BLOWsutra,BLUESsutra,DUBsutra,FOLKsutra,INDIEsutra,JAZZsutra",checked
Bo Burnham Gone Bananas 🍌 COVERsutra Vaudeville Indie JAZZ EPx11,https://soundcloud.com/bananasutra/sets/bo-burnham-gone-bananas-coversutra-epx11,,1,SHOWsutra,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI","BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI",11,4336,47,43:15,https://i1.sndcdn.com/artworks-0cRNu3FFXne8uJuk-QwQNJA-t500x500.png,Bo Burnham Covers,L-37,2026-03-07 23:40,"BURLESQUEsutra,DUBsutra,INDIEsutra,JAZZsutra,LOFIsutra",checked
But(t) How Can You? GROWsutra (Dare to Care) EPx10,https://soundcloud.com/bananasutra/sets/butt-how-can-you-growsutra-epx10,,1,KNOWsutra,"DUB,INDIE,LOFI","DUB,GIPSY,HIP HOP,INDIE,LOFI,PSYCHEDELIC,RAGGA",10,4322,16,19:15,https://i1.sndcdn.com/artworks-wzNXJ0kKC1UWtYRu-qF7vrw-t500x500.png,But(t) How Can You?,L-40,2026-03-06 21:23,"DUBsutra,GROWsutra where we be brave,INDIEsutra,LOFIsutra",checked
But(t) How you Kids Learn Now? EPx9 VOL. 01,https://soundcloud.com/bananasutra/sets/butt-how-you-kids-learn-now-epx9-vol-01,,1,KNOWsutra,"FOLK,INDIE,JAZZ","FOLK,INDIE,JAZZ",9,1951,29,30:18,https://i1.sndcdn.com/artworks-s7JwXEm6wQmnuT1J-ySHR0g-t500x500.png,How Do Kids Learn Now?,L-106,2025-04-14 18:55,"BANJOsutra,BURLESQUEsutra,FOLKsutra,GROWsutra where we be brave,JAZZsutra,KNOWsutra : (naked) TRUTH,KNOWsutra where questions matter",checked
Carnival FOTUS (ctd) EP X3,https://soundcloud.com/bananasutra/sets/carnival-fotus-ctd-ep-x3,,1,SHOWsutra,BURLESQUE,BURLESQUE,3,552,6,9:27,https://i1.sndcdn.com/artworks-MzAkEow42yD4mCMA-FITGfQ-t500x500.png,Carnival FOTUS (ctd),L-41,2024-12-19 03:54,"BURLESQUEsutra,QUACKsutra : FOTUS Circus,QUACKsutra where we sing FU,SHOWsutra where bananas play",checked
Cassandra’s Lullaby • KNOWsutra EPx11 World,https://soundcloud.com/bananasutra/sets/cassandras-lullaby,,1,KNOWsutra,"BLUES,BURLESQUE,FOLK,INDIE,JAZZ,MANTRA","BLUES,BURLESQUE,FOLK,INDIE,JAZZ,MANTRA",11,2597,35,44:36,https://i1.sndcdn.com/artworks-8MtzAVxPSN3vdqbc-b7c54g-t500x500.png,Cassandra's Lullaby,L-42,2025-07-14 07:39,"BLUESsutra,BURLESQUEsutra,FOLKsutra,INDIEsutra,KNOWsutra : PEACE (not War),KNOWsutra where questions matter,MANTRAsutra",checked
Courage · Care · and Coconuts © GROWsutra EPx4,https://soundcloud.com/bananasutra/sets/courage-care-and-coconuts-growsutra-epx4,,1,GROWsutra,"FOLK,INDIE","FOLK,INDIE",4,1014,6,9:22,https://i1.sndcdn.com/artworks-QE4Tkx0EyHytvlYD-6WhWtA-t500x500.png,"""Courage, care, and coconuts""",L-46,2025-05-23 12:12,"BANJOsutra,FOLKsutra,GROWsutra : KIND(ness),GROWsutra where we be brave,LOFIsutra",checked
Creepy Con Meme EPX2 • Dicky Ducky DUBsutra,https://soundcloud.com/bananasutra/sets/creepy-con-meme-epx2-dicky-ducky-dubsutra,,1,QUACKsutra,DUB,DUB,2,550,4,6:26,https://i1.sndcdn.com/artworks-DywO4KaBtyF8CyML-ToVQ2g-t500x500.png,Creepy Con Meme,L-48,2025-02-22 21:09,"DUBsutra,LOFIsutra,QUACKsutra : DUCK (shady),QUACKsutra where we sing FU",checked
CREEPYPASTA (what the hella) ♅ SHOWsutra ♅ EPx23 Side A+B,https://soundcloud.com/bananasutra/sets/creepypasta-what-the-hella-showsutra-epx23-side-ab,,1,SHOWsutra,"BANJO,BURLESQUE,DUB,INDIE,LOFI","BANJO,BURLESQUE,DUB,GIPSY,INDIE,LOFI,PSYCHEDELIC,PUNK,RAGGA",27,7023,45,58:50,https://i1.sndcdn.com/artworks-fcCvHghEuNgLNX4y-dpY9Mg-t500x500.png,Creepy Pasta (What The Hella),L-49,2025-10-21 08:20,"BANJOsutra,BURLESQUEsutra,DUBsutra,INDIEsutra,LOFIsutra,SHOWsutra : B.J. (is for Banana Jesters),SHOWsutra where bananas play",checked
Creo (La Poesia) ☘ EPx10 VOL.01 ☘ Bananasutra En Español,https://soundcloud.com/bananasutra/sets/creo-la-poesia-epx10-vol01-bananasutra-en-espanol,,1,GLOWsutra,DUB,"DUB,FADO,FLAMENCO,PSYCHEDELIC,RAGGA",10,4786,48,36:34,https://i1.sndcdn.com/artworks-HYGREko4IUXdrDm0-LliGgA-t500x500.png,Creo (La Poesia),L-51,2025-05-27 13:06,"DUBsutra,GLOWsutra : POET(ry),GLOWsutra where gratitude feeds,MANTRAsutra,WORLDsutra : SPAN(k)ish",checked
Crimina/els EP,https://soundcloud.com/bananasutra/sets/crimina-els-ep,,,BLOWsutra,"BLUES,JAZZ","BLUES,CABARET,GIPSY,JAZZ",3,553,6,6:59,https://i1.sndcdn.com/artworks-N2bJW7Tqp3S7Ldn6-PMk8kA-t500x500.jpg,"Criminals,Criminals (Bertrand Edition),Criminels","L-52,L-394,L-53",2024-11-19 17:54,"BLOWsutra,BLOWsutra : APES (gone wrong),BURLESQUEsutra,FOLKsutra,FRENCHsutra oui oui · sacrebleu,OUI OUI : Pardon (my French),SINGLEsutra Exclusive SoundCloud (woo)",checked
Curious Like A Kiss • FLOWsutra Cheeky Duende EPx11,https://soundcloud.com/bananasutra/sets/curious-like-a-kiss-flowsutra-epx11,,1,FLOWsutra,"BURLESQUE,DUB,INDIE,LOFI","BURLESQUE,DUB,FLAMENCO,GIPSY,INDIE,LOFI",11,8133,62,34:05,https://i1.sndcdn.com/artworks-zbyI4lbDpbvjrsBi-cszDDA-t500x500.png,Curious Like A Kiss,L-54,2026-03-11 18:25,"BURLESQUEsutra,FLOWsutra where time is space,INDIEsutra,LOFIsutra",checked
Daddy's a Creep ⚞  P3d0 T-Shirts ON SALE ⚟ BLOWsutra EPx4,https://soundcloud.com/bananasutra/sets/daddys-a-creep-p3d0-t-shirts-on-sale-blowsutra-epx4,,1,BLOWsutra,"BLUES,BURLESQUE,JAZZ,LOFI","BLUES,BURLESQUE,JAZZ,LOFI",4,782,5,10:36,https://i1.sndcdn.com/artworks-fryyTDM2WyR2DKBA-QI4BwQ-t500x500.png,Daddy's a Creep,L-56,2025-07-06 22:28,"BLUESsutra,BURLESQUEsutra,FOTUS CIRCUS Playlist An American Freaks Show,MANTRAsutra,QUACKsutra : FOTUS Circus,QUACKsutra where we sing FU",checked
Darling EP,https://soundcloud.com/bananasutra/sets/arthur-darling,,1,BOWsutra,INDIE,INDIE,4,1555,22,13:47,https://i1.sndcdn.com/artworks-sm0RyWK8U9ogWbAR-vvmBLg-t500x500.png,Darling,L-57,2024-11-20 21:30,"BOWsutra : DEATH (is nothing),BOWsutra the last of 7 sutras · it's divine <3,INDIEsutra,JAZZsutra,MANTRAsutra",checked
DEFY (Vol 2) - 3 Songs EPx6 - BLOWsutra Revolution Ring LoFi Jazz Fusion,https://soundcloud.com/bananasutra/sets/defy-vol-2-3-songs-epx6-blowsutra-revolution-ring-lofi-jazz-fusion,,2,BLOWsutra,"BURLESQUE,JAZZ,LOFI","BURLESQUE,JAZZ,LOFI,PSYCHEDELIC,TRIP HOP",7,7668,50,19:37,https://i1.sndcdn.com/artworks-ZOzjbG3qBNgMzOWS-9LnxjQ-t500x500.png,"Shameless (DEFY),Optics Of Cruelty (DEFY),Universal Currency","L-219,L-275,L-177",2026-01-08 07:26,"BLOWsutra,BURLESQUEsutra,JAZZsutra,LOFIsutra",checked
DEFY ✰ 3 Songs EPx7 ✰ BLOWsutra Jazzy Folk Lo-Fi BLUES,https://soundcloud.com/bananasutra/sets/defy-3-songs-epx7-blowsutra-jazzy-folk-lo-fi-blues,,1,BLOWsutra,"BLUES,FOLK,JAZZ,LOFI","BLUES,FOLK,JAZZ,LOFI,TRIP HOP",7,1529,11,21:43,https://i1.sndcdn.com/artworks-YZdPzrWX9SlHjJ6q-GKzInQ-t500x500.png,"Shameless (DEFY),Optics Of Cruelty (DEFY),Universal Currency","L-219,L-275,L-177",2025-07-25 09:45,"BLOWsutra,BLOWsutra : REVOLT (now),BLUESsutra,LOFIsutra",checked
Do Panic Now ✝ GROWsutra EPx13,https://soundcloud.com/bananasutra/sets/do-panic-now-growsutra-epx13,,1,BLOWsutra,"DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA","DUB,FOLK,GIPSY,INDIE,JAZZ,LOFI,MANTRA,RAGGA",13,2551,18,35:43,https://i1.sndcdn.com/artworks-BsO5CMcHbZ0M93kT-isQTpA-t500x500.png,Do Panic Now,L-61,2025-06-29 05:49,"BLOWsutra : REVOLT (now),DUBsutra,FOLKsutra,INDIEsutra,JAZZsutra,LOFIsutra,MANTRAsutra",checked
Donkeys Years - SHOWsutra Fanana Club Gratitude EPx20,https://soundcloud.com/bananasutra/sets/donkeys-years-showsutra-fanana-club-gratitude-epx20,,1,GLOWsutra,"BURLESQUE,DUB,INDIE,JAZZ,LOFI,ROCK","BURLESQUE,CABARET,DUB,FLAMENCO,GIPSY,INDIE,JAZZ,LOFI,PSYCHEDELIC,RAGGA,ROCK",20,10851,103,59:12,https://i1.sndcdn.com/artworks-09nrbUudNilo3UyQ-Qz1LzA-t500x500.png,Donkeys Years,L-63,2025-12-09 00:16,"BURLESQUEsutra,INDIEsutra,JAZZsutra,LOFIsutra,SHOWsutra : FANANA Club,SHOWsutra where bananas play",checked
Double Standards EPx3 VOL. 1 • BURLESQUEsutra,https://soundcloud.com/bananasutra/sets/double-standards-epx3-burlesquesutra,,1,GROWsutra,BURLESQUE,BURLESQUE,3,610,10,9:59,https://i1.sndcdn.com/artworks-EbCkPt5OXsQDVEWJ-qwqVYw-t500x500.jpg,Double Standards,L-64,2025-01-22 09:24,"BLOWsutra,BLOWsutra : APES (gone wrong),BURLESQUEsutra,DUBsutra,JAZZsutra,KNOWsutra where questions matter",checked
Double Standards EPx4 VOL. 2 ★ BLOWsutra LOFI,https://soundcloud.com/bananasutra/sets/double-standards-ep-4-vol-2,,2,BLOWsutra,"FOLK,LOFI","FOLK,LOFI",4,755,4,12:16,https://i1.sndcdn.com/artworks-CzCzt9mTlZWzjTqp-8FLR4g-t500x500.png,Double Standards,L-64,2025-04-02 05:42,"FOLKsutra,GROWsutra : DARE (to care),GROWsutra where we be brave,JAZZsutra,MANTRAsutra",checked
Dressed in (nothing butt) Wonder ★ Exxxplore and Play (EP) x16 Bananas,https://soundcloud.com/bananasutra/sets/dressed-in-nothing-butt-wonder-exxxplore-and-play-ep-x16-bananas,,1,SHOWsutra,"BURLESQUE,DUB,FOLK","BURLESQUE,DUB,FOLK,RAGGA",16,3236,35,48:15,https://i1.sndcdn.com/artworks-1DyhYd51j78cqPch-AJYylQ-t500x500.png,Dressed In (Nothing Butt) Wonder,L-65,2025-04-06 22:50,"BANJOsutra,BLUESsutra,SHOWsutra : FANANA Club,SHOWsutra where bananas play",checked
Dump Trump EPx4 🪦 BLOWsutra Burlesque ROCK,https://soundcloud.com/bananasutra/sets/dump-trump-epx4-blowsutra-burlesque-rock,,1,BLOWsutra,"BURLESQUE,LOFI,MANTRA,ROCK","BURLESQUE,LOFI,MANTRA,PUNK,ROCK",4,719,5,12:41,https://i1.sndcdn.com/artworks-j9D9XVaWNRVgQ3WS-Ns1zng-t500x500.png,Dump Trump,L-66,2025-09-04 20:33,"LOFIsutra,QUACKsutra : DUCK (shady),QUACKsutra where we sing FU,ROCKsutra",checked
Easy (Death Is Nothing At All) ❣ BOWsutra EPx9,https://soundcloud.com/bananasutra/sets/easy-death-is-nothing-at-all-bowsutra-epx9,,1,BOWsutra,"BANJO,BLUES,DUB,INDIE","BANJO,BLUES,DUB,INDIE",9,2017,25,32:39,https://i1.sndcdn.com/artworks-bzZBqdfk2aR7Mc8I-ba7MdA-t500x500.png,Easy (Death Is Nothing At All),L-67,2025-09-26 19:38,"BLUESsutra,BOWsutra : DEATH (is nothing),BOWsutra the last of 7 sutras · it's divine <3,DUBsutra,INDIEsutra",checked
Ego Ain't Your Amigo • Vol. 2 · EPx21 • BLOWsutra (Ego Gone Loco)  Dub LoFi Burlesque,https://soundcloud.com/bananasutra/sets/ego-aint-your-amigo-vol2-epx21-blowsutra-dub-lofi,,2,BLOWsutra,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK","BLUES,BURLESQUE,DUB,FLAMENCO,FOLK,GIPSY,HIP HOP,INDIE,JAZZ,LOFI,PSYCHEDELIC,PUNK,ROCK",21,27570,286,1:24:25,https://i1.sndcdn.com/artworks-qfOVhmHG1WJJqjc9-k1w2VA-t500x500.png,Ego Ain't Your Amigo,L-68,2026-02-23 04:45,"BLOWsutra,BLOWsutra : EGO (gone loco),BLUESsutra,BURLESQUEsutra,DUBsutra,LOFIsutra",checked
Ego Ain't Your Amigo ⭐︎ EPx14 VOL. 01 ⭐︎ True Tales of BLUESsutra,https://soundcloud.com/bananasutra/sets/ego-aint-your-amigo-epx14-vol-01-true-tales-of-bluessutra,,1,BLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ","BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ",14,2694,22,44:22,https://i1.sndcdn.com/artworks-6Al7JWcSGShXvOzO-NMakyQ-t500x500.jpg,Ego Ain't Your Amigo,L-68,2025-04-16 03:50,"BANJOsutra,BLUESsutra,BURLESQUEsutra,DUBsutra,FOLKsutra,FOTUS CIRCUS Playlist An American Freaks Show,GROWsutra where we be brave,JAZZsutra,KNOWsutra where questions matter,QUACKsutra : DUCK (shady),QUACKsutra where we sing FU",checked
EGO's Masquerade • EPx4 • BLOWsutra Tzigane Trip Hop Lo-Fi INDIE,https://soundcloud.com/bananasutra/sets/egos-masquerade-epx4-tzigane-trip-hop-lo-fi-indie,,1,BLOWsutra,"INDIE,LOFI","INDIE,LOFI,TRIP HOP",4,839,14,19:03,https://i1.sndcdn.com/artworks-JnuEvmR6UOwtbaIM-AYNThw-t500x500.png,EGO's Masquerade,L-69,2025-08-26 03:00,"BLOWsutra,BLOWsutra : EGO (gone loco),MANTRAsutra",checked
El Papito Leo Es No MAGA Show ☰ KNOWsutra EPx6,https://soundcloud.com/bananasutra/sets/el-papito-leo-es-no-maga-show-knowsutra-epx6,,1,GROWsutra,"DUB,INDIE,JAZZ","DUB,INDIE,JAZZ",6,3633,24,15:38,https://i1.sndcdn.com/artworks-pO4mbYYB5FWshxlE-Emrw6Q-t500x500.png,El Papito (Es No MAGA Show),L-70,2025-06-23 22:28,"DUBsutra,GROWsutra : GOD (etc),INDIEsutra,JAZZsutra",checked
