playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url,scplaylist_in_app
GLOWsutra : POET(ry),https://soundcloud.com/bananasutra/sets/glowsutra-poet-ry,GLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI,MANTRA",10,5873,74,36:45,https://i1.sndcdn.com/artworks-OV8ZRGizQyraCB7N-C8HWOQ-t500x500.png,checked
GLOWsutra : RAINBOWS (in my clouds),https://soundcloud.com/bananasutra/sets/glowsutra-rainbows-in-my,GLOWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,JAZZ,LOFI",8,12225,159,21:33,https://i1.sndcdn.com/artworks-OuzjTqyXc8wz8Uv9-0cXu0Q-t500x500.png,checked
GLOWsutra where gratitude feeds,https://soundcloud.com/bananasutra/sets/sutraglow,GLOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",55,58028,644,3:02:21,https://i1.sndcdn.com/artworks-RvPg90tJzDpSlPKh-ns1cUw-t500x500.png,checked
GROWsutra : DARE (to care),https://soundcloud.com/bananasutra/sets/growsutra-dare-to-care,GROWsutra,"BANJO,BLUES,DUB,FOLK,INDIE,LOFI,MANTRA",4,4330,46,13:29,https://i1.sndcdn.com/artworks-qhqHRqMMeCjATzsp-RQ8fQQ-t500x500.png,checked
GROWsutra : GOD (etc),https://soundcloud.com/bananasutra/sets/growsutra-god-etc,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,JAZZ,LOFI,MANTRA,ROCK",16,21509,253,49:04,https://i1.sndcdn.com/artworks-eYKRlb3V6IdPR1u7-GGSyjw-t500x500.png,checked
GROWsutra : KIND(ness),https://soundcloud.com/bananasutra/sets/growsutra-kind-ness,GROWsutra,"BLUES,BURLESQUE,FOLK,INDIE,JAZZ,LOFI",13,12646,105,42:52,https://i1.sndcdn.com/artworks-FCpNyoKfIRn6bNzD-59cLWg-t500x500.png,checked
GROWsutra where we be brave,https://soundcloud.com/bananasutra/sets/sutragrow,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",119,143688,1466,6:43:57,https://i1.sndcdn.com/artworks-EIMomqQ3VHc9dl93-DvcAsA-t500x500.png,checked
INDIEsutra,https://soundcloud.com/bananasutra/sets/indiesutra-2,,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",80,82873,834,4:47:44,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png,checked
JAZZsutra,https://soundcloud.com/bananasutra/sets/jazzsutra,,"BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",84,104423,1226,4:57:26,https://i1.sndcdn.com/artworks-QRaUbtlHanDIuOON-8Hr9pg-t500x500.png,checked
KNOWsutra : (naked) TRUTH,https://soundcloud.com/bananasutra/sets/knowsura-naked-truth,KNOWsutra,"BLUES,BURLESQUE,DUB,INDIE,LOFI",12,17085,331,41:42,https://i1.sndcdn.com/artworks-aUUxzKo6oEXsOIfq-vtqUJA-t500x500.png,checked
KNOWsutra : BERTRAND (mon chéri),https://soundcloud.com/bananasutra/sets/knowsutra-bertrand-mon-cheri,KNOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",11,19635,258,40:05,https://i1.sndcdn.com/artworks-dpot7zmJbp98Q8za-Swn1Rg-t500x500.png,checked
KNOWsutra : PEACE (not War),https://soundcloud.com/bananasutra/sets/knowsutra-peace-not-war,KNOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA",30,42652,441,1:49:24,https://i1.sndcdn.com/artworks-0YzGiltzEidfTrxR-osiLXg-t500x500.png,checked
KNOWsutra : but(t) WHY,https://soundcloud.com/bananasutra/sets/knowsutra-but-t-why,KNOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",9,15040,168,28:42,https://i1.sndcdn.com/artworks-L6uXyHUyGsqH0ZAv-cvmeZg-t500x500.png,checked
KNOWsutra where questions matter,https://soundcloud.com/bananasutra/sets/sutraknow,KNOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",101,118451,1375,5:42:13,https://i1.sndcdn.com/artworks-NK0wy8xSKMBP4LSI-DlE3WA-t500x500.png,checked
LOFIsutra,https://soundcloud.com/bananasutra/sets/lofisutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",98,124273,1199,5:06:01,https://i1.sndcdn.com/artworks-iPtXxjIVQyjzpElZ-rzZZyw-t500x500.png,checked
MANTRAsutra,https://soundcloud.com/bananasutra/sets/mantrasutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA",15,9112,114,51:32,https://i1.sndcdn.com/artworks-OV8ZRGizQyraCB7N-C8HWOQ-t500x500.png,checked
OUI OUI : Pardon (my French),https://soundcloud.com/bananasutra/sets/oui-oui-pardon-my-french,,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI,MANTRA",22,29957,293,1:15:30,https://i1.sndcdn.com/artworks-e0sOW6yRL70L2ZRD-C8tirQ-t500x500.png,checked
Playlist Sidération Gone Bananas x29,https://soundcloud.com/bananasutra/sets/playlist-sideration-gone-bananas,BLOWsutra,"BLUES,JAZZ,LOFI",11,6227,56,34:44,https://i1.sndcdn.com/artworks-58HtMVlI0dnLHSez-V8vJyA-t500x500.png,checked
QUACKsutra : DUCK (shady),https://soundcloud.com/bananasutra/sets/quacksutra-duck-shady,QUACKsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",12,5060,58,39:56,https://i1.sndcdn.com/artworks-301rwrEjz0M0tuZV-1dVJMg-t500x500.png,checked
QUACKsutra : FOTUS Circus,https://soundcloud.com/bananasutra/sets/quacksutra-fotus-circus,QUACKsutra,"BANJO,BURLESQUE,DUB,FOLK,INDIE,LOFI,ROCK",8,6181,52,25:12,https://i1.sndcdn.com/artworks-PbQdusXHHfL2vzQG-PVycmg-t500x500.png,checked
QUACKsutra where we sing FU,https://soundcloud.com/bananasutra/sets/ducksutra-where-we-sing-fu,QUACKsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",71,56372,534,3:58:05,https://i1.sndcdn.com/artworks-FCpNyoKfIRn6bNzD-59cLWg-t500x500.png,checked
Questions for the (kind) POPE in the Sky,https://soundcloud.com/bananasutra/sets/questions-for-the-pope-in-the-sky,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",21,19975,174,1:04:44,https://i1.sndcdn.com/artworks-AW1E67BzmypJfRI1-6hZzEg-t500x500.png,checked
ROCKsutra,https://soundcloud.com/bananasutra/sets/rocksutra,,"BURLESQUE,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",17,12984,124,57:45,https://i1.sndcdn.com/artworks-RvPg90tJzDpSlPKh-ns1cUw-t500x500.png,checked
SHOWsutra : B.J. (is for Banana Jesters),https://soundcloud.com/bananasutra/sets/showsutra-b-j-is-for-banana,SHOWsutra,"BANJO,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",4,1406,19,14:20,https://i1.sndcdn.com/artworks-yoEMRKS82rZVyqki-15yXGg-t500x500.png,checked
SHOWsutra : FANANA Club,https://soundcloud.com/bananasutra/sets/showsutra-fanana-club,SHOWsutra,"BANJO,BURLESQUE,FOLK,INDIE,JAZZ,LOFI",11,7101,95,38:42,https://i1.sndcdn.com/artworks-09nrbUudNilo3UyQ-Qz1LzA-t500x500.png,checked
SHOWsutra where bananas play,https://soundcloud.com/bananasutra/sets/sutrashow-where-bananas-get,SHOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",57,58038,631,3:22:21,https://i1.sndcdn.com/artworks-QRaUbtlHanDIuOON-8Hr9pg-t500x500.png,checked
SHOWsutra: (shades of) FOOLS,https://soundcloud.com/bananasutra/sets/showsutra-shades-of-fools,SHOWsutra,"BURLESQUE,DUB,INDIE,JAZZ,LOFI",5,4324,61,15:23,https://i1.sndcdn.com/artworks-oX7ZY3z8JzrLVWyA-Iz5Tsg-t500x500.png,checked
SINGLEsutra Exclusive SoundCloud (woo),https://soundcloud.com/bananasutra/sets/singlesutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",20,16711,227,1:01:11,https://i1.sndcdn.com/artworks-if82lONCI5YhLq5y-CMulEA-t500x500.png,checked
WORLDsutra : Russian(ish),https://soundcloud.com/bananasutra/sets/worldsutra-russian-ish,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,LOFI,ROCK",6,3827,48,23:38,https://i1.sndcdn.com/artworks-acFrdgqIA6o30Zzp-mlZM9A-t500x500.png,checked
WORLDsutra : SPAN(k)ish,https://soundcloud.com/bananasutra/sets/worldsutra-span-k-ish,,"INDIE,WORLD,DUB,JAZZ,MANTRA",4,3154,36,15:03,https://i1.sndcdn.com/artworks-DQAHMhBcDTcoVFfl-BTKWAA-t500x500.png,checked
