songbook,url_slug_songbook,url_songbook_locked,status,songbook_type,songbook_in_app,landr_url,sutras,secondary_sutra,topics_primary,description,songbook_id,sutra_id_rollup,songbook_art_url,sc_playlist_url
Bow: (Thank) Dogs,bow-thank-dogs,checked,REVIEW,sutra,checked,https://app.landr.com/library/folder/5c9e5bb3-a1fb-4830-b57a-2559061589a6,BOWsutra,GLOWsutra,WISDOM,Love songs for the creatures who never needed instructions on unconditional love. Who's a good soul? You are.,G-07-DOGS,07-BOW,https://i1.sndcdn.com/artworks-Y8QjM6vfVoY5XyEi-axwodQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/bowsutra-thank-dogs
Bow: Cosmic Bananas,bow-cosmic-bananas,checked,REVIEW,sutra,,https://app.landr.com/library/folder/4aea05c9-ac4d-402f-b74c-9acadaf7b4e2,BOWsutra,KNOWsutra,WISDOM,"Carl Sagan and Simone Weil agree... ultimately, life is all about the cosmic magic of Gravity and Grace.",G-07-WISE,07-BOW,,
BLUESsutra (Best Off),blues-best-of,checked,,genre,checked,,,,,,G-00-BLUES,,,
BURLESQUEsutra (Best Off),burlesque-best-of,checked,,genre,checked,,,,,,G-00-BURL,,,
DUBsutra (Best Of),dub-best-of,checked,IDEA,genre,checked,,,,,,G-00-DUB,,,
FOLKsutra (Best Of),folk-best-of,checked,,genre,checked,,,,,,G-00-FOLK,,,
INDIEsutra (Best Of),indie-best-of,checked,,genre,checked,,,,,,G-00-INDI,,,
JAZZsutra (Best Of),jazz-best-of,checked,,genre,checked,,,,,,G-00-JAZZ,,,
LOFIsutra (Best Of),lofi-best-of,checked,,genre,checked,,,,,,G-00-LOFI,,,
MANTRAsutra (Best Of),mantra-best-of,checked,,genre,checked,,,,,,G-00-MANT,,,
ROCKsutra (Best Of),rock-best-of,checked,,genre,checked,,,,,,G-00-ROCK,,,
WORLDsutra (Best Of),world-best-of,checked,,genre,checked,,,,,,G-00-WORL,,,
World: SPANISHsutra,lang-spanishs,checked,OPEN,language,checked,https://app.landr.com/library/folder/e6b9fd1f-a639-4c11-b2d8-a873ec46e16d,,,,"¡Sí, sí! 💃🏻",G-lang-ES,,https://i1.sndcdn.com/artworks-V4ORYqjXscpH76UU-11PylA-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/worldsutra-span-k-ish
World: FRENCHsutra,lang-french,checked,REVIEW,language,checked,https://app.landr.com/library/folder/e505b945-061d-481e-8e37-baaded4e7e67,,,,Oui oui 🍟,G-lang-FR,,https://i1.sndcdn.com/artworks-GLa538X1fUoCj8Yg-p3dNGg-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/oui-oui-pardon-my-french
World: RUSSIANsutra,lang-russian,checked,OPEN,language,checked,https://app.landr.com/library/folder/3ce2febb-6b5f-4c83-98fd-8204e8b3af55,,,,"Да, да 🪆",G-lang-RU,,https://i1.sndcdn.com/artworks-TUnq5K6T9gz6Lzs5-hw6yjw-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/worldsutra-russian-ish
EP: Criminals,,checked,LIVE,collection,,,BLOWsutra,KNOWsutra,INJUSTICE,"When the rules shift, who decides who the criminal is? A bilingual meditation, in English and French, on the question that keeps getting more relevant.",G-02-CRIM,02-BLOW,,
EP: DEFY,,checked,LIVE,collection,,,BLOWsutra,GROWsutra,POOLITICS,"A playlist built for the days you'd rather not comply. Loud, principled, and stubbornly here.",G-02-DEFY,02-BLOW,,
EP: Sidération,,checked,LIVE,collection,,,BLOWsutra,BOWsutra,INJUSTICE,"A four-part series named for the French word for the freeze-in-the-marrow... like, when something is so wrong your soul slips on a banana peel. Volumes 1–4, in ascending disbelief.",G-02-SIDE,02-BLOW,https://i1.sndcdn.com/artworks-5zDi1XtdvEsTf986-eFnsyw-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/playlist-sideration-gone-bananas
EP: Peachy,,checked,IDEA,collection,,,FLOWsutra,GLOWsutra,BEAUTY,"Psychedelic peaches, jazzy white rabbits, and the kind of intimacy that doesn't need explaining. Prickly is good, sometimes.",G-03-KINK,05-FLOW,,
EP: Best Teacher Award,,checked,LIVE,collection,,,BOWsutra,GLOWsutra,WISDOM,Because sometimes the best teacher isn't in a classroom. Sometimes it's love. Sometimes it's death. Usually both.,G-07-PROF,07-BOW,https://i1.sndcdn.com/artworks-naxN1Ew2hxBmEiva-OlsMuQ-t1080x1080.jpg,https://soundcloud.com/bananasutra/sets/best-teacher-award-in-love-death-indie-lofi-epx3-vol-1-bowsutra
Bunch: SINGLES,singlesutra,checked,LIVE,collection,checked,,,,,"Because sometimes, you just fall in love with  a particular song, and go with it... you know? ",G-SINGLES,,,
