playlist_name,playlist_url,sutra,genres,track_count,total_plays,total_likes,duration_total,artwork_url,sc_playlist_type,scplaylist_in_app,songbook_id
OUI OUI : Pardon (my French),https://soundcloud.com/bananasutra/sets/oui-oui-pardon-my-french,,"BLUES,BURLESQUE,DUB,INDIE,JAZZ,LOFI,MANTRA",29,31652,318,1:40:08,https://i1.sndcdn.com/artworks-e0sOW6yRL70L2ZRD-C8tirQ-t500x500.png,sutra,checked,G-lang-FR
Playlist Sidération Gone Bananas x29,https://soundcloud.com/bananasutra/sets/playlist-sideration-gone-bananas,BLOWsutra,"BLUES,JAZZ,LOFI",29,9880,76,1:28:13,https://i1.sndcdn.com/artworks-58HtMVlI0dnLHSez-V8vJyA-t500x500.png,collection,,G-02-SIDE
QUACKsutra : DUCK (shady),https://soundcloud.com/bananasutra/sets/quacksutra-duck-shady,QUACKsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",26,7986,96,1:23:23,https://i1.sndcdn.com/artworks-301rwrEjz0M0tuZV-1dVJMg-t500x500.png,sutra,checked,G-02-DUC
QUACKsutra : FOTUS Circus,https://soundcloud.com/bananasutra/sets/quacksutra-fotus-circus,QUACKsutra,"BANJO,BURLESQUE,DUB,FOLK,INDIE,LOFI,ROCK",15,7601,68,0:45:21,https://i1.sndcdn.com/artworks-PbQdusXHHfL2vzQG-PVycmg-t500x500.png,sutra,checked,G-02-CIRC
QUACKsutra where we sing FU,https://soundcloud.com/bananasutra/sets/ducksutra-where-we-sing-fu,QUACKsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",282,96532,884,15:22:45,https://i1.sndcdn.com/artworks-FCpNyoKfIRn6bNzD-59cLWg-t500x500.png,sutra (all),,
Questions for the (kind) POPE in the Sky,https://soundcloud.com/bananasutra/sets/questions-for-the-pope-in-the-sky,GROWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",98,34168,301,5:01:39,https://i1.sndcdn.com/artworks-AW1E67BzmypJfRI1-6hZzEg-t500x500.png,collection,,
ROCKsutra,https://soundcloud.com/bananasutra/sets/rocksutra,,"BURLESQUE,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",91,26994,230,4:48:01,https://i1.sndcdn.com/artworks-RvPg90tJzDpSlPKh-ns1cUw-t500x500.png,genre (all),,G-00-ROCK
ROCKsutra (Best Of),https://soundcloud.com/bananasutra/sets/rocksutra-best-of,,,3,7106,70,0:10:59,https://i1.sndcdn.com/artworks-EIMomqQ3VHc9dl93-DvcAsA-t500x500.png,,,
SHOWsutra : B.J. (is for Banana Jesters),https://soundcloud.com/bananasutra/sets/showsutra-b-j-is-for-banana,SHOWsutra,"BANJO,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI",9,3309,37,0:30:16,https://i1.sndcdn.com/artworks-yoEMRKS82rZVyqki-15yXGg-t500x500.png,sutra,checked,G-03-BJ
SHOWsutra : FANANA Club,https://soundcloud.com/bananasutra/sets/showsutra-fanana-club,SHOWsutra,"BANJO,BURLESQUE,FOLK,INDIE,JAZZ,LOFI",20,9105,116,1:07:12,https://i1.sndcdn.com/artworks-09nrbUudNilo3UyQ-Qz1LzA-t500x500.png,sutra,checked,G-03-FANA
SHOWsutra where bananas play,https://soundcloud.com/bananasutra/sets/sutrashow-where-bananas-get,SHOWsutra,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,ROCK",241,99389,966,13:43:02,https://i1.sndcdn.com/artworks-QRaUbtlHanDIuOON-8Hr9pg-t500x500.png,sutra (all),,
SHOWsutra: (shades of) FOOLS,https://soundcloud.com/bananasutra/sets/showsutra-shades-of-fools,SHOWsutra,"BURLESQUE,DUB,INDIE,JAZZ,LOFI",6,1692,23,0:18:45,https://i1.sndcdn.com/artworks-oX7ZY3z8JzrLVWyA-Iz5Tsg-t500x500.png,sutra,checked,G-03-FOOL
SINGLEsutra Exclusive SoundCloud (woo),https://soundcloud.com/bananasutra/sets/singlesutra,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,JAZZ,LOFI,MANTRA,ROCK",45,21896,281,2:17:26,https://i1.sndcdn.com/artworks-if82lONCI5YhLq5y-CMulEA-t500x500.png,collection,checked,G-SINGLES
WORLDsutra (Best Of),https://soundcloud.com/bananasutra/sets/worldsutra-best-of,,,2,3085,37,0:06:54,https://i1.sndcdn.com/artworks-EIMomqQ3VHc9dl93-DvcAsA-t500x500.png,,,
WORLDsutra : Russian(ish),https://soundcloud.com/bananasutra/sets/worldsutra-russian-ish,,"BANJO,BLUES,BURLESQUE,DUB,FOLK,INDIE,LOFI,ROCK",15,5782,66,1:01:23,https://i1.sndcdn.com/artworks-acFrdgqIA6o30Zzp-mlZM9A-t500x500.png,collection,checked,G-lang-RU
WORLDsutra : SPAN(k)ish,https://soundcloud.com/bananasutra/sets/worldsutra-span-k-ish,,"INDIE,WORLD,DUB,JAZZ,MANTRA",4,3173,37,0:15:03,https://i1.sndcdn.com/artworks-DQAHMhBcDTcoVFfl-BTKWAA-t500x500.png,collection,checked,G-lang-ES
