ep_title,lyrics_title,lyrics_id,sutra,ep_songbook_title,ep_total_tracks,total_plays,total_likes,plays_per_track,likes_per_track,ep_engagement_rate
Queer Almighty (Holy Questions Matter) - EPx16 VOL. 02,Queer Almighty,L-198,GROWsutra,Dare: GOD (etc.),16,9374,66,585.9,4.12,0.7041
Poetry Nah Lie ☲ EPx6 Vol.01 ☲ DUBsutra,Poetry Nah Lie,L-190,GLOWsutra,Bless: POET(ry),6,3454,39,575.7,6.5,1.1291
Hey · Creeps • EPx20 • BLOWsutra Ego Gone Loco,"Hey, Creeps",L-97,BLOWsutra,Speak: APES (gone wrong),20,11267,88,563.4,4.4,0.781
Donkeys Years - SHOWsutra Fanana Club Gratitude EPx20,Donkeys Years,L-63,GLOWsutra,Bless: RAINBOWS (in my clouds),20,11144,101,557.2,5.05,0.9063
Gladys in Sonderland EPx14 • SHOWsutra Psychedelic Gipsy Dream,Gladys in Sonderland,L-88,SHOWsutra,Play: FANANA (party),14,7783,69,555.9,4.93,0.8865
Secret de Polichinelle 🎪 French EPx10 🎪 KNOWsutra Psychedelic Gipsy Circus,Secret De Polichinelle,L-212,BLOWsutra,"Speak: CENSOR(ed),World: FRENCHsutra",10,5547,55,554.7,5.5,0.9915
Because the Light ☉ EPx4 VOL.01,Because The Light,L-27,KNOWsutra,Dare: DARE (to care),4,2198,20,549.5,5.0,0.9099
Read Me Harder (BB is for Banned Books) ☆ SHOWsutra Side A+B EPx19,Read Me Harder (BB is for Banned Books),L-203,SHOWsutra,Speak: CENSOR(ed),19,9760,68,513.7,3.58,0.6967
Glitter on a Turd ❯ GROWsutra Banana Cabaret EPx5,Glitter On A Turd,L-89,GROWsutra,Dare: KIND(ness),5,2527,28,505.4,5.6,1.108
My Quest • EPx6 Vol. 2 • GLOWsutra Jacques Brel Dream,My Quest,L-163,GLOWsutra,Bless: RAINBOWS (in my clouds),6,3009,16,501.5,2.67,0.5317
Creo (La Poesia) ☘ EPx10 VOL.01 ☘ Bananasutra En Español,Creo (La Poesia),L-51,GLOWsutra,Bless: POET(ry),10,4993,49,499.3,4.9,0.9814
Blessed Be Your Voice ⭐︎ GROWsutra Vol. 02 EPx19,Blessed Be Your Voice,L-34,GROWsutra,Dare: DARE (to care),19,9444,120,497.1,6.32,1.2706
Sidération Blues - A Song of Wrong - EPx7 Vol 3 of 4,Sidération Blues,L-225,BLOWsutra,"Speak: REVOLT (now),EP: Sidération",7,3395,31,485.0,4.43,0.9131
The Conquest of Happiness (according to Bertrand Russel) ☰ 2 Songs EPx10 ☰ KNOWsutra,,"L-393,L-244",KNOWsutra,Ask: BERTRAND (knows),10,4746,50,474.6,5.0,1.0535
MASA (Make America Safe Again) ✮ EPX12 ✮ QUACKsutra Psychedelic BANJO,MASA (Make America Safe Again),L-326,QUACKsutra,Quack: MAxxxA Saga,12,5479,37,456.6,3.08,0.6753
FOTUS CIRCUS ★ VOL.4 EPx9 ★ BURLESQUEsutra,FOTUS Circus: Angels Eyes,L-81,QUACKsutra,Quack: FOTUS Circus,9,4088,21,454.2,2.33,0.5137
But(t) How Can You? GROWsutra (Dare to Care) EPx10,But(t) How Can You?,L-40,GROWsutra,Ask: But(t) WHY,10,4516,18,451.6,1.8,0.3986
RUN (now · if you can),RUN (Now If You Can),L-210,QUACKsutra,Quack: DUCK (shady),22,9711,84,441.4,3.82,0.865
Bo Burnham Gone Bananas 🍌 COVERsutra Vaudeville Indie JAZZ EPx11,Bo Burnham Covers,L-37,SHOWsutra,Play: FANANA (party),11,4839,52,439.9,4.73,1.0746
Grifters • BLOWsutra (Apes Gone Wrong) EPx14,Grifters,L-90,BLOWsutra,Speak: APES (gone wrong),14,6045,60,431.8,4.29,0.9926
Seminal Bollocks EP,Seminal Bollocks,L-214,GROWsutra,Dare: GOD (etc.),2,834,18,417.0,9.0,2.1583
Question the Nation • EPx10 • BLOWsutra Psychedelic Dub Revolution,Question The Nation,L-200,BLOWsutra,Ask: BERTRAND (knows),10,4139,45,413.9,4.5,1.0872
All I Know • Shades of Fools (It's the Why) • KNOWsutra EPx5 Vol. 02,Shades of Fools (All I Know),L-217,KNOWsutra,Ask: (Naked) TRUTH,5,2064,15,412.8,3.0,0.7267
Fluye (como el mar) FLOWsutra,Fluye (como el mar),L-77,FLOWsutra,"Trust: FLY (like water),World: SPANISHsutra",11,4502,40,409.3,3.64,0.8885
Oh · Martine ❃ French GLOW+BOWsutra ❃ Side A+B EPx28,"Oh, Martine",L-173,BOWsutra,"Bow: Death (is nothing),World: FRENCHsutra",28,11453,104,409.0,3.71,0.9081
Oy · We Care 🦆 QUACKsutra Psychedelic Punk Rock Mantra EPx4,"Oy, We Care",L-180,BLOWsutra,Speak: REVOLT (now),4,1619,9,404.8,2.25,0.5559
Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Vol. 02 EPx10 ⭐︎ FLOWsutra Wet JAZZ,Ain't Doing Bad Doing Nothing,L-14,FLOWsutra,Trust: FLY (like water),10,3960,38,396.0,3.8,0.9596
Darling EP,Darling,L-57,BOWsutra,Bow: Death (is nothing),4,1565,22,391.2,5.5,1.4058
Jacques Brel : French EPx9 : GLOWsutra Burlesque Indie Blues Gratitude POET(ry),Jacques Brel,L-118,GLOWsutra,"Bless: RAINBOWS (in my clouds),World: FRENCHsutra",9,3295,30,366.1,3.33,0.9105
La Poesia Importa ♕ EPx7 VOL.01 ♕ Bananasutra En Español,La Poesia Importa,L-133,GLOWsutra,"Bless: POET(ry),World: SPANISHsutra",7,2533,26,361.9,3.71,1.0265
Kids Are Asking ✪ KNOWsutra But(t) Why EPx3,Kids Are Asking,L-124,KNOWsutra,Ask: But(t) WHY,3,1083,2,361.0,0.67,0.1847
Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie LoFi Lullaby EPx2,Awe Is Mighty,L-21,GLOWsutra,Bless: POET(ry),2,713,12,356.5,6.0,1.683
Le Système EP MIX X16 | Bluesy French Jazz,,"L-137,L-136",BLOWsutra,"Speak: APES (gone wrong),World: FRENCHsutra",17,6045,81,355.6,4.76,1.34
SynthemaSutra ♆ SHOWsutra Banana EPx8,SynthemaSutra,L-237,SHOWsutra,Play: FANANA (party),8,2833,27,354.1,3.38,0.9531
Who's Your Vladdy? EPx2 VOL.02 ☿ BLOWsutra World Peace LOFI + ROCK,Who's Your Vladdy?,L-302,QUACKsutra,Quack: DUCK (shady),2,698,9,349.0,4.5,1.2894
Sidération - The Sky Stood Still - EPx6 VOL. 2 of 4,Sidération (The Sky Stood Still),L-224,BLOWsutra,"Speak: REVOLT (now),EP: Sidération",6,2047,20,341.2,3.33,0.977
Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25,Make Amurica Gulag Again (MAGA),L-151,BLOWsutra,Quack: MAxxxA Saga,25,8436,87,337.4,3.48,1.0313
If We Had But(t) The Truth ☲ Easterican Profanities EPx5 ☲ QUACKsutra,If We Had But(t) The Truth,L-114,QUACKsutra,Speak: CENSOR(ed),5,1617,17,323.4,3.4,1.0513
Tune in the Tender ☲ #GROWsutra EPx9,Tune In The Tender,L-273,GROWsutra,Dare: KIND(ness),9,2896,31,321.8,3.44,1.0704
Men-Oh-Pause 🩸 KNOWsutra EPx14,Men-Oh-Pause,L-159,BLOWsutra,Speak: APES (gone wrong),14,4479,44,319.9,3.14,0.9824
Hereby · I Cry ☠ BLOWsutra EPx5,"Hereby, I Cry",L-96,GROWsutra,Dare: DARE (to care),5,1575,23,315.0,4.6,1.4603
Trust No One EP x3 VOL.1 ☆ BLOWsutra Alternative Indie ROCK,Trust No One,L-270,BLOWsutra,Speak: APES (gone wrong),3,945,12,315.0,4.0,1.2698
Creepy Con Meme EPX2 • Dicky Ducky DUBsutra,Creepy Con Meme,L-48,QUACKsutra,Quack: DUCK (shady),2,623,5,311.5,2.5,0.8026
It's Enshittification · Darling • BLOWsutra (Apes Gone Wrong) True Crime Story EPx12,"It's Enshittification, Darling",L-391,BLOWsutra,Speak: APES (gone wrong),12,3735,39,311.2,3.25,1.0442
A Man's a Man and A' That (à la bananasutra) EPx3 - VOL. 02 - Revolution Forever,A Man's a Man and A' That,L-5,BLOWsutra,Speak: REVOLT (now),3,933,9,311.0,3.0,0.9646
Sidération's Calling - White House's Burning - EPx13 Vol 4 of 4,Sidération's Calling,L-226,BLOWsutra,"Speak: REVOLT (now),EP: Sidération",13,4011,23,308.5,1.77,0.5734
The Courage To Care • GROWsutra (Kindness) EPx7,The Courage To Care,L-318,GROWsutra,Dare: KIND(ness),7,2123,23,303.3,3.29,1.0834
MAKA MAKA EPx7 ⭐︎ MAxA Series · Vol. 4,MAKA (Make America Kind Again),L-150,QUACKsutra,Quack: MAxxxA Saga,7,2114,14,302.0,2.0,0.6623
Jolly Poo - EPx15 VOL. 01 - Banjo Blues BLOWsutra,Jolly Poo,L-120,BLOWsutra,Speak: EGO (gone loco),15,4437,24,295.8,1.6,0.5409
Reason over Reverence (No need for God) ☷ KNOWsutra EPx6,Reason Over Reverence,L-205,KNOWsutra,Dare: GOD (etc.),6,1769,16,294.8,2.67,0.9045
I Wanna Know • KNOWsutra (Peace Not War)  Mantra EPx17,I Wanna Know,L-424,KNOWsutra,Ask: PEACE (not war),17,4993,73,293.7,4.29,1.462
Kindness Matters - Human Life Soundtrack EP,Kindness,L-126,GROWsutra,Dare: KIND(ness),5,1467,10,293.4,2.0,0.6817
Question di Kingdom ✰ Ragga DUBsutra EPx10,Question Di Kingdom,L-199,KNOWsutra,Ask: BERTRAND (knows),10,2908,24,290.8,2.4,0.8253
Thank you · Mister Paine - American Accountability Revolution Blues EPx3,"Thank you, Mister Paine",L-240,BLOWsutra,Speak: REVOLT (now),3,869,14,289.7,4.67,1.611
Rise Up · You Naked Peoples (Freedom Rings) ☆ BLOWsutra Victor Hugo Revolution Song,"Rise Up, You Naked Peoples (Freedom Rings)",L-209,BLOWsutra,Speak: REVOLT (now),2,573,5,286.5,2.5,0.8726
Woke 'em Whacks EPx4 : BLUES & DUBsutra (Music Therapy),Woke 'em Whacks,L-309,QUACKsutra,Quack: DUCK (shady),4,1143,19,285.8,4.75,1.6623
We Remember What (We Remember What) We Feel☉EPx5 INDIE GROWsutra,We Remember What (We Remember What) We Feel☉,L-283,GROWsutra,Dare: DARE (to care),5,1388,36,277.6,7.2,2.5937
Let’s Do It (Let's Fall in Love) EP • Public Domain Lyrics • JAZZsutra,Let's Do It,L-140,FLOWsutra,Trust: WET (my friend),4,1105,16,276.2,4.0,1.448
When We Duende (All Night) EPx9 ☯ DUB + BURLESQUEsutra,When We Duende (All Night),L-294,SHOWsutra,Trust: WET (my friend),9,2446,21,271.8,2.33,0.8585
Foolish EPx5,Foolish,L-79,FLOWsutra,Ask: PEACE (not war),5,1355,26,271.0,5.2,1.9188
En Vrai · On Est Tous Frères ䷁ FRENCH BLUESsutra EPx5,"En Vrai, On Est Tous Frères",L-71,KNOWsutra,"Ask: PEACE (not war),World: FRENCHsutra",5,1351,24,270.2,4.8,1.7765
FOTUS CIRCUS ★ VOL.3 EPx9 ★ BURLESQUEsutra,FOTUS Circus: Ginsberg Hollow (Horror) Show,L-82,QUACKsutra,Quack: FOTUS Circus,9,2426,16,269.6,1.78,0.6595
Stymy Stymy Yuck : A Story of Old Bastards - EPx5 VOL.1 - DUBsutra,Stymy Stymy Yuck,L-234,QUACKsutra,Quack: DUCK (shady),5,1347,18,269.4,3.6,1.3363
New Normalcy (Planet Earth to Higher Grounds) EP x7,New Normalcy (Planet Earth to Higher Grounds),L-164,KNOWsutra,Ask: (Naked) TRUTH,7,1883,19,269.0,2.71,1.009
HashtagWHY (to be ctd...),HashtagWHY (Sorry Not Sorry),L-94,KNOWsutra,Ask: But(t) WHY,2,536,5,268.0,2.5,0.9328
How to Help a Bible Bro Grow Up · In the name of Religious Freedom,Shush (How To Help A Bible Bro Grow Up),L-222,GROWsutra,Dare: GOD (etc.),7,1865,19,266.4,2.71,1.0188
Prickly Peaches DUBsutra EPx3,Wet (Prickly) Peaches vol.2,L-285,FLOWsutra,"Trust: WET (my friend),EP: Peachy",3,792,8,264.0,2.67,1.0101
CREEPYPASTA (what the hella) ♅ SHOWsutra ♅ EPx23 Side A+B,Creepy Pasta (What The Hella),L-49,SHOWsutra,Play: FANANA (party),27,7104,44,263.1,1.63,0.6194
Tell the Truth EP x4 BLUESsutra,Tell The Truth,L-239,KNOWsutra,Ask: (Naked) TRUTH,5,1315,21,263.0,4.2,1.597
WIN-WIN DUB EPx3 ⚭ French-English GROWsutra Fusion Soul,WIN-WIN (Franglish Dub),L-307,GROWsutra,"Dare: KIND(ness),World: FRENCHsutra",3,779,9,259.7,3.0,1.1553
RHINOCEROSS ♦ EPx7 ♦ BLOWsutra Surreal Real Poetry,Rhinoceross,L-208,BLOWsutra,Speak: APES (gone wrong),7,1814,20,259.1,2.86,1.1025
Courage · Care · and Coconuts © GROWsutra EPx4,"Courage, care, and coconuts",L-46,GROWsutra,Dare: DARE (to care),4,1031,6,257.8,1.5,0.582
Mass Media Freakshow EPx13 VOL.02 ⭐︎ Terrence MCKenna KNOWs ⭐︎ Burlesque or Snooze?,Mass Media Freakshow,L-157,BLOWsutra,Speak: CENSOR(ed),13,3308,19,254.5,1.46,0.5744
Jealousy (not for me) ♡ GROWsutra EPx22,Jealousy (Not For Me),L-119,GROWsutra,Dare: KIND(ness),22,5498,44,249.9,2.0,0.8003
Blessed Be the Dogs ☰ SHOWsutra EPx9 ☰ Post-Punk Burlesque ROCK,Blessed Be The Dogs (SHOWsutra Edition),L-146,BOWsutra,"Bow: (Thank) Dogs,EP: Best Teacher Award",9,2216,32,246.2,3.56,1.444
