ep_title,extracted_song_name,lyrics_id_guess,lyrics_title_guess,confidence,SONGBOOK,"YOUR_CONFIRMED_LYRICS_ID (OLD IDs, use new simpler IDs from lyrics refs)"
Dressed in (nothing butt) Wonder ★ Exxxplore and Play (EP) x16 Bananas,Dressed in (nothing butt) Wonder ★ Exxxplore and Play (EP) x16 Bananas,,Dressed In (Nothing Butt) Wonder,lyrics_title_guess match added,,lookup
Ethical Paradox (Bertrand Undone),Ethical Paradox (Bertrand Undone),,It's An Ethical Paradox,lyrics_title_guess match added,,lookup
"Freee, La Fille • French SHOWsutra Psychedelic EPx10","Freee, La Fille • French Psychedelic",,"Freee, La Fille",lyrics_title_guess match added,,lookup
Glitter on a Turd ❯ GROWsutra Banana Cabaret EPx5,Glitter on a Turd ❯ Banana Cabaret,,Glitter On A Turd,lyrics_title_guess match added,,lookup
Grifters • BLOWsutra (Apes Gone Wrong) EPx14,Grifters • (Apes Gone Wrong),,Grifters,lyrics_title_guess match added,,lookup
Hard Core (Questions that Matter) X5,Hard Core (Questions that Matter) X5,,Hard Core,lyrics_title_guess match added,,lookup
HashtagWHY (to be ctd...),HashtagWHY (to be ctd...),,HashtagWHY (Sorry Not Sorry),lyrics_title_guess match added,,lookup
"Hey, You ✖ EPx8 ✖ BLOWsutra Indie Punk ROCK","Hey, You ✖",,"Hey, You (Creepers)",lyrics_title_guess match added,,lookup
Hope is So Do-Do-Dope 🎪🦤 SHOWsutra Surreal Soul Circus EPx9,Hope is So Do-Do-Dope 🎪🦤 Surreal Soul Circus,,Hope is Do-Do-Dope,lyrics_title_guess match added,,lookup
"How to Help a Bible Bro Grow Up, In the name of Religious Freedom","How to Help a Bible Bro Grow Up, In the name of Religious Freedom",,Shush (How To Help A Bible Bro Grow Up),lyrics_title_guess match added,,lookup
I Ain't No Christian (No Holy Fool) ♥ EPx4 VOL.02,I Ain't No Christian (No Holy Fool) ♥,,No Holy Fool,lyrics_title_guess match added,,lookup
"I Did the Math, and Everything is Stupid • SHOWsutra Snoopy Fanana Club EPx11","I Did the Math, and Everything is Stupid • Snoopy Fanana Club",,"I Did The Math (Everything is Stupid, Absurd, and Divine",lyrics_title_guess match added,,lookup
If We Had But(t) The Truth ☲ Easterican Profanities EPx5 ☲ QUACKsutra,If We Had But(t) The Truth ☲ Easterican Profanities,,If We Had But(t) The Truth,lyrics_title_guess match added,,lookup
Ironic Moronic Eugenics ☤ What Happens When KNOWsutra & BLOWsutra Make a Baby,Ironic Moronic Eugenics ☤ What Happens When & Make a Baby,,Ironic Moronic Eugenics,lyrics_title_guess match added,,lookup
Kindness - Psychedelic INDIEsutra,Kindness - Psychedelic,,Kindness,lyrics_title_guess match added,,lookup
Kindness Matters - Human Life Soundtrack EP,Kindness Matters - Human Life Soundtrack EP,,Kindness,lyrics_title_guess match added,,lookup
Kiss A Pulse • GLOWsutra (Lucille Clifton Poetry) EPx16,Kiss A Pulse • (Lucille Clifton Poetry),,Kiss A Pulse,lyrics_title_guess match added,,lookup
L'Embobinage (d'après Carl Sagan) • French GROWsutra EPx17,L'Embobinage (d'après Carl Sagan) • French,,L’Embobinage,lyrics_title_guess match added,,lookup
Le Bal Des Salauds - French BLOWsutra Indie Gipsy Burlesque EPx9,Le Bal Des Salauds - French Indie Gipsy Burlesque,,Le Bal Des Salauds,lyrics_title_guess match added,,lookup
Let’s Do It (Let's Fall in Love) EP • Public Domain Lyrics • JAZZsutra,Let’s Do It (Let's Fall in Love) EP • Public Domain Lyrics,,Let's Do It,lyrics_title_guess match added,,lookup
"MAKA MAKA EPx7 ⭐︎ MAxA Series, Vol. 4",MAKA MAKA,,MAKA (Make America Kind Again),lyrics_title_guess match added,,lookup
"MAWA MAWA EPx2 (if Soundcloud allows) ⭐︎ MAxA Series, Vol. 2",MAWA MAWA,,MAWA (Make America Woke Again),lyrics_title_guess match added,,lookup
Muddy Waters EP,Muddy Waters EP,,Nietzsche's Gift (Muddy Waters),lyrics_title_guess match added,,lookup
Nietzsche's Gift (They Muddy the Water to Make it Look Deep) - KNOWsutra EPx13 Vol. 5,Nietzsche's Gift (They Muddy the Water to Make it Look Deep),,Nietzsche's Gift (Muddy Waters),lyrics_title_guess match added,,lookup
"No Fear, My Dear ❢ BLOWsutra Revolution Ring Jazz EPx19","No Fear, My Dear ❢ Revolution Ring Jazz",,"No Fear, My Dear",lyrics_title_guess match added,,lookup
"Oh, Martine ❃ French GLOW+BOWsutra ❃ Side A+B EPx28","Oh, Martine ❃ French GLOW+ ❃ Side A+B",,"Oh, Martine",lyrics_title_guess match added,,lookup
One Percent Rising • GROWsutra (Dare to Care) Psychedelic Indie EPx6,One Percent Rising • (Dare to Care) Psychedelic Indie,,One Percent Rising,lyrics_title_guess match added,,lookup
"Oy, We Care 🦆 QUACKsutra Psychedelic Punk Rock Mantra EPx4","Oy, We Care 🦆 Psychedelic Punk Rock Mantra",,"Oy, We Care",lyrics_title_guess match added,,lookup
Peace Matters More (The Only Wish Worth Making) 🪽 GROWsutra Birthday Wish Song,Peace Matters More (The Only Wish Worth Making) 🪽 Birthday Wish Song,,Peace Matters More,lyrics_title_guess match added,,lookup
Peel Me Kindly 🍌 SHOWsutra Gone Banana à la Gipsy JAZZ EPx7,Peel Me Kindly 🍌 Gone Banana à la Gipsy JAZZ,,Peel Me Kindly,lyrics_title_guess match added,,lookup
Project 2-0-2-5 (Explicit Fascism Advisory) • Pray for Murica SOULsutra EPx7,Project 2-0-2-5 (Explicit Fascism Advisory) • Pray for Murica,,Project 2025 (Honky tonk dreams in the land of the free),lyrics_title_guess match added,,lookup
Queer Almighty (Holy Questions Matter) - EPx16 VOL. 02,Queer Almighty (Holy Questions Matter),,Queer Almighty,lyrics_title_guess match added,,lookup
Relative Steve - KNOWsutra Hip de la HoP EPx2 Bass Interlude,Relative Steve - Hip de la HoP,,Relative Steve,lyrics_title_guess match added,,lookup
Seminal Bollocks - Merry Psychedelic GROWsutra (God Etc.) EPx10,Seminal Bollocks - Merry Psychedelic (God Etc.),,Seminal Bollocks,lyrics_title_guess match added,,lookup
Shady Fools (Oh Can’t You See?) • Vol. 2 EPx9 • BLOWsutra Ego Gone Loco LoFi Burlesque,Shady Fools (Oh Can’t You See?),,Shady Fools,lyrics_title_guess match added,,lookup
Sidération - Spoken Words Intro - EPx3 VOL. 1 of 4,Sidération - Spoken Words Intro,,Sidération,lyrics_title_guess match added,,lookup
Sidération Blues - A Song of Wrong - EPx7 Vol 3 of 4,Sidération Blues - A Song of Wrong,,Sidération Blues,lyrics_title_guess match added,,lookup
Sidération's Calling - White House's Burning - EPx13 Vol 4 of 4,Sidération's Calling - White House's Burning,,Sidération's Calling,lyrics_title_guess match added,,lookup
Spit Back The Lies • BLOWsutra (Revolution Ring) EPx20,Spit Back The Lies • (Revolution Ring),,Spit Back the Lies,lyrics_title_guess match added,,lookup
Stymied Felon goes Stymy Stymy Yuck Encore - Freee Bonus EPx2 VOL.02,Stymied Felon goes Stymy Stymy Yuck Encore - Freee Bonus,,Stymy Stymy Yuck,lyrics_title_guess match added,,lookup
Stymy Stymy Yuck : A Story of Old Bastards - EPx5 VOL.1 - DUBsutra,Stymy Stymy Yuck : A Story of Old Bastards,,Stymy Stymy Yuck,lyrics_title_guess match added,,lookup
Sutra of Immanence - FLOWsutra Dog Poetry - Jazz & Dub EPx3,Sutra of Immanence - Dog Poetry - Jazz & Dub,,Sutra of Immanence,lyrics_title_guess match added,,lookup
SynthemaSutra ♆ SHOWsutra Banana EPx8,♆ Banana,,SynthemaSutra,lyrics_title_guess match added,,lookup
"Thank you, Mister Paine - American Accountability Revolution Blues EPx3","Thank you, Mister Paine - American Accountability Revolution Blues",,"Thank you, Mister Paine",lyrics_title_guess match added,,lookup
The Conquest of Happiness (according to Bertrand Russel) ☰ 2 Songs EPx10 ☰ KNOWsutra,The Conquest of Happiness (according to Bertrand Russel) ☰ 2 Songs,,The Conquest of Happiness,lyrics_title_guess match added,,lookup
The Echo Song Song ☭ Vladimir Vysotsky - EPx6  English Cover ☭ BLOWsutra Gipsy Trip Hop Trip,The Echo Song Song ☭ Vladimir Vysotsky,,The Echo Song,lyrics_title_guess match added,,lookup
The Great Naked King • SHOWsutra Psychedelick Fools Cabaret EPx30,The Great Naked King • Psychedelick Fools Cabaret,,The Great Naked King,lyrics_title_guess match added,,lookup
The Invisible Man in the Sky (a song inspired by George Carlin) EPx8 VOL.01,The Invisible Man in the Sky (a song inspired by George Carlin),,The Invisible Man In The Sky,lyrics_title_guess match added,,lookup
This Is My Quest • GROWsutra (Dare to Care) Dream EPx19,This Is My Quest • (Dare to Care) Dream,,This Is My Quest,lyrics_title_guess match added,,lookup
This Is What Dissent Looks Like Now - BLOWsutra (Revolution Ring) Jazz Indie LoFi Dream,This Is What Dissent Looks Like Now - (Revolution Ring) Jazz Indie LoFi Dream,,What Dissent Looks Like Now,lyrics_title_guess match added,,lookup
Trauma Begets Trauma - KNOWsutra Peace (not War) Piano Kitten Truth EPx5,Trauma Begets Trauma - Peace (not War) Piano Kitten Truth,,Trauma Begets Trauma,lyrics_title_guess match added,,lookup
What It's About - Blues Dub Murica Mantra EPx7,What It's About - Blues Dub Murica Mantra,,What It's About,lyrics_title_guess match added,,lookup
"When We Duende, Encore ★ Arabesk Fado Soul EPx2 VOL.2","When We Duende, Encore ★ Arabesk Fado Soul",,When We Duende (Encore),lyrics_title_guess match added,,lookup
Awe Is Mighty (Maybe Even Holy) - GLOWsutra Conscious Indie LoFi Lullaby EPx2,Awe Is Mighty (Maybe Even Holy) - Conscious Indie LoFi Lullaby,,Awe Is Mighty,lyrics_title_guess match added,,lookup
Bee the Fool EP x2 : BANJOsutra,Bee the Fool,,Be The Fool (Embrace The Cracks),lyrics_title_guess match added,,lookup
Bloom Past Doom (Apes Gone Wrong Series) EPx5 - BLOWsutra (Revolt Now)  Grassroots Hope Song,Bloom Past Doom (Apes Gone Wrong Series),,Bloom Past Doom,lyrics_title_guess match added,,lookup
Bo Burnham Gone Bananas 🍌 COVERsutra Vaudeville Indie JAZZ EPx11,Bo Burnham Gone Bananas 🍌 Vaudeville Indie JAZZ,,Bo Burnham Covers,lyrics_title_guess match added,,lookup
CREEPYPASTA (what the hella) ♲ LoFi DUB Edition ♲ SoundCloud is broken REDUX,CREEPYPASTA (what the hella) ♲ LoFi DUB Edition ♲ SoundCloud is broken REDUX,,Creepy Pasta (What The Hella),lyrics_title_guess match added,,lookup
A Man's A Man for A' That - VOL. 01 - Revolution Forever,A Man's A Man for A' That,L-233-MAMA,A Man's a Man and A' That,lyrics_title_guess match confirmed,,L-233-MAMA
Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Vol. 02 EPx10 ⭐︎ FLOWsutra Wet JAZZ,Ain't Doing Bad Doing Nothing ⭐︎ Public Domain,L-013-AINT,Ain't Doing Bad Doing Nothing,lyrics_title_guess match confirmed,,L-013-AINT
All I Know • Shades of Fools (It's the Why) • KNOWsutra EPx5 Vol. 02,All I Know • Shades of Fools (It's the Why),L-235-ALIX,Shades of Fools (All I Know),lyrics_title_guess match confirmed,,L-235-ALIX
Atheist Tango EP x9 VOL. 1 ☰ Waldo's Burlesque Tales of Truth,Atheist Tango,L-178-ATHE,The Atheist Tango,lyrics_title_guess match confirmed,,L-178-ATHE
But(t) How Can You? GROWsutra (Dare to Care) EPx10,But(t) How Can You? (Dare to Care),L-035-BUTT,But(t) How Can You?,lyrics_title_guess match confirmed,,L-035-BUTT
But(t) How you Kids Learn Now? EPx9 VOL. 01,But(t) How you Kids Learn Now?,L-082-HOWK,How Do Kids Learn Now?,lyrics_title_guess match confirmed,,L-082-HOWK
Crimina/els EP,Crimina/els EP,L-044-CRIM,Criminals,lyrics_title_guess match confirmed,,L-044-CRIM
Darling EP,Darling EP,L-046-DARL,Darling,lyrics_title_guess match confirmed,,L-046-DARL
Jacques Brel : French EPx9 : GLOWsutra Burlesque Indie Blues Gratitude POET(ry),Jacques Brel : French,L-092-JACQ,Jacques Brel,lyrics_title_guess match confirmed,,L-092-JACQ
Joseph Campbell's Truth Metaphors ☷ KNOWsutra EPx12,Joseph Campbell's Truth Metaphors ☷,L-123-META,Metaphors' Edge (Joseph Campbell's song),lyrics_title_guess match confirmed,,L-123-META
Kids Are Asking ✪ KNOWsutra But(t) Why EPx3,Kids Are Asking ✪ But(t) Why,L-097-KIDS,Kids Are Asking,lyrics_title_guess match confirmed,,L-097-KIDS
MAMA-B-C (Make America Mine Achtung Encore) • BLOWsutra MAxA Series EPx3,MAMA-B-C (Make America Mine Achtung Encore) • MAxA Series,L-273-MAXX,MAMA (Make America Mine Achtung),lyrics_title_guess match confirmed,,L-273-MAXX
MAMA-B-C (Make America Mine Achtung) • BLOWsutra MAxA Series EPx8,MAMA-B-C (Make America Mine Achtung) • MAxA Series,L-273-MAXX,MAMA (Make America Mine Achtung),lyrics_title_guess match confirmed,,L-273-MAXX
MASA (Make America Safe Again) ✮ EPX12 ✮ QUACKsutra Psychedelic BANJO,MASA (Make America Safe Again) ✮,L-275-MAM3,MAWA (Make America Woke Again),lyrics_title_guess match confirmed,,L-275-MAM3
Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25,Make Amurica Gulag Again ☭ DUB,L-271-MAAM,Make Amurica Gulag Again (MAGA),lyrics_title_guess match confirmed,,L-271-MAAM
"No, I'm Not Being Political 🇺🇸 KNOWsutra Indie Dub EPx15","No, I'm Not Being Political 🇺🇸 Indie Dub",L-129-NOI5,"No, I'm Not Being Political (CIRCA 2025)",lyrics_title_guess match confirmed,,L-129-NOI5
"Okey Dokey, No It's Not Ξ EPx5 Ξ LOFIsutra","Okey Dokey, No It's Not Ξ",L-132-OKIE,Okie Dokie (No It's Not),lyrics_title_guess match confirmed,,L-132-OKIE
Prickly Peaches DUBsutra EPx3,Prickly Peaches,L-310-WEPR,Wet (Prickly) Peaches vol.2,lyrics_title_guess match confirmed,,L-310-WEPR
Question di Kingdom ✰ Ragga DUBsutra EPx10,Question di Kingdom ✰ Ragga,L-149-QUES,Question Di Kingdom,lyrics_title_guess match confirmed,,L-149-QUES
Rainbows in the Clouds • GLOWsutra Dub LoFi Blues,Rainbows in the Clouds • Dub LoFi Blues,L-152-RAIN,Rainbows in the Clouds,lyrics_title_guess match confirmed,,L-152-RAIN
Reason over Reverence (No need for God) ☷ KNOWsutra EPx6,Reason over Reverence (No need for God) ☷,L-154-REAS,Reason Over Reverence,lyrics_title_guess match confirmed,,L-154-REAS
"Rise Up, You Naked Peoples (Freedom Rings) ☆ BLOWsutra Victor Hugo Revolution Song","Rise Up, You Naked Peoples (Freedom Rings) ☆ Victor Hugo Revolution Song",L-294-RIUP,"Rise Up, You Naked Peoples (Freedom Rings)",lyrics_title_guess match confirmed,,L-294-RIUP
Second Hand Smoke (of) Arrogant Hearts - BLOWsutra EGO Therapy EPx6,Second Hand Smoke (of) Arrogant Hearts - EGO Therapy,L-015-ARRO,Arrogant Hearts (Second hand Smoke),lyrics_title_guess match confirmed,,L-015-ARRO
Secret de Polichinelle 🎪 French EPx10 🎪 KNOWsutra Psychedelic Gipsy Circus,Secret de Polichinelle 🎪 French,L-158-SECR,Secret De Polichinelle,lyrics_title_guess match confirmed,,L-158-SECR
Serial BLOWerrr ✰ RAGGA DUBsutra,Serial BLOWerrr ✰ RAGGA,L-296-SEBL,Serial BLOWerrr,lyrics_title_guess match confirmed,,L-296-SEBL
Shades of Fools EPx9,Shades of Fools,L-161-SHAD,Shady Fools,lyrics_title_guess match confirmed,,L-161-SHAD
"So, What Is Racism? KNOWsutra Gone Banana EPx17","So, What Is Racism? Gone Banana",L-166-SOWH,"So, What Is Racism?",lyrics_title_guess match confirmed,,L-166-SOWH
Tell The Truth (encore) KNOWsutra EPx9 Vol. 04,Tell The Truth (encore),L-175-TELL,Tell The Truth,lyrics_title_guess match confirmed,,L-175-TELL
The Echo Song ☭ Russian EPx3 ☭ Gipsy BLOWsutra LoFi Blues (Vladimir Vysotsky Cover),The Echo Song ☭ Russian,L-182-ECHO,The Echo Song,lyrics_title_guess match confirmed,,L-182-ECHO
There's No Prayer Like Desire • KNOWsutra But(t) Why EPx4,There's No Prayer Like Desire • But(t) Why,L-194-THER,There's No Prayer Like Desire,lyrics_title_guess match confirmed,,L-194-THER
They Muddy the Waters (aka Nietzsche's Gift) EPx5 VOL. 04,They Muddy the Waters (aka Nietzsche's Gift),L-126-NIET,Nietzsche's Gift (Muddy Waters),lyrics_title_guess match confirmed,,L-126-NIET
Up a San Francisco Hill • Bananasutra Heart Beats,Up a San Francisco Hill • Heart Beats,L-307-UPSA,Up a San Francisco Hill,lyrics_title_guess match confirmed,,L-307-UPSA
Waldo's Fascist Tango EPx3 VOL. 1 • Burlesque JAZZ,Waldo's Fascist Tango,L-210-WALD,Waldo's Atheist Tango,lyrics_title_guess match confirmed,,L-210-WALD
Why We Can't Be Brave? ☷ GROWsutra (Censored) Cello EPx8,Why We Can't Be Brave? ☷ (Censored) Cello,L-225-WWCB,Why We Can't Be Brave?,lyrics_title_guess match confirmed,,L-225-WWCB
Zero Sum (Zero Sean) • GROWsutra (Dare to Care) EPx22,Zero Sum (Zero Sean) • (Dare to Care),L-231-ZERO,Zero Sum (Zero Sean),lyrics_title_guess match confirmed,,L-231-ZERO
All the -Isms | BLOWsutra EPx7,All the -Isms |,,All the -Isms,lyrics_title_guess match added,,
An American in Paris (Public Domain Lyrics) 🎙️ SHOWsutra Classic Retro Musical REMAKE,An American in Paris (Public Domain Lyrics) 🎙️ Classic Retro Musical REMAKE,,An American in Paris (Public Domain Lyrics),lyrics_title_guess match added,,
Carnival FOTUS (ctd) EP X3,Carnival FOTUS (ctd),,Carnival FOTUS (ctd),lyrics_title_guess match added,,
Creo (La Poesia) ☘ EPx10 VOL.01 ☘ Bananasutra En Español,Creo (La Poesia) ☘,,Creo (La Poesia),lyrics_title_guess match added,,
Do Panic Now ✝ GROWsutra EPx13,Do Panic Now ✝,,Do Panic Now,lyrics_title_guess match added,,
F-BOMB ⚝ SHOWsutra DUB EPx7,F-BOMB ⚝ DUB,,F-BOMB DUB,lyrics_title_guess match added,,
Men-Oh-Pause 🩸 KNOWsutra EPx14,Men-Oh-Pause 🩸,,Men-Oh-Pause,lyrics_title_guess match added,,
My Quest • EPx6 Vol. 2 • GLOWsutra Jacques Brel Dream,My Quest,,My Quest,lyrics_title_guess match added,,
To Dream EP X8 | Jacques Brel Chanson Reimagined : Psychedelic French Poetry JAZZsutra X5,To Dream,,To Dream,lyrics_title_guess match added,,
